経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.81,-0.81,,,-0.1714824,1.548929,1.045713,,,-0.1712787,1.54486,1.045724,,44.8235181620417,42.896588662114,2.86730564981849
0.011, 0.33,0.33,,,-0.1693817,1.544695,1.045995,,,-0.1694722,1.546329,1.045995,,44.8235181620417,42.781458996668,3.17761372833834
0.022, 0.65,0.65,,,-0.1695841,1.542619,1.045624,,,-0.1697671,1.545862,1.04563,,44.8235181620417,42.8434907729839,3.24853627627204
0.033, 1.18,1.18,,,-0.169879,1.540138,1.046271,,,-0.170206,1.546019,1.04629,,44.8235181620417,42.9376039469385,3.21424509905482
0.045, 0.69,0.69,,,-0.1716113,1.540972,1.045597,,,-0.1717883,1.544422,1.045614,,44.8235181620417,43.1743997686843,2.98648881898064
0.056, 0.03,-0.03,,,-0.1750701,1.542828,1.046461,,,-0.1750647,1.542703,1.04646,,44.8235181620417,43.55746750253,2.51146774500172
0.066, 0.09,0.09,,,-0.1757146,1.542257,1.047107,,,-0.1757323,1.542691,1.04711,,44.8235181620417,43.7067173770253,2.43542084778582
0.077, 0.7,0.7,,,-0.174021,1.541501,1.048795,,,-0.1741724,1.545003,1.04882,,44.8235181620417,43.5747103146099,2.55856723410359
0.088, 1.03,1.03,,,-0.1729587,1.540715,1.04904,,,-0.1731959,1.545872,1.049072,,44.8235181620417,43.4310065535663,2.70247760836379
0.099, 1.57,1.57,,,-0.1718072,1.540115,1.050978,,,-0.1721773,1.547966,1.051015,,44.8235181620417,43.325039586637,2.7483715691107
0.11, 1.97,1.97,,,-0.1713124,1.539609,1.052681,,,-0.1717715,1.549458,1.05272,,44.8235181620417,43.3083910009983,2.71036114055049
0.122, 1.75,1.75,,,-0.1717897,1.540277,1.052455,,,-0.1721865,1.549004,1.052493,,44.8235181620417,43.3724171924964,2.65188212972123
0.133, 1.35,1.35,,,-0.1745733,1.542386,1.055257,,,-0.1748106,1.549122,1.055284,,44.8235181620417,43.7539515489161,2.0716932209236
0.144, 2.24,2.24,,,-0.1723256,1.540865,1.057337,,,-0.1727586,1.552058,1.057384,,44.8235181620417,43.6288702981264,2.26822593240617
