経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.53,-0.53,,,-0.01043525,1.81735,1.329107,,,-0.0102616,1.81469,1.32906,,45.0005634905908,41.2752247416766,3.94133792587651
0.01, 0.22,0.22,,,-0.009056027,1.814727,1.33036,,,-0.009131193,1.81582,1.330378,,45.0005634905908,41.0827636765997,4.09791958135495
0.022, 0.67,0.67,,,-0.007875357,1.813509,1.331812,,,-0.008108497,1.816843,1.331859,,45.0005634905908,41.0060777298273,4.14032907850505
0.033, 1.04,1.04,,,-0.007049786,1.812382,1.331944,,,-0.007405728,1.817545,1.332016,,45.0005634905908,41.063417166314,4.08067933059595
0.044, 1.01,1.01,,,-0.007747868,1.811846,1.331499,,,-0.008084975,1.816866,1.331576,,45.0005634905908,41.1654294538239,4.00129930115783
0.055, 1.55,1.55,,,-0.006817924,1.80989,1.330741,,,-0.007330731,1.81762,1.330886,,45.0005634905908,41.2172466825203,4.01814852359773
0.067, 1.98,1.98,,,-0.006475449,1.807929,1.329936,,,-0.007123522,1.817828,1.330159,,45.0005634905908,41.2707373075167,4.05042885049058
0.079, 2.49,2.49,,,-0.005149879,1.806573,1.329017,,,-0.005963504,1.818988,1.32933,,45.0005634905908,41.2713690999974,4.11275560559301
0.09, 3.03,3.03,,,-0.003662747,1.805154,1.329389,,,-0.004682973,1.820268,1.329784,,45.0005634905908,41.1603580385063,4.2372046370153
0.099, 3.47,3.47,,,-0.002701553,1.803764,1.330111,,,-0.003904887,1.821046,1.330566,,45.0005634905908,41.0396037124354,4.35158682365477
0.111, 3.94,3.94,,,-0.0009017158,1.802962,1.330975,,,-0.00232546,1.822626,1.331486,,45.0005634905908,40.8809657431872,4.48934234387042
0.122, 4.39,4.39,,,0.0007445924,1.802198,1.331272,,,-0.0008940697,1.824057,1.331825,,45.0005634905908,40.7346118688194,4.6086593420479
0.133, 4.39,4.39,,,0.0007850211,1.802194,1.33218,,,-0.0008886904,1.824062,1.332685,,45.0005634905908,40.6410963364005,4.64886226127067
0.144, 4.03,4.03,,,0.0002194243,1.803583,1.332077,,,-0.001290515,1.823661,1.332513,,45.0005634905908,40.7150467924863,4.5513066720701
0.154, 3.65,3.65,,,-0.00105144,1.804355,1.33239,,,-0.002390385,1.822561,1.332772,,45.0005634905908,40.8082993626295,4.44840560621912
0.166, 3.09,3.09,,,-0.002622269,1.805823,1.332911,,,-0.003716081,1.821235,1.333219,,45.0005634905908,40.9536252935558,4.29203867480673
0.177, 2.38,2.38,,,-0.005008555,1.807255,1.332837,,,-0.005814485,1.819137,1.333082,,45.0005634905908,41.1337339618625,4.13498061364695
0.188, 1.65,1.65,,,-0.007682843,1.808508,1.331841,,,-0.008222416,1.816729,1.332032,,45.0005634905908,41.2627733071661,4.07385896001266
0.199, 0.86,0.86,,,-0.01078827,1.809594,1.330091,,,-0.01106989,1.813881,1.330201,,45.0005634905908,41.2627425713157,4.13436461597832
0.21, 0.37,0.37,,,-0.01292174,1.810063,1.328208,,,-0.01304486,1.811906,1.328257,,45.0005634905908,41.2019197384493,4.21663296158133
0.221, 0.39,-0.39,,,-0.01590246,1.811117,1.326696,,,-0.01576911,1.809182,1.326644,,45.0005634905908,41.082821733206,4.32562954421011
0.232, 1.04,-1.04,,,-0.01886661,1.811634,1.326393,,,-0.01849937,1.806452,1.32626,,45.0005634905908,40.9655883695542,4.40224206645091
0.244, 1.62,-1.62,,,-0.02150111,1.812144,1.326524,,,-0.02090473,1.804046,1.326334,,45.0005634905908,40.8062161549907,4.50119400241106
0.255, 2.09,-2.09,,,-0.02411111,1.812047,1.327286,,,-0.02331688,1.801634,1.327062,,45.0005634905908,40.6534179973203,4.60530059661701
0.266, 2.69,-2.69,,,-0.02684655,1.812574,1.327346,,,-0.02579059,1.79916,1.327083,,45.0005634905908,40.5115720476793,4.70448689343653
