経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.95,-0.95,,,0.07760191,1.62403,1.003178,,,0.07580525,1.619838,1.004457,,44.7499911776726,35.2332942115287,27.6063227059387
0.01, 0.42,-0.42,,,0.07760823,1.622611,1.004818,,,0.07681999,1.620764,1.005383,,44.7499911776726,35.1430161886862,27.5609634209229
0.022, 0.26,-0.26,,,0.07720733,1.622058,1.005157,,,0.07671123,1.620894,1.005514,,44.7499911776726,35.0916907335964,27.5690674401476
0.033, 0.3,-0.3,,,0.07696182,1.622189,1.005073,,,0.07639419,1.620861,1.00548,,44.7499911776726,35.1299193013172,27.599180035813
0.044, 0.34,-0.34,,,0.07609187,1.622342,1.005006,,,0.07545119,1.620846,1.005465,,44.7499911776726,35.1517280947302,27.63041961266
0.056, 0.36,-0.36,,,0.07528976,1.622503,1.005032,,,0.07460416,1.620904,1.005523,,44.7499911776726,35.1556554533936,27.6616318687511
0.066, 0.16,-0.16,,,0.07456303,1.622068,1.005781,,,0.07426543,1.621375,1.005994,,44.7499911776726,35.1381735846995,27.6938430399805
0.077, 0.16,-0.16,,,0.07388458,1.622149,1.005827,,,0.07357556,1.621429,1.006049,,44.7499911776726,35.1356942260997,27.7092843897169
0.088, 0.19,-0.19,,,0.07242616,1.622368,1.00589,,,0.07206517,1.621529,1.006149,,44.7499911776726,35.1384228865972,27.751926967066
0.099, 0.09,-0.09,,,0.07168453,1.621929,1.006004,,,0.07150512,1.621513,1.006132,,44.7499911776726,35.1279351314185,27.7841722892403
0.11, 0.09,-0.09,,,0.07172223,1.621929,1.006048,,,0.07155751,1.621546,1.006166,,44.7499911776726,35.1165150554441,27.7828523552199
0.122, 0.06,-0.06,,,0.07122269,1.621345,1.005611,,,0.07110642,1.621075,1.005694,,44.7499911776726,35.0806770538663,27.7846486949216
0.132, 0.04,-0.04,,,0.07076219,1.621275,1.00568,,,0.07069166,1.621111,1.005731,,44.7499911776726,35.0553746187901,27.7683655243935
0.145, 0.08,0.08,,,0.07024664,1.620552,1.005615,,,0.07039183,1.62089,1.00551,,44.7499911776726,35.0556239206878,27.7460734951102
0.156, 0.16,0.16,,,0.06894905,1.620459,1.005988,,,0.069247,1.621153,1.005773,,44.7499911776726,35.0825724313082,27.7287709188767
0.167, 0.22,0.22,,,0.06873882,1.619811,1.005679,,,0.06914851,1.620765,1.005384,,44.7499911776726,35.1333787920355,27.7247479375675
0.177, 0.17,0.17,,,0.06786184,1.619895,1.005492,,,0.06818372,1.620642,1.005262,,44.7499911776726,35.1752307750102,27.7442686176722
0.189, 0.02,0.02,,,0.06694492,1.620664,1.005378,,,0.06697574,1.620736,1.005356,,44.7499911776726,35.2197123807421,27.7800314871712
0.199, 0.04,-0.04,,,0.06659664,1.620861,1.005271,,,0.06652703,1.6207,1.00532,,44.7499911776726,35.2608301184013,27.822156677705
0.21, 0.06,-0.06,,,0.06644502,1.621567,1.00585,,,0.06633338,1.621309,1.005929,,44.7499911776726,35.2747705341094,27.8418993389515
0.222, 0.17,-0.17,,,0.06698642,1.622294,1.005952,,,0.06666729,1.621559,1.006179,,44.7499911776726,35.2710173452649,27.8651732079007
0.233, 0.45,-0.45,,,0.06770644,1.623672,1.00572,,,0.066854,1.621707,1.006326,,44.7499911776726,35.2257639281783,27.8936704638723
0.244, 0.6,-0.6,,,0.06905062,1.625172,1.006307,,,0.06789615,1.622513,1.007132,,44.7499911776726,35.1602521705771,27.9457233340884
0.255, 0.66,-0.66,,,0.06973408,1.626701,1.007486,,,0.06846413,1.623779,1.008398,,44.7499911776726,35.0999381867897,28.0035664970124
0.267, 0.81,-0.81,,,0.06947434,1.627472,1.007428,,,0.06792653,1.623918,1.008537,,44.7499911776726,35.1263573577642,28.0370873569787
0.277, 1,-1,,,0.06899668,1.628835,1.007689,,,0.06707605,1.624438,1.009058,,44.7499911776726,35.2005400402753,28.0699081225746
0.288, 1.21,-1.21,,,0.06842145,1.630777,1.008395,,,0.06607731,1.625433,1.010052,,44.7499911776726,35.3048131203377,28.0994333219876
0.3, 1.19,-1.19,,,0.067394,1.632053,1.00981,,,0.06508775,1.62681,1.01143,,44.7499911776726,35.3895279542559,28.117104728426
0.31, 1.13,-1.13,,,0.0670943,1.632869,1.010992,,,0.064905,1.627905,1.012525,,44.7499911776726,35.420858031107,28.1602937208934
0.322, 1.13,-1.13,,,0.06640604,1.634202,1.012294,,,0.06420479,1.629216,1.013836,,44.7499911776726,35.4212780877292,28.1828555426414
0.332, 0.98,-0.98,,,0.06663632,1.634787,1.013754,,,0.06473372,1.630471,1.015091,,44.7499911776726,35.3758095196897,28.1746183347316
0.344, 0.71,-0.71,,,0.0663298,1.635991,1.016535,,,0.06496133,1.632881,1.017501,,44.7499911776726,35.3157311774221,28.167267343842
0.355, 0.57,-0.57,,,0.06636372,1.63906,1.020385,,,0.0652636,1.636551,1.02117,,44.7499911776726,35.174602397624,28.1605327775077
0.366, 0.49,-0.49,,,0.06669596,1.641042,1.022844,,,0.06575844,1.638899,1.023518,,44.7499911776726,35.069349185443,28.1815390237156
0.377, 0.58,-0.58,,,0.06668755,1.643614,1.024868,,,0.0655681,1.641056,1.025675,,44.7499911776726,35.039559316207,28.2041435341447
0.389, 0.59,-0.59,,,0.06661523,1.644875,1.026064,,,0.06547381,1.642268,1.026887,,44.7499911776726,35.0445999956742,28.2118872609007
0.399, 0.82,-0.82,,,0.06644733,1.647482,1.027342,,,0.06486133,1.643865,1.028485,,44.7499911776726,35.0515394676778,28.2449419604691
0.411, 1.15,-1.15,,,0.06619494,1.651582,1.029549,,,0.06397397,1.646532,1.031152,,44.7499911776726,35.027995806264,28.3290506151154
0.422, 1.73,-1.73,,,0.06613062,1.657989,1.032593,,,0.0627696,1.650401,1.03502,,44.7499911776726,35.01061297531,28.5062069342355
0.433, 2.01,-2.01,,,0.06544486,1.662451,1.035442,,,0.06152317,1.653654,1.038274,,44.7499911776726,35.0077545412219,28.660511148576
0.443, 2.46,-2.46,,,0.06570425,1.666574,1.036948,,,0.06088828,1.655808,1.040428,,44.7499911776726,34.9955216727588,28.748367869425
0.455, 2.88,-2.88,,,0.06555057,1.67055,1.038462,,,0.05989526,1.657933,1.042553,,44.7499911776726,34.9771621247807,28.8082891173461
0.466, 3.17,-3.17,,,0.06618688,1.674507,1.040768,,,0.05997489,1.66066,1.04528,,44.7499911776726,34.9231524054218,28.8618856102717
0.477, 3.53,-3.53,,,0.06626211,1.678574,1.042688,,,0.05933032,1.663136,1.047755,,44.7499911776726,34.8360470053606,28.9343675757269
0.489, 3.81,-3.81,,,0.0662753,1.682637,1.045135,,,0.05880341,1.66601,1.05063,,44.7499911776726,34.7542486621367,29.0050702769528
0.5, 4.27,-4.27,,,0.06635666,1.687371,1.047138,,,0.05798014,1.668733,1.053353,,44.7499911776726,34.6338529209872,29.0832281294503
0.51, 4.62,-4.62,,,0.06657291,1.691238,1.048915,,,0.05752025,1.671064,1.055684,,44.7499911776726,34.5275273691364,29.1129701873635
0.522, 4.98,-4.98,,,0.06682526,1.695662,1.051263,,,0.05710622,1.673964,1.058584,,44.7499911776726,34.4276870817221,29.1334846599647
0.532, 5.09,-5.09,,,0.06777069,1.69956,1.054439,,,0.05784512,1.677363,1.061983,,44.7499911776726,34.3054266989811,29.1701252087476
0.544, 5.32,-5.32,,,0.06800048,1.703594,1.057081,,,0.05763484,1.680404,1.065024,,44.7499911776726,34.1900477316373,29.2343733813875
0.555, 5.52,-5.52,,,0.06722216,1.707727,1.060016,,,0.05644953,1.683681,1.0683,,44.7499911776726,34.1383090501142,29.3208196682122
0.566, 5.74,-5.74,,,0.06702244,1.711788,1.062808,,,0.05581746,1.686827,1.071447,,44.7499911776726,34.1002990484408,29.3935099544313
0.577, 6.05,-6.05,,,0.06690232,1.716307,1.065469,,,0.05507483,1.689986,1.074606,,44.7499911776726,34.0702564622125,29.4374758808952
0.589, 6.23,-6.23,,,0.06633535,1.720204,1.0683,,,0.05416577,1.693123,1.077742,,44.7499911776726,34.0087164595032,29.4775315241681
0.599, 6.37,-6.37,,,0.06655354,1.724127,1.071366,,,0.05413078,1.696455,1.081075,,44.7499911776726,33.9067349078437,29.5204558468125
0.611, 6.49,-6.49,,,0.06624424,1.72811,1.074609,,,0.05361854,1.699949,1.084568,,44.7499911776726,33.777033034209,29.5732941887614
0.622, 6.5,-6.5,,,0.06592935,1.732033,1.078366,,,0.05329517,1.703802,1.088422,,44.7499911776726,33.6507462550643,29.6142684924521
0.633, 6.53,-6.53,,,0.06631486,1.735012,1.081138,,,0.05366352,1.706652,1.091271,,44.7499911776726,33.5640643267198,29.5944063028984
0.644, 6.48,-6.48,,,0.06602172,1.737902,1.084315,,,0.05350608,1.709761,1.094381,,44.7499911776726,33.5092998714786,29.5595074523054
0.655, 6.69,-6.69,,,0.06554408,1.741202,1.086388,,,0.05264079,1.712128,1.096748,,44.7499911776726,33.5374846463044,29.4913797323249
0.666, 6.73,-6.73,,,0.0647499,1.74362,1.08859,,,0.05176142,1.714375,1.098995,,44.7499911776726,33.5685483457851,29.4874113925275
0.677, 6.88,-6.88,,,0.06374815,1.747655,1.091734,,,0.05044141,1.717775,1.102395,,44.7499911776726,33.5628519681759,29.5559147729019
0.689, 6.87,-6.87,,,0.06297745,1.751261,1.095395,,,0.04967789,1.721474,1.106094,,44.7499911776726,33.5001337578675,29.658060249097
0.7, 6.93,-6.93,,,0.06297462,1.754726,1.098417,,,0.04954049,1.724663,1.109283,,44.7499911776726,33.4204220373771,29.7315701579937
0.711, 7,-7,,,0.06246684,1.757983,1.101263,,,0.04892058,1.727654,1.112273,,44.7499911776726,33.3504228456161,29.7659908953581
0.722, 6.84,-6.84,,,0.06214654,1.760327,1.104501,,,0.04893458,1.730667,1.115287,,44.7499911776726,33.2900371448444,29.743372724551
0.733, 6.88,-6.88,,,0.06194279,1.763121,1.107033,,,0.04869637,1.733272,1.117892,,44.7499911776726,33.2352931801701,29.6911456845158
0.744, 6.8,-6.8,,,0.0617904,1.765452,1.109826,,,0.04875399,1.735965,1.120585,,44.7499911776726,33.1430924591299,29.6647948154312
0.755, 6.46,-6.46,,,0.06192364,1.76704,1.113357,,,0.04960119,1.739003,1.123623,,44.7499911776726,33.016330981851,29.6122160206636
0.766, 6.22,-6.22,,,0.06211415,1.769149,1.116822,,,0.05031229,1.742123,1.126743,,44.7499911776726,32.8961299010875,29.5433882063127
0.777, 6.12,-6.12,,,0.0620546,1.7715,1.119737,,,0.05049649,1.744915,1.129535,,44.7499911776726,32.781184650744,29.5203089977495
0.789, 5.94,-5.94,,,0.06177278,1.773433,1.122679,,,0.0505744,1.747618,1.132237,,44.7499911776726,32.6839978917483,29.5351441682139
0.8, 5.95,-5.95,,,0.06090123,1.775777,1.124941,,,0.04966266,1.749939,1.134559,,44.7499911776726,32.6388264369295,29.6298891346492
0.811, 5.88,-5.88,,,0.06004557,1.777809,1.127396,,,0.04892083,1.752285,1.136905,,44.7499911776726,32.6519950412828,29.6682884570945
0.822, 5.83,-5.83,,,0.05982503,1.777681,1.127589,,,0.04877907,1.752367,1.136986,,44.7499911776726,32.7200407989955,29.6467665316187
0.833, 5.55,-5.55,,,0.05918808,1.778045,1.129657,,,0.04868362,1.753952,1.138571,,44.7499911776726,32.75888066863,29.6008642465789
0.844, 5.44,-5.44,,,0.05936433,1.779572,1.131864,,,0.04909251,1.755959,1.140579,,44.7499911776726,32.7677086878865,29.542951074218
0.855, 5.29,-5.29,,,0.05912367,1.781082,1.134259,,,0.04916425,1.758108,1.142728,,44.7499911776726,32.7417983659911,29.4806768261933
0.866, 5.1,-5.1,,,0.05904855,1.782657,1.136924,,,0.04948053,1.760487,1.145106,,44.7499911776726,32.6670453627001,29.4286990880559
0.877, 5.02,-5.02,,,0.05942613,1.78458,1.139292,,,0.05003321,1.762762,1.147382,,44.7499911776726,32.5669660186715,29.4419018433542
