経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.62,0.62,,,-0.1117949,1.775813,1.125809,,,-0.1117261,1.778914,1.125547,,45.7999961295596,41.2453734007397,4.74222752953203
0.01, 2.62,2.62,,,-0.112985,1.768307,1.128991,,,-0.1127176,1.78134,1.127886,,45.7999961295596,41.2208325317348,4.7394591685611
0.021, 5.09,5.09,,,-0.1112803,1.757661,1.131639,,,-0.11095,1.782993,1.129479,,45.7999961295596,41.181077416777,4.68383026752712
0.033, 7.8,7.8,,,-0.109415,1.747141,1.135765,,,-0.1092124,1.785972,1.132351,,45.7999961295596,41.0268654099878,4.783235130394
0.044, 9.58,9.58,,,-0.1065888,1.740468,1.138719,,,-0.1066016,1.788185,1.134485,,45.7999961295596,40.9794195022386,4.82060437496371
0.054, 6.99,6.99,,,-0.1136665,1.750987,1.135066,,,-0.1126297,1.785807,1.132192,,45.7999961295596,41.3613705001861,4.7790559085119
0.066, 5.1,5.1,,,-0.1160184,1.759574,1.133353,,,-0.1147122,1.784983,1.131398,,45.7999961295596,41.7331718373094,5.08199271901855
0.077, 4.27,4.27,,,-0.1142046,1.763396,1.132595,,,-0.1129413,1.784649,1.131076,,45.7999961295596,42.0728883616995,5.12162531746149
0.089, 5.08,5.08,,,-0.1076683,1.761535,1.134961,,,-0.1063754,1.786863,1.13321,,45.7999961295596,42.1763930455016,4.71372173582423
0.101, 5.76,5.76,,,-0.09925094,1.759789,1.136758,,,-0.09817035,1.788483,1.134772,,45.7999961295596,42.1352001757635,4.28751879724926
0.111, 6.37,6.37,,,-0.09223574,1.760565,1.1408,,,-0.09124354,1.792288,1.13844,,45.7999961295596,41.8257174828932,4.3851687284351
0.121, 6.45,6.45,,,-0.08595217,1.763319,1.144113,,,-0.08499267,1.795468,1.141505,,45.7999961295596,41.4413349376688,4.70598569303082
0.133, 5.15,5.15,,,-0.08379503,1.76775,1.141547,,,-0.0828516,1.793398,1.13951,,45.7999961295596,41.5533329614675,4.77565233996583
0.143, 4.68,4.68,,,-0.07958765,1.771374,1.142756,,,-0.07860736,1.794682,1.140748,,45.7999961295596,41.1836114168886,5.2525506486972
0.154, 3.31,3.31,,,-0.07762572,1.776247,1.14029,,,-0.07678189,1.792734,1.13887,,45.7999961295596,41.2128173049668,5.50754935096129
0.167, 1.67,1.67,,,-0.07447487,1.779723,1.135019,,,-0.07400059,1.78804,1.134345,,45.7999961295596,41.5237582431843,5.45477760335499
0.177, 0.44,0.44,,,-0.07067304,1.780478,1.129327,,,-0.07053909,1.782666,1.129164,,45.7999961295596,41.9010339767751,5.32303264944169
0.188, 1.59,1.59,,,-0.06129667,1.775028,1.130016,,,-0.06092375,1.782929,1.129418,,45.7999961295596,41.7955007268459,4.88455244617527
0.199, 2.16,2.16,,,-0.05333573,1.771608,1.129726,,,-0.05292501,1.782374,1.128883,,45.7999961295596,41.6213889644637,4.75262606536719
