経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.02,-0.02,,,-0.2734252,1.585729,1.2418,,,-0.2733982,1.585608,1.241802,,46.050527461344,33.5919793090808,12.4688779593217
0.011, 1.41,1.41,,,-0.2722936,1.578275,1.240536,,,-0.2738426,1.585147,1.240459,,46.050527461344,33.3517581475617,12.7085680736477
0.022, 2.95,2.95,,,-0.2704552,1.57084,1.239673,,,-0.2737653,1.585227,1.239501,,46.050527461344,33.0991026270045,12.9632248395759
0.034, 4.46,4.46,,,-0.2680941,1.564078,1.241134,,,-0.2732193,1.585793,1.240776,,46.050527461344,32.7812802733897,13.2962307032932
0.045, 4.76,4.76,,,-0.2680863,1.562336,1.241368,,,-0.2734852,1.585517,1.240981,,46.050527461344,32.9511607336989,13.1275924836047
0.055, 5.43,5.43,,,-0.2666103,1.55986,1.239646,,,-0.2727419,1.586288,1.239271,,46.050527461344,32.9963629243682,13.0727016698674
0.066, 2.5,2.5,,,-0.2739708,1.570089,1.235595,,,-0.2765469,1.582341,1.235544,,46.050527461344,34.1766503159532,11.8739795982255
0.077, 1.08,1.08,,,-0.2760351,1.576514,1.228624,,,-0.277071,1.581798,1.228676,,46.050527461344,34.9616405203238,11.1208582018617
0.088, 1.49,1.49,,,-0.2732441,1.576955,1.225135,,,-0.2746955,1.584262,1.225259,,46.050527461344,34.8266520804186,11.2982552851433
0.099, 2.37,2.37,,,-0.2684554,1.57662,1.228013,,,-0.2708651,1.588235,1.228228,,46.050527461344,34.3428117383628,11.7906709294635
0.11, 3.26,3.26,,,-0.2628666,1.577072,1.235242,,,-0.2662686,1.593003,1.235459,,46.050527461344,34.002845912075,12.0968478108675
0.122, 3.71,3.71,,,-0.2588358,1.578539,1.249429,,,-0.2627419,1.596662,1.249331,,46.050527461344,33.8881158126843,12.1630272194414
0.133, 1.78,1.78,,,-0.2607478,1.588194,1.252185,,,-0.2625038,1.596909,1.252132,,46.050527461344,34.6594319787171,11.3922608836215
