経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.71,-0.71,,,0.3496299,1.825762,1.307519,,,0.3486249,1.822356,1.307623,,28.8331100240992,12.4355065097393,16.4970391130772
0.01, 0.37,0.37,,,0.3524037,1.818167,1.30845,,,0.3529255,1.819962,1.308398,,29.5371351683016,13.3724598811775,16.2623794329349
0.021, 1.26,1.26,,,0.3542817,1.812135,1.31002,,,0.3560238,1.8182,1.309839,,30.0470463416939,14.0827790445249,16.0855526704331
0.032, 2.33,2.33,,,0.3554378,1.805471,1.311313,,,0.3586243,1.816687,1.310979,,30.4783625304939,14.6938623921826,15.9190326631021
0.045, 3.29,3.29,,,0.3567341,1.799316,1.313089,,,0.3611789,1.815171,1.31262,,30.9057650210085,15.340329533851,15.7183309750209
0.054, 4.29,4.29,,,0.3580411,1.792958,1.314175,,,0.3637544,1.813613,1.313611,,31.3388229079985,15.9682902784782,15.5109510696645
0.066, 5.23,5.23,,,0.360017,1.786456,1.314831,,,0.3668949,1.811677,1.314228,,31.8686748181178,16.6911547914345,15.2895931825607
0.076, 6.26,6.26,,,0.3608422,1.780165,1.315193,,,0.3689193,1.810408,1.314604,,32.2118440030372,17.3143053754726,14.9749110083294
0.088, 7.22,7.22,,,0.3606336,1.774955,1.31583,,,0.3697984,1.809847,1.315217,,32.3629960851634,17.6969496376016,14.7341844128257
0.098, 7.96,7.96,,,0.3594409,1.771527,1.316174,,,0.3694804,1.810045,1.31552,,32.3102704413327,17.7520948758784,14.6244574268629
0.11, 8.49,8.49,,,0.3576182,1.7697,1.31681,,,0.3683104,1.810775,1.3161,,32.1147870176321,17.5820300004667,14.6070131242081
0.121, 9.05,9.05,,,0.3539372,1.768797,1.316884,,,0.3653994,1.812584,1.316106,,31.6240072035726,17.0176924661877,14.6864823729898
0.132, 9.08,9.08,,,0.3510056,1.770415,1.315829,,,0.3626103,1.814296,1.315084,,31.1519182016568,16.390257646112,14.828260020741
0.143, 9.83,9.83,,,0.3459361,1.769214,1.315141,,,0.358558,1.816718,1.314465,,30.4740390208696,15.630656961727,14.8888694102018
0.155, 9.94,9.94,,,0.3424903,1.770618,1.31451,,,0.3552782,1.818631,1.31381,,29.9285357327028,15.0485353228915,14.923810949476
0.17, 9.76,9.76,,,0.3408522,1.772558,1.315237,,,0.3533862,1.819709,1.314458,,29.6184075869739,14.780919980921,14.9006258729835
0.178, 9.75,9.75,,,0.3351101,1.775843,1.315465,,,0.3475564,1.822958,1.314477,,28.6626899788606,13.9421027647467,14.8246297752982
0.188, 9.69,9.69,,,0.3309033,1.778449,1.315543,,,0.343241,1.825282,1.314453,,27.9606882781435,13.2982652458356,14.793765858845
0.199, 9.39,9.39,,,0.3266524,1.782309,1.315664,,,0.3385854,1.827713,1.314495,,27.2086691035263,12.6045280737843,14.7704356408368
0.209, 9.14,9.14,,,0.3216089,1.786239,1.315713,,,0.3332102,1.830425,1.314469,,26.3463970183948,11.7861245849237,14.7670871406894
0.221, 8.81,8.81,,,0.3172874,1.790159,1.315909,,,0.3284447,1.832744,1.314592,,25.587856720849,11.0985089697457,14.7513896588662
0.232, 8.43,8.43,,,0.3124537,1.794512,1.31627,,,0.3230933,1.835255,1.314947,,24.7427642685494,10.3417983090729,14.7147286195164
0.244, 8.05,8.05,,,0.3076764,1.798688,1.31611,,,0.3178087,1.837644,1.314839,,23.9119076376312,9.58554185596725,14.6595441076529
0.254, 7.55,7.55,,,0.3029512,1.803448,1.315948,,,0.3124085,1.83999,1.314748,,23.0684680910646,8.83460014366164,14.5917169159875
0.266, 6.99,6.99,,,0.2984699,1.808329,1.316601,,,0.307173,1.842169,1.315417,,22.2594851403547,8.19663744104693,14.5184580165359
0.277, 6.38,6.38,,,0.294236,1.813321,1.317408,,,0.3021075,1.844193,1.3162,,21.4827218986104,7.68533461664995,14.4286717673
0.288, 5.86,5.86,,,0.2903368,1.81757,1.318282,,,0.2974842,1.845968,1.317044,,20.7792090185815,7.3420040685159,14.2883284592346
0.299, 5.29,5.29,,,0.2872808,1.821719,1.319771,,,0.2936413,1.847378,1.318542,,20.2048362291437,7.2165104450665,14.1241375463457
0.31, 4.66,4.66,,,0.2832313,1.826522,1.320174,,,0.2887698,1.849123,1.319021,,19.4691907250587,6.84790734393303,14.0042054042732
0.321, 4.1,4.1,,,0.2792642,1.83084,1.320784,,,0.2841125,1.850719,1.319732,,18.7724277792893,6.45785915694977,13.9617626099518
0.333, 3.49,3.49,,,0.2749532,1.835441,1.320253,,,0.2791079,1.852387,1.319344,,18.0147873591416,5.82944591230265,14.0378799434916
0.344, 2.91,2.91,,,0.2690651,1.840329,1.319777,,,0.2725796,1.854448,1.319026,,17.033425806503,4.98845200027776,14.2306236076375
0.354, 2.4,2.4,,,0.2639264,1.844543,1.318675,,,0.2668594,1.856166,1.318063,,16.1702709194459,4.28541723347749,14.4064104738671
0.365, 1.89,1.89,,,0.2585321,1.848703,1.317926,,,0.260864,1.857858,1.31744,,15.2739144837572,3.85975686803961,14.5349580455642
0.377, 1.33,1.33,,,0.2549566,1.852581,1.318148,,,0.2565856,1.858994,1.31779,,14.6449770221059,3.95601728265485,14.5274994791981
0.388, 0.97,0.97,,,0.2529927,1.854909,1.31885,,,0.25417,1.859602,1.318571,,14.2980947757023,4.25786168981152,14.4012758793015
0.4, 0.65,0.65,,,0.2507807,1.857073,1.320165,,,0.2515596,1.860229,1.319967,,13.9334403775728,4.64860954427841,14.2308455887794
0.41, 0.45,0.45,,,0.2484921,1.858667,1.320556,,,0.2490228,1.860836,1.320418,,13.5684863049019,4.78163771994631,14.1265161596579
0.421, 0.26,0.26,,,0.2448883,1.860476,1.319962,,,0.2451981,1.861745,1.319881,,13.0003802138532,4.7857328451266,14.1005785170066
0.433, 0.06,0.06,,,0.2411863,1.862366,1.31918,,,0.2412544,1.862644,1.319162,,12.4134279238616,4.74850233877054,14.1457149671069
0.444, 0.11,0.11,,,0.2367817,1.863052,1.317688,,,0.2369153,1.863593,1.317656,,11.7592588903447,4.72455612309367,14.2009327761417
0.454, 0.03,0.03,,,0.2325231,1.864338,1.316378,,,0.2325601,1.864488,1.316369,,11.1089540362433,4.86526271183547,14.237983990037
0.466, 0.06,0.06,,,0.2288974,1.864895,1.315649,,,0.2289683,1.865182,1.315632,,10.5783986166591,5.09142947886796,14.2045382621495
0.477, 0.04,-0.04,,,0.2259232,1.86596,1.314983,,,0.225872,1.865751,1.314996,,10.1221078418538,5.31717661616501,14.1046006445422
0.488, 0.07,0.07,,,0.2238773,1.865759,1.315251,,,0.2239563,1.866086,1.31523,,9.84664205142449,5.52300606862291,13.9840529316879
0.499, 0.05,0.05,,,0.2216053,1.866232,1.315982,,,0.2216619,1.866469,1.315967,,9.52301403717672,5.82648630604028,13.8913117719445
0.511, 0.2,0.2,,,0.2193778,1.865832,1.315332,,,0.2196101,1.866812,1.315268,,9.21771910392474,5.86611548938873,13.7557419122025
0.521, 0.38,0.38,,,0.216295,1.865411,1.314857,,,0.2167323,1.867272,1.314737,,8.79564586836177,5.99734177582637,13.6378784636173
0.533, 0.71,0.71,,,0.2121873,1.864411,1.31386,,,0.212989,1.867838,1.313645,,8.24397833464056,6.18982375835702,13.5489809927224
0.544, 1,1,,,0.2075562,1.863598,1.312062,,,0.2086891,1.86844,1.311771,,7.61027596240209,6.4814997216698,13.5206288782667
0.555, 1.24,1.24,,,0.2036704,1.862853,1.311286,,,0.2050859,1.868903,1.310932,,7.08720301484542,6.8352932655475,13.5013335943983
0.566, 1.35,1.35,,,0.1993507,1.862829,1.310524,,,0.2008853,1.8694,1.310139,,6.48035011548711,7.31214675116369,13.4792575698415
0.577, 1.58,1.58,,,0.1954633,1.86211,1.310144,,,0.1972453,1.869794,1.309685,,5.95621293911,7.70894572618,13.4059815949174
0.588, 1.82,1.82,,,0.1923057,1.86125,1.309485,,,0.1943369,1.870082,1.308956,,5.53979979577735,7.96631834600144,13.3086684774257
0.601, 2.22,2.22,,,0.1879658,1.859614,1.308948,,,0.1904331,1.870436,1.308311,,4.98251784671462,8.33583242359011,13.1882479768411
0.611, 2.74,2.74,,,0.1841457,1.857351,1.308211,,,0.1871655,1.870698,1.307449,,4.52242351042116,8.62406895986467,13.0759323492549
