経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.93,-0.93,,,0.3934639,1.637958,1.265336,,,0.3924276,1.633426,1.26521,,45.0005395849294,32.1534117363137,13.0036740724888
0.014, 0.64,-0.64,,,0.3937412,1.635922,1.265571,,,0.393034,1.63282,1.265482,,45.0005395849294,32.1945670400124,12.9735734296542
0.021, 0.84,-0.84,,,0.3940299,1.636832,1.266279,,,0.393097,1.632756,1.26617,,45.0005395849294,32.1378491507229,13.0112905869751
0.033, 0.84,-0.84,,,0.3939557,1.636924,1.266539,,,0.3930188,1.632835,1.266432,,45.0005395849294,32.1250766973304,13.0172652947853
0.044, 0.85,-0.85,,,0.393979,1.636957,1.266726,,,0.3930314,1.632822,1.26662,,45.0005395849294,32.1222968104156,13.0160068324657
0.055, 0.78,-0.78,,,0.3941724,1.636333,1.267031,,,0.3933063,1.632547,1.266936,,45.0005395849294,32.1436753019228,12.9881225859551
0.066, 0.82,-0.82,,,0.3950119,1.635773,1.268289,,,0.3940952,1.631758,1.268194,,45.0005395849294,32.162523208413,12.9555955184853
0.077, 0.84,-0.84,,,0.3950226,1.635859,1.268676,,,0.3940875,1.631766,1.268584,,45.0005395849294,32.1532068306443,12.9571032827027
0.088, 0.92,-0.92,,,0.3952763,1.636062,1.268887,,,0.3942524,1.631601,1.268788,,45.0005395849294,32.095604431882,13.0099407708779
0.1, 0.97,-0.97,,,0.3947794,1.636915,1.269001,,,0.3936839,1.63217,1.268897,,45.0005395849294,32.0206089568822,13.0818182646084
0.111, 1.06,-1.06,,,0.393647,1.638554,1.268676,,,0.392444,1.63341,1.26856,,45.0005395849294,31.8606425158773,13.2465581539365
0.122, 1.28,-1.28,,,0.3935776,1.639996,1.268346,,,0.3921058,1.633747,1.268201,,45.0005395849294,31.7690360212783,13.3436356299085
0.133, 1.47,-1.47,,,0.3927155,1.642009,1.26865,,,0.3910191,1.634834,1.268488,,45.0005395849294,31.7191722266302,13.387616070524
0.144, 1.91,-1.91,,,0.3926746,1.644698,1.269015,,,0.3904702,1.635383,1.268828,,45.0005395849294,31.7032681315904,13.383692126955
0.156, 2.38,-2.38,,,0.3922001,1.64797,1.269583,,,0.3894636,1.63639,1.269387,,45.0005395849294,31.7174749246687,13.3479557244383
0.167, 3,-3,,,0.3914416,1.652421,1.27055,,,0.388014,1.637839,1.270364,,45.0005395849294,31.7790559085119,13.2625553103012
0.179, 3.47,-3.47,,,0.3905207,1.656156,1.270768,,,0.3865692,1.639284,1.270591,,45.0005395849294,31.8233701746138,13.2077080390186
0.188, 3.75,-3.75,,,0.3890207,1.659387,1.270386,,,0.384735,1.641118,1.270211,,45.0005395849294,31.8015511359173,13.2256022803724
0.199, 4.03,-4.03,,,0.3874741,1.662629,1.269965,,,0.3828558,1.642998,1.269791,,45.0005395849294,31.7652589267724,13.2589677535395
0.21, 4.23,-4.23,,,0.3846004,1.66671,1.26918,,,0.379711,1.646142,1.268996,,45.0005395849294,31.6311754869071,13.3932347547336
0.221, 4.43,-4.43,,,0.3817664,1.670787,1.267827,,,0.3765968,1.649257,1.267634,,45.0005395849294,31.5021907831153,13.5219872321001
0.233, 4.55,-4.55,,,0.378561,1.674739,1.267,,,0.3732177,1.652636,1.266799,,45.0005395849294,31.413914005644,13.6107523680834
0.243, 4.66,-4.66,,,0.3760693,1.67791,1.266779,,,0.3706005,1.655253,1.266605,,45.0005395849294,31.4326867800554,13.5867425462717
0.255, 4.79,-4.79,,,0.3739399,1.680735,1.266312,,,0.3683927,1.657461,1.266188,,45.0005395849294,31.5956311834555,13.416729751051
0.266, 4.95,-4.95,,,0.3726718,1.682939,1.266226,,,0.3670125,1.658841,1.266174,,45.0005395849294,31.7841922106248,13.2211378981004
0.277, 5.14,-5.14,,,0.3709728,1.685728,1.266318,,,0.365188,1.660665,1.266357,,45.0005395849294,32.0028026542114,12.9982696854584
0.288, 5.24,-5.24,,,0.3684925,1.688744,1.266546,,,0.3626465,1.663207,1.266648,,45.0005395849294,32.1067034889744,12.8939112280338
0.299, 5.11,-5.11,,,0.3651258,1.691321,1.265314,,,0.3594207,1.666433,1.265424,,45.0005395849294,32.0901436957925,12.910567497635
0.31, 4.78,-4.78,,,0.3605772,1.693956,1.263935,,,0.3551965,1.670657,1.264004,,45.0005395849294,31.9961124841056,13.0044475913908
0.322, 4.44,-4.44,,,0.3565632,1.695946,1.262278,,,0.35153,1.674323,1.262297,,45.0005395849294,31.8965829702898,13.104928209022
0.333, 3.96,-3.96,,,0.3525599,1.697044,1.261191,,,0.3480744,1.677779,1.261165,,45.0005395849294,31.893294234296,13.1107415536176
0.344, 3.73,-3.73,,,0.3502775,1.697935,1.26124,,,0.3460907,1.679763,1.261222,,45.0005395849294,32.0255881646485,12.9779993921132
0.355, 3.67,-3.67,,,0.348418,1.699414,1.261931,,,0.3443536,1.6815,1.261949,,45.0005395849294,32.2165158522994,12.7849671524828
0.366, 3.56,-3.56,,,0.3467201,1.700374,1.263239,,,0.3428472,1.683006,1.263319,,45.0005395849294,32.4302597862379,12.5704915345499
0.377, 3.38,-3.38,,,0.3445535,1.701468,1.264239,,,0.3409122,1.684941,1.264361,,45.0005395849294,32.576651226645,12.4264795612287
