経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.94,-0.94,,,0.2945801,1.807854,1.515183,,,0.2932981,1.803423,1.515977,,34.2215758839687,34.9267245942583,18.6672650671123
0.01, 0.65,-0.65,,,0.2945057,1.805964,1.516209,,,0.293612,1.802895,1.516753,,34.3568409465276,34.9194470279002,18.6915651719557
0.022, 0.28,-0.28,,,0.2931627,1.804469,1.516765,,,0.2927764,1.80316,1.516994,,34.2895704152641,34.7825017388523,18.8209511493501
0.033, 0.14,0.14,,,0.2919442,1.802509,1.517715,,,0.292137,1.803152,1.517604,,34.2925722833208,34.6732050547952,18.9987238930256
0.044, 0.65,0.65,,,0.2913591,1.800136,1.517836,,,0.2922966,1.803225,1.51731,,34.2736560749408,34.4340118367175,19.073765471801
0.055, 1.2,1.2,,,0.2926725,1.796481,1.518509,,,0.2943859,1.802129,1.517567,,34.5515969551018,34.3680970979665,18.9755046655883
0.066, 1.45,1.45,,,0.2951031,1.793143,1.520342,,,0.2971565,1.799988,1.519217,,35.0903451863674,34.6733553189528,18.7670370526369
0.077, 1.73,1.73,,,0.2974017,1.789315,1.522911,,,0.299815,1.797494,1.521567,,35.7096008551397,35.2405273816584,18.5412395426961
0.088, 1.85,1.85,,,0.2988554,1.787053,1.524723,,,0.3014055,1.795818,1.523271,,36.120901175134,35.7254776294235,18.3886992246597
0.099, 2.01,2.01,,,0.3003523,1.784963,1.525695,,,0.3031119,1.79452,1.524105,,36.4357865474875,36.0139062647632,18.3059514851677
0.11, 2.06,2.06,,,0.3008093,1.784315,1.52607,,,0.3036308,1.794073,1.524453,,36.5439904013078,36.0556865307535,18.3073977776842
0.122, 2.01,2.01,,,0.2993784,1.785305,1.526027,,,0.3021527,1.794819,1.52445,,36.3639705254578,35.944672054168,18.4188357259865
0.132, 2.36,2.36,,,0.2984841,1.784252,1.525461,,,0.3017747,1.795449,1.52362,,36.2107625564487,35.6853639295443,18.4911264461502
0.144, 2.92,2.92,,,0.2972993,1.782383,1.524758,,,0.3014025,1.796208,1.522532,,36.0252512086589,35.2697605904926,18.5411524577866
0.155, 3.35,3.35,,,0.2959793,1.781663,1.523167,,,0.3007164,1.797523,1.520655,,35.701483175537,34.7668332853323,18.5624711851402
0.166, 3.18,3.18,,,0.2957404,1.783135,1.522228,,,0.3002443,1.79818,1.519831,,35.5392115457514,34.6505971292716,18.6157466591838
0.177, 2.93,2.93,,,0.2952254,1.784765,1.521978,,,0.2993827,1.798654,1.519727,,35.4219713519107,34.7412405672244,18.6806607752492
0.188, 2.64,2.64,,,0.2935885,1.787523,1.521047,,,0.2973503,1.800024,1.518964,,35.081127846339,34.7427022276661,18.8621696322968
0.2, 2.35,2.35,,,0.2924056,1.790048,1.52009,,,0.2957561,1.801175,1.518186,,34.7924430789126,34.7766038706681,18.9796318072794
0.21, 2.18,2.18,,,0.2913015,1.792236,1.518503,,,0.294402,1.802548,1.516712,,34.444755723983,34.6321351284588,19.0264203093393
0.221, 2.12,2.12,,,0.2900698,1.794213,1.516349,,,0.2930707,1.804202,1.514603,,34.0211576487302,34.3041665291142,19.0411222911186
0.233, 2.17,2.17,,,0.2881162,1.796044,1.513782,,,0.291201,1.806315,1.511988,,33.4733184359323,33.8144112434018,19.0353012625604
