経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.69,-0.69,,,0.2936988,1.626365,1.074948,,,0.2929074,1.62319,1.075972,,44.8234874261913,23.1372002827698,21.9820394488948
0.011, 0.05,-0.05,,,0.2929184,1.623332,1.075765,,,0.292866,1.62312,1.075832,,44.8234874261913,23.2319418341106,21.8589099246061
0.022, 0.58,0.58,,,0.2924632,1.620186,1.076634,,,0.2931367,1.622891,1.075779,,44.8234874261913,23.3627519059073,21.70876188026
0.033, 1.27,1.27,,,0.2922373,1.617072,1.078317,,,0.2936992,1.62298,1.076466,,44.8234874261913,23.5008378365149,21.562051128518
0.044, 1.9,1.9,,,0.2919562,1.614101,1.079567,,,0.2941279,1.622926,1.07682,,44.8234874261913,23.6132729924082,21.4452224535633
0.056, 2.5,2.5,,,0.2917508,1.611034,1.080541,,,0.2945809,1.622683,1.076929,,44.8234874261913,23.771887055995,21.301757749134
0.066, 3.1,3.1,,,0.2923985,1.607773,1.081988,,,0.2958504,1.622214,1.077535,,44.8234874261913,23.9778855556302,21.1138455899177
0.078, 3.76,3.76,,,0.291989,1.604491,1.082893,,,0.2960956,1.622023,1.07751,,44.8234874261913,24.2050234901583,20.9166614491612
0.089, 4.04,4.04,,,0.2924096,1.602734,1.083383,,,0.2967673,1.621611,1.077598,,44.8234874261913,24.3563924307846,20.7900946322683
0.099, 4.41,4.41,,,0.2918714,1.601467,1.084392,,,0.2965835,1.622064,1.078056,,44.8234874261913,24.4022844705408,20.7736065560707
0.111, 4.74,4.74,,,0.2912573,1.600561,1.08549,,,0.2963145,1.622674,1.078649,,44.8234874261913,24.3515549494395,20.8409710024327
0.123, 4.3,4.3,,,0.2906343,1.602979,1.084332,,,0.2952985,1.62302,1.078123,,44.8234874261913,24.178723847491,20.9798116689225
0.133, 4.46,4.46,,,0.2892562,1.603121,1.084629,,,0.2941379,1.6239,1.078207,,44.8234874261913,24.1154609296115,21.0168364158356
0.144, 5.02,5.02,,,0.2863346,1.601971,1.085196,,,0.2918967,1.625347,1.078012,,44.8234874261913,24.0511273796094,21.041561699943
0.155, 5.25,5.25,,,0.2847962,1.602126,1.086003,,,0.2906778,1.626567,1.078517,,44.8234874261913,23.9788025085007,21.0841889093668
0.166, 5.23,5.23,,,0.2838602,1.602853,1.085954,,,0.2897446,1.62721,1.078495,,44.8234874261913,23.9434084692067,21.1122814766413
0.177, 5.21,5.21,,,0.2835717,1.603705,1.086736,,,0.2894541,1.627975,1.079285,,44.8234874261913,23.8890982215326,21.1660487242915
0.188, 5.27,5.27,,,0.282572,1.604588,1.087494,,,0.2885395,1.629094,1.079954,,44.8234874261913,23.8237845394119,21.2277355760638
0.2, 5.22,5.22,,,0.2816312,1.606124,1.088358,,,0.2875731,1.630418,1.08086,,44.8234874261913,23.7522075739966,21.2983170414353
0.211, 5.11,5.11,,,0.2814969,1.607493,1.089103,,,0.2873163,1.631238,1.081763,,44.8234874261913,23.7184391196797,21.3316790995079
0.222, 5.05,5.05,,,0.2808965,1.608868,1.089959,,,0.2866558,1.632355,1.082681,,44.8234874261913,23.6896327976568,21.3649916387103
0.233, 4.99,4.99,,,0.280438,1.610246,1.09092,,,0.2861231,1.633455,1.083704,,44.8234874261913,23.6669275419402,21.3974965080659
0.244, 4.91,4.91,,,0.2799926,1.612182,1.092421,,,0.2855707,1.634983,1.085313,,44.8234874261913,23.6538391923074,21.4189689146716
0.255, 4.75,4.75,,,0.2794367,1.614105,1.093211,,,0.2848396,1.636204,1.086309,,44.8234874261913,23.6410513709897,21.43764435889
0.266, 4.58,4.58,,,0.2787075,1.616758,1.094674,,,0.2839196,1.638053,1.088003,,44.8234874261913,23.6008471711065,21.4829080212601
0.278, 4.46,4.46,,,0.2772403,1.62025,1.097006,,,0.2823215,1.640939,1.090487,,44.8234874261913,23.5128162804385,21.5783274688572
0.288, 4.38,4.38,,,0.2764839,1.622272,1.098416,,,0.2814864,1.642598,1.091998,,44.8234874261913,23.4716592691925,21.6205004707139
0.3, 4.34,4.34,,,0.2751503,1.624824,1.100336,,,0.2801133,1.644963,1.09397,,44.8234874261913,23.4477689756879,21.6446981227226
0.311, 4.26,4.26,,,0.2745324,1.626762,1.101715,,,0.2794034,1.646518,1.095459,,44.8234874261913,23.4278504370752,21.667722689774
0.322, 4.16,4.16,,,0.2727619,1.630756,1.104705,,,0.2775168,1.650046,1.098561,,44.8234874261913,23.3736341044996,21.7371891267945
0.333, 3.93,3.93,,,0.27159,1.634805,1.107158,,,0.276077,1.653014,1.101319,,44.8234874261913,23.3111122621244,21.8180005077107
0.344, 3.82,3.82,,,0.2709018,1.637452,1.109245,,,0.2752701,1.655162,1.10355,,44.8234874261913,23.2731705623408,21.8616881039737
0.355, 3.72,3.72,,,0.2693417,1.64003,1.110433,,,0.2736125,1.657278,1.104885,,44.8234874261913,23.2340540700527,21.8931513695098
0.367, 3.52,3.52,,,0.2674133,1.643985,1.112208,,,0.2714727,1.660263,1.106967,,44.8234874261913,23.1554437175353,21.9592744290247
0.377, 3.26,3.26,,,0.2648355,1.649437,1.114978,,,0.2686225,1.664498,1.110105,,44.8234874261913,23.0263616835505,22.0840175854599
0.389, 3.12,3.12,,,0.2635422,1.653068,1.117629,,,0.2671808,1.667506,1.112918,,44.8234874261913,22.9208216034324,22.2071812606935
0.4, 2.91,2.91,,,0.2626997,1.656642,1.119897,,,0.2660781,1.670087,1.115465,,44.8234874261913,22.8488194587531,22.3143981522062
0.411, 2.67,2.67,,,0.2618523,1.660571,1.122387,,,0.2649356,1.672897,1.118296,,44.8234874261913,22.8270055426984,22.3665620129933
0.422, 2.53,2.53,,,0.2608758,1.663702,1.124505,,,0.263781,1.675359,1.120624,,44.8234874261913,22.832314307083,22.3799474758467
0.433, 2.39,2.39,,,0.2596484,1.66686,1.126489,,,0.2623934,1.677886,1.12281,,44.8234874261913,22.8212750141442,22.4006139201528
0.444, 2.27,2.27,,,0.2574208,1.670182,1.127833,,,0.2600323,1.680635,1.124336,,44.8234874261913,22.7625524643891,22.4586227151595
0.455, 2.09,2.09,,,0.2554461,1.673741,1.129274,,,0.2578708,1.683369,1.126041,,44.8234874261913,22.6450134497805,22.5687526822721
0.466, 1.81,1.81,,,0.2536706,1.677895,1.130829,,,0.2557856,1.686239,1.128015,,44.8234874261913,22.5368130110547,22.6750560360088
0.477, 1.62,1.62,,,0.2521549,1.681496,1.132648,,,0.254052,1.688951,1.130116,,44.8234874261913,22.4319935158739,22.7915227109475
0.489, 1.55,1.55,,,0.2503538,1.684929,1.135055,,,0.2521665,1.692055,1.13262,,44.8234874261913,22.3750860888403,22.8699435257208
0.5, 1.33,1.33,,,0.2495246,1.688004,1.136585,,,0.2510775,1.694141,1.134482,,44.8234874261913,22.3965892312964,22.8717193748556
0.511, 1.25,1.25,,,0.2482507,1.691009,1.138735,,,0.2496897,1.696737,1.136766,,44.8234874261913,22.4409957049495,22.8575501478167
0.522, 1.1,1.1,,,0.2467439,1.69419,1.140368,,,0.2480076,1.699241,1.138624,,44.8234874261913,22.4419348559342,22.8823488564556
0.533, 0.96,0.96,,,0.2449857,1.697554,1.14209,,,0.2460879,1.701966,1.140558,,44.8234874261913,22.4023078070198,22.9464040762568
0.544, 0.83,0.83,,,0.2428666,1.700745,1.143312,,,0.2438245,1.704573,1.141982,,44.8234874261913,22.3737576170837,22.9753896907404
0.555, 0.71,0.71,,,0.240721,1.703963,1.144556,,,0.2415361,1.707212,1.143425,,44.8234874261913,22.3353634172801,23.0108417866408
0.566, 0.49,0.49,,,0.2385162,1.708031,1.146103,,,0.2390833,1.710283,1.145316,,44.8234874261913,22.2564115553137,23.0966033470203
0.577, 0.5,0.5,,,0.2356851,1.711549,1.148333,,,0.2362644,1.71384,1.147528,,44.8234874261913,22.1682594287913,23.1946421720912
0.589, 0.43,0.43,,,0.2330878,1.714943,1.149937,,,0.2335923,1.716936,1.149233,,44.8234874261913,22.1105443319108,23.2662635337349
0.6, 0.37,0.37,,,0.2310875,1.718081,1.151775,,,0.2315168,1.719776,1.151175,,44.8234874261913,22.0954240010564,23.2839895816851
0.611, 0.37,0.37,,,0.2285632,1.721077,1.153469,,,0.2289899,1.722764,1.152873,,44.8234874261913,22.1096000582843,23.2714510622651
0.622, 0.42,0.42,,,0.2264092,1.723899,1.155779,,,0.2268931,1.725821,1.1551,,44.8234874261913,22.1713193534543,23.2211603808058
0.633, 0.42,0.42,,,0.2251974,1.726081,1.157668,,,0.2256792,1.728013,1.156985,,44.8234874261913,22.2572038572354,23.1639797462129
0.644, 0.46,0.46,,,0.2234018,1.728984,1.160339,,,0.2239239,1.731097,1.159592,,44.8234874261913,22.3275889546737,23.1300541975496
0.655, 0.43,0.43,,,0.2216682,1.73187,1.162417,,,0.2221529,1.73385,1.161715,,44.8234874261913,22.4045651844777,23.0929304128963
0.666, 0.42,0.42,,,0.220156,1.734827,1.164941,,,0.2206202,1.736736,1.164263,,44.8234874261913,22.4512819695533,23.0719361195192
0.678, 0.41,0.41,,,0.2176194,1.737914,1.166758,,,0.2180812,1.739817,1.166081,,44.8234874261913,22.4566112245049,23.0790907424757
0.689, 0.39,0.39,,,0.2149898,1.741769,1.169347,,,0.2154233,1.743555,1.16871,,44.8234874261913,22.4258804967369,23.1200189423908
0.7, 0.38,0.38,,,0.2132701,1.744954,1.172054,,,0.2136933,1.746701,1.171429,,44.8234874261913,22.4197213738242,23.148053453059
0.71, 0.43,0.43,,,0.2111166,1.747864,1.17449,,,0.2115947,1.749848,1.17378,,44.8234874261913,22.4657466022656,23.1179750083385
0.722, 0.41,0.41,,,0.2096977,1.750587,1.176741,,,0.2101512,1.752483,1.176063,,44.8234874261913,22.5546534646703,23.0480133826169
0.733, 0.52,0.52,,,0.2077718,1.753116,1.179393,,,0.20834,1.755514,1.178539,,44.8234874261913,22.6794495550701,22.9366693494131
0.744, 0.57,0.57,,,0.2063833,1.755825,1.18225,,,0.2069965,1.758433,1.181323,,44.8234874261913,22.769640493003,22.8636341386506
0.755, 0.62,0.62,,,0.2047425,1.75882,1.185349,,,0.2054122,1.76168,1.184331,,44.8234874261913,22.7992783905343,22.8520194022902
0.766, 0.76,0.76,,,0.2021018,1.762085,1.188574,,,0.2029176,1.765566,1.187332,,44.8234874261913,22.7626856530742,22.8983536967829
0.777, 0.67,0.67,,,0.200015,1.766113,1.191367,,,0.2007366,1.769183,1.190267,,44.8234874261913,22.6964037916656,22.9769298983554
0.789, 0.67,0.67,,,0.1979453,1.769265,1.193791,,,0.1986717,1.772352,1.192684,,44.8234874261913,22.6746308567448,22.9988787106425
0.8, 0.67,0.67,,,0.1960792,1.772171,1.196,,,0.1968009,1.775242,1.1949,,44.8234874261913,22.7023067824915,22.9680386998508
0.811, 0.57,0.57,,,0.194384,1.775859,1.19857,,,0.1949927,1.778457,1.197638,,44.8234874261913,22.7153729340101,22.9744351718305
0.822, 0.46,0.46,,,0.1928218,1.779691,1.201438,,,0.1933123,1.781796,1.200679,,44.8234874261913,22.71790181148,23.0127030131379
0.833, 0.42,0.42,,,0.1912027,1.78361,1.204998,,,0.1916495,1.785532,1.204301,,44.8234874261913,22.7003431031598,23.0690862231673
0.845, 0.32,0.32,,,0.1893278,1.78725,1.207379,,,0.189671,1.788729,1.206842,,44.8234874261913,22.7094118865779,23.0653740154567
0.855, 0.22,0.22,,,0.187588,1.790841,1.209779,,,0.1878225,1.791852,1.209412,,44.8234874261913,22.7312070196129,23.0507335053782
0.866, 0.19,0.19,,,0.185027,1.794509,1.212148,,,0.1852317,1.795393,1.211828,,44.8234874261913,22.7331075196966,23.0531326092574
0.877, 0.03,0.03,,,0.1830807,1.798302,1.214089,,,0.1831154,1.79845,1.214035,,44.8234874261913,22.7177259341137,23.0827226954658
0.889, 0.06,-0.06,,,0.1811066,1.802183,1.216747,,,0.1810425,1.801905,1.216848,,44.8234874261913,22.6806704513503,23.1303069145418
0.9, 0.22,-0.22,,,0.1791458,1.806009,1.218723,,,0.1789124,1.804998,1.219092,,44.8234874261913,22.6589453277523,23.1668364727538
0.911, 0.16,-0.16,,,0.176767,1.809109,1.221276,,,0.176597,1.80837,1.221546,,44.8234874261913,22.666470488461,23.1793937751934
0.922, 0.27,-0.27,,,0.1745938,1.81274,1.223243,,,0.1743111,1.811506,1.223695,,44.8234874261913,22.6997318012461,23.1755244731363
0.933, 0.13,-0.13,,,0.1726678,1.81491,1.225642,,,0.1725296,1.8143,1.225865,,44.8234874261913,22.7825990690452,23.1202460461744
0.945, 0.16,-0.16,,,0.1707982,1.817618,1.227366,,,0.1706346,1.81689,1.227632,,44.8234874261913,22.8834724225428,23.0505951940514
0.955, 0.12,-0.12,,,0.168977,1.820359,1.229777,,,0.1688544,1.819808,1.229978,,44.8234874261913,22.9824930872796,22.9885360969796
0.966, 0.02,0.02,,,0.1669262,1.822704,1.232339,,,0.1669479,1.8228,1.232303,,44.8234874261913,23.0355448726341,22.9722836623018
