経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.89,-0.89,,,-0.2853982,1.544838,1.306035,,,-0.2844447,1.540506,1.306304,,45.0005634905908,32.7497145550189,12.8180739322422
0.011, 0.07,0.07,,,-0.2832971,1.541227,1.307086,,,-0.2833767,1.541574,1.307064,,45.0005634905908,32.2915967046615,13.2826813159042
0.022, 1.09,1.09,,,-0.279867,1.538554,1.309356,,,-0.2811255,1.543826,1.309004,,45.0005634905908,31.7688072099475,13.8577021195215
0.033, 1.83,1.83,,,-0.277306,1.536559,1.31171,,,-0.279512,1.545439,1.31108,,45.0005634905908,31.2725461692316,14.4194032008542
0.044, 2.59,2.59,,,-0.2746351,1.534593,1.314037,,,-0.2778513,1.5471,1.313095,,45.0005634905908,30.83528088583,14.9318978932282
0.055, 3.23,3.23,,,-0.2727854,1.532462,1.315672,,,-0.2768982,1.548053,1.314454,,45.0005634905908,30.5004001352377,15.3136234949394
0.066, 3.64,3.64,,,-0.2713386,1.531402,1.316773,,,-0.2760296,1.548921,1.31538,,45.0005634905908,30.3003814660545,15.5367777217449
0.078, 4.07,4.07,,,-0.2704891,1.529616,1.31808,,,-0.2757705,1.54918,1.316521,,45.0005634905908,30.1860850836641,15.650430358824
0.088, 4.63,4.63,,,-0.2681647,1.528451,1.318789,,,-0.2742336,1.550717,1.317017,,45.0005634905908,30.0468721718749,15.7828711382396
0.099, 5.18,5.18,,,-0.2658389,1.52732,1.320755,,,-0.2727295,1.552221,1.318776,,45.0005634905908,29.8267966527521,15.9937054116726
0.11, 5.83,5.83,,,-0.2628584,1.526245,1.32229,,,-0.2707233,1.554228,1.320055,,45.0005634905908,29.6009906050751,16.2210721575315
0.122, 6.43,6.43,,,-0.2602299,1.525118,1.324268,,,-0.269002,1.555949,1.321803,,45.0005634905908,29.4191402385785,16.3986297502541
0.133, 6.95,6.95,,,-0.2577095,1.524422,1.325665,,,-0.2672347,1.557716,1.323049,,45.0005634905908,29.3267346118688,16.460403686936
0.144, 7.41,7.41,,,-0.2555328,1.523715,1.326464,,,-0.2657174,1.559234,1.323721,,45.0005634905908,29.282908704279,16.475834791389
0.155, 7.69,7.69,,,-0.2533097,1.524205,1.327871,,,-0.2638533,1.561098,1.325076,,45.0005634905908,29.3222505928035,16.4081715242591
0.166, 8.2,8.2,,,-0.2503184,1.524071,1.329198,,,-0.2615401,1.563411,1.326285,,45.0005634905908,29.3390221218437,16.3591000315327
0.177, 8.48,8.48,,,-0.2480749,1.524599,1.330747,,,-0.2596518,1.565299,1.327774,,45.0005634905908,29.3740780667833,16.3054591423787
0.188, 8.86,8.86,,,-0.2451482,1.525235,1.332086,,,-0.2572151,1.567736,1.328979,,45.0005634905908,29.401781313286,16.2796871318101
0.2, 9.33,9.33,,,-0.2410323,1.526441,1.334495,,,-0.2537155,1.571236,1.331243,,45.0005634905908,29.4395522583451,16.2329259505062
0.211, 9.56,9.56,,,-0.2379395,1.528192,1.335497,,,-0.2508488,1.574102,1.332214,,45.0005634905908,29.5353661493557,16.1193774738091
0.222, 9.92,9.92,,,-0.2341982,1.529791,1.335903,,,-0.2475051,1.577446,1.33262,,45.0005634905908,29.6208118134949,15.9874950623426
0.233, 10.27,10.27,,,-0.2299979,1.531907,1.335956,,,-0.2436604,1.581291,1.332739,,45.0005634905908,29.7333664976954,15.8109841960811
0.244, 10.64,10.64,,,-0.2250886,1.534596,1.335212,,,-0.2391382,1.585813,1.332094,,45.0005634905908,29.8329028417001,15.6424031792253
0.255, 10.78,10.78,,,-0.2208236,1.5381,1.334666,,,-0.2349436,1.590007,1.331615,,45.0005634905908,29.9428449786158,15.5007826258206
0.266, 10.74,10.74,,,-0.2166101,1.542616,1.336337,,,-0.23058,1.594371,1.333182,,45.0005634905908,30.0663655312236,15.4146778484449
0.277, 10.71,10.71,,,-0.2121082,1.547364,1.33825,,,-0.2259754,1.598976,1.334877,,45.0005634905908,30.1577773654367,15.3996497251418
0.288, 10.68,10.68,,,-0.2074448,1.552237,1.340584,,,-0.2212388,1.603712,1.336934,,45.0005634905908,30.2299519723878,15.4308961321778
0.3, 10.84,10.84,,,-0.2024367,1.55635,1.342337,,,-0.2163637,1.608587,1.338415,,45.0005634905908,30.3301064484953,15.4156665182998
0.311, 10.86,10.86,,,-0.1978498,1.56091,1.3435,,,-0.2116807,1.61327,1.339425,,45.0005634905908,30.4799061532034,15.3271831276118
0.322, 11,11,,,-0.1936129,1.564455,1.343191,,,-0.2074232,1.617528,1.33914,,45.0005634905908,30.6785075581733,15.1041006177906
0.333, 11.2,11.2,,,-0.1890981,1.567873,1.342369,,,-0.2029896,1.621961,1.3384,,45.0005634905908,30.8391706784541,14.8880702780911
0.344, 11.4,11.4,,,-0.1846313,1.571234,1.341318,,,-0.1986082,1.626343,1.337449,,45.0005634905908,30.9899914964147,14.678991363226
0.355, 11.61,11.61,,,-0.1798117,1.574871,1.341272,,,-0.193935,1.631016,1.337356,,45.0005634905908,31.0979494634317,14.5650962544382
0.366, 11.82,11.82,,,-0.1747185,1.578733,1.342048,,,-0.1890245,1.635926,1.337975,,45.0005634905908,31.1831389954841,14.5116039218945
0.377, 12.14,12.14,,,-0.1689041,1.582636,1.342964,,,-0.1835408,1.64141,1.338669,,45.0005634905908,31.2539817155841,14.4804428922208
0.389, 12.5,12.5,,,-0.162763,1.586646,1.344244,,,-0.1778085,1.647142,1.339663,,45.0005634905908,31.289082056752,14.5021014214762
0.399, 12.77,12.77,,,-0.1571149,1.590662,1.346133,,,-0.1724831,1.652468,1.341289,,45.0005634905908,31.3096955670935,14.539013470271
0.41, 13.39,13.39,,,-0.1498703,1.594167,1.347727,,,-0.166037,1.658914,1.342424,,45.0005634905908,31.2791646223532,14.6472719656032
0.421, 13.78,13.78,,,-0.1439991,1.597689,1.349972,,,-0.1606732,1.664278,1.34427,,45.0005634905908,31.2685266030169,14.7437825358898
0.433, 14.28,14.28,,,-0.1377304,1.600946,1.351287,,,-0.1550147,1.669936,1.345283,,45.0005634905908,31.2724061503575,14.7735826504093
0.444, 14.95,14.95,,,-0.1312935,1.603349,1.351785,,,-0.1493137,1.675637,1.345555,,45.0005634905908,31.3325664548929,14.6958807130262
0.455, 15.48,15.48,,,-0.1261044,1.605502,1.351443,,,-0.1445558,1.680395,1.345207,,45.0005634905908,31.4665132909786,14.4991815156872
