経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.96,-0.96,,,0.1772646,1.594811,0.9426609,,,0.1755616,1.5905,0.9439163,,45.7999961295596,35.780662141287,25.9973572860472
0.01, 1.66,1.66,,,0.1824706,1.582206,0.9452839,,,0.1852396,1.589717,0.9431608,,45.7999961295596,35.5129119030842,24.7659100714552
0.022, 4.45,4.45,,,0.1886445,1.568948,0.94838,,,0.1955818,1.589316,0.9427747,,45.7999961295596,35.1901649832148,23.4908503926789
0.033, 6.63,6.63,,,0.1916614,1.557912,0.9502759,,,0.2014501,1.588456,0.9419448,,45.7999961295596,34.8463093643029,22.6618788939192
0.044, 8.23,8.23,,,0.1914501,1.548509,0.95038,,,0.2032001,1.586609,0.9401645,,45.7999961295596,34.8004583056806,22.0644525091268
0.055, 9.53,9.53,,,0.1907247,1.541106,0.9506085,,,0.2040185,1.585331,0.9389329,,45.7999961295596,34.8305862692711,21.6403370470589
0.067, 9.35,9.35,,,0.1847056,1.54045,0.9488307,,,0.198151,1.583717,0.9373773,,45.7999961295596,35.0154521642023,22.0446432535378
0.078, 7.28,7.28,,,0.1724257,1.547389,0.9435152,,,0.1837675,1.580832,0.9345961,,45.7999961295596,35.5559762446027,23.1832716149868
0.089, 6.67,6.67,,,0.1682631,1.550514,0.9428518,,,0.1789993,1.581013,0.9347703,,45.7999961295596,35.934426770698,23.6282396440105
0.1, 5.54,5.54,,,0.1650832,1.552774,0.9385449,,,0.1741919,1.578057,0.9319203,,45.7999961295596,36.2654655399891,23.8658038620165
0.11, 5.2,5.2,,,0.1644792,1.555319,0.9392196,,,0.1730378,1.579063,0.9328901,,45.7999961295596,36.0578141346207,23.999407481106
0.121, 6.01,6.01,,,0.1699591,1.552608,0.9412637,,,0.1794849,1.580158,0.9339465,,45.7999961295596,35.7602501215204,23.4054218040123
0.133, 6.31,6.31,,,0.1728688,1.553554,0.9441268,,,0.1825903,1.582478,0.9361824,,45.7999961295596,35.1112148287956,23.3064762713543
0.143, 6.21,6.21,,,0.1744613,1.555134,0.9451658,,,0.183999,1.58359,0.9372544,,45.7999961295596,34.9325405001747,23.3729545006961
0.155, 6.17,6.17,,,0.1753351,1.556458,0.946244,,,0.1848201,1.584741,0.938364,,45.7999961295596,34.9090480651782,23.3975790395161
