経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.48,-0.48,,,0.3176286,1.78635,1.530095,,,0.3161556,1.784558,1.529583,,38.7800166884284,16.7658309550995,41.1086535079281
0.011, 0.09,0.09,,,0.3174741,1.782743,1.530501,,,0.3177484,1.783078,1.530597,,39.118189590109,16.5738582485346,41.0585643170437
0.022, 0.58,0.58,,,0.3162917,1.780216,1.530771,,,0.3180922,1.782415,1.53141,,39.2692802005343,16.510719981604,41.0699195062229
0.033, 1.1,1.1,,,0.3150616,1.777757,1.530706,,,0.3184601,1.781908,1.531922,,39.3843244886181,16.4513605167266,41.0929645638412
0.044, 1.39,1.39,,,0.314352,1.776014,1.531317,,,0.3186457,1.781254,1.532863,,39.5325942309947,16.473270055427,41.1383136035736
0.055, 1.75,1.75,,,0.3135909,1.773728,1.532128,,,0.3190075,1.780328,1.534087,,39.7417448628441,16.5397875583554,41.1961960400841
0.066, 1.96,1.96,,,0.3128988,1.772593,1.532546,,,0.3189588,1.77997,1.534742,,39.8225699041383,16.6010731365252,41.2309856076535
0.077, 2.02,2.02,,,0.3122525,1.772035,1.533466,,,0.3185084,1.779647,1.535725,,39.8956870771686,16.7927555600584,41.2313954189923
0.088, 2.11,2.11,,,0.3123972,1.771271,1.533724,,,0.3189131,1.779206,1.536072,,39.9945540626533,16.8119057024109,41.2007688516062
0.1, 2.53,2.53,,,0.3117383,1.768199,1.535058,,,0.3195505,1.777747,1.537878,,40.3203472468077,16.9195733863963,41.1056857908164
0.11, 2.83,2.83,,,0.3110146,1.766416,1.53557,,,0.3197399,1.777117,1.53873,,40.4602602529674,16.9428284723258,41.0165620699115
0.122, 3.14,3.14,,,0.3102351,1.765289,1.534971,,,0.3198883,1.777172,1.538498,,40.4480273845044,16.7880973711741,40.9428814062904
0.132, 3.38,3.38,,,0.3091184,1.765154,1.533823,,,0.3194861,1.777933,1.537634,,40.2789426412113,16.6457801384935,40.9282340660229
0.143, 3.4,3.4,,,0.3082493,1.766044,1.532913,,,0.3187047,1.778913,1.536763,,40.0603219523412,16.602089127136,40.9725722377862
0.155, 3.32,3.32,,,0.3079513,1.766995,1.532487,,,0.3181656,1.779542,1.536235,,39.9196917763386,16.6421908741845,41.0178119944949
0.166, 3.34,3.34,,,0.306359,1.768031,1.532106,,,0.3166457,1.780637,1.535863,,39.6742318598718,16.8041227020683,41.068184638222
0.177, 3.3,3.3,,,0.3048024,1.769645,1.531308,,,0.3149798,1.782093,1.535,,39.3457066001254,16.951263755716,41.1011983566565
0.188, 3.16,3.16,,,0.3034569,1.771021,1.531717,,,0.3132107,1.782944,1.535236,,39.1531943086312,17.2074402386923,41.0984184697417
0.199, 3.01,3.01,,,0.3029569,1.772125,1.531901,,,0.3122367,1.783479,1.535243,,39.0315862089378,17.3119643281997,41.0643665625822
