経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.44,-0.44,,,-0.151401,1.633863,1.143529,,,-0.1510867,1.631767,1.144156,,44.8234942563803,27.9181805970268,18.2943999280553
0.011, 0.22,0.22,,,-0.1492101,1.632593,1.14536,,,-0.1493651,1.633618,1.145053,,44.8234942563803,27.9075955116551,18.2813406067257
0.022, 0.66,0.66,,,-0.1472812,1.631855,1.146318,,,-0.1477543,1.634991,1.145384,,44.8234942563803,27.9431807962407,18.2250359438695
0.033, 1.08,1.08,,,-0.1456127,1.631198,1.14738,,,-0.1463795,1.636303,1.145865,,44.8234942563803,27.99134558138,18.1758005266076
0.044, 1.2,1.2,,,-0.1451714,1.6313,1.148172,,,-0.1460235,1.63699,1.14648,,44.8234942563803,27.9969480438908,18.1870310648378
0.056, 1.61,1.61,,,-0.1430036,1.631476,1.149903,,,-0.144154,1.639119,1.147622,,44.8234942563803,27.932582050491,18.2543545300659
0.066, 2.34,2.34,,,-0.1397099,1.631142,1.152633,,,-0.1414033,1.642251,1.1493,,44.8234942563803,27.7994070257601,18.3778477619178
0.077, 2.87,2.87,,,-0.1373041,1.630564,1.154106,,,-0.1393969,1.644178,1.150018,,44.8234942563803,27.7369022588573,18.418316631624
0.088, 2.96,2.96,,,-0.1361308,1.630993,1.154287,,,-0.1382835,1.645019,1.150095,,44.8234942563803,27.7890439215302,18.3478102983313
0.099, 2.78,2.78,,,-0.1368238,1.630872,1.153186,,,-0.1388226,1.64405,1.149263,,44.8234942563803,27.9014944453488,18.2502769072449
0.111, 2.74,2.74,,,-0.1365771,1.631385,1.153266,,,-0.1385136,1.644378,1.149418,,44.8234942563803,28.0595211126833,18.1188282127786
0.122, 2.65,2.65,,,-0.1362413,1.632015,1.153026,,,-0.1380872,1.644601,1.149307,,44.8234942563803,28.183354146437,18.0305719258742
0.133, 2.29,2.29,,,-0.1369628,1.63332,1.152374,,,-0.1385358,1.644183,1.149165,,44.8234942563803,28.2654513104287,17.9859212729651
0.144, 2.18,2.18,,,-0.1370904,1.634027,1.152553,,,-0.1385861,1.644377,1.149489,,44.8234942563803,28.2636191122348,18.0032323869348
0.155, 2.03,2.03,,,-0.1370264,1.634757,1.152239,,,-0.1384232,1.64441,1.149373,,44.8234942563803,28.230687356068,18.0466297001661
0.165, 2.04,2.04,,,-0.137021,1.634825,1.152397,,,-0.138423,1.644512,1.149518,,44.8234942563803,28.2170457611278,18.0673866444761
0.177, 1.94,1.94,,,-0.1364598,1.635527,1.15198,,,-0.1377944,1.644755,1.149232,,44.8234942563803,28.2052551474012,18.0911676549571
0.188, 1.86,1.86,,,-0.1364664,1.636273,1.152288,,,-0.1377418,1.645091,1.149654,,44.8234942563803,28.1804683915929,18.1308049491549
0.199, 1.81,1.81,,,-0.1362791,1.637071,1.152777,,,-0.1375222,1.645637,1.150207,,44.8234942563803,28.1220975965703,18.2014564239635
0.211, 1.91,1.91,,,-0.1357241,1.637305,1.153489,,,-0.1370509,1.646358,1.150756,,44.8234942563803,28.0075023934121,18.3178974856936
0.222, 2.15,2.15,,,-0.1345241,1.637455,1.154628,,,-0.1360316,1.647635,1.151542,,44.8234942563803,27.9003418509584,18.4169762070367
0.232, 2.34,2.34,,,-0.1335233,1.637465,1.155382,,,-0.1351791,1.64857,1.152012,,44.8234942563803,27.8465131316075,18.4557324068561
0.243, 2.54,2.54,,,-0.1332841,1.636804,1.155954,,,-0.135086,1.648842,1.152303,,44.8234942563803,27.8283687345823,18.4580956522432
0.255, 2.65,2.65,,,-0.1320383,1.637352,1.15643,,,-0.1339166,1.6499,1.152631,,44.8234942563803,27.84165857479,18.4363910192122
0.266, 2.89,2.89,,,-0.1311989,1.637327,1.157668,,,-0.1332529,1.651005,1.153529,,44.8234942563803,27.8251500080255,18.4396404816194
0.277, 3.52,3.52,,,-0.1282595,1.63741,1.16045,,,-0.1307804,1.654076,1.1554,,44.8234942563803,27.7656675997464,18.4844174930247
0.288, 4.14,4.14,,,-0.1252564,1.638194,1.164064,,,-0.1282427,1.657788,1.158111,,44.8234942563803,27.6925794550192,18.5480253354477
0.299, 4.57,4.57,,,-0.1226019,1.638949,1.166284,,,-0.1259042,1.660567,1.159703,,44.8234942563803,27.6605731894592,18.5831325068046
