経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.73,-0.73,,,-0.1771555,1.800908,1.349371,,,-0.1777889,1.797585,1.35069,,45.8734855478893,43.004874478202,23.5395189042555
0.011, 0.63,-0.63,,,-0.1778725,1.800608,1.350368,,,-0.1784225,1.797727,1.351517,,45.8734855478893,42.9854801565935,23.6171525397489
0.021, 0.94,-0.94,,,-0.17842,1.8016,1.350068,,,-0.1792538,1.797308,1.351777,,45.8734855478893,43.1611082209293,23.6695981458314
0.033, 1.26,-1.26,,,-0.1789215,1.802308,1.349223,,,-0.1800521,1.796533,1.351519,,45.8734855478893,43.2470729794309,23.6740309384794
0.043, 1.21,-1.21,,,-0.1797917,1.801636,1.349543,,,-0.1808813,1.79609,1.351743,,45.8734855478893,43.2946691513376,23.6524953526256
0.055, 1.03,-1.03,,,-0.1805796,1.800085,1.349519,,,-0.1815083,1.795364,1.351382,,45.8734855478893,43.3450588705372,23.5711717075359
0.066, 0.84,-0.84,,,-0.1821386,1.797927,1.349524,,,-0.1828877,1.79409,1.351023,,45.8734855478893,43.3456052856556,23.3678062457525
0.078, 0.21,-0.21,,,-0.1821329,1.795121,1.350193,,,-0.1823142,1.794172,1.350561,,45.8734855478893,43.1827360143343,23.1848510961884
0.088, 0.22,0.22,,,-0.1821727,1.793442,1.351,,,-0.1819842,1.794448,1.350609,,45.8734855478893,43.0049803461312,23.1164365082708
0.099, 0.48,0.48,,,-0.1817652,1.792299,1.35095,,,-0.1813544,1.794527,1.350086,,45.8734855478893,42.867628660839,23.0221611173278
0.11, 0.46,0.46,,,-0.182578,1.791326,1.350238,,,-0.1821896,1.79343,1.349426,,45.8734855478893,42.9180320404165,22.9347073776286
0.122, 0.2,-0.2,,,-0.1848246,1.791357,1.347815,,,-0.1849966,1.790446,1.348164,,45.8734855478893,43.1810796935067,22.8989325552989
0.133, 1.09,-1.09,,,-0.1876434,1.791331,1.344223,,,-0.1886234,1.786293,1.34613,,45.8734855478893,43.5493429927384,22.8325157976579
0.144, 1.58,-1.58,,,-0.1888474,1.791233,1.341893,,,-0.1902837,1.783968,1.344621,,45.8734855478893,43.765054021103,22.7732570780679
0.155, 1.86,-1.86,,,-0.1895518,1.791175,1.340507,,,-0.1912495,1.782601,1.343722,,45.8734855478893,43.7890450598951,22.7552441621806
0.166, 1.71,-1.71,,,-0.1886434,1.791197,1.340653,,,-0.1901847,1.783312,1.343627,,45.8734855478893,43.6227333733279,22.790773097707
0.177, 1.42,-1.42,,,-0.1879945,1.78973,1.340036,,,-0.1892494,1.783183,1.342516,,45.8734855478893,43.4047649675054,22.7787536726495
0.189, 0.85,-0.85,,,-0.1870166,1.786543,1.338742,,,-0.187743,1.782614,1.340234,,45.8734855478893,43.0511592538246,22.6831241967413
0.199, 0.31,-0.31,,,-0.1853226,1.784723,1.338489,,,-0.1855755,1.783316,1.339024,,45.8734855478893,42.7942246198715,22.5986501269846
0.211, 0.15,0.15,,,-0.1838748,1.782509,1.337302,,,-0.1837526,1.783199,1.33704,,45.8734855478893,42.6677431803409,22.5395843602333
0.222, 0.27,0.27,,,-0.1833593,1.781204,1.335877,,,-0.1831382,1.782449,1.335405,,45.8734855478893,42.6929431625824,22.5147771138581
0.233, 0.16,0.16,,,-0.1832267,1.781278,1.335021,,,-0.1830981,1.781997,1.334748,,45.8734855478893,42.774314618995,22.514483415732
0.244, 0.2,0.2,,,-0.183642,1.77988,1.333814,,,-0.1834796,1.780782,1.333473,,45.8734855478893,42.8623967360804,22.4565395075206
0.254, 0.35,0.35,,,-0.1828829,1.77677,1.329956,,,-0.1825866,1.778409,1.329345,,45.8734855478893,42.985985590578,22.2833464055561
0.266, 0.48,0.48,,,-0.1824075,1.774426,1.327201,,,-0.1820039,1.776658,1.326375,,45.8734855478893,43.0456472913178,22.1561734093913
0.277, 0.9,0.9,,,-0.1808423,1.772162,1.325552,,,-0.1800927,1.776331,1.324018,,45.8734855478893,43.0366451022422,22.0536761784637
0.288, 1.33,1.33,,,-0.1798449,1.770062,1.324808,,,-0.1787402,1.776239,1.32254,,45.8734855478893,43.0065786103525,21.9927662606878
0.3, 1.73,1.73,,,-0.178903,1.768793,1.324987,,,-0.1774781,1.776801,1.322043,,45.8734855478893,42.9543310797504,21.9911065247657
0.311, 2.17,2.17,,,-0.1778828,1.76686,1.32453,,,-0.1761045,1.776918,1.32083,,45.8734855478893,42.8928866996868,21.9791212506531
0.322, 2.52,2.52,,,-0.1774936,1.76483,1.3239,,,-0.1754423,1.776507,1.319607,,45.8734855478893,42.8429853389994,21.9425387584765
0.333, 3.2,3.2,,,-0.1764092,1.761299,1.322879,,,-0.1738277,1.776115,1.317458,,45.8734855478893,42.8067067902324,21.8370311217561
0.344, 3.74,3.74,,,-0.1752842,1.757705,1.320706,,,-0.1722639,1.775034,1.31442,,45.8734855478893,42.8748891517247,21.6968671061514
0.355, 3.93,3.93,,,-0.1757084,1.754617,1.318233,,,-0.1724773,1.772889,1.31171,,45.8734855478893,43.117272068056,21.4989692106464
0.366, 4.18,4.18,,,-0.1756965,1.751802,1.316048,,,-0.1721938,1.771254,1.309197,,45.8734855478893,43.3762660039866,21.3596009120579
0.377, 4.42,4.42,,,-0.1753028,1.749939,1.314723,,,-0.1715461,1.770506,1.30753,,45.8734855478893,43.5546158986309,21.3112961080445
0.389, 5.02,5.02,,,-0.1739261,1.747663,1.314513,,,-0.1696615,1.771009,1.306331,,45.8734855478893,43.5393743319221,21.3451174963259
0.399, 5.51,5.51,,,-0.1726097,1.746499,1.315169,,,-0.1679812,1.772106,1.306146,,45.8734855478893,43.4057894958524,21.3833938753695
0.411, 6.05,6.05,,,-0.1713873,1.744493,1.315236,,,-0.1664004,1.772624,1.305272,,45.8734855478893,43.1973935998853,21.3835817055665
0.421, 6.79,6.79,,,-0.1690473,1.741021,1.313589,,,-0.1635564,1.7726,1.302394,,45.8734855478893,43.0253616300474,21.3219409575697
0.433, 6.82,6.82,,,-0.1684139,1.74034,1.312268,,,-0.1629074,1.772069,1.301022,,45.8734855478893,43.0096658557715,21.3136644760733
0.444, 6.34,6.34,,,-0.1691573,1.741839,1.311537,,,-0.1639757,1.771331,1.301085,,45.8734855478893,43.116066539701,21.3580999780296
0.455, 6.27,6.27,,,-0.1685455,1.740768,1.308863,,,-0.163378,1.769908,1.298547,,45.8734855478893,43.2039608265895,21.3780834034376
0.467, 6.03,6.03,,,-0.1682447,1.739593,1.305159,,,-0.1632003,1.767641,1.295278,,45.8734855478893,43.3634150034208,21.3585780912582
0.477, 5.9,5.9,,,-0.1670806,1.738729,1.301762,,,-0.1620992,1.76617,1.292172,,45.8734855478893,43.5053975568414,21.2730197290009
0.488, 5.72,5.72,,,-0.1664323,1.73833,1.299294,,,-0.161606,1.764968,1.290039,,45.8734855478893,43.531420576855,21.1760447058636
0.5, 5.58,5.58,,,-0.1662017,1.738984,1.298943,,,-0.1615135,1.764939,1.289908,,45.8734855478893,43.4898452165341,21.1929613764197
0.51, 5.49,5.49,,,-0.1662595,1.739223,1.298687,,,-0.1616417,1.764746,1.289773,,45.8734855478893,43.4802624613952,21.2501351808236
0.522, 5.15,5.15,,,-0.16588,1.740023,1.296987,,,-0.1615292,1.763975,1.288609,,45.8734855478893,43.5043764435889,21.2898612674782
0.533, 4.81,4.81,,,-0.1650599,1.740364,1.294181,,,-0.1609752,1.762715,1.286337,,45.8734855478893,43.5339170109272,21.3669501954003
0.544, 4.61,4.61,,,-0.1651813,1.740491,1.293074,,,-0.1612589,1.761922,1.28554,,45.8734855478893,43.5345112373684,21.3991152628541
0.555, 4.29,4.29,,,-0.1650782,1.740396,1.290557,,,-0.1614419,1.760328,1.283549,,45.8734855478893,43.5052541228728,21.3877771491474
0.566, 4.19,4.19,,,-0.1647435,1.740192,1.289265,,,-0.1612138,1.759667,1.28242,,45.8734855478893,43.4490689883238,21.3548556382641
0.577, 4.04,4.04,,,-0.1639976,1.739029,1.28589,,,-0.1606423,1.757805,1.27931,,45.8734855478893,43.3466707951364,21.2507464827373
0.589, 3.83,3.83,,,-0.1640201,1.737557,1.282475,,,-0.1608762,1.755403,1.27627,,45.8734855478893,43.2800320563536,21.0735355221053
0.6, 3.38,3.38,,,-0.1654023,1.736636,1.279381,,,-0.1626298,1.752395,1.273922,,45.8734855478893,43.297452453347,21.0087972834062
0.611, 2.78,2.78,,,-0.1666408,1.737515,1.277496,,,-0.164344,1.750463,1.273003,,45.8734855478893,43.3548397011565,21.0693076351268
0.622, 2.48,2.48,,,-0.1674933,1.737886,1.276706,,,-0.1654366,1.749427,1.272684,,45.8734855478893,43.3624041354518,21.1553782615575
0.633, 2.39,2.39,,,-0.1679183,1.737357,1.275772,,,-0.1659451,1.74847,1.271886,,45.8734855478893,43.3083670953369,21.188851310201
0.644, 2.13,2.13,,,-0.1688893,1.736475,1.273685,,,-0.1671429,1.746375,1.270228,,45.8734855478893,43.2619218102733,21.1421072043695
0.655, 2.03,2.03,,,-0.1696054,1.734637,1.271218,,,-0.1679572,1.744093,1.267932,,45.8734855478893,43.1929642223318,21.0214348405663
0.666, 2.09,2.09,,,-0.1694225,1.732859,1.269079,,,-0.1677496,1.742608,1.2657,,45.8734855478893,43.0802797645406,20.9196752700486
0.677, 2.35,2.35,,,-0.1691253,1.731169,1.268397,,,-0.1672718,1.742149,1.264596,,45.8734855478893,42.953624155191,20.8373800305765
0.688, 2.54,2.54,,,-0.1687753,1.729487,1.267155,,,-0.1668061,1.741357,1.263051,,45.8734855478893,42.8188303756718,20.7586194139015
0.7, 2.71,2.71,,,-0.1685439,1.727924,1.266014,,,-0.1664781,1.740565,1.261643,,45.8734855478893,42.6965119363244,20.7045943266174
0.711, 2.86,2.86,,,-0.1687404,1.726486,1.265359,,,-0.1665788,1.739831,1.260744,,45.8734855478893,42.6254404048936,20.6738738441328
0.721, 2.76,2.76,,,-0.1691501,1.725782,1.264135,,,-0.1670699,1.738685,1.259671,,45.8734855478893,42.5853745163372,20.6643832965452
0.733, 2.7,2.7,,,-0.169589,1.725363,1.263508,,,-0.1675443,1.737954,1.259149,,45.8734855478893,42.6389539337904,20.7003527792608
0.744, 2.37,2.37,,,-0.1708497,1.725402,1.262449,,,-0.1690318,1.736479,1.258626,,45.8734855478893,42.7447945422237,20.688804637243
0.755, 2.31,2.31,,,-0.1713235,1.723936,1.260431,,,-0.1695433,1.734716,1.256734,,45.8734855478893,42.8422545087785,20.6131483414594
0.766, 2.18,2.18,,,-0.1723181,1.722482,1.258502,,,-0.1706272,1.732669,1.255028,,45.8734855478893,42.9267507766494,20.5420136307805
0.777, 2.38,2.38,,,-0.1719306,1.72166,1.258446,,,-0.1700959,1.732787,1.254657,,45.8734855478893,42.8813812463501,20.500043827046
0.789, 2.66,2.66,,,-0.1709464,1.720036,1.257316,,,-0.1689292,1.732484,1.253078,,45.8734855478893,42.745709787547,20.4326042486052
0.8, 3.53,3.53,,,-0.1690801,1.716087,1.256497,,,-0.1665188,1.732625,1.250859,,45.8734855478893,42.3832145829088,20.3004059408984
0.811, 3.9,3.9,,,-0.1679244,1.714356,1.255764,,,-0.1651921,1.732614,1.249517,,45.8734855478893,42.100116910068,20.2487031178674
0.822, 4,4,,,-0.1672297,1.713598,1.254824,,,-0.164466,1.732327,1.2484,,45.8734855478893,41.9793455085246,20.2454775611217
0.833, 3.48,3.48,,,-0.1686798,1.713889,1.252849,,,-0.1662393,1.730187,1.247256,,45.8734855478893,42.0825633243896,20.2965964029948
0.844, 3,3,,,-0.1703254,1.714979,1.2524,,,-0.168156,1.729027,1.247591,,45.8734855478893,42.3313973542125,20.3533074620953
0.855, 2.66,2.66,,,-0.1713601,1.713931,1.249446,,,-0.1694061,1.72636,1.245206,,45.8734855478893,42.4926786065959,20.360561122792
0.866, 2.54,2.54,,,-0.1723269,1.712517,1.247608,,,-0.1704484,1.724401,1.243576,,45.8734855478893,42.574897006442,20.296290752038
0.877, 2.76,2.76,,,-0.1722673,1.710066,1.245839,,,-0.1702511,1.723002,1.241472,,45.8734855478893,42.5046758335392,20.1671694444666
0.888, 3.3,3.3,,,-0.1717711,1.705307,1.24283,,,-0.1694427,1.720782,1.237638,,45.8734855478893,42.2849793899048,19.9606620957524
0.9, 3.98,3.98,,,-0.1705063,1.702002,1.242163,,,-0.1677959,1.720713,1.235896,,45.8734855478893,42.0230757934687,19.8186317310089
0.911, 4.16,4.16,,,-0.1708996,1.699701,1.240752,,,-0.1681168,1.719248,1.23422,,45.8734855478893,41.9179728454453,19.7319446800227
0.922, 4.28,4.28,,,-0.1711208,1.697829,1.239287,,,-0.1682476,1.717946,1.232576,,45.8734855478893,41.9518744884473,19.7169780284204
0.933, 4.05,4.05,,,-0.171833,1.698249,1.238866,,,-0.1690741,1.717284,1.2325,,45.8734855478893,42.0376275110905,19.7973676451671
0.944, 4.09,4.09,,,-0.1721939,1.697804,1.238878,,,-0.1693917,1.717013,1.232448,,45.8734855478893,42.077324569442,19.8304633258695
0.955, 4.39,4.39,,,-0.1723687,1.695161,1.237641,,,-0.1693935,1.715762,1.230744,,45.8734855478893,42.0044601134039,19.8044334756669
0.967, 5.43,5.43,,,-0.1706924,1.689224,1.235709,,,-0.1671751,1.714772,1.227177,,45.8734855478893,41.6921633826739,19.6298811660954
0.977, 5.95,5.95,,,-0.1696039,1.686641,1.235058,,,-0.1658852,1.714651,1.225722,,45.8734855478893,41.4652337689097,19.5056963776093
0.988, 6.31,6.31,,,-0.1686976,1.684427,1.233841,,,-0.164834,1.714121,1.223948,,45.8734855478893,41.3393328954423,19.446707450484
1, 6.49,6.49,,,-0.1684983,1.683082,1.233158,,,-0.1645435,1.71363,1.222988,,45.8734855478893,41.3116603847901,19.4254638552091
1.01, 6.31,6.31,,,-0.1689312,1.683175,1.232387,,,-0.1650449,1.712906,1.222502,,45.8734855478893,41.382858274717,19.4281634874034
