経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.73,-0.73,,,-0.2081694,1.624655,1.341789,,,-0.2063266,1.621651,1.340794,,45.0005395849294,20.6257158891825,35.0030178051643
0.01, 0.27,-0.27,,,-0.2057032,1.624037,1.339851,,,-0.205031,1.622947,1.339485,,45.0005395849294,20.6772308820165,35.1840861150227
0.021, 0.03,-0.03,,,-0.203901,1.624244,1.33845,,,-0.2038372,1.624141,1.338415,,45.0005395849294,20.6307565686497,35.2671173073574
0.032, 0.27,0.27,,,-0.2020007,1.624218,1.338429,,,-0.2026745,1.625303,1.338792,,45.0005395849294,20.5035255158785,35.3005476673197
0.044, 0.66,0.66,,,-0.200131,1.623463,1.338745,,,-0.2018129,1.626165,1.33964,,45.0005395849294,20.3502424147905,35.3054995543302
0.054, 0.91,0.91,,,-0.19818,1.623732,1.339257,,,-0.2005063,1.627472,1.340482,,45.0005395849294,20.2254138809931,35.223294814862
0.065, 0.76,0.76,,,-0.1982807,1.62463,1.339078,,,-0.2002186,1.627759,1.340097,,45.0005395849294,20.2568037219976,35.0987736395686
0.077, 0.4,0.4,,,-0.1989195,1.626405,1.3403,,,-0.1999272,1.628051,1.340832,,45.0005395849294,20.4041479737675,34.8284757408763
0.088, 0.21,-0.21,,,-0.2002513,1.629093,1.340111,,,-0.1997364,1.628241,1.339833,,45.0005395849294,20.7616537253558,34.5937904475254
0.099, 0.74,-0.74,,,-0.2014117,1.631441,1.339897,,,-0.19959,1.628388,1.338887,,45.0005395849294,21.1491610820385,34.4264030061938
0.11, 1.24,-1.24,,,-0.2015143,1.634618,1.338172,,,-0.1984849,1.629493,1.336449,,45.0005395849294,21.5130274471144,34.3393317570775
0.121, 1.33,-1.33,,,-0.1998474,1.636849,1.336467,,,-0.1966142,1.631364,1.334593,,45.0005395849294,21.749201721663,34.3905650046161
0.133, 1.14,-1.14,,,-0.1970683,1.638379,1.335178,,,-0.1942936,1.633684,1.333562,,45.0005395849294,21.7820532231093,34.4951317828045
0.144, 0.45,-0.45,,,-0.1917366,1.639204,1.335072,,,-0.1906298,1.637348,1.334435,,45.0005395849294,21.5664275721069,34.6576424692044
0.155, 0.11,-0.11,,,-0.1896433,1.639048,1.33595,,,-0.1893756,1.638602,1.335799,,45.0005395849294,21.2800497010085,34.7159586227152
0.166, 0.79,0.79,,,-0.1826933,1.640095,1.336285,,,-0.1846495,1.643328,1.337366,,45.0005395849294,20.9984410093653,34.7757057008172
0.177, 1.19,1.19,,,-0.179186,1.640901,1.337872,,,-0.1821629,1.645815,1.339492,,45.0005395849294,20.8198913316933,34.7139676226275
0.188, 1.46,1.46,,,-0.1764926,1.641866,1.338384,,,-0.1801157,1.647862,1.340352,,45.0005395849294,20.8173163504479,34.6341261285464
0.199, 1.23,1.23,,,-0.1772709,1.642576,1.338124,,,-0.1803265,1.647651,1.339803,,45.0005395849294,20.9748597819121,34.6070615047134
0.21, 1.23,1.23,,,-0.1758403,1.644017,1.337173,,,-0.1788895,1.649089,1.338866,,45.0005395849294,21.1055571555906,34.6384393928873
0.221, 1.65,1.65,,,-0.1701672,1.646929,1.334851,,,-0.174251,1.653727,1.337159,,45.0005395849294,21.3103193910204,34.7313846045264
0.233, 1.88,1.88,,,-0.1672665,1.648345,1.334166,,,-0.1719071,1.656071,1.336809,,45.0005395849294,21.3975238288218,34.7782021348894
0.244, 2.08,2.08,,,-0.1655238,1.648769,1.334655,,,-0.1706562,1.657322,1.337568,,45.0005395849294,21.3673719595698,34.7315109630225
0.255, 2.29,2.29,,,-0.1631914,1.649681,1.336106,,,-0.1688519,1.659126,1.339301,,45.0005395849294,21.315628155405,34.6603916202688
0.265, 2.76,2.76,,,-0.1591385,1.65063,1.336763,,,-0.1659547,1.662023,1.3406,,45.0005395849294,21.2978372206595,34.5961844287628
0.277, 3.36,3.36,,,-0.1547314,1.651137,1.337776,,,-0.1630109,1.664967,1.34243,,45.0005395849294,21.2753727291045,34.6042064857198
0.288, 3.76,3.76,,,-0.1514601,1.651771,1.338474,,,-0.1607357,1.667242,1.343687,,45.0005395849294,21.2636709078346,34.6406011476994
0.299, 4.13,4.13,,,-0.1483833,1.652355,1.338571,,,-0.1585943,1.669384,1.344312,,45.0005395849294,21.2663637098399,34.6480255631206
0.31, 4.32,4.32,,,-0.1460077,1.653486,1.338794,,,-0.1566818,1.671296,1.344791,,45.0005395849294,21.2607988133685,34.6284331660316
