経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.76,-0.76,,,0.1857391,1.549237,0.8997188,,,0.184938,1.545674,0.9007031,,45.7999961295596,32.737573894107,19.41399084527
0.011, 0.07,-0.07,,,0.1841708,1.54498,0.8996029,,,0.1840927,1.544631,0.8996973,,45.7999961295596,33.0306743787089,19.1298259554011
0.022, 0.45,0.45,,,0.1825633,1.541669,0.8994297,,,0.1830319,1.543773,0.8988709,,45.7999961295596,33.2376222746123,18.9241006633252
0.033, 0.71,0.71,,,0.1807315,1.540171,0.8995286,,,0.1814799,1.543534,0.8986406,,45.7999961295596,33.31162737221,18.8583669245822
0.044, 0.84,0.84,,,0.178587,1.540096,0.9002346,,,0.1794785,1.544085,0.8991716,,45.7999961295596,33.2047417448628,18.9849337414751
0.055, 0.42,0.42,,,0.1790247,1.542717,0.9003041,,,0.1794699,1.544703,0.8997669,,45.7999961295596,33.0097193589185,19.1718213723443
0.066, 1.1,1.1,,,0.1763023,1.541081,0.9027039,,,0.1774525,1.546273,0.9012805,,45.7999961295596,32.7844665565488,19.223780327462
0.077, 1.46,1.46,,,0.175192,1.540275,0.9040289,,,0.176677,1.547145,0.9021211,,45.7999961295596,32.5135061295254,19.1895952316174
0.089, 1.81,1.81,,,0.17432,1.539132,0.9050207,,,0.1761291,1.547683,0.9026401,,45.7999961295596,32.3998449547102,19.074287981258
0.1, 2.11,2.11,,,0.1733654,1.537673,0.9053597,,,0.1754287,1.547639,0.9025977,,45.7999961295596,32.385764520128,18.8828736426422
0.111, 2.1,2.1,,,0.1711843,1.537334,0.9049845,,,0.1732125,1.547285,0.9022559,,45.7999961295596,32.4810251658313,18.6632318405196
0.122, 2.1,2.1,,,0.1693631,1.537288,0.9049208,,,0.1713684,1.547239,0.9022119,,45.7999961295596,32.5436750742498,18.5111440225032
0.133, 2.39,2.39,,,0.1678344,1.536957,0.9063008,,,0.170085,1.548279,0.9032147,,45.7999961295596,32.4821692224854,18.4401595759819
0.145, 2.76,2.76,,,0.1669979,1.536543,0.9080949,,,0.1695379,1.549624,0.9045115,,45.7999961295596,32.3403642539783,18.3562694873829
0.155, 3.26,3.26,,,0.166205,1.536287,0.910805,,,0.1691318,1.551729,0.90654,,45.7999961295596,32.1520832645571,18.3136149572032
0.166, 3.72,3.72,,,0.1658517,1.536005,0.9133142,,,0.1691256,1.553665,0.908407,,45.7999961295596,32.0028607108178,18.263694813496
0.177, 4.22,4.22,,,0.1647763,1.535317,0.915606,,,0.1684433,1.555336,0.910017,,45.7999961295596,31.9019344233556,18.2568065679097
0.188, 4.32,4.32,,,0.1629125,1.53594,0.9168231,,,0.1666628,1.556448,0.9110894,,45.7999961295596,31.877291101516,18.2646647003311
0.199, 4.46,4.46,,,0.1610554,1.536023,0.9176873,,,0.164947,1.557168,0.911783,,45.7999961295596,31.9129378578023,18.2834306445536
0.21, 4.8,4.8,,,0.1601803,1.535882,0.9195378,,,0.1643403,1.558623,0.913186,,45.7999961295596,31.8922901965159,18.2546704263062
0.222, 5.34,5.34,,,0.1603615,1.535537,0.9224645,,,0.1649022,1.560881,0.9153624,,45.7999961295596,31.7886045127059,18.1875877252397
0.233, 5.82,5.82,,,0.1606015,1.534844,0.9246595,,,0.1654012,1.562485,0.9169086,,45.7999961295596,31.6981454898555,18.0415463320178
0.244, 6.08,6.08,,,0.159925,1.53416,0.9255329,,,0.1648502,1.563068,0.9174708,,45.7999961295596,31.7286935100683,17.8854252874087
