経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.56,-0.56,,,0.01301919,1.836257,1.26911,,,0.01296588,1.833505,1.269685,,44.8235181620417,38.2997109691697,11.5978009068214
0.01, 0.83,0.83,,,0.01185958,1.82809,1.269613,,,0.01193832,1.832145,1.268789,,44.8235181620417,38.4774290713334,11.2866576242554
0.023, 2.02,2.02,,,0.01063166,1.821226,1.270475,,,0.01082463,1.831134,1.268473,,44.8235181620417,38.5134992993364,11.2289305745441
0.033, 2.99,2.99,,,0.009622006,1.815359,1.270787,,,0.009919494,1.830023,1.267806,,44.8235181620417,38.5149507144947,11.2977677804049
0.044, 3.94,3.94,,,0.008721296,1.809957,1.27143,,,0.009126283,1.829249,1.267505,,44.8235181620417,38.5423363572098,11.3115306111995
0.055, 4.98,4.98,,,0.008333232,1.803569,1.270896,,,0.008835889,1.827962,1.265975,,44.8235181620417,38.5787207739059,11.2136625408531
0.066, 6.22,6.22,,,0.009368751,1.796828,1.270027,,,0.009922206,1.827308,1.263965,,44.8235181620417,38.5529129048452,11.045943835356
0.077, 7.49,7.49,,,0.01062991,1.790583,1.27,,,0.01112707,1.827319,1.262776,,44.8235181620417,38.4095779740066,10.9019754044895
0.088, 8.77,8.77,,,0.01270544,1.784519,1.269648,,,0.01300496,1.827526,1.26119,,44.8235181620417,38.1063995455648,10.883107861206
0.099, 9.76,9.76,,,0.01438146,1.779895,1.269541,,,0.0144332,1.827747,1.260075,,44.8235181620417,37.7995396452628,10.9393621514185
0.111, 10.45,10.45,,,0.0145828,1.775469,1.268772,,,0.01444205,1.826692,1.258573,,44.8235181620417,37.582670899866,11.0116144517692
0.121, 10.84,10.84,,,0.01433142,1.771743,1.266993,,,0.01411995,1.824914,1.256382,,44.8235181620417,37.5116574250415,11.0380088633086
0.133, 10.81,10.81,,,0.01256097,1.768535,1.263863,,,0.01240873,1.821567,1.253359,,44.8235181620417,37.6100155614472,10.9545943266174
0.144, 10.43,10.43,,,0.009203013,1.766,1.260309,,,0.009232342,1.817156,1.250297,,44.8235181620417,37.8433450622856,10.8231831981905
0.155, 10.19,10.19,,,0.006922148,1.763403,1.25686,,,0.007069483,1.813424,1.247183,,44.8235181620417,38.0243962966715,10.6995234804822
0.166, 10.16,10.16,,,0.005307943,1.76088,1.254591,,,0.005499259,1.810765,1.244992,,44.8235181620417,38.0980428093478,10.6437549874609
0.177, 10.13,10.13,,,0.004280107,1.758964,1.252671,,,0.004442915,1.808689,1.243112,,44.8235181620417,38.0783786952745,10.6326183643291
0.188, 10.22,10.22,,,0.004392676,1.758403,1.252613,,,0.004467227,1.808558,1.242903,,44.8235181620417,37.9526349161537,10.7069342355254
0.199, 10.54,10.54,,,0.003984179,1.754612,1.250339,,,0.003939927,1.806337,1.24029,,44.8235181620417,37.8238653633148,10.7437276097868
0.21, 10.64,10.64,,,0.003875447,1.752673,1.24854,,,0.003763489,1.804874,1.238397,,44.8235181620417,37.763534304055,10.7464383410382
0.222, 10.7,10.7,,,0.003746413,1.751396,1.247463,,,0.003573641,1.803925,1.237244,,44.8235181620417,37.7036676976457,10.7604402284471
0.233, 10.83,10.83,,,0.003054626,1.748845,1.245673,,,0.002804339,1.802021,1.235321,,44.8235181620417,37.6347681663106,10.7690343137311
0.244, 10.9,10.9,,,0.002267733,1.746256,1.243473,,,0.001858175,1.799723,1.233018,,44.8235181620417,37.4716666685639,10.8226922783575
0.255, 10.97,10.97,,,0.002380349,1.744204,1.241249,,,0.00177335,1.798016,1.230689,,44.8235181620417,37.2841916414424,10.8707836389653
0.266, 11.22,11.22,,,0.002335589,1.74143,1.239601,,,0.001457378,1.796444,1.228781,,44.8235181620417,37.0565346125518,10.9136703955704
0.277, 11.2,11.2,,,0.002630306,1.739925,1.237295,,,0.001534678,1.794865,1.226471,,44.8235181620417,36.8650400192156,10.9524376944469
0.289, 10.97,10.97,,,0.001125764,1.737884,1.234236,,,-8.577853E-05,1.791708,1.223627,,44.8235181620417,36.7457712592478,10.9726951811878
0.3, 10.47,10.47,,,-0.001402721,1.736458,1.230638,,,-0.00256376,1.787798,1.220575,,44.8235181620417,36.7768076379727,10.9129489568594
0.311, 10.02,10.02,,,-0.004210696,1.734469,1.227004,,,-0.005298942,1.783632,1.217418,,44.8235181620417,36.8316301498202,10.8540752891731
0.322, 8.97,8.97,,,-0.009340607,1.733176,1.221752,,,-0.01018297,1.777221,1.213237,,44.8235181620417,37.0218987242345,10.7451926853229
