1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointBall3, 4.99,4.99,,,0.0602635,1.847019,1.267745,,,0.06552294,1.871323,1.270063,,2.24262659755274,12.4268133867151,13.4086470761669, 3.53
PointPlane1, 7.51,7.51,,,0.06988724,1.62911,1.044185,,,0.07238492,1.666543,1.046237,,44.750001422956,48.2505176714064,5.09742894611322, 2.845
PointPlane3, 9.78,9.78,,,0.1558917,1.620633,0.9837359,,,0.1623157,1.668886,0.9789189,,59.7499809323891,54.6548819344917,9.29975735753649, 3.588
PointPyramid, 6.27,6.27,,,0.07257987,1.818198,1.281956,,,0.07438681,1.849437,1.283626,,48.7770808455319,45.5604614020329,4.67629656908224, 2.29
PointPlane2, 4.02,4.02,,,-0.1068519,1.790641,1.276067,,,-0.1051648,1.810629,1.277431,,29.7499911776726,34.2023215812343,6.35412651559048, 2.1
PointBall2, 7.94,7.94,,,-0.1424663,1.66389,0.9900206,,,-0.1419528,1.703574,0.9900048,,52.9332337643562,53.5691448489561,0.775059749924014, 2.266
PointBall1, 6.7,6.7,,,0.2448504,1.748877,1.074109,,,0.2505192,1.781872,1.075277,,37.974856936,33.4051429046289,10.0027998082994, 2.121
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall1, 6.56,6.56,,,0.2358467,1.754039,1.075467,,,0.2442426,1.785756,1.076051,,37.1059100486879,29.3926186147694,14.8801609192524, 2.267
PointBall2, 9.03,9.03,,,-0.1421719,1.663348,0.9909068,,,-0.1405114,1.708406,0.993544,,52.1052543505458,56.2396633627525,4.17020987463188, 3
PointPlane1, 2.87,2.87,,,0.06614335,1.645647,1.039239,,,0.06856036,1.659785,1.039479,,44.750001422956,46.7619633605896,9.77637904361417, 2.589
PointPyramid, 4.29,4.29,,,0.06231516,1.832293,1.278054,,,0.06385671,1.853587,1.279959,,48.7770808455319,43.5716640503248,6.76021967026124, 2.212
PointPlane3, 5.29,5.29,,,0.1558304,1.626536,0.9709028,,,0.1586135,1.652798,0.9696302,,59.7499809323891,57.4305921887682,6.54655257594886, 2.555
PointBall3, 4.5,4.5,,,0.06315459,1.849172,1.257984,,,0.06534271,1.871562,1.258866,,0.729809747931876,5.67809703535647,6.11279246015438, 1.878
PointPlane2, 4.8,4.8,,,-0.1117014,1.78852,1.282904,,,-0.1101789,1.81231,1.280344,,29.7499911776726,24.1172743447857,6.92336599112303, 2.046
3順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane2, 5.06,5.06,,,-0.1117647,1.785784,1.27833,,,-0.1094748,1.810987,1.278052,,29.7499911776726,29.7841182169109,5.20510943670293, 2.178
PointBall1, 4.82,4.82,,,0.2405155,1.759344,1.070362,,,0.2437631,1.783237,1.070969,,37.6669383564061,34.0241219507475,7.92253427331912, 1.655
PointBall2, 8.33,8.33,,,-0.138532,1.670346,0.9975264,,,-0.1389435,1.711986,0.9958692,,51.4855034930725,49.5446404076257,2.10645013165189, 2.356
PointPlane1, 5.43,5.43,,,0.0718452,1.638323,1.046295,,,0.07384789,1.665378,1.045072,,44.750001422956,42.581887704863,4.83168592969686, 1.921
PointPlane3, 7.36,7.36,,,0.1608657,1.624044,0.9780757,,,0.1638252,1.660481,0.9740663,,59.7499809323891,53.8566616540669,7.58835105577646, 1.689
PointPyramid, 1.56,1.56,,,0.07011309,1.838256,1.288137,,,0.07146912,1.845837,1.286808,,48.7770808455319,59.0002174276825,13.8825896206172, 1.778
PointBall3, 3.4,3.4,,,0.06475772,1.854787,1.266362,,,0.06734647,1.871469,1.264455,,1.53887839616917,11.3262684514709,10.7634950304683, 1.667
4順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane3, 5.19,5.19,,,0.1577039,1.637284,0.9804602,,,0.161426,1.662433,0.9751933,,59.7499809323891,48.6992884081448,14.1797156478491, 1.99
PointBall2, 6.23,6.23,,,-0.1430494,1.674622,0.9977753,,,-0.1444558,1.705473,0.9937931,,52.6106780897783,45.489932870626,7.55943545072986, 2.743
PointPyramid, 0.95,0.95,,,0.06814021,1.846428,1.282363,,,0.06867468,1.851158,1.282105,,48.7770808455319,51.9322046825499,7.0411338170625, 1.623
PointBall3, 3.66,3.66,,,0.06308168,1.853362,1.259866,,,0.06481615,1.871555,1.259794,,0.839301145735742,5.38685180083624,5.44596879400492, 1.689
