経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.74,0.74,,,-0.1825764,1.798121,1.33811,,,-0.1830025,1.801774,1.338337,,34.4849035748071,27.6153556308647,7.64418785068752
0.011, 2.29,2.29,,,-0.1795034,1.791537,1.341513,,,-0.1809272,1.80289,1.342182,,34.205839128559,26.7841882263479,7.99792077663802
0.022, 3.59,3.59,,,-0.1775389,1.785696,1.342618,,,-0.1798821,1.80347,1.343642,,34.059386216451,26.2580485239392,8.28993696873936
0.032, 3.9,3.9,,,-0.1784574,1.783305,1.34395,,,-0.1809896,1.802601,1.345049,,34.2824362828746,26.4987990251044,8.2435019289592
0.044, 5.6,5.6,,,-0.1746874,1.776488,1.343496,,,-0.1786626,1.804155,1.345098,,33.8853222653915,25.3972073633991,8.90264931646884
0.055, 6.44,6.44,,,-0.1754887,1.771486,1.341712,,,-0.1801137,1.803318,1.343605,,34.0982192558964,25.538494945091,9.01994500559506
0.066, 6.41,6.41,,,-0.1780952,1.769954,1.342329,,,-0.1825463,1.801626,1.344148,,34.5287055767355,26.2354235229432,8.73045939851079
0.077, 5.96,5.96,,,-0.1811777,1.770379,1.342257,,,-0.1851048,1.799886,1.343942,,34.9658479167354,27.0965464287788,8.34237830595376
0.088, 5.79,5.79,,,-0.1833397,1.769984,1.341022,,,-0.1869976,1.798664,1.342804,,35.2687907036575,27.7180304467057,8.18774624254229
0.099, 5.43,5.43,,,-0.1851746,1.770885,1.33939,,,-0.1884444,1.797779,1.341164,,35.4858643547236,28.2934772833606,7.99787211154154
0.11, 5.3,5.3,,,-0.1860624,1.771076,1.338457,,,-0.1891576,1.797345,1.340253,,35.5919747556215,28.62518028853,7.88677567268824
0.122, 5.12,5.12,,,-0.187426,1.77123,1.336982,,,-0.1903364,1.796613,1.338798,,35.7701709710138,29.0090898431675,7.83278302880177
0.132, 4.75,4.75,,,-0.1884088,1.772657,1.336215,,,-0.1910144,1.796185,1.337978,,35.8740171642649,29.3519721601497,7.75898966706244
0.144, 4.86,4.86,,,-0.1883631,1.772111,1.336042,,,-0.1909943,1.796205,1.337903,,35.8691062583883,29.4375954092023,7.76576606830417
0.155, 5.38,5.38,,,-0.1863934,1.770658,1.336433,,,-0.1893915,1.797308,1.338511,,35.5991532842395,28.9696933131312,7.93911797216243
0.166, 5.57,5.57,,,-0.1848976,1.770498,1.338576,,,-0.1880993,1.798069,1.340583,,35.4137204836229,28.5353752562744,7.93990856653685
0.177, 5.58,5.58,,,-0.1848006,1.770484,1.338601,,,-0.1880174,1.798125,1.340611,,35.3999405773559,28.5069804531375,7.94895259051993
0.188, 5.6,5.6,,,-0.1836865,1.771117,1.339348,,,-0.1869057,1.798847,1.341357,,35.2216692298848,28.3302441906397,7.9266708065201
0.2, 5.96,5.96,,,-0.180601,1.771074,1.341958,,,-0.1840681,1.800595,1.344011,,34.7881059089103,27.7716627981235,7.90268830546426
0.21, 6.37,6.37,,,-0.1761575,1.771557,1.345111,,,-0.1799623,1.803094,1.347172,,34.1592606548102,26.9132412320295,7.9341216889236
0.223, 6.77,6.77,,,-0.1719866,1.772011,1.346033,,,-0.1761179,1.805539,1.348213,,33.5316516649155,26.1194896027448,8.05151983088452
0.233, 5.46,5.46,,,-0.1726348,1.778768,1.346142,,,-0.1756778,1.805853,1.347949,,33.4499489443374,26.6481137863949,7.57590132881327
0.243, 4.83,4.83,,,-0.1706331,1.78397,1.341323,,,-0.1731627,1.807917,1.343113,,32.9041109769105,26.5545043388776,7.51966496784689
0.261, 5.41,5.41,,,-0.1645209,1.784818,1.339644,,,-0.1674757,1.811604,1.341749,,31.9172647825211,25.3267898225631,7.86202221405129
0.268, 5.91,5.91,,,-0.157533,1.786301,1.339457,,,-0.160913,1.815565,1.341774,,30.8272383383061,23.9377359972588,8.11452320158278
0.277, 5.47,5.47,,,-0.1510664,1.792049,1.343653,,,-0.1541227,1.819171,1.345643,,29.8089425387585,22.9836473892172,7.79762206970663
0.288, 5.38,5.38,,,-0.1437189,1.796413,1.345756,,,-0.1467122,1.823081,1.347604,,28.6647322053656,21.8182019982856,7.64926951128859
0.3, 4.7,4.7,,,-0.1392377,1.802487,1.345278,,,-0.1416579,1.825818,1.346885,,27.8354857914994,21.4745051812675,7.23952818192891
0.31, 4.26,4.26,,,-0.1319362,1.80881,1.341816,,,-0.1340377,1.829966,1.343382,,26.5301017811994,20.4755644297418,7.21468934592972
0.321, 4.39,4.39,,,-0.1227357,1.812485,1.342276,,,-0.1248939,1.834282,1.343888,,25.1111983225056,19.0444810365495,7.19617441115233
0.333, 5.02,5.02,,,-0.1100243,1.814592,1.344377,,,-0.1126186,1.839508,1.346165,,23.2885504403764,16.8455956095545,7.3515919462965
0.343, 4.61,4.61,,,-0.1001592,1.820443,1.348209,,,-0.1024558,1.843311,1.349714,,21.8759273404496,15.5407033728612,6.9875236637589
0.355, 4.7,4.7,,,-0.08931145,1.824163,1.346274,,,-0.09161393,1.847516,1.347887,,20.1947292570007,13.9523326802914,7.01117703508327
0.366, 4.33,4.33,,,-0.0782939,1.829505,1.350034,,,-0.08030246,1.851032,1.351426,,18.6878785774538,12.6225905085417,6.6215497584959
0.377, 4.46,4.46,,,-0.06684982,1.832603,1.34721,,,-0.06887802,1.85478,1.34873,,16.9270831791798,10.9515574538422,6.67332515228475
0.388, 4.82,4.82,,,-0.05373836,1.83434,1.347059,,,-0.05593742,1.858294,1.348767,,15.1023572120535,9.0031999435371,6.78616456998838
0.399, 4.69,4.69,,,-0.04169306,1.837714,1.348977,,,-0.04373491,1.861026,1.350604,,13.5244700057943,7.49852382540671,6.54829000527063
0.41, 4.88,4.88,,,-0.0283193,1.839588,1.347516,,,-0.03040016,1.863846,1.349306,,11.6682560136968,5.60821993322352,6.62092778441192
0.422, 4.48,4.48,,,-0.01661895,1.843649,1.347333,,,-0.01838595,1.865902,1.349047,,10.1078156714133,4.20602952007677,6.49008612299121
0.433, 4.69,4.69,,,-0.00481898,1.844461,1.344366,,,-0.006568938,1.867762,1.346312,,8.44489688122188,2.72771067433317,6.59695211354506
0.444, 4.83,4.83,,,0.008466262,1.845093,1.345444,,,0.006696023,1.869074,1.347503,,7.05649576585201,0.912573972369609,6.65124784706752
0.455, 5.05,5.05,,,0.02140084,1.844819,1.346611,,,0.01967505,1.869911,1.348811,,6.01030376696306,0.723346308083643,6.55589200560531
