経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.47,-0.47,,,-0.2056585,1.624835,1.360067,,,-0.2054918,1.622486,1.359931,,45.0005395849294,41.0511774676619,5.38932475613379
0.011, 0.2,0.2,,,-0.2053191,1.621576,1.359777,,,-0.2053931,1.622585,1.359836,,45.0005395849294,40.9150074050632,5.51395051869593
0.023, 0.84,0.84,,,-0.2044944,1.618993,1.360657,,,-0.2048092,1.623169,1.360899,,45.0005395849294,40.7989215131601,5.57921041307845
0.033, 0.9,0.9,,,-0.2046428,1.618493,1.361778,,,-0.2049803,1.622998,1.362026,,45.0005395849294,40.816826853571,5.46712231616262
0.044, 0.69,0.69,,,-0.2049504,1.619347,1.363244,,,-0.2051993,1.622779,1.363426,,45.0005395849294,40.9458218026462,5.2946489453619
0.055, 0.53,0.53,,,-0.2056514,1.619482,1.3632,,,-0.2058392,1.622139,1.363343,,45.0005395849294,41.0490498637947,5.22389757903952
0.067, 0.5,0.5,,,-0.2063344,1.618971,1.362716,,,-0.2065071,1.621471,1.362853,,45.0005395849294,41.1461546605225,5.19252097152608
0.078, 0.5,0.5,,,-0.2080724,1.617262,1.360668,,,-0.2082373,1.61974,1.360811,,45.0005395849294,41.30248744099,5.20096692708659
0.089, 0.54,0.54,,,-0.208506,1.616611,1.358184,,,-0.2086823,1.619296,1.35835,,45.0005395849294,41.3665580287164,5.3320442300271
0.1, 0.45,0.45,,,-0.2084693,1.617129,1.356267,,,-0.2086168,1.619361,1.356412,,45.0005395849294,41.355284801805,5.45416672832809
0.111, 0.26,0.26,,,-0.2083019,1.618289,1.355234,,,-0.2083886,1.619589,1.355319,,45.0005395849294,41.322059347512,5.50331335313329
0.122, 0.19,0.19,,,-0.2074511,1.619539,1.35647,,,-0.2075132,1.620465,1.356528,,45.0005395849294,41.289202723424,5.41185797646545
