経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.6,-0.6,,,-0.1605556,1.595276,1.101222,,,-0.1605496,1.592545,1.102432,,44.8235181620417,31.7857938899406,23.6469185033235
0.01, 0.56,-0.56,,,-0.1631577,1.590566,1.097498,,,-0.1631527,1.588007,1.098617,,44.8235181620417,31.8861737622844,23.3696316137574
0.022, 0.26,-0.26,,,-0.1643761,1.586197,1.095052,,,-0.1643735,1.584992,1.095574,,44.8235181620417,31.944377217677,23.179976048804
0.033, 0.14,0.14,,,-0.1656824,1.582059,1.093903,,,-0.1656846,1.582691,1.093631,,44.8235181620417,31.9020881026077,23.0883934598664
0.044, 0.65,0.65,,,-0.1661599,1.578033,1.093071,,,-0.1661768,1.581033,1.091779,,44.8235181620417,31.8121891552536,23.0484829581093
0.055, 1.37,1.37,,,-0.1657444,1.574168,1.093287,,,-0.1657971,1.580453,1.090579,,44.8235181620417,31.672248828338,23.0614329964153
0.066, 2.02,2.02,,,-0.1652499,1.57031,1.092939,,,-0.1653562,1.5796,1.088931,,44.8235181620417,31.5111246703011,23.0939925072827
0.077, 2.51,2.51,,,-0.1657101,1.56694,1.092795,,,-0.1658672,1.57846,1.08783,,44.8235181620417,31.4110692319339,23.0744991479339
0.089, 2.91,2.91,,,-0.1652194,1.564095,1.09174,,,-0.1654207,1.577477,1.085993,,44.8235181620417,31.3658704563591,23.0056423052798
0.1, 3.17,3.17,,,-0.1654267,1.562039,1.091231,,,-0.1656376,1.576617,1.084994,,44.8235181620417,31.4219975343018,22.9241888865995
0.11, 3.26,3.26,,,-0.1658709,1.5613,1.091371,,,-0.1660683,1.576301,1.084978,,44.8235181620417,31.5133103307747,22.8425117792301
0.122, 3.54,3.54,,,-0.1664688,1.558394,1.090215,,,-0.1666563,1.574714,1.083322,,44.8235181620417,31.6596676202369,22.6570038465348
0.133, 3.81,3.81,,,-0.1661406,1.556486,1.089435,,,-0.166329,1.574072,1.082087,,44.8235181620417,31.7764433612271,22.4340528178514
0.144, 4.33,4.33,,,-0.1656313,1.554075,1.089891,,,-0.1658682,1.574059,1.081607,,44.8235181620417,31.7782840971572,22.2722114899716
0.155, 5.02,5.02,,,-0.1647291,1.551205,1.090838,,,-0.1650564,1.574392,1.081266,,44.8235181620417,31.6967487162091,22.1925117223118
0.167, 5.5,5.5,,,-0.1641207,1.549463,1.091945,,,-0.1645184,1.574883,1.081423,,44.8235181620417,31.6015358818286,22.2497828569087
0.178, 5.63,5.63,,,-0.1636611,1.549708,1.092917,,,-0.1640593,1.575701,1.082121,,44.8235181620417,31.5920829002804,22.3203062656739
0.188, 5.71,5.71,,,-0.1638001,1.549193,1.093012,,,-0.1641957,1.575554,1.082049,,44.8235181620417,31.5980285797874,22.3459467951046
0.199, 5.97,5.97,,,-0.1638618,1.547945,1.093539,,,-0.1642696,1.575524,1.08208,,44.8235181620417,31.6160124673716,22.3259343413933
0.211, 6.5,6.5,,,-0.1633468,1.545314,1.093755,,,-0.1637814,1.575334,1.081324,,44.8235181620417,31.6555729219435,22.2573131402591
0.222, 7.04,7.04,,,-0.1632881,1.542433,1.094209,,,-0.1637662,1.574981,1.080809,,44.8235181620417,31.6877772629839,22.1402044275562
0.232, 7.62,7.62,,,-0.1622626,1.540305,1.095118,,,-0.1628186,1.575542,1.080655,,44.8235181620417,31.6559519974318,22.0816645853563
0.244, 8.14,8.14,,,-0.1618341,1.538484,1.096594,,,-0.1624658,1.576129,1.081132,,44.8235181620417,31.6022837875219,22.0961684916552
0.254, 8.63,8.63,,,-0.1609843,1.536694,1.097412,,,-0.1616776,1.576596,1.081005,,44.8235181620417,31.5645708990692,22.1200963511992
0.266, 8.99,8.99,,,-0.1602562,1.535344,1.097852,,,-0.1609897,1.576927,1.080784,,44.8235181620417,31.5647211632267,22.0845349722751
0.277, 9.76,9.76,,,-0.1596707,1.531671,1.098532,,,-0.1604622,1.576859,1.08016,,44.8235181620417,31.6408402043137,21.8937199827424
0.288, 10.35,10.35,,,-0.1594494,1.528402,1.098618,,,-0.16024,1.576444,1.079352,,44.8235181620417,31.7946731356145,21.6184992253427
0.299, 10.83,10.83,,,-0.1589623,1.526026,1.098752,,,-0.1597668,1.57636,1.078761,,44.8235181620417,31.8898074228217,21.4278601131762
0.31, 11.13,11.13,,,-0.1586942,1.524801,1.09916,,,-0.1594653,1.57651,1.078671,,44.8235181620417,31.9596734258976,21.3799480450292
0.321, 11.52,11.52,,,-0.1584755,1.523108,1.09981,,,-0.1592108,1.576641,1.078601,,44.8235181620417,32.0190004473774,21.3740638372229
0.332, 11.81,11.81,,,-0.1583411,1.521751,1.10024,,,-0.1591157,1.576652,1.078522,,44.8235181620417,32.0118868055548,21.3453053265229
0.343, 12.32,12.32,,,-0.1572513,1.519593,1.100508,,,-0.1581319,1.576915,1.07791,,44.8235181620417,31.9759292756698,21.2808676161388
0.355, 12.91,12.91,,,-0.1563535,1.517402,1.101557,,,-0.1574154,1.577449,1.077948,,44.8235181620417,31.8822566489044,21.2327335668499
0.366, 13.21,13.21,,,-0.1557514,1.51615,1.101835,,,-0.1569356,1.577574,1.077646,,44.8235181620417,31.791783965676,21.2682744552071
0.377, 13.19,13.19,,,-0.1558616,1.516318,1.10209,,,-0.1570286,1.577668,1.077872,,44.8235181620417,31.7863744560039,21.3146138723415
0.388, 13.26,13.26,,,-0.1560822,1.515704,1.10196,,,-0.1572222,1.577362,1.077632,,44.8235181620417,31.8160311365548,21.3040885511234
0.399, 13.5,13.5,,,-0.155632,1.514321,1.101566,,,-0.1567709,1.577127,1.076849,,44.8235181620417,31.8531361381884,21.2525838035729
0.41, 13.83,13.83,,,-0.1558082,1.511978,1.101108,,,-0.1569544,1.576369,1.07596,,44.8235181620417,31.9266255565181,21.1039930423142
0.422, 14.04,14.04,,,-0.1554939,1.511047,1.101287,,,-0.1567144,1.576451,1.075837,,44.8235181620417,31.9120465181404,21.0352164543806
0.432, 14.2,14.2,,,-0.155146,1.510608,1.10181,,,-0.1564335,1.576758,1.075989,,44.8235181620417,31.8491370625406,21.0974565514604
0.444, 14.62,14.62,,,-0.1547216,1.509441,1.103369,,,-0.1561147,1.577524,1.076754,,44.8235181620417,31.789072380651,21.128658562268
0.455, 14.74,14.74,,,-0.1546616,1.50889,1.103516,,,-0.1560749,1.577493,1.076671,,44.8235181620417,31.7748143611554,21.1482987706798
0.466, 14.79,14.79,,,-0.1541715,1.508886,1.103441,,,-0.15557,1.577734,1.076507,,44.8235181620417,31.790926776959,21.1422028270152
0.477, 14.85,14.85,,,-0.1542239,1.508891,1.104032,,,-0.155619,1.578037,1.076984,,44.8235181620417,31.7983819282307,21.1399864306912
0.488, 15.01,15.01,,,-0.1544642,1.507601,1.103766,,,-0.1558301,1.577523,1.076468,,44.8235181620417,31.844574496302,21.1004447591391
0.499, 15.14,15.14,,,-0.1547105,1.506647,1.103586,,,-0.1560459,1.577187,1.076208,,44.8235181620417,31.9185761788052,20.9853048484096
0.51, 15.28,15.28,,,-0.1547541,1.505381,1.102915,,,-0.1560996,1.576666,1.075525,,44.8235181620417,31.9974272954842,20.7919319531039
0.521, 15.41,15.41,,,-0.1550413,1.50426,1.102725,,,-0.1564664,1.576214,1.075254,,44.8235181620417,32.0006511446828,20.6719494383877
0.533, 15.58,15.58,,,-0.1545991,1.503682,1.10304,,,-0.1561286,1.576416,1.075201,,44.8235181620417,31.9215234053501,20.7234985821666
0.544, 15.43,15.43,,,-0.1545592,1.504633,1.103108,,,-0.1560798,1.576599,1.075412,,44.8235181620417,31.8748732146171,20.8288149735956
0.555, 15.77,15.77,,,-0.1534843,1.504584,1.105052,,,-0.1551256,1.578036,1.07649,,44.8235181620417,31.7370092651514,21.0310380862721
0.566, 15.95,15.95,,,-0.1527781,1.505345,1.107158,,,-0.1544435,1.579571,1.077977,,44.8235181620417,31.649777506594,21.2437079729934
0.577, 15.81,15.81,,,-0.1530131,1.505762,1.106662,,,-0.1546169,1.579354,1.077844,,44.8235181620417,31.7108496413582,21.1657003846535
0.588, 15.76,15.76,,,-0.1532157,1.505358,1.105784,,,-0.1547788,1.578797,1.077219,,44.8235181620417,31.7868354937601,21.0334269448679
0.599, 15.88,15.88,,,-0.1530074,1.50452,1.105174,,,-0.1545019,1.57867,1.076762,,44.8235181620417,31.9561183125335,20.7416634697588
0.61, 16.08,16.08,,,-0.1530353,1.502862,1.104347,,,-0.1545413,1.578111,1.076011,,44.8235181620417,32.0955532054646,20.4115911722084
0.621, 16.1,16.1,,,-0.1527698,1.502349,1.103493,,,-0.1543321,1.577759,1.075304,,44.8235181620417,32.1175566592635,20.2752708454522
0.632, 16.15,16.15,,,-0.1526235,1.502815,1.10449,,,-0.1542176,1.578349,1.076024,,44.8235181620417,32.0360827500162,20.429863635277
0.644, 16.16,16.16,,,-0.1526448,1.503329,1.105479,,,-0.1542348,1.578869,1.076776,,44.8235181620417,31.9760692945439,20.5850369911652
0.655, 16.4,16.4,,,-0.150506,1.505256,1.108234,,,-0.1521604,1.581795,1.078839,,44.8235181620417,31.8670799689909,20.7898060567839
0.666, 16.34,16.34,,,-0.1492406,1.507608,1.109865,,,-0.1508804,1.583803,1.0804,,44.8235181620417,31.8193984197219,20.9217601852347
0.677, 16.17,16.17,,,-0.1494528,1.508664,1.110043,,,-0.1510338,1.584098,1.08097,,44.8235181620417,31.8721957805369,20.8561425597044
0.689, 16.1,16.1,,,-0.1490568,1.508963,1.109326,,,-0.1505916,1.584096,1.080525,,44.8235181620417,31.9394082551941,20.7506690739288
0.699, 16.02,16.02,,,-0.1481692,1.510676,1.110132,,,-0.1496294,1.585498,1.081546,,44.8235181620417,32.009246937514,20.6852273257647
0.71, 15.82,15.82,,,-0.1470384,1.513227,1.110902,,,-0.1484614,1.587099,1.082642,,44.8235181620417,32.0116545791294,20.7094608362656
0.721, 15.63,15.63,,,-0.1438554,1.51868,1.113899,,,-0.1452727,1.591572,1.085779,,44.8235181620417,31.9393775193437,20.8697687867194
0.732, 15.64,15.64,,,-0.1389497,1.526317,1.120197,,,-0.1404527,1.599025,1.091499,,44.8235181620417,31.7064578298441,21.316220674299
0.744, 15.55,15.55,,,-0.1357502,1.532585,1.125283,,,-0.1372384,1.604688,1.096293,,44.8235181620417,31.5700179747807,21.6792247280162
0.755, 15.21,15.21,,,-0.1332005,1.539683,1.129876,,,-0.1345266,1.610126,1.101273,,44.8235181620417,31.5859493905764,21.8710966892936
0.766, 14.89,14.89,,,-0.1302733,1.546193,1.133268,,,-0.1314058,1.615145,1.105249,,44.8235181620417,31.6983982068477,21.8809406991609
0.777, 14.25,14.25,,,-0.1279814,1.553428,1.135408,,,-0.1287886,1.61951,1.108805,,44.8235181620417,31.9746452001416,21.6872570302566
0.788, 13.66,13.66,,,-0.1265282,1.559752,1.137466,,,-0.1270063,1.623222,1.112272,,44.8235181620417,32.3093893469542,21.404272055534
0.799, 13.12,13.12,,,-0.1240972,1.566149,1.139233,,,-0.1243409,1.627217,1.115256,,44.8235181620417,32.5656785280487,21.1869132440779
