経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.64,-0.64,,,-0.07172249,1.798601,1.534133,,,-0.0710986,1.795461,1.534184,,46.050527461344,34.8206073631714,11.2584429673528
0.011, 0.19,0.19,,,-0.07103705,1.794419,1.536497,,,-0.07122177,1.795333,1.536478,,46.050527461344,34.6433844497087,11.4584283393648
0.022, 1.09,1.09,,,-0.06939962,1.790763,1.538268,,,-0.07049721,1.796085,1.538143,,46.050527461344,34.4197674775998,11.6996731754573
0.032, 1.89,1.89,,,-0.06885077,1.786547,1.540094,,,-0.0707837,1.795788,1.539851,,46.050527461344,34.2645411877471,11.8757059284902
0.056, 2.51,2.51,,,-0.06819863,1.783494,1.540485,,,-0.07078892,1.795782,1.54015,,46.050527461344,34.1770157310636,11.9697815364055
0.067, 3.02,3.02,,,-0.07000137,1.778642,1.540002,,,-0.07307291,1.793413,1.53961,,46.050527461344,34.3316853605144,11.8105100671294
0.077, 2.79,2.79,,,-0.07072306,1.779251,1.539525,,,-0.07354206,1.792926,1.539176,,46.050527461344,34.4288106478093,11.7052969823087
0.088, 3.04,3.04,,,-0.07110152,1.777419,1.539273,,,-0.07415318,1.792292,1.538903,,46.050527461344,34.4801395179936,11.6497180270316
0.1, 3.62,3.62,,,-0.07359116,1.771425,1.539527,,,-0.07715064,1.789183,1.5391,,46.050527461344,34.7387168123963,11.3862426333566
0.111, 3.18,3.18,,,-0.07658747,1.771044,1.539268,,,-0.07959786,1.786644,1.5389,,46.050527461344,35.1505328116587,10.972982049125
0.123, 3.81,3.81,,,-0.07528923,1.768653,1.541432,,,-0.07892402,1.787344,1.54096,,46.050527461344,35.0699399967898,11.0656045343348
0.133, 4.33,4.33,,,-0.07297248,1.76792,1.542252,,,-0.07718933,1.789143,1.54171,,46.050527461344,34.8377989488339,11.2987607191278
0.144, 4.64,4.64,,,-0.07345137,1.765584,1.543389,,,-0.07794729,1.788357,1.542784,,46.050527461344,34.9102160274938,11.2353296078447
0.155, 4.5,4.5,,,-0.07585341,1.764061,1.544935,,,-0.08005019,1.786175,1.544334,,46.050527461344,35.3329125178012,10.820454537693
0.166, 4.02,4.02,,,-0.078499,1.764286,1.544792,,,-0.08208966,1.78406,1.544291,,46.050527461344,35.7823970092879,10.3582214984752
0.177, 3.92,3.92,,,-0.07915176,1.764209,1.544808,,,-0.0826208,1.783509,1.544387,,46.050527461344,35.8782382210545,10.2364093468859
0.188, 4.09,4.09,,,-0.07888622,1.763551,1.54471,,,-0.08247975,1.783655,1.544312,,46.050527461344,35.9301647327746,10.1709214949462
0.246, 4.66,4.66,,,-0.07678718,1.762269,1.545985,,,-0.08100204,1.785188,1.545469,,46.050527461344,35.649215154368,10.4691079090173
0.265, 4.26,4.26,,,-0.07883036,1.762655,1.547647,,,-0.08251381,1.78362,1.547154,,46.050527461344,36.105922570701,10.0221864459453
0.288, 4.15,4.15,,,-0.07878706,1.763351,1.54785,,,-0.08235022,1.783789,1.547356,,46.050527461344,36.1829124608829,9.95074010789422
0.299, 4.34,4.34,,,-0.07836588,1.76269,1.547795,,,-0.08210912,1.784039,1.547285,,46.050527461344,36.12702102446,10.0038806857054
0.31, 4.32,4.32,,,-0.07849428,1.762659,1.547422,,,-0.08221543,1.783929,1.546937,,46.050527461344,36.1467056291002,9.9759657033444
0.321, 4.29,4.29,,,-0.07868816,1.762625,1.546353,,,-0.08237533,1.783763,1.545897,,46.050527461344,36.1731452906416,9.94105148482617
0.332, 4.15,4.15,,,-0.07890444,1.76324,1.546193,,,-0.08245838,1.783677,1.545759,,46.050527461344,36.202289707019,9.9094686909829
0.343, 4.03,4.03,,,-0.07960356,1.763257,1.544473,,,-0.08301933,1.783095,1.544074,,46.050527461344,36.2960238054853,9.80864656390268
0.354, 4.16,4.16,,,-0.07947084,1.762643,1.544567,,,-0.08300188,1.783113,1.544151,,46.050527461344,36.2785385216967,9.82731261661125
0.365, 4.01,4.01,,,-0.08029484,1.762655,1.543242,,,-0.08369058,1.782399,1.542844,,46.050527461344,36.3064125229238,9.79843799269853
0.377, 4.02,4.02,,,-0.08024174,1.762657,1.542702,,,-0.08364731,1.782444,1.542301,,46.050527461344,36.2995755037549,9.80624062983449
0.387, 3.9,3.9,,,-0.08090794,1.762665,1.542106,,,-0.08420941,1.781861,1.541716,,46.050527461344,36.3069486927587,9.79930030405725
0.399, 3.87,3.87,,,-0.08162349,1.762053,1.540769,,,-0.08490193,1.781142,1.540385,,46.050527461344,36.3205339386399,9.78413984584263
0.41, 3.62,3.62,,,-0.08304156,1.762045,1.538685,,,-0.0860997,1.7799,1.538336,,46.050527461344,36.3457578265428,9.75556148137692
0.421, 3.4,3.4,,,-0.08491868,1.761383,1.535757,,,-0.08778894,1.778148,1.535445,,46.050527461344,36.347209241701,9.74796033481586
0.432, 2.95,2.95,,,-0.08756668,1.761266,1.530859,,,-0.09004989,1.775802,1.530628,,46.050527461344,36.3656985632697,9.71516945129677
