経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.22,-0.22,,,-0.108224,1.802021,1.508418,,,-0.1081346,1.800961,1.508193,,34.8326080052092,23.7003579019025,13.0852734864586
0.01, 1.49,1.49,,,-0.1047576,1.794031,1.508843,,,-0.1054349,1.801301,1.510383,,34.7496348694808,23.0863819692118,13.2585203761613
0.022, 3.08,3.08,,,-0.1022819,1.786292,1.508974,,,-0.1037748,1.801287,1.51216,,34.7551570772711,22.6983418577886,13.4293963365143
0.033, 4.21,4.21,,,-0.1010813,1.780592,1.508832,,,-0.1031854,1.801087,1.513187,,34.8064244757545,22.5692154275755,13.5022992123654
0.044, 5.12,5.12,,,-0.1008341,1.775794,1.50838,,,-0.103409,1.800709,1.513741,,34.9018319705209,22.5435936811645,13.6506620160669
0.055, 6.23,6.23,,,-0.1007634,1.770545,1.506343,,,-0.1038998,1.800814,1.513017,,34.8747434410264,22.3762250228527,13.9181996646377
0.066, 7.07,7.07,,,-0.1013486,1.766684,1.503821,,,-0.1049076,1.80096,1.51166,,34.8366309865183,22.1552137678396,14.3259047439078
0.077, 8.07,8.07,,,-0.1012372,1.762059,1.501642,,,-0.1053727,1.801114,1.510845,,34.7972071357261,21.8649905003455,14.7133847798346
0.088, 8.77,8.77,,,-0.09992249,1.758951,1.501006,,,-0.1045622,1.801384,1.511132,,34.7297146233208,21.5280999666459,14.9355025254624
0.099, 9.42,9.42,,,-0.09876724,1.755015,1.502696,,,-0.1038772,1.80058,1.513525,,34.9338279907975,21.5397761747071,14.9503359883796
0.111, 9.69,9.69,,,-0.09787284,1.752774,1.505075,,,-0.1032298,1.799686,1.516022,,35.1595520762067,21.709333908587,14.7887098114526
0.122, 9.93,9.93,,,-0.09688088,1.75069,1.50764,,,-0.1024105,1.798765,1.518698,,35.3909486335638,21.9178851913534,14.6467323806738
0.133, 10,10,,,-0.0970303,1.749331,1.509452,,,-0.1025817,1.797794,1.520452,,35.6321430970126,22.235022818523,14.4885383737092
0.144, 9.79,9.79,,,-0.09734651,1.749971,1.510253,,,-0.1027421,1.79743,1.521011,,35.722253780225,22.3629898241568,14.4534158344271
0.155, 9.49,9.49,,,-0.09788126,1.75134,1.510458,,,-0.1030476,1.797318,1.52093,,35.7495779512393,22.4236692230546,14.4742547410049
