経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.53,-0.53,,,0.001382409,1.829705,1.337535,,,0.002236277,1.827187,1.337319,,45.0005634905908,26.6425625503015,19.3462302479472
0.01, 0.07,0.07,,,0.003416669,1.827917,1.337821,,,0.003301337,1.828253,1.337851,,45.0005634905908,26.4714902220153,19.5673285878698
0.021, 0.85,0.85,,,0.006299517,1.825851,1.339883,,,0.0049088,1.82986,1.340219,,45.0005634905908,26.2328809850954,19.704017744831
0.032, 0.8,0.8,,,0.005882541,1.825738,1.339778,,,0.004577339,1.829529,1.340096,,45.0005634905908,26.3664282551258,19.5741895127002
0.043, 0.57,0.57,,,0.005310774,1.826684,1.337018,,,0.004397079,1.829348,1.337255,,45.0005634905908,26.4825209772179,19.5741587768498
0.055, 0.71,0.71,,,0.004675318,1.825163,1.335759,,,0.003548607,1.8285,1.336067,,45.0005634905908,26.7786318676127,19.3626261165936
0.065, 0.53,0.53,,,0.003889813,1.825529,1.335106,,,0.003063887,1.828015,1.33534,,45.0005634905908,27.0704960880093,19.1174103793828
0.077, 1,1,,,0.005572839,1.824221,1.3331,,,0.003995702,1.828947,1.33356,,45.0005634905908,27.0279013219831,19.23800590356
0.088, 0.68,0.68,,,0.005037668,1.825706,1.337544,,,0.003974766,1.828926,1.337828,,45.0005634905908,27.1266863452,18.9283131823786
0.099, 0.65,0.65,,,0.005561542,1.826398,1.338422,,,0.004541755,1.829493,1.338689,,45.0005634905908,27.1442894497486,18.8725942082274
0.11, 0.58,0.58,,,0.005647787,1.826928,1.339197,,,0.00474529,1.829696,1.339436,,45.0005634905908,27.318952749891,18.702454200737
0.121, 0.75,0.75,,,0.00608216,1.826327,1.339307,,,0.004931122,1.829882,1.339608,,45.0005634905908,27.4176967919741,18.5685842042773
0.132, 0.86,0.86,,,0.006675716,1.826233,1.338889,,,0.005361333,1.830312,1.339238,,45.0005634905908,27.5082616827537,18.5014280786792
0.145, 0.91,0.91,,,0.006816224,1.826063,1.338061,,,0.00543569,1.830387,1.33844,,45.0005634905908,27.6752683410495,18.385808347174
0.155, 0.95,0.95,,,0.007033926,1.826028,1.338017,,,0.005596057,1.830547,1.338414,,45.0005634905908,27.7340335794858,18.3328641372959
0.166, 1.02,1.02,,,0.007530772,1.826082,1.338167,,,0.00598079,1.830932,1.33859,,45.0005634905908,27.6561967458703,18.3972711118295
0.178, 1.01,1.01,,,0.008090893,1.826708,1.338363,,,0.006557167,1.831508,1.338779,,45.0005634905908,27.6540247457747,18.3860678943552
0.189, 1.03,1.03,,,0.008180668,1.826666,1.337729,,,0.006619543,1.831571,1.338154,,45.0005634905908,27.7203151449195,18.3202760990059
0.201, 1.1,1.1,,,0.009154319,1.827206,1.337682,,,0.007498115,1.832449,1.338137,,45.0005634905908,27.8448533956854,18.2042448486146
0.211, 1.22,1.22,,,0.009910231,1.827226,1.338223,,,0.008084729,1.833036,1.338722,,45.0005634905908,27.9228182953442,18.1088646746041
0.222, 1.36,1.36,,,0.01020147,1.826642,1.339313,,,0.008172527,1.833124,1.339864,,45.0005634905908,27.9742479108159,18.0394187281505
0.233, 1.34,1.34,,,0.009980574,1.826603,1.339513,,,0.008006543,1.832958,1.340052,,45.0005634905908,28.0956050010644,17.914924873613
0.244, 1.42,1.42,,,0.01048198,1.826583,1.340408,,,0.008395404,1.833347,1.340978,,45.0005634905908,28.2031087605142,17.8006745949983
0.255, 1.45,1.45,,,0.01062996,1.826538,1.340887,,,0.008504808,1.833456,1.341472,,45.0005634905908,28.2750989523628,17.740577469711
0.266, 1.49,1.49,,,0.01020524,1.825894,1.340842,,,0.008034706,1.832986,1.341443,,45.0005634905908,28.3333536341728,17.6860264578754
0.277, 1.49,1.49,,,0.01023824,1.825887,1.340759,,,0.008057386,1.833009,1.341362,,45.0005634905908,28.32434973755,17.6967805904243
0.288, 1.39,1.39,,,0.00956893,1.825891,1.340827,,,0.007545859,1.832497,1.341384,,45.0005634905908,28.3213632374185,17.691599892083
0.299, 1.32,1.32,,,0.009133718,1.825884,1.341412,,,0.007223979,1.832175,1.341933,,45.0005634905908,28.4476756297719,17.5335544417288
0.31, 1.01,1.01,,,0.007205452,1.825884,1.343126,,,0.005764022,1.830715,1.343513,,45.0005634905908,28.6991222068796,17.2315969095672
0.321, 0.61,0.61,,,0.00520471,1.826401,1.343324,,,0.004354104,1.829305,1.343555,,45.0005634905908,28.9783574078522,16.9527049255908
0.332, 0.22,0.22,,,0.003344719,1.826949,1.343635,,,0.003043607,1.827995,1.343717,,45.0005634905908,29.2361150795774,16.6887642252915
0.343, 0.13,-0.13,,,0.001169434,1.8269,1.343882,,,0.00134182,1.826293,1.343834,,45.0005634905908,29.4485373719482,16.469945460941
0.355, 0.22,-0.22,,,-1.225155E-05,1.82628,1.34403,,,0.0002830178,1.825234,1.343948,,45.0005634905908,29.5234577148692,16.3887925705758
0.366, 0.47,-0.47,,,-0.001559854,1.82626,1.343602,,,-0.000932321,1.824019,1.34343,,45.0005634905908,29.6344346254154,16.2649766122946
0.377, 0.12,-0.12,,,-0.002660849,1.82302,1.342078,,,-0.002501681,1.822449,1.342032,,45.0005634905908,29.711359628802,16.2670854331421
0.388, 0.29,-0.29,,,-0.004885038,1.82184,1.34199,,,-0.004499078,1.820452,1.34188,,45.0005634905908,29.7485534228923,16.1985991282402
