経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.98,-0.98,,,0.3948389,1.637885,1.27365,,,0.3919105,1.633943,1.273907,,45.0005395849294,8.9114500149695,36.6877692944301
0.011, 0.69,-0.69,,,0.3942517,1.636395,1.275632,,,0.3922125,1.633641,1.275818,,45.0005395849294,9.03143935987469,36.6057831210093
0.022, 0.5,-0.5,,,0.3945231,1.634849,1.277399,,,0.3930302,1.632823,1.277542,,45.0005395849294,9.21471211322632,36.4848990213478
0.033, 0.31,-0.31,,,0.3943117,1.633672,1.279503,,,0.3934115,1.632442,1.279593,,45.0005395849294,9.43117190105788,36.3149605044322
0.044, 0.06,-0.06,,,0.3946089,1.63168,1.280335,,,0.3944257,1.631428,1.280354,,45.0005395849294,9.61363869210988,36.1367164777171
0.055, 0.22,0.22,,,0.3950065,1.629297,1.280519,,,0.395656,1.630198,1.280453,,45.0005395849294,9.80499753544014,35.9068089015576
0.066, 0.6,0.6,,,0.3946503,1.62703,1.280641,,,0.3963915,1.629462,1.280468,,45.0005395849294,9.96616352838456,35.7062813832954
0.077, 0.88,0.88,,,0.394694,1.625002,1.280838,,,0.3972545,1.628599,1.280587,,45.0005395849294,10.0880260526175,35.5532578293887
0.088, 1.08,1.08,,,0.3943214,1.624048,1.280575,,,0.3974297,1.628424,1.280273,,45.0005395849294,10.1297807053992,35.4936166192158
0.1, 1.06,1.06,,,0.3938548,1.624594,1.280199,,,0.396937,1.628916,1.279897,,45.0005395849294,10.0430646261098,35.5985453974202
0.11, 0.79,0.79,,,0.3937767,1.626574,1.279823,,,0.396075,1.629778,1.279597,,45.0005395849294,9.90635327103442,35.7551957816753
0.122, 0.87,0.87,,,0.3935816,1.626202,1.279939,,,0.3961193,1.629734,1.279689,,45.0005395849294,9.86856525050287,35.8018425573138
0.134, 0.86,0.86,,,0.3931691,1.626672,1.280108,,,0.3956873,1.630166,1.279858,,45.0005395849294,9.7961900067505,35.8896002404227
0.144, 0.85,0.85,,,0.3933021,1.626611,1.279641,,,0.3957889,1.630064,1.279392,,45.0005395849294,9.82555128162804,35.8679997677736
0.157, 0.73,0.73,,,0.3945646,1.62619,1.280072,,,0.3966938,1.62916,1.279854,,45.0005395849294,9.95836601389033,35.7554997250849
0.167, 0.68,0.68,,,0.3977519,1.62337,1.279926,,,0.3997065,1.626147,1.27972,,45.0005395849294,10.4482442430045,35.266738231869
0.178, 0.75,0.75,,,0.3984949,1.62216,1.278806,,,0.4006295,1.625224,1.278578,,45.0005395849294,10.7155889387366,34.9935375028601
0.188, 0.56,0.56,,,0.4000507,1.621909,1.277605,,,0.4016427,1.624211,1.277433,,45.0005395849294,10.9061102301432,34.7968143998598
0.199, 0.46,0.46,,,0.3996063,1.623034,1.27712,,,0.4009186,1.624935,1.276977,,45.0005395849294,10.9550801238086,34.7560757376889
0.21, 0.38,0.38,,,0.3979159,1.625319,1.276661,,,0.3989902,1.626863,1.276544,,45.0005395849294,10.768120775955,34.9648165581995
0.221, 0.39,0.39,,,0.3964499,1.626679,1.276567,,,0.3975717,1.628282,1.276445,,45.0005395849294,10.6133153964982,35.1234545274477
0.234, 0.06,0.06,,,0.3951514,1.630264,1.273976,,,0.3953327,1.630521,1.273956,,45.0005395849294,10.4018160334133,35.3441447635787
0.245, 0.07,-0.07,,,0.3927644,1.633603,1.272933,,,0.3925508,1.633302,1.272956,,45.0005395849294,10.1980766187832,35.5362677343011
0.256, 0.06,-0.06,,,0.391449,1.634842,1.272779,,,0.3912669,1.634586,1.272798,,45.0005395849294,10.1851650002903,35.541404036414
0.267, 0.03,0.03,,,0.3907342,1.634933,1.273298,,,0.3908114,1.635042,1.273289,,45.0005395849294,10.2862159387013,35.4300856164189
0.278, 0.03,0.03,,,0.3893991,1.63627,1.272626,,,0.3894752,1.636378,1.272618,,45.0005395849294,10.3982404294823,35.3117218564909
0.289, 0.02,0.02,,,0.3875411,1.6382,1.272701,,,0.3875875,1.638266,1.272696,,45.0005395849294,10.5320148032962,35.17971820917
0.3, 0,0,,,0.3848948,1.640975,1.272314,,,0.384888,1.640965,1.272314,,45.0005395849294,10.6491901103417,35.07753858203
0.311, 0.18,-0.18,,,0.3827813,1.644343,1.271816,,,0.3822583,1.643595,1.271873,,45.0005395849294,10.6276758688285,35.1133048666235
0.322, 0.37,-0.37,,,0.3803582,1.648041,1.272016,,,0.379308,1.646545,1.272131,,45.0005395849294,10.5468952237627,35.2170383617564
0.333, 0.54,-0.54,,,0.377838,1.651787,1.272116,,,0.376278,1.649575,1.272288,,45.0005395849294,10.4497502996745,35.3328305555334
0.344, 0.73,-0.73,,,0.3752848,1.655647,1.272387,,,0.3731785,1.652675,1.272622,,45.0005395849294,10.3527308803089,35.4611595611831
0.355, 0.92,-0.92,,,0.3730554,1.659228,1.27271,,,0.3703849,1.655468,1.273012,,45.0005395849294,10.3109915954525,35.5336893379612
0.366, 0.91,-0.91,,,0.3705183,1.66167,1.272518,,,0.3678876,1.657966,1.272815,,45.0005395849294,10.3147686899584,35.5218765261204
0.377, 0.96,-0.96,,,0.3684899,1.664013,1.271903,,,0.3657295,1.660124,1.272208,,45.0005395849294,10.3001486704468,35.5025914875355
0.388, 0.91,-0.91,,,0.3659834,1.66623,1.271281,,,0.3633457,1.662508,1.271567,,45.0005395849294,10.3113348124487,35.456433070409
0.399, 1.08,-1.08,,,0.3641733,1.669172,1.271088,,,0.3610681,1.664785,1.271423,,45.0005395849294,10.3352140068962,35.4231973708326
0.411, 1.28,-1.28,,,0.3623723,1.672354,1.271431,,,0.3586955,1.667158,1.271835,,45.0005395849294,10.3631016685013,35.4197549555867
0.421, 1.49,-1.49,,,0.3604307,1.675752,1.271342,,,0.3561491,1.669704,1.271823,,45.0005395849294,10.3820127542396,35.4413417678578
0.433, 1.68,-1.68,,,0.3584483,1.679105,1.271069,,,0.3535973,1.672256,1.271623,,45.0005395849294,10.3945692029056,35.4588646176859
0.444, 1.86,-1.86,,,0.35642,1.682347,1.271073,,,0.351065,1.674788,1.271688,,45.0005395849294,10.3967079058299,35.4656162594925
0.455, 1.94,-1.94,,,0.354697,1.684617,1.270317,,,0.3491217,1.676732,1.270957,,45.0005395849294,10.4451552900383,35.4106912948103
0.466, 2.01,-2.01,,,0.3530283,1.686786,1.270063,,,0.3472537,1.6786,1.270723,,45.0005395849294,10.4928001270415,35.3472559146591
0.477, 2.16,-2.16,,,0.3511295,1.689762,1.269151,,,0.3449131,1.68094,1.269857,,45.0005395849294,10.511461910882,35.314935460406
0.488, 2.15,-2.15,,,0.3487013,1.692108,1.268363,,,0.342524,1.683329,1.269062,,45.0005395849294,10.5429951858551,35.2764166096536
0.499, 2.26,-2.26,,,0.346962,1.694585,1.268628,,,0.3404849,1.685368,1.269373,,45.0005395849294,10.5925277163377,35.2479517970796
0.51, 2.46,-2.46,,,0.3452505,1.697687,1.268371,,,0.338204,1.687649,1.269196,,45.0005395849294,10.6415548128357,35.224674513036
0.522, 2.47,-2.47,,,0.3428674,1.700116,1.268466,,,0.3358056,1.690048,1.269297,,45.0005395849294,10.6739990642641,35.2011991535119
0.533, 2.54,-2.54,,,0.3400738,1.703451,1.267742,,,0.3327833,1.69307,1.2686,,45.0005395849294,10.6412030581033,35.2363848720421
0.544, 2.61,-2.61,,,0.3379205,1.706104,1.266922,,,0.3304208,1.695433,1.267802,,45.0005395849294,10.618060670292,35.2559397030917
0.555, 2.68,-2.68,,,0.33518,1.709295,1.266606,,,0.3274899,1.698364,1.2675,,45.0005395849294,10.5829372772362,35.277639213481
