1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointPlane3, 6.31,6.31,,,0.1554819,1.612085,0.9698579,,,0.1644887,1.641552,0.9631375,,59.7499809323891,49.3281507377173,20.7266643747588, 3.208
PointBall1, 8.33,8.33,,,0.2389744,1.740869,1.07702,,,0.2529521,1.779989,1.074375,,38.3894220863268,24.0232755764964,19.938501547607, 2.31
PointPlane1, 5.68,5.68,,,0.0608483,1.628206,1.03723,,,0.06838851,1.655487,1.035181,,44.750001422956,43.0424371024972,15.9194305216101, 2.799
PointPyramid, 7.46,7.46,,,0.06627889,1.810422,1.281033,,,0.07535479,1.846179,1.286507,,48.7770808455319,41.8470584083611,16.6400444872976, 1.8
PointBall3, 8.57,8.57,,,0.06741925,1.829688,1.259549,,,0.07548797,1.871294,1.265757,,2.27769791041752,11.6506477865065,13.9031561734094, 1.722
PointPlane2, 7.45,7.45,,,-0.116362,1.771471,1.269804,,,-0.1079018,1.807657,1.272284,,29.7499911776726,36.0873239661086,13.764757761656, 3.632
PointBall2, 9.71,9.71,,,-0.1378561,1.662004,0.986342,,,-0.134215,1.710259,0.9905463,,51.7819097891407,58.5413380112539,6.76584561154666, 2.067
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane1, 7.47,7.47,,,0.06198259,1.61937,1.031132,,,0.06972291,1.655648,1.035342,,44.750001422956,52.5987969760477,13.7728225072941, 2.067
PointBall1, 9.83,9.83,,,0.2382298,1.7372,1.073953,,,0.2550885,1.782722,1.081741,,37.7921493807864,34.8605673837986,22.2988133685012, 1.788
PointPyramid, 7.94,7.94,,,0.05741805,1.805152,1.281169,,,0.06309966,1.84373,1.288671,,48.7770808455319,38.2839366477205,13.9082719849554, 1.644
PointBall2, 7.61,7.61,,,-0.1378205,1.667785,0.9799755,,,-0.1358569,1.705165,0.9868811,,52.6583357333858,63.1050175706612,11.1125509845148, 2.611
PointPlane2, 8,8,,,-0.1157847,1.773243,1.272799,,,-0.1109437,1.812231,1.280207,,29.7499911776726,41.2447040422197,12.9979657420488, 1.766
PointBall3, 9.34,9.34,,,0.0562951,1.826783,1.255731,,,0.0638359,1.871415,1.267205,,1.84217539242282,15.8008789314852,17.3091519978872, 1.478
