経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.67,-0.67,,,0.3959081,1.634275,1.242954,,,0.3945954,1.631258,1.242349,,45.0005395849294,23.7704390559313,25.7061163203951
0.011, 0.54,-0.54,,,0.3969789,1.632367,1.244053,,,0.3959262,1.629927,1.243567,,45.0005395849294,23.9026219957129,25.5135630477669
0.022, 0.3,-0.3,,,0.3971291,1.63063,1.243893,,,0.3965571,1.629296,1.243627,,45.0005395849294,24.0228230764765,25.4132395244822
0.034, 0.13,-0.13,,,0.3976469,1.629018,1.243738,,,0.397404,1.628449,1.243624,,45.0005395849294,24.1408248363885,25.3873155422089
0.044, 0.08,0.08,,,0.3968838,1.62844,1.242604,,,0.3970426,1.628811,1.24268,,45.0005395849294,24.1856001402465,25.4753037441958
0.055, 0.12,0.12,,,0.396288,1.628802,1.242026,,,0.3965173,1.629336,1.242136,,45.0005395849294,24.1331408737861,25.5955577589239
0.067, 0.25,0.25,,,0.3957231,1.628541,1.241533,,,0.3962023,1.629651,1.241764,,45.0005395849294,24.0839208244493,25.6992895465096
0.077, 0.47,0.47,,,0.3944839,1.628344,1.241403,,,0.3953988,1.630455,1.241842,,45.0005395849294,24.005199481361,25.7873989843509
0.088, 0.47,0.47,,,0.3944341,1.628398,1.24178,,,0.3953478,1.630506,1.242216,,45.0005395849294,23.9752473951367,25.7723452478391
0.1, 0.45,0.45,,,0.3946495,1.628274,1.242137,,,0.3955346,1.630319,1.242558,,45.0005395849294,23.9829774615147,25.7248088400859
0.112, 0.71,0.71,,,0.3945148,1.626765,1.243875,,,0.3958932,1.62996,1.244528,,45.0005395849294,24.0186873970491,25.6312967227615
0.122, 0.77,0.77,,,0.3950177,1.625834,1.244109,,,0.3965214,1.629332,1.244822,,45.0005395849294,24.0773262769892,25.5463599077014
0.133, 0.78,0.78,,,0.3950244,1.625825,1.24404,,,0.3965285,1.629325,1.244754,,45.0005395849294,24.0807072205343,25.5530193419568
0.145, 0.78,0.78,,,0.3948931,1.625906,1.243921,,,0.3964139,1.629439,1.244643,,45.0005395849294,24.0671527105036,25.5822030319209
0.156, 0.9,0.9,,,0.3945039,1.625537,1.244224,,,0.396257,1.629596,1.245058,,45.0005395849294,24.0238629727487,25.6671159413196
0.167, 0.95,0.95,,,0.3936415,1.626076,1.244168,,,0.3955009,1.630352,1.245056,,45.0005395849294,23.9354803273482,25.8377818733615
0.177, 0.87,0.87,,,0.3934414,1.626812,1.244007,,,0.3951404,1.630713,1.244819,,45.0005395849294,23.9153449302353,25.8779126487131
0.189, 0.86,0.86,,,0.3936052,1.62672,1.24371,,,0.395281,1.630572,1.244509,,45.0005395849294,23.9206007606554,25.8348602600253
0.199, 0.75,0.75,,,0.3937796,1.627236,1.244106,,,0.3952449,1.630609,1.244802,,45.0005395849294,23.9200031191196,25.7907901731794
