経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.79,-0.79,,,-0.2743672,1.589551,1.208958,,,-0.2730855,1.585932,1.208133,,46.050527461344,29.0081541072772,22.9779800399111
0.01, 0.46,-0.46,,,-0.2748238,1.587002,1.210554,,,-0.2740792,1.584901,1.210084,,46.050527461344,28.9062476876964,22.8735464504077
0.022, 0.64,-0.64,,,-0.2773622,1.585509,1.213069,,,-0.2763303,1.582566,1.212432,,46.050527461344,28.9440015572831,22.5302184635945
0.033, 0.91,-0.91,,,-0.2797058,1.584798,1.212762,,,-0.2782449,1.58058,1.211849,,46.050527461344,29.1483334908071,22.347761917826
0.045, 0.89,-0.89,,,-0.280753,1.583546,1.212191,,,-0.2793422,1.579442,1.211299,,46.050527461344,29.291579629189,22.2672015463548
0.055, 0.72,-0.72,,,-0.2808776,1.582342,1.212436,,,-0.2797395,1.579029,1.211713,,46.050527461344,29.3198088002432,22.2798869148378
0.066, 0.51,-0.51,,,-0.2801732,1.581764,1.212638,,,-0.2793634,1.57942,1.212127,,46.050527461344,29.2294658906054,22.3473128329006
0.077, 1.12,1.12,,,-0.2772149,1.574558,1.213918,,,-0.2790414,1.579754,1.215044,,46.050527461344,28.9049328763178,22.5712439937026
0.088, 2.07,2.07,,,-0.273629,1.572287,1.214167,,,-0.2770547,1.581815,1.216215,,46.050527461344,28.4905470184518,22.8580948553878
0.099, 2.47,2.47,,,-0.2721618,1.571234,1.213447,,,-0.2762986,1.582599,1.215907,,46.050527461344,28.3095623784084,23.0812678652131
0.11, 2.74,2.74,,,-0.2710275,1.57066,1.213564,,,-0.2756422,1.58328,1.216287,,46.050527461344,28.2176024215297,23.1331926693858
0.122, 2.12,2.12,,,-0.2726667,1.572955,1.214328,,,-0.2761886,1.582713,1.216431,,46.050527461344,28.4356732801869,22.9296410849528
0.132, 1.6,1.6,,,-0.2741424,1.57469,1.214632,,,-0.2767848,1.582094,1.216232,,46.050527461344,28.6399471571046,22.7783745971611
0.143, 1.86,1.86,,,-0.2728584,1.574412,1.219456,,,-0.2758965,1.583016,1.221251,,46.050527461344,28.6753736397963,22.4266779213003
0.155, 2.08,2.08,,,-0.2715561,1.574368,1.222336,,,-0.2749642,1.583983,1.224307,,46.050527461344,28.5461174359926,22.3928514103771
0.165, 2.28,2.28,,,-0.2702731,1.574399,1.223312,,,-0.274031,1.584951,1.225468,,46.050527461344,28.4536896111687,22.4477849127956
0.177, 2.4,2.4,,,-0.269553,1.574359,1.224832,,,-0.2735178,1.585483,1.227077,,46.050527461344,28.3941252406219,22.3970366086746
0.188, 2.08,2.08,,,-0.2709166,1.575022,1.222231,,,-0.2743294,1.584642,1.224218,,46.050527461344,28.5618149178158,22.4462908089562
0.2, 2.07,2.07,,,-0.2709984,1.575016,1.222056,,,-0.2743781,1.584591,1.224053,,46.050527461344,28.6836006024227,22.4202404681867
0.21, 2.25,2.25,,,-0.2710823,1.573844,1.220967,,,-0.2747163,1.58424,1.223198,,46.050527461344,28.9619717844893,22.4359140443484
0.222, 2.32,2.32,,,-0.2706251,1.573863,1.221124,,,-0.2743716,1.584598,1.223445,,46.050527461344,29.0169821265338,22.4531329507669
0.233, 2.23,2.23,,,-0.2705944,1.574458,1.222062,,,-0.2742088,1.584767,1.224267,,46.050527461344,28.8955857626987,22.4589795925337
0.244, 2.3,2.3,,,-0.270154,1.574459,1.222566,,,-0.2738949,1.585092,1.224826,,46.050527461344,28.8137157024906,22.4734749610964
0.255, 2.65,2.65,,,-0.2691135,1.573279,1.222555,,,-0.2734624,1.585541,1.225142,,46.050527461344,28.6476345348015,22.5520460400272
0.266, 3.35,3.35,,,-0.2665112,1.571504,1.223628,,,-0.272083,1.586972,1.226817,,46.050527461344,28.2934055663763,22.6670715450912
0.277, 3,3,,,-0.2675349,1.572658,1.224214,,,-0.2725148,1.586524,1.227048,,46.050527461344,28.3101531897552,22.5760746448586
0.288, 2.23,2.23,,,-0.2706651,1.574336,1.223509,,,-0.2743055,1.584666,1.225634,,46.050527461344,28.6584176956536,22.3254493979758
0.299, 2.37,2.37,,,-0.269699,1.574445,1.22288,,,-0.2735918,1.585407,1.225155,,46.050527461344,28.5601363988739,22.4846764710235
0.311, 2.57,2.57,,,-0.2691294,1.573789,1.223618,,,-0.2733452,1.585663,1.226056,,46.050527461344,28.5238049161424,22.4268657514972
0.321, 2.48,2.48,,,-0.2690336,1.574424,1.223926,,,-0.2731115,1.585905,1.226296,,46.050527461344,28.5379775582757,22.4605266303377
0.333, 2.69,2.69,,,-0.2682798,1.573873,1.223114,,,-0.2727074,1.586324,1.225714,,46.050527461344,28.5622571725522,22.535860199692
0.343, 2.75,2.75,,,-0.2679623,1.573887,1.222516,,,-0.2724656,1.586575,1.225183,,46.050527461344,28.6215654110123,22.5438071245701
0.355, 2.64,2.64,,,-0.268062,1.574477,1.223327,,,-0.2723839,1.58666,1.225878,,46.050527461344,28.6147420522213,22.5167220101702
0.366, 2.75,2.75,,,-0.266772,1.575065,1.224404,,,-0.2712914,1.587793,1.227049,,46.050527461344,28.5697567200522,22.4903369901406
0.378, 3.29,3.29,,,-0.2634904,1.575062,1.227386,,,-0.2689172,1.590256,1.230501,,46.050527461344,28.4158998830899,22.5090158494535
0.388, 3.81,3.81,,,-0.2596479,1.575701,1.230421,,,-0.2659734,1.59331,1.234006,,46.050527461344,28.2922734625529,22.5621683800955
0.399, 4.33,4.33,,,-0.2552747,1.576913,1.234708,,,-0.2624953,1.596918,1.238722,,46.050527461344,28.1560521735369,22.5625320876586
0.411, 2.9,2.9,,,-0.2585929,1.582644,1.238706,,,-0.2632642,1.59612,1.241417,,46.050527461344,28.8532454212121,21.9678668067614
0.422, 2.48,2.48,,,-0.2564358,1.587607,1.23795,,,-0.2603653,1.599127,1.240385,,46.050527461344,29.3067289883466,21.9969617042688
0.433, 2.62,2.62,,,-0.2541069,1.58918,1.243318,,,-0.2582006,1.601373,1.245813,,46.050527461344,29.4417140131572,21.5970763376071
0.444, 3.39,3.39,,,-0.2483479,1.590257,1.251341,,,-0.2536772,1.606065,1.254441,,46.050527461344,29.2235270412874,21.4337579813604
0.455, 4.2,4.2,,,-0.2414646,1.592285,1.254821,,,-0.2481351,1.611814,1.258768,,46.050527461344,29.114653828947,21.7763278171968
0.466, 3.29,3.29,,,-0.2413863,1.598248,1.258178,,,-0.2464414,1.613571,1.261368,,46.050527461344,29.7911908775996,21.4463340668197
0.477, 3.36,3.36,,,-0.2361672,1.60329,1.26025,,,-0.2412803,1.618925,1.263669,,46.050527461344,30.1250300243724,21.615671527105
0.488, 2.6,2.6,,,-0.2363438,1.607963,1.264427,,,-0.2401637,1.620083,1.267072,,46.050527461344,30.6931309927794,21.1187940618337
0.499, 2.18,2.18,,,-0.2339046,1.613126,1.272169,,,-0.2370367,1.623327,1.274292,,46.050527461344,30.9123561533742,20.4934509871331
0.51, 3.04,3.04,,,-0.226176,1.61576,1.274606,,,-0.2306282,1.629975,1.277635,,46.050527461344,30.6961226155526,20.8913265706873
0.522, 4.51,4.51,,,-0.2154834,1.617517,1.28599,,,-0.2223146,1.638599,1.290239,,46.050527461344,29.9591383944275,21.0199783027663
0.533, 4.24,4.24,,,-0.2121777,1.622741,1.297014,,,-0.2184621,1.642595,1.300865,,46.050527461344,30.199055612537,20.4985821666042
0.545, 4.04,4.04,,,-0.2073123,1.629106,1.295794,,,-0.213234,1.648018,1.299816,,46.050527461344,30.6925094455822,20.8736312585875
0.555, 3.62,3.62,,,-0.2047721,1.634459,1.301687,,,-0.2099479,1.651427,1.305278,,46.050527461344,31.0728587642139,20.5107006294019
0.566, 2.8,2.8,,,-0.2040135,1.64037,1.306503,,,-0.2078964,1.653555,1.309236,,46.050527461344,31.5202634631563,19.9504748688888
0.578, 2.36,2.36,,,-0.2008011,1.646482,1.309574,,,-0.2040074,1.657589,1.311907,,46.050527461344,31.858207553506,19.7947755884492
0.588, 2.68,2.68,,,-0.1952315,1.650298,1.311445,,,-0.1988948,1.662893,1.314168,,46.050527461344,31.8564556100326,20.069041826939
0.6, 4.14,4.14,,,-0.1849352,1.651862,1.325666,,,-0.1907725,1.671319,1.329541,,46.050527461344,31.1068526147671,19.9426867459044
0.61, 4.41,4.41,,,-0.1787059,1.656617,1.335874,,,-0.184915,1.677395,1.339867,,46.050527461344,31.0511251028797,19.6959239708897
0.622, 3.95,3.95,,,-0.175,1.663443,1.337659,,,-0.1804563,1.68202,1.341458,,46.050527461344,31.5112612740807,19.8355962128879
0.633, 3.89,3.89,,,-0.1706179,1.668378,1.340427,,,-0.1759304,1.686715,1.344263,,46.050527461344,31.7917703052981,19.8126075043286
0.644, 3.03,3.03,,,-0.1707501,1.673661,1.347821,,,-0.174713,1.687978,1.350705,,46.050527461344,32.3121282527352,19.0464600838064
0.655, 2.08,2.08,,,-0.170411,1.679846,1.350249,,,-0.1730448,1.689708,1.35229,,46.050527461344,32.8942755047794,18.8209613946335
0.666, 1.91,1.91,,,-0.1672064,1.684234,1.352875,,,-0.1695758,1.693307,1.354806,,46.050527461344,33.2918539751131,18.7770449870397
0.678, 3.48,3.48,,,-0.1581384,1.684116,1.361955,,,-0.1625425,1.700603,1.36541,,46.050527461344,32.9350209971393,18.9083741531989
0.689, 4.83,4.83,,,-0.1497536,1.684533,1.37356,,,-0.1559728,1.707418,1.378105,,46.050527461344,32.5203807147337,18.7516503444123
0.7, 6.37,6.37,,,-0.1399057,1.685179,1.380224,,,-0.1483755,1.715299,1.386187,,46.050527461344,32.031745580014,19.12340557776
0.711, 7.77,7.77,,,-0.1315086,1.685112,1.393889,,,-0.1420843,1.721825,1.4008,,46.050527461344,31.5304267843584,19.1273039081203
0.722, 7.41,7.41,,,-0.1298269,1.689264,1.399595,,,-0.1396029,1.724399,1.406052,,46.050527461344,31.959697331559,18.5808922048192
0.736, 7.02,7.02,,,-0.1275243,1.694258,1.398589,,,-0.1365638,1.727551,1.405142,,46.050527461344,32.504978638584,18.6863008037994
0.744, 6.87,6.87,,,-0.1261124,1.696958,1.396157,,,-0.1346913,1.729494,1.40308,,46.050527461344,33.1631493090695,18.8756763310046
0.755, 6.16,6.16,,,-0.1270218,1.700556,1.402892,,,-0.1343215,1.729877,1.408955,,46.050527461344,33.815514318922,18.0940602399901
0.765, 5.03,5.03,,,-0.1295492,1.705074,1.405433,,,-0.1351002,1.72907,1.410541,,46.050527461344,34.8186436838397,17.6212626059675
0.777, 4.34,4.34,,,-0.1290954,1.709924,1.404346,,,-0.1336371,1.730587,1.40915,,46.050527461344,35.7341895354675,17.9240926947714
0.788, 5.81,5.81,,,-0.1208253,1.709836,1.409693,,,-0.1269899,1.737483,1.416125,,46.050527461344,35.5734342076355,18.0429362754752
0.799, 7.68,7.68,,,-0.1115967,1.708014,1.423379,,,-0.1201135,1.744616,1.431174,,46.050527461344,34.7500002845912,17.6764454102838
0.811, 9.39,9.39,,,-0.1015976,1.707667,1.435857,,,-0.1125458,1.752466,1.444749,,46.050527461344,33.9198898518191,17.6339274838836
