経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.12,-0.12,,,-0.1725391,1.656178,1.36969,,,-0.1723562,1.655622,1.369605,,45.0005395849294,27.9794456846297,19.9999595880485
0.01, 0.44,-0.44,,,-0.1739865,1.656765,1.369891,,,-0.1733046,1.654673,1.36957,,45.0005395849294,28.1011596522523,19.9203964241684
0.045, 1.39,-1.39,,,-0.1774504,1.659134,1.368098,,,-0.1753712,1.652607,1.36708,,45.0005395849294,28.5115378967344,19.6398925155928
0.056, 1.53,-1.53,,,-0.1783258,1.659137,1.367726,,,-0.1760453,1.651932,1.366588,,45.0005395849294,28.6409375345067,19.5921016833001
0.067, 1.56,-1.56,,,-0.1785234,1.659125,1.368499,,,-0.1762012,1.651777,1.367343,,45.0005395849294,28.6598042240165,19.557383832715
0.077, 1.59,-1.59,,,-0.1787161,1.659123,1.369008,,,-0.1763512,1.651627,1.367826,,45.0005395849294,28.6889076592601,19.5402673791313
0.088, 1.54,-1.54,,,-0.1790268,1.658511,1.369998,,,-0.1767383,1.65124,1.368849,,45.0005395849294,28.7343318310712,19.5164931988393
0.099, 1.6,-1.6,,,-0.1794017,1.658498,1.370651,,,-0.1770321,1.650946,1.369459,,45.0005395849294,28.7795101160791,19.4675514797035
0.11, 1.67,-1.67,,,-0.1798131,1.658501,1.370829,,,-0.1773506,1.650627,1.369578,,45.0005395849294,28.8459268737201,19.4446464409593
0.122, 1.65,-1.65,,,-0.1797419,1.658488,1.371862,,,-0.1772983,1.650679,1.37063,,45.0005395849294,28.8202692688169,19.4260700344811
0.132, 1.58,-1.58,,,-0.1798761,1.657902,1.372302,,,-0.1775409,1.650437,1.371112,,45.0005395849294,28.8508309494077,19.4580301962655
0.143, 1.74,-1.74,,,-0.1802705,1.658484,1.373377,,,-0.1777088,1.650269,1.37208,,45.0005395849294,28.8778136109729,19.3788119569288
0.153, 2.03,-2.03,,,-0.1815403,1.65897,1.378016,,,-0.1785872,1.649391,1.376575,,45.0005395849294,28.950001878302,19.0454970271602
0.165, 2.08,-2.08,,,-0.1807016,1.660162,1.380496,,,-0.177652,1.650326,1.379055,,45.0005395849294,28.8063595889592,19.0367987814943
0.176, 2.12,-2.12,,,-0.1809745,1.66013,1.382313,,,-0.1778632,1.650115,1.380888,,45.0005395849294,28.7204938681978,18.9711350521883
0.187, 1.85,-1.85,,,-0.1799258,1.659531,1.383325,,,-0.1771872,1.650791,1.382102,,45.0005395849294,28.551870162661,19.0430262062968
0.199, 1.1,-1.1,,,-0.177704,1.657123,1.386039,,,-0.1760478,1.65193,1.385346,,45.0005395849294,28.1837810332482,19.1701155326466
0.209, 0.23,-0.23,,,-0.1746254,1.654782,1.388602,,,-0.1742733,1.653705,1.388465,,45.0005395849294,27.7052665310495,19.4255560627603
0.22, 0.2,0.2,,,-0.173672,1.653029,1.386755,,,-0.1739896,1.653988,1.386881,,45.0005395849294,27.5258545420188,19.6893260083351
0.231, 1.2,-1.2,,,-0.1789104,1.656513,1.383261,,,-0.177115,1.650863,1.382489,,45.0005395849294,28.2847363490135,19.1807313538687
0.242, 1.24,-1.24,,,-0.1791669,1.656521,1.381603,,,-0.17731,1.650668,1.380789,,45.0005395849294,28.3430234742212,19.2073639682487
0.254, 1.31,-1.31,,,-0.1790168,1.657131,1.381327,,,-0.177047,1.650931,1.380471,,45.0005395849294,28.3047300197051,19.2070002606855
0.265, 1.12,-1.12,,,-0.1778106,1.657145,1.38172,,,-0.1761223,1.651855,1.380994,,45.0005395849294,28.2200066480506,19.2600383856621
0.275, 1.07,-1.07,,,-0.1768667,1.657763,1.381348,,,-0.1752537,1.652724,1.38066,,45.0005395849294,28.1659439947271,19.2886756605077
0.287, 0.9,-0.9,,,-0.1758254,1.657773,1.381762,,,-0.1744593,1.653519,1.381184,,45.0005395849294,28.1040300391711,19.3202669920872
0.298, 1.03,-1.03,,,-0.1760247,1.658381,1.381422,,,-0.1744642,1.653514,1.380757,,45.0005395849294,28.1393796822368,19.3139166238831
0.309, 0.75,-0.75,,,-0.1736399,1.659004,1.381351,,,-0.1725038,1.655474,1.380872,,45.0005395849294,28.0695307546334,19.3542181539593
0.32, 0.21,0.21,,,-0.168173,1.658478,1.382578,,,-0.1685007,1.659477,1.382712,,45.0005395849294,27.7390520608388,19.5934147871315
0.331, 0.18,-0.18,,,-0.1694209,1.659656,1.381748,,,-0.1691516,1.658826,1.381636,,45.0005395849294,27.9118404741062,19.4801514708243
0.342, 0.07,0.07,,,-0.1672939,1.660276,1.381329,,,-0.1673941,1.660584,1.381371,,45.0005395849294,27.8628850945924,19.5072707361692
0.354, 0.4,0.4,,,-0.1645809,1.660897,1.381412,,,-0.1651959,1.662782,1.381666,,45.0005395849294,27.83186579134,19.5371630582399
0.365, 1.07,1.07,,,-0.157937,1.663349,1.383119,,,-0.1595865,1.668391,1.38379,,45.0005395849294,27.763497307198,19.5463821058156
0.376, 1.46,1.46,,,-0.1542853,1.664572,1.382831,,,-0.1565322,1.671446,1.383754,,45.0005395849294,27.7920099310948,19.5600971252873
0.387, 2.06,2.06,,,-0.1480642,1.66704,1.384056,,,-0.1512472,1.676731,1.38535,,45.0005395849294,27.7040627102418,19.6189409108968
0.398, 2.43,2.43,,,-0.1432417,1.669502,1.385257,,,-0.1470185,1.680959,1.386777,,45.0005395849294,27.6336007731774,19.6568638276607
0.409, 2.81,2.81,,,-0.1378077,1.672548,1.38573,,,-0.1421728,1.685805,1.387478,,45.0005395849294,27.6424202546977,19.6238022979032
0.42, 2.97,2.97,,,-0.132551,1.676808,1.386527,,,-0.1371542,1.690824,1.388374,,45.0005395849294,27.6823478319273,19.5832190225317
0.431, 3.12,3.12,,,-0.1274103,1.681036,1.387589,,,-0.1322072,1.695771,1.389522,,45.0005395849294,27.8220405644924,19.4357603650964
