経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.93,-0.93,,,0.4840303,1.545113,1.282355,,,0.4817621,1.541064,1.281939,,45.0005634905908,16.5341953411281,29.7091124966276
0.01, 0.85,-0.85,,,0.4828861,1.545734,1.282662,,,0.4808064,1.54202,1.282284,,45.0005634905908,16.5299947749054,29.6926210053355
0.021, 1.01,-1.01,,,0.4847068,1.544969,1.283296,,,0.4822604,1.540566,1.282856,,45.0005634905908,16.6858255364829,29.4926433172862
0.032, 1.05,-1.05,,,0.4842809,1.545662,1.28358,,,0.4817487,1.541078,1.283126,,45.0005634905908,16.8077375795859,29.3469553863439
0.045, 0.93,-0.93,,,0.4824741,1.54667,1.283407,,,0.48024,1.542586,1.283011,,45.0005634905908,17.0110159564598,29.1041455832014
0.055, 1.01,-1.01,,,0.4818354,1.547796,1.283549,,,0.4794429,1.543384,1.283131,,45.0005634905908,17.1827303225101,28.8772671958545
0.066, 1.13,-1.13,,,0.4810142,1.549435,1.283382,,,0.4783393,1.544487,1.282921,,45.0005634905908,17.2357923531481,28.7931978147949
0.078, 1.22,-1.22,,,0.4802752,1.550797,1.283591,,,0.4773804,1.545446,1.283095,,45.0005634905908,17.2114563898125,28.8034260227923
0.09, 1.3,-1.3,,,0.4793091,1.552332,1.283828,,,0.4762097,1.546617,1.283302,,45.0005634905908,17.1449815755652,28.8559535911426
0.099, 1.18,-1.18,,,0.4774913,1.553329,1.282991,,,0.4746743,1.548152,1.282513,,45.0005634905908,17.0704146949239,28.9423793874004
0.11, 1.05,-1.05,,,0.4755723,1.554331,1.282454,,,0.4730718,1.549755,1.282025,,45.0005634905908,16.9956241255935,29.0480526562036
0.122, 1.1,-1.1,,,0.4743242,1.555915,1.281976,,,0.471698,1.551129,1.281519,,45.0005634905908,16.9175550655527,29.1569566043943
0.133, 0.89,-0.89,,,0.4728049,1.556069,1.282288,,,0.4706598,1.552167,1.281913,,45.0005634905908,16.8848879792089,29.2088489651695
0.144, 0.91,-0.91,,,0.4731619,1.555828,1.282393,,,0.4709791,1.551847,1.282011,,45.0005634905908,16.937999528717,29.1479202643738
0.155, 0.84,-0.84,,,0.4722573,1.556235,1.282527,,,0.4702539,1.552573,1.282178,,45.0005634905908,16.9873852101365,29.0877531296495
0.167, 0.6,-0.6,,,0.4704579,1.556413,1.282711,,,0.4690325,1.553794,1.282463,,45.0005634905908,17.1006604792744,28.9558143691239
0.177, 0.55,-0.55,,,0.4695567,1.556989,1.283488,,,0.4682524,1.554574,1.283261,,45.0005634905908,17.2636168355051,28.7740971913125
0.189, 0.48,-0.48,,,0.4701898,1.555843,1.284989,,,0.4690751,1.553751,1.284799,,45.0005634905908,17.534155498359,28.4422336767021
0.2, 0.51,-0.51,,,0.4716385,1.554613,1.286084,,,0.4704588,1.552368,1.285888,,45.0005634905908,17.8171558410069,28.0919576801491
0.21, 0.45,-0.45,,,0.4729893,1.552855,1.287759,,,0.4719585,1.550868,1.287591,,45.0005634905908,18.0834461263152,27.7643920619544
0.221, 0.49,-0.49,,,0.473756,1.552391,1.288697,,,0.4726256,1.550201,1.288514,,45.0005634905908,18.1862319327272,27.6444368679941
0.233, 0.27,-0.27,,,0.4725343,1.552085,1.288152,,,0.4719223,1.550904,1.288051,,45.0005634905908,18.103029985668,27.7602051561097
0.244, 0.43,-0.43,,,0.471831,1.553871,1.287332,,,0.4708406,1.551986,1.287166,,45.0005634905908,17.8282702660245,28.0839270854559
0.255, 0.01,0.01,,,0.4665908,1.556148,1.286419,,,0.4666213,1.556205,1.286424,,45.0005634905908,17.4475265039792,28.5586354648456
0.266, 0.27,0.27,,,0.4623636,1.55867,1.285129,,,0.4629971,1.559829,1.28524,,45.0005634905908,17.029438683686,29.0617369398249
0.277, 0.44,0.44,,,0.4578534,1.562013,1.283629,,,0.4589137,1.563913,1.28382,,45.0005634905908,16.5880752868964,29.6053380203608
0.288, 0.64,0.64,,,0.4538569,1.564656,1.282622,,,0.4554162,1.56741,1.282907,,45.0005634905908,16.3022950573337,29.9631101493193
0.299, 0.73,0.73,,,0.4519692,1.56591,1.282573,,,0.4537571,1.569069,1.2829,,45.0005634905908,16.3116490011418,29.9516081110771
0.311, 0.62,0.62,,,0.4521147,1.56652,1.283243,,,0.4536164,1.56921,1.283511,,45.0005634905908,16.5676069180707,29.6017282654849
0.321, 0.61,0.61,,,0.4526168,1.566055,1.284225,,,0.4540938,1.568733,1.284483,,45.0005634905908,16.8055160606202,29.2923958367721
0.333, 0.62,0.62,,,0.4499349,1.568687,1.283685,,,0.4514175,1.571409,1.28394,,45.0005634905908,17.0679250910407,28.971462332077
0.344, 0.69,0.69,,,0.4473757,1.570766,1.282473,,,0.4490225,1.573804,1.282756,,45.0005634905908,17.1736888598479,28.8559535911426
0.357, 0.8,0.8,,,0.4438927,1.57351,1.281791,,,0.445801,1.577026,1.282118,,45.0005634905908,17.1387012167982,28.8868704415603
0.366, 0.84,0.84,,,0.4400256,1.577111,1.280319,,,0.4420331,1.580793,1.280664,,45.0005634905908,17.0468522504904,28.9874620497625
0.377, 0.97,0.97,,,0.4355165,1.580725,1.2794,,,0.4378465,1.58498,1.2798,,45.0005634905908,16.9487912273053,29.0990605075058
0.388, 1.01,1.01,,,0.4316855,1.584288,1.277853,,,0.4341168,1.58871,1.278272,,45.0005634905908,16.8617797423425,29.2009327761417
0.399, 1.14,1.14,,,0.4274045,1.587677,1.276054,,,0.4301568,1.59267,1.276534,,45.0005634905908,16.8185992876113,29.2725814585413
0.41, 1.26,1.26,,,0.4234234,1.590876,1.274414,,,0.4264542,1.596372,1.274946,,45.0005634905908,16.818681249879,29.2895749687234
0.421, 1.35,1.35,,,0.4200694,1.593645,1.272963,,,0.4233004,1.599526,1.273534,,45.0005634905908,16.90988988597,29.2020734177013
0.432, 1.29,1.29,,,0.4175774,1.596555,1.272316,,,0.4206411,1.602185,1.27285,,45.0005634905908,17.1031688661772,28.9592909353147
0.444, 1.3,1.3,,,0.4146202,1.599424,1.271324,,,0.4176947,1.605132,1.271849,,45.0005634905908,17.3036980919867,28.6960076407047
0.455, 1.24,1.24,,,0.4119475,1.602509,1.270798,,,0.4148618,1.607965,1.271286,,45.0005634905908,17.464420976421,28.4824771501719
0.466, 1.22,1.22,,,0.4079319,1.60664,1.269177,,,0.4107995,1.612027,1.269653,,45.0005634905908,17.5319220265626,28.3918354197663
0.477, 1.17,1.17,,,0.4035576,1.611402,1.267796,,,0.406296,1.616531,1.268248,,45.0005634905908,17.4599369573557,28.4635011776384
0.488, 1.11,1.11,,,0.3990266,1.6163,1.26588,,,0.4016448,1.621182,1.266309,,45.0005634905908,17.3541356225091,28.5661930689519
0.499, 1.17,1.17,,,0.3935282,1.621392,1.26362,,,0.3963013,1.626525,1.264078,,45.0005634905908,17.1973025306989,28.7429788503198
0.51, 1.03,1.03,,,0.3891156,1.626767,1.262079,,,0.3915569,1.63127,1.262483,,45.0005634905908,17.1189534329099,28.8324030995398
0.522, 0.85,0.85,,,0.385133,1.631931,1.261032,,,0.3871603,1.635666,1.261364,,45.0005634905908,17.0867286013025,28.8462786284525
0.533, 0.73,0.73,,,0.3817472,1.636119,1.259751,,,0.3834886,1.639338,1.26003,,45.0005634905908,17.1364182261316,28.7553175867121
0.544, 0.43,0.43,,,0.378932,1.640966,1.259767,,,0.3799583,1.642868,1.259928,,45.0005634905908,17.1757123033332,28.6717877905819
0.555, 0.13,0.13,,,0.3762521,1.64571,1.259164,,,0.3765542,1.646272,1.25921,,45.0005634905908,17.2394123533075,28.5649858330497
0.566, 0.08,-0.08,,,0.3728144,1.650567,1.259172,,,0.3726208,1.650206,1.259143,,45.0005634905908,17.2719121000213,28.4928095185514
0.577, 0.36,-0.36,,,0.3697195,1.655539,1.258197,,,0.3688712,1.653955,1.258072,,45.0005634905908,17.2770176662838,28.4685743005033
0.588, 0.44,-0.44,,,0.3657763,1.659994,1.25685,,,0.3647494,1.658077,1.256698,,45.0005634905908,17.2641581279818,28.4806364142419
0.599, 0.58,-0.58,,,0.3615586,1.665194,1.255192,,,0.3601866,1.66264,1.254988,,45.0005634905908,17.216073597563,28.5453541623741
0.61, 0.82,-0.82,,,0.3577353,1.670601,1.254327,,,0.355805,1.667022,1.25404,,45.0005634905908,17.1324071976531,28.6342456568536
0.622, 0.98,-0.98,,,0.3534875,1.675966,1.253264,,,0.3511621,1.671664,1.252924,,45.0005634905908,17.0605467793951,28.6894404140005
0.633, 1.27,-1.27,,,0.3501901,1.681193,1.252717,,,0.3471862,1.67564,1.25229,,45.0005634905908,17.0187426077434,28.6889725460554
0.644, 1.56,-1.56,,,0.3472143,1.686154,1.252076,,,0.3435172,1.679309,1.251564,,45.0005634905908,17.0319573158723,28.6396619967147
0.654, 1.78,-1.78,,,0.3446711,1.690186,1.252087,,,0.340464,1.682363,1.251519,,45.0005634905908,17.1152053667072,28.5189708498918
0.666, 2.19,-2.19,,,0.3428024,1.694828,1.25229,,,0.3376417,1.685185,1.251616,,45.0005634905908,17.2002121912043,28.3891631083279
0.677, 2.41,-2.41,,,0.3400408,1.69904,1.251731,,,0.3343852,1.688441,1.251014,,45.0005634905908,17.2458976177439,28.3072435292497
0.689, 2.49,-2.49,,,0.3367169,1.702929,1.251207,,,0.3308627,1.691964,1.250473,,45.0005634905908,17.2266040414228,28.3157693126439
0.7, 2.66,-2.66,,,0.3333002,1.707487,1.250628,,,0.3270437,1.695783,1.249851,,45.0005634905908,17.1920808512237,28.3424838892917
0.71, 2.82,-2.82,,,0.3302717,1.711594,1.25001,,,0.3236257,1.699201,1.24919,,45.0005634905908,17.1152412251993,28.4150324490895
0.722, 2.77,-2.77,,,0.3263603,1.715211,1.249016,,,0.3197965,1.70303,1.248201,,45.0005634905908,17.0084717110648,28.5340945958406
0.732, 2.89,-2.89,,,0.3230038,1.719396,1.248266,,,0.3161284,1.706698,1.247394,,45.0005634905908,16.9126253766565,28.6578029786454
0.744, 2.88,-2.88,,,0.319655,1.722656,1.248176,,,0.3128074,1.710019,1.24731,,45.0005634905908,16.892869055032,28.6751823945049
0.755, 3.02,-3.02,,,0.3178559,1.725413,1.24962,,,0.3106944,1.712132,1.248746,,45.0005634905908,16.9826621344568,28.5435953887117
0.766, 3.18,-3.18,,,0.316318,1.727989,1.250517,,,0.3088248,1.714002,1.249635,,45.0005634905908,17.1111209136971,28.3732197397015
0.777, 3.23,-3.23,,,0.3146915,1.729938,1.251656,,,0.3071162,1.71571,1.250783,,45.0005634905908,17.2394345514216,28.2198990725742
0.788, 3.33,-3.33,,,0.3124587,1.732868,1.251809,,,0.3046533,1.718173,1.250919,,45.0005634905908,17.2896057045738,28.1587740038454
0.799, 3.3,-3.3,,,0.3093853,1.735704,1.252064,,,0.3016466,1.72118,1.251175,,45.0005634905908,17.2224529940703,28.234932318519
0.811, 3.23,-3.23,,,0.3050956,1.73955,1.252038,,,0.2974758,1.725351,1.25115,,45.0005634905908,17.0668425060874,28.4109343357015
0.821, 3.26,-3.26,,,0.301415,1.743456,1.251609,,,0.2936781,1.729149,1.250699,,45.0005634905908,16.8935742720442,28.5986006081145
0.833, 3.21,-3.21,,,0.2981119,1.746462,1.251787,,,0.2904544,1.732372,1.250878,,45.0005634905908,16.7849520691488,28.7215730380567
0.844, 3.05,-3.05,,,0.2954849,1.74798,1.252471,,,0.2882344,1.734592,1.251612,,45.0005634905908,16.863651214123,28.6369606569731
0.855, 3.02,-3.02,,,0.2936362,1.749637,1.253689,,,0.2864938,1.736333,1.252861,,45.0005634905908,17.0530830903873,28.4186985530245
0.866, 2.98,-2.98,,,0.2915409,1.751426,1.254643,,,0.2845404,1.738286,1.253844,,45.0005634905908,17.2213225977941,28.2312354787336
0.877, 2.92,-2.92,,,0.2890601,1.753497,1.255527,,,0.2822257,1.740601,1.254757,,45.0005634905908,17.3338021499158,28.1015865390636
0.888, 2.75,-2.75,,,0.2853397,1.756024,1.255696,,,0.2789208,1.743906,1.254982,,45.0005634905908,17.3399322445253,28.0838621986606
0.899, 2.71,-2.71,,,0.2814511,1.759662,1.256077,,,0.2750997,1.747727,1.255372,,45.0005634905908,17.2325770416858,28.1948988733603
0.91, 2.57,-2.57,,,0.2767407,1.763449,1.256383,,,0.2706861,1.752141,1.255709,,45.0005634905908,17.093213865739,28.3408070778972
0.922, 2.55,-2.55,,,0.273068,1.766983,1.256385,,,0.2670492,1.755777,1.255722,,45.0005634905908,17.013268211276,28.4151178264517
0.933, 2.37,-2.37,,,0.2687452,1.770133,1.257235,,,0.2631384,1.759688,1.256628,,45.0005634905908,17.0188126171804,28.3950029199058
0.944, 2.3,-2.3,,,0.2655275,1.772856,1.257913,,,0.2601095,1.762717,1.257331,,45.0005634905908,17.1208214895959,28.2837135282138
0.955, 2.16,-2.16,,,0.2621165,1.775266,1.258623,,,0.2570717,1.765755,1.258083,,45.0005634905908,17.2893171290894,28.1054575486679
