経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.96,-0.96,,,0.1495855,1.563841,0.9118508,,,0.1485156,1.55992,0.9144362,,45.7999961295596,17.94661695048,35.2761912134172
0.011, 0.43,-0.43,,,0.1497672,1.560915,0.9125481,,,0.1492934,1.55916,0.9137037,,45.7999961295596,17.879698173949,35.2078995689012
0.021, 0.27,0.27,,,0.1497976,1.558034,0.914386,,,0.1500869,1.559123,0.9136679,,45.7999961295596,17.7086514588714,35.1888023605133
0.032, 1,1,,,0.1505955,1.555352,0.9166645,,,0.1516605,1.559429,0.9139634,,45.7999961295596,17.4766726279038,35.2223898148222
0.044, 1.69,1.69,,,0.1511435,1.552665,0.9186739,,,0.1529191,1.559562,0.9140918,,45.7999961295596,17.2977507049324,35.2364463437429
0.055, 2.17,2.17,,,0.1517972,1.551649,0.9208404,,,0.1540491,1.56046,0.914957,,45.7999961295596,17.1310274994792,35.3317104045407
0.066, 2.4,2.4,,,0.1517892,1.551724,0.9224455,,,0.1542801,1.561449,0.9159107,,45.7999961295596,17.0147623151153,35.4877221661261
0.077, 2.16,2.16,,,0.1524411,1.552692,0.9217997,,,0.1547018,1.561449,0.9159102,,45.7999961295596,17.0600464680524,35.5372478664197
0.088, 1.71,1.71,,,0.1523254,1.554695,0.9207258,,,0.1541299,1.561621,0.9160759,,45.7999961295596,17.1737571617377,35.5267942621859
0.101, 1.52,1.52,,,0.1526455,1.555793,0.9205464,,,0.1542721,1.561961,0.9164038,,45.7999961295596,17.2667006658296,35.5794447739378
0.112, 0.84,0.84,,,0.152197,1.560876,0.9209521,,,0.1531262,1.564294,0.9186535,,45.7999961295596,17.5040104592961,35.7188011196956
0.122, 0.36,0.36,,,0.1515222,1.564825,0.9215715,,,0.1519287,1.566296,0.920583,,45.7999961295596,17.6564824754426,35.7786028393096
0.133, 0.05,0.05,,,0.151554,1.568296,0.9228134,,,0.1516054,1.568481,0.9226893,,45.7999961295596,17.7441513660947,35.7821340470122
0.143, 0.26,-0.26,,,0.1513428,1.571176,0.9235721,,,0.1510499,1.570125,0.9242746,,45.7999961295596,17.8479019367001,35.6863577220409
0.156, 0.36,-0.36,,,0.1506759,1.572859,0.92452,,,0.1502674,1.571393,0.9254968,,45.7999961295596,17.9138491188487,35.6103889451115
0.166, 0.16,-0.16,,,0.1498676,1.573898,0.926847,,,0.1496878,1.573244,0.9272813,,45.7999961295596,17.8564908993424,35.4788224298853
0.177, 0.23,-0.23,,,0.1498557,1.575982,0.9284239,,,0.149603,1.575064,0.9290353,,45.7999961295596,17.8194115109175,35.5319305642988
0.188, 0.2,-0.2,,,0.1485071,1.57715,0.929713,,,0.1482818,1.576334,0.9302592,,45.7999961295596,17.741999856566,35.6631419096981
0.199, 0.38,-0.38,,,0.1476882,1.579414,0.9307379,,,0.1472663,1.577891,0.9317605,,45.7999961295596,17.7023062133091,35.7601852347251
0.21, 0.55,-0.55,,,0.1454189,1.583319,0.9333539,,,0.1447994,1.5811,0.9348538,,45.7999961295596,17.6380307199133,35.9403963558665
0.221, 0.83,-0.83,,,0.1434945,1.588118,0.9360981,,,0.1425468,1.584761,0.9383833,,45.7999961295596,17.5930488028386,36.1542324973561
0.232, 0.85,-0.85,,,0.1418984,1.590896,0.93864,,,0.1409306,1.587462,0.9409868,,45.7999961295596,17.4953566098585,36.2417647842286
0.244, 0.57,-0.57,,,0.1402373,1.591223,0.94085,,,0.1395998,1.58894,0.9424118,,45.7999961295596,17.3901307184334,36.2222338588405
0.254, 0.44,-0.44,,,0.1400943,1.590769,0.9412827,,,0.1396072,1.589013,0.942482,,45.7999961295596,17.3664163022951,36.1549155162541
0.266, 0.35,-0.35,,,0.1390042,1.592699,0.9437332,,,0.1386202,1.5913,0.944687,,45.7999961295596,17.2968661954595,36.0944102871753
0.277, 0.21,-0.21,,,0.136842,1.593826,0.9457078,,,0.136607,1.592967,0.9462941,,45.7999961295596,17.2465430706025,36.1048365706532
0.288, 0.29,-0.29,,,0.1355542,1.595951,0.9472781,,,0.1352394,1.594803,0.9480642,,45.7999961295596,17.2027991252805,36.1793983286528
0.298, 0.45,-0.45,,,0.1328414,1.599677,0.949791,,,0.1323459,1.597879,0.9510291,,45.7999961295596,17.1319427448025,36.3357140336478
0.31, 0.55,-0.55,,,0.128556,1.603736,0.9530293,,,0.1279436,1.601537,0.9545556,,45.7999961295596,17.0626999964711,36.5666973645716
0.321, 0.54,-0.54,,,0.1254427,1.605671,0.954946,,,0.1248386,1.603505,0.9564526,,45.7999961295596,17.0403157596365,36.6106769514135
0.332, 0.42,-0.42,,,0.1239273,1.605935,0.9559928,,,0.1234582,1.604245,0.9571661,,45.7999961295596,17.0319692687031,36.5533784960607
0.344, 0.3,-0.3,,,0.1212712,1.606099,0.956977,,,0.120942,1.604906,0.9578035,,45.7999961295596,17.0176685605263,36.4870505308764
0.355, 0.19,-0.19,,,0.1190022,1.607129,0.9587097,,,0.1187967,1.606382,0.9592265,,45.7999961295596,17.0081097110489,36.4628306807536
0.366, 0.16,-0.16,,,0.1154853,1.608947,0.9606646,,,0.1153139,1.608323,0.9610971,,45.7999961295596,16.9708954263916,36.4835534741187
0.377, 0.13,-0.13,,,0.1124827,1.610946,0.9627793,,,0.1123423,1.610436,0.9631339,,45.7999961295596,16.9280086697865,36.5335743631133
0.388, 0.11,-0.11,,,0.1088424,1.612313,0.964226,,,0.1087234,1.611881,0.964527,,45.7999961295596,16.8917881776259,36.5799376859092
0.4, 0.07,-0.07,,,0.1045988,1.615069,0.9671334,,,0.1045215,1.614788,0.9673297,,45.7999961295596,16.813830108156,36.6837736338768
0.412, 0.38,-0.38,,,0.1002698,1.618895,0.9687788,,,0.09985097,1.617389,0.9698371,,45.7999961295596,16.8018431264962,36.846502886324
0.423, 0.83,-0.83,,,0.09681851,1.622108,0.9688578,,,0.09588455,1.618796,0.9711931,,45.7999961295596,16.8624508084098,36.9830759300725
0.433, 1.18,-1.18,,,0.09361506,1.624921,0.9692323,,,0.09227364,1.62021,0.9725567,,45.7999961295596,16.9388311042253,37.0425976119383
0.444, 1.49,-1.49,,,0.09138876,1.628146,0.9703023,,,0.08969121,1.622215,0.9744891,,45.7999961295596,16.983702030729,37.0663256884546
0.455, 1.66,-1.66,,,0.08953627,1.630139,0.9711151,,,0.0876482,1.623546,0.9757727,,45.7999961295596,16.9735865208497,37.0872363120167
0.466, 1.73,-1.73,,,0.08770574,1.63218,0.9726257,,,0.08573933,1.625317,0.9774793,,45.7999961295596,16.9572948125853,37.1127846338962
0.477, 1.7,-1.7,,,0.08588395,1.634219,0.9747509,,,0.08394517,1.627454,0.9795393,,45.7999961295596,16.9415273213251,37.1358433518925
0.489, 1.58,-1.58,,,0.08492477,1.634075,0.9754202,,,0.08313045,1.627793,0.9798663,,45.7999961295596,16.9107709803484,37.1210833135068
0.5, 1.71,-1.71,,,0.08273587,1.636575,0.9769695,,,0.08080104,1.629785,0.9817867,,45.7999961295596,16.8403500244179,37.1667260513653
0.51, 1.69,-1.69,,,0.0796422,1.638706,0.9791706,,,0.07773192,1.632013,0.9839345,,45.7999961295596,16.7909233618646,37.2493884134951
0.522, 1.84,-1.84,,,0.07584095,1.642359,0.9816848,,,0.07375686,1.635084,0.9868945,,45.7999961295596,16.7046922259927,37.4101437413271
0.533, 1.97,-1.97,,,0.07270589,1.645562,0.9838575,,,0.07046479,1.637767,0.9894812,,45.7999961295596,16.5925371078475,37.6000229949696
0.544, 2.05,-2.05,,,0.07069291,1.647999,0.9857173,,,0.06836411,1.63993,0.9915668,,45.7999961295596,16.5340877656517,37.7338332272757
0.556, 2.12,-2.12,,,0.06762445,1.65007,0.9872444,,,0.0652153,1.641731,0.993303,,45.7999961295596,16.5004542075672,37.7900593429586
0.566, 1.89,-1.89,,,0.06619643,1.650287,0.9889371,,,0.06405166,1.642822,0.9943544,,45.7999961295596,16.4688970269326,37.7402740954838
0.578, 1.83,-1.83,,,0.06499868,1.650878,0.9899228,,,0.06294085,1.643652,0.995155,,45.7999961295596,16.4252213835003,37.6543264124546
0.588, 1.45,-1.45,,,0.06278478,1.65113,0.9926873,,,0.06116973,1.645399,0.996839,,45.7999961295596,16.3134231427293,37.6266470716134
0.6, 1.13,-1.13,,,0.06015116,1.652054,0.9957128,,,0.05890909,1.647591,0.9989514,,45.7999961295596,16.1597951170979,37.6195709958302
0.611, 1.13,-1.13,,,0.05885765,1.653268,0.9968549,,,0.0576099,1.648789,1.000107,,45.7999961295596,16.1600170982397,37.6350755248146
0.622, 1.21,-1.21,,,0.05708762,1.653822,0.9968632,,,0.05574372,1.649028,1.000337,,45.7999961295596,16.2561827439829,37.6157324296234
0.633, 1.61,-1.61,,,0.05291291,1.656686,0.9969634,,,0.0511018,1.650318,1.00158,,45.7999961295596,16.3866735044447,37.6799737720743
0.645, 1.79,-1.79,,,0.04959358,1.659126,0.9981565,,,0.04756536,1.652079,1.003278,,45.7999961295596,16.4577143000252,37.7807395500955
