経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.28,-0.28,,,-0.1961653,1.794294,1.297451,,,-0.1957329,1.793037,1.297087,,36.5936117242471,24.9546640514632,24.3914876493108
0.011, 0.79,0.79,,,-0.194844,1.78914,1.295687,,,-0.1960994,1.792746,1.296745,,36.6632045197637,25.004867648013,24.6396881791058
0.023, 1.74,1.74,,,-0.1937334,1.78452,1.294211,,,-0.1965123,1.792427,1.296552,,36.7393099004728,25.0434189421631,24.8400090841513
0.034, 2.66,2.66,,,-0.1923177,1.780359,1.293894,,,-0.1965865,1.792425,1.297478,,36.7408945043161,24.8983628037015,24.9539673721872
0.043, 3.69,3.69,,,-0.1902996,1.776014,1.294269,,,-0.1962595,1.79276,1.299226,,36.6624224631255,24.5540307791083,25.0011503176607
0.055, 4.71,4.71,,,-0.1885105,1.771562,1.295116,,,-0.1961784,1.792921,1.301399,,36.6260482917128,24.1260989489478,25.0548799992714
0.066, 5.71,5.71,,,-0.1858859,1.767774,1.295202,,,-0.195272,1.793648,1.302766,,36.4526195482285,23.6636866172692,25.1378855783975
0.077, 6.52,6.52,,,-0.1829296,1.765307,1.295489,,,-0.1937301,1.794828,1.304094,,36.1684597810014,23.1888587095724,25.2257969407584
0.088, 7.06,7.06,,,-0.1804422,1.76401,1.295895,,,-0.1921944,1.79598,1.305181,,35.8891152970051,22.7856846069169,25.2586638101299
0.099, 7.37,7.37,,,-0.1789831,1.763338,1.296062,,,-0.191212,1.796705,1.305743,,35.7121792514796,22.6386716193126,25.2099901759115
0.11, 6.98,6.98,,,-0.1795349,1.765146,1.29534,,,-0.1910323,1.796797,1.304541,,35.6883316466561,22.8869763094895,25.106956775149
0.121, 6.76,6.76,,,-0.1795882,1.766393,1.295133,,,-0.1906667,1.797043,1.304061,,35.6273585496321,22.9845216534066,25.0584846315056
0.132, 7.02,7.02,,,-0.1784155,1.765769,1.295083,,,-0.1898702,1.797622,1.304372,,35.4850276565735,22.9379841607918,25.0019989686415
0.144, 7.21,7.21,,,-0.1769907,1.765718,1.293908,,,-0.188666,1.798445,1.303449,,35.2804908173801,23.0010814465885,24.8957024450938
0.155, 7.28,7.28,,,-0.1746701,1.766922,1.292569,,,-0.1863547,1.80002,1.302224,,34.8865630830562,23.011985843295,24.7655036752109
0.166, 7.24,7.24,,,-0.1721952,1.768845,1.291457,,,-0.1837215,1.801793,1.301104,,34.4389090822161,22.9954431255855,24.6836643508531
0.177, 7.04,7.04,,,-0.1699881,1.771408,1.289678,,,-0.1811307,1.803462,1.299114,,34.0117319879379,23.0749345724814,24.6532017080026
0.188, 6.77,6.77,,,-0.1677425,1.774472,1.289549,,,-0.1783817,1.805273,1.298636,,33.5444753447253,22.9374411607679,24.5930636015814
0.199, 6.46,6.46,,,-0.1658938,1.777365,1.289424,,,-0.1759688,1.80683,1.298089,,33.1382566853321,22.8312317221297,24.438655226859
0.21, 6.03,6.03,,,-0.1644527,1.780765,1.290296,,,-0.1737345,1.808286,1.298327,,32.7548986684547,22.6463538743678,24.2000425748446
0.223, 5.69,5.69,,,-0.1629841,1.783594,1.291047,,,-0.1716465,1.809631,1.298595,,32.3975705017798,22.4831482162392,23.9761045838537
0.233, 5.36,5.36,,,-0.1613261,1.786514,1.291481,,,-0.1693914,1.811047,1.298569,,32.0169582208724,22.3541276539553,23.8039599158976
0.244, 5.1,5.1,,,-0.1586876,1.789539,1.290931,,,-0.1663044,1.812909,1.297681,,31.5092873494655,22.2403110923407,23.6986998735277
0.254, 4.85,4.85,,,-0.1557223,1.792633,1.290131,,,-0.1629339,1.814887,1.296565,,30.9613251932659,22.1201424549748,23.6420400408445
0.265, 4.64,4.64,,,-0.1524068,1.795704,1.289419,,,-0.1592546,1.817007,1.295582,,30.3649369971985,21.9844675810772,23.5539903671568
0.277, 4.24,4.24,,,-0.149968,1.799306,1.289634,,,-0.1561604,1.818776,1.295259,,29.8594449560762,21.8374819142288,23.4220174556863
0.288, 3.9,3.9,,,-0.1479885,1.802313,1.290416,,,-0.1536077,1.820242,1.295594,,29.435314126083,21.7100903520166,23.2530761463618
0.299, 3.69,3.69,,,-0.1458722,1.80471,1.29183,,,-0.1511213,1.821689,1.29673,,29.0120814659407,21.4760727096384,23.095158762051
0.31, 3.57,3.57,,,-0.1429189,1.807059,1.29345,,,-0.1479414,1.823501,1.298187,,28.4742775083015,21.1150579484617,22.9491720103409
0.321, 3.63,3.63,,,-0.1393926,1.808734,1.295922,,,-0.1444684,1.82547,1.300725,,27.8803959915898,20.5248476583266,22.8349183166316
0.332, 3.7,3.7,,,-0.1355624,1.810426,1.297714,,,-0.1407167,1.827497,1.302595,,27.25578374711,19.9747322850511,22.7518973695804
0.344, 3.77,3.77,,,-0.131482,1.812141,1.298797,,,-0.1367301,1.829558,1.303762,,26.605450718479,19.4892526976401,22.7006077729827
0.355, 3.84,3.84,,,-0.1274107,1.813816,1.300651,,,-0.1327501,1.831577,1.305692,,25.9548786332337,18.9031558888182,22.6342968832709
0.366, 3.87,3.87,,,-0.1236214,1.815512,1.301831,,,-0.1289781,1.833416,1.306892,,25.347929257456,18.457306765416,22.5433614547392
0.377, 3.78,3.78,,,-0.1194998,1.817937,1.302551,,,-0.1246956,1.835427,1.307495,,24.6678439256284,18.1348979399012,22.4711885553353
0.388, 3.72,3.72,,,-0.1161492,1.819783,1.302554,,,-0.121221,1.837,1.307429,,24.1220964582055,17.9965797828683,22.399089080463
0.399, 3.56,3.56,,,-0.1125527,1.822211,1.302711,,,-0.1173536,1.838705,1.307383,,23.5171910164801,17.8477243517866,22.2789050751719
0.41, 3.51,3.51,,,-0.1089714,1.824043,1.302825,,,-0.1136447,1.840297,1.307432,,22.9391760287688,17.7103572985692,22.1616700039729
0.422, 3.4,3.4,,,-0.1058386,1.82594,1.303287,,,-0.1103196,1.841692,1.307766,,22.42132305314,17.5878732271391,22.0875692837295
0.432, 3.29,3.29,,,-0.1023539,1.8279,1.302856,,,-0.1066654,1.843167,1.307222,,21.8600471510713,17.584053443952,22.0727785094934
0.444, 3.33,3.33,,,-0.09850471,1.829205,1.302566,,,-0.1028543,1.844667,1.307005,,21.2750431724862,17.5038072611739,22.077431575736
0.455, 3.52,3.52,,,-0.09424164,1.82986,1.301779,,,-0.0988363,1.846193,1.306481,,20.6631726455485,17.4346618430354,22.1059254166131
0.466, 3.6,3.6,,,-0.08993773,1.831047,1.301909,,,-0.09463799,1.847754,1.30672,,20.0207284851893,17.2357821078646,22.1083313506813
0.477, 3.78,3.78,,,-0.08602459,1.831561,1.302268,,,-0.0909647,1.849083,1.307298,,19.4580711773994,16.9736804359482,22.0970495860336
0.488, 3.99,3.99,,,-0.08344227,1.831415,1.303453,,,-0.088663,1.849915,1.308738,,19.099916557858,16.6259896659241,22.0560599144177
0.499, 4.23,4.23,,,-0.07861491,1.831856,1.304762,,,-0.08414461,1.851472,1.310338,,18.4092017444303,16.2121451005347,21.9958398457288
0.51, 4.49,4.49,,,-0.07479813,1.831757,1.30583,,,-0.08065452,1.852631,1.311742,,17.8789741739171,15.8981630206738,21.913686332678
0.521, 4.69,4.69,,,-0.07189846,1.831719,1.306695,,,-0.07796279,1.853497,1.312856,,17.4726223258387,15.6932249078778,21.8289697912125
0.532, 4.81,4.81,,,-0.06974505,1.831757,1.307274,,,-0.07592285,1.854137,1.313618,,17.1662610293322,15.6024055925587,21.7658503073016
0.543, 4.97,4.97,,,-0.0667372,1.831911,1.306735,,,-0.07307349,1.855004,1.313318,,16.7396098596055,15.7013033138939,21.7676927507789
0.555, 5.01,5.01,,,-0.06309596,1.832791,1.305124,,,-0.06944762,1.856066,1.311819,,16.1999088169771,16.0192434882686,21.8099596677341
0.565, 5.03,5.03,,,-0.06012711,1.833529,1.304105,,,-0.06646633,1.85691,1.310856,,15.758632505097,16.2023437793485,21.7890934404003
0.577, 4.92,4.92,,,-0.05754417,1.834766,1.303604,,,-0.06368892,1.857675,1.310208,,15.348512100249,16.2765691505408,21.6762757939241
0.588, 4.73,4.73,,,-0.05449627,1.836545,1.304033,,,-0.06033355,1.858582,1.31036,,14.850222493406,16.2038003171484,21.5216215323984
0.6, 4.49,4.49,,,-0.05220293,1.838343,1.304428,,,-0.0576708,1.859279,1.310417,,14.4558798251016,16.1577102019118,21.3601165913259
0.61, 4.25,4.25,,,-0.05008856,1.840088,1.305096,,,-0.05518264,1.859915,1.310737,,14.0868908182908,16.047718546126,21.1602891674341
0.622, 3.99,3.99,,,-0.04808113,1.841876,1.306251,,,-0.05278651,1.860516,1.311533,,13.7305129016578,15.8941110110615,20.9693631873305
0.633, 3.83,3.83,,,-0.04605021,1.843163,1.306369,,,-0.05049226,1.861069,1.311442,,13.3928215283003,15.9227414557182,20.8246280677509
0.644, 3.53,3.53,,,-0.0438451,1.845133,1.306777,,,-0.04788676,1.86168,1.311478,,13.0094703416119,15.9754636844544,20.7282079974683
0.661, 3.49,3.49,,,-0.04154558,1.8459,1.307114,,,-0.04547669,1.862232,1.311768,,12.6545566467415,16.0021936290274,20.6495122675886
0.668, 3.2,3.2,,,-0.03929467,1.847794,1.307256,,,-0.04285254,1.86281,1.311535,,12.2703977902062,16.0548082822872,20.5262119885754
0.677, 3.01,3.01,,,-0.03778758,1.849078,1.307456,,,-0.04107378,1.863192,1.31147,,12.0100736749718,16.0548834143659,20.3771926329582
0.688, 2.7,2.7,,,-0.03602701,1.850956,1.308476,,,-0.03891815,1.863649,1.312074,,11.6927994440226,15.9376107771275,20.1795184261423
0.699, 2.48,2.48,,,-0.03504288,1.852257,1.308847,,,-0.03763402,1.863913,1.312143,,11.5048710631075,15.9019657283884,19.9808401815464
0.711, 2.23,2.23,,,-0.03407001,1.853677,1.308771,,,-0.0363455,1.86417,1.311742,,11.3177793803425,15.9891308926032,19.8288821371206
0.721, 2.02,2.02,,,-0.03219429,1.855088,1.309277,,,-0.03421152,1.864593,1.311971,,11.0055697345219,15.9889089114614,19.6997830276634
0.733, 1.91,1.91,,,-0.03064591,1.855883,1.3085,,,-0.03252624,1.864908,1.311062,,10.7632756106474,16.1541755791146,19.600472079895
0.744, 1.96,1.96,,,-0.02884208,1.855997,1.308543,,,-0.03073855,1.865245,1.311169,,10.5023598302926,16.1549969093395,19.5046633115261
0.756, 1.89,1.89,,,-0.02722953,1.856632,1.309664,,,-0.02902773,1.865567,1.312191,,10.249603564448,15.9621926272663,19.3435493987726
0.766, 1.79,1.79,,,-0.0262315,1.857281,1.30981,,,-0.02789348,1.865771,1.312197,,10.0845358260487,15.8856910955965,19.1178594643083
0.777, 1.66,1.66,,,-0.025462,1.858076,1.310115,,,-0.02695422,1.865937,1.312321,,9.94761700398314,15.8393499709148,18.9187611630901
0.789, 1.36,1.36,,,-0.02481188,1.859631,1.309298,,,-0.02599855,1.866093,1.311114,,9.8132364508972,16.0459392818967,18.7666118733728
