経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.28,0.28,,,-0.1128287,1.630935,1.107074,,,-0.1133135,1.632224,1.10703,,44.8234942563803,31.4659190645373,20.6517884280662
0.01, 2.83,2.83,,,-0.1083807,1.622107,1.112087,,,-0.1134567,1.635295,1.111516,,44.8234942563803,30.795928752022,21.1443321384297
0.022, 4.94,4.94,,,-0.1056954,1.614437,1.116934,,,-0.1146809,1.637432,1.115762,,44.8234942563803,30.3049713530491,21.4762963983275
0.032, 6.36,6.36,,,-0.1044356,1.608412,1.11946,,,-0.1160481,1.63799,1.117919,,44.8234942563803,30.2136483112927,21.5740261573471
0.044, 7.39,7.39,,,-0.1042972,1.602889,1.120282,,,-0.1177971,1.637243,1.118611,,44.8234942563803,30.3766610165826,21.5715843647867
0.055, 7.68,7.68,,,-0.1051677,1.600243,1.119603,,,-0.1190697,1.636003,1.11813,,44.8234942563803,30.8201861681843,21.3266828162691
0.067, 7.84,7.84,,,-0.1068948,1.597609,1.118702,,,-0.1209341,1.634178,1.117414,,44.8234942563803,31.20666899652,21.0607186724845
0.079, 7.52,7.52,,,-0.1085165,1.596781,1.1161,,,-0.1217934,1.631934,1.1151,,44.8234942563803,31.6618088844822,20.7264031200303
0.089, 7.17,7.17,,,-0.110523,1.597242,1.115612,,,-0.1230177,1.630816,1.114744,,44.8234942563803,31.901449479938,20.4411812584168
0.099, 7.3,7.3,,,-0.110812,1.597167,1.116923,,,-0.1234154,1.631412,1.115983,,44.8234942563803,31.9112849520691,20.2389615608348
0.11, 7.52,7.52,,,-0.111381,1.597763,1.120328,,,-0.124264,1.633071,1.119178,,44.8234942563803,31.7281095289105,20.0975168847963
0.121, 7.96,7.96,,,-0.1103134,1.599672,1.126033,,,-0.123888,1.637076,1.124467,,44.8234942563803,31.3207297373906,20.040590674743
0.134, 8.39,8.39,,,-0.108755,1.601586,1.130991,,,-0.1230228,1.640971,1.129109,,44.8234942563803,31.0487584423982,20.0410482974046
0.144, 8.7,8.7,,,-0.1073037,1.604088,1.135857,,,-0.1220599,1.644927,1.133741,,44.8234942563803,30.8774777933481,20.0179947020501
0.155, 9,9,,,-0.1048393,1.607775,1.141276,,,-0.1200521,1.650059,1.138991,,44.8234942563803,30.8039200731286,19.9554694445804
0.165, 9.28,9.28,,,-0.1022365,1.610827,1.145398,,,-0.1178767,1.654446,1.143019,,44.8234942563803,30.8060715826572,19.8987959515193
0.176, 9.49,9.49,,,-0.09908497,1.615057,1.149916,,,-0.1150191,1.65967,1.14755,,44.8234942563803,30.9088590966164,19.8179862781503
0.187, 9.69,9.69,,,-0.09550112,1.619876,1.154742,,,-0.1116997,1.665472,1.152436,,44.8234942563803,31.0696314999209,19.7059933769934
0.199, 9.81,9.81,,,-0.09181588,1.625912,1.160529,,,-0.1080925,1.672153,1.158276,,44.8234942563803,31.2316026013913,19.5296054541336
0.211, 9.98,9.98,,,-0.08841351,1.632536,1.167738,,,-0.1047273,1.67964,1.1655,,44.8234942563803,31.4191220247412,19.2356529034564
0.222, 10.13,10.13,,,-0.08494836,1.640421,1.176534,,,-0.1011965,1.688315,1.174237,,44.8234942563803,31.5607733139963,18.8789804349237
0.233, 10.41,10.41,,,-0.08155796,1.648322,1.186556,,,-0.09793422,1.69765,1.184177,,44.8234942563803,31.7210812644501,18.5103158620894
