経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.88,-0.88,,,0.04844087,1.857874,1.261532,,,0.04886413,1.853536,1.262114,,44.8235181620417,35.7156148365365,9.22353757116203
0.011, 0.23,-0.23,,,0.04792776,1.854877,1.263047,,,0.04803713,1.853719,1.263201,,44.8235181620417,35.8850137685226,9.07036375309777
0.023, 0.04,0.04,,,0.04597939,1.853413,1.265128,,,0.04596303,1.853598,1.265103,,44.8235181620417,36.101161928982,8.90203203813978
0.033, 0.43,0.43,,,0.04458137,1.850899,1.266106,,,0.04440159,1.853007,1.26583,,44.8235181620417,36.3497910531355,8.66963571187075
0.051, 0.79,0.79,,,0.04316516,1.848647,1.267238,,,0.04284699,1.852544,1.266729,,44.8235181620417,36.5107342111644,8.54458605070505
0.057, 1.42,1.42,,,0.0422208,1.84579,1.269208,,,0.04166591,1.852813,1.26829,,44.8235181620417,36.6141979138326,8.47203834468093
0.066, 2.15,2.15,,,0.04165214,1.842132,1.270462,,,0.04081205,1.852762,1.269072,,44.8235181620417,36.6149424044314,8.4709019719894
0.079, 2.94,2.94,,,0.04168545,1.838379,1.271425,,,0.04053595,1.852895,1.269536,,44.8235181620417,36.6299346692424,8.448431504019
0.09, 3.41,3.41,,,0.04034176,1.835284,1.272161,,,0.0390365,1.852152,1.269986,,44.8235181620417,36.7493946745017,8.33884709825113
0.102, 3.5,3.5,,,0.03863125,1.834187,1.272912,,,0.0373699,1.851482,1.270705,,44.8235181620417,36.9834071942381,8.14716894358605
0.11, 1.83,1.83,,,0.03298167,1.840543,1.274102,,,0.03246835,1.849584,1.272922,,44.8235181620417,37.555076936387,7.87257656357255
0.123, 2.04,2.04,,,0.03382456,1.841803,1.276727,,,0.03328412,1.8519,1.275381,,44.8235181620417,37.591034466272,7.94309741101687
0.133, 3.17,3.17,,,0.03738908,1.838856,1.278026,,,0.03643787,1.854526,1.275941,,44.8235181620417,37.2948672268181,8.09410179030637
0.145, 4.27,4.27,,,0.03997152,1.836261,1.280726,,,0.03855836,1.857394,1.277877,,44.8235181620417,36.9708806276488,8.33335904140574
0.155, 3.11,3.11,,,0.03657386,1.840947,1.281387,,,0.03567097,1.856326,1.279253,,44.8235181620417,37.1712169006196,8.33675108400791
0.167, 2.93,2.93,,,0.03665467,1.842465,1.281978,,,0.03583433,1.85694,1.279959,,44.8235181620417,37.2314762428952,8.32935228179538
0.178, 3.16,3.16,,,0.03769246,1.841027,1.280704,,,0.03677255,1.85665,1.27861,,44.8235181620417,37.3363537946822,8.10052729058925
0.189, 3.05,3.05,,,0.03755078,1.840793,1.279646,,,0.03663647,1.855863,1.277633,,44.8235181620417,37.2777644336123,8.11878011686453
0.2, 3.04,3.04,,,0.03787562,1.84083,1.279313,,,0.03695021,1.855845,1.277295,,44.8235181620417,37.2052141662673,8.18565961980891
0.211, 3.02,3.02,,,0.03823365,1.841038,1.279202,,,0.03727779,1.855977,1.277153,,44.8235181620417,37.0050930442494,8.38033025102083
0.222, 2.99,2.99,,,0.03816897,1.841187,1.279302,,,0.03720062,1.855986,1.277244,,44.8235181620417,36.873936340362,8.51133156810894
0.233, 2.91,2.91,,,0.03813721,1.841151,1.278571,,,0.03719681,1.855511,1.276576,,44.8235181620417,36.8772250763558,8.5049837612257
0.244, 2.54,2.54,,,0.03684165,1.841863,1.277913,,,0.03604089,1.854407,1.27617,,44.8235181620417,36.947142305849,8.46487262266735
0.255, 2.25,2.25,,,0.03592936,1.841867,1.276553,,,0.03522528,1.853009,1.275008,,44.8235181620417,36.9820821375759,8.43898876775422
0.266, 2.18,2.18,,,0.03541103,1.841785,1.27636,,,0.03472707,1.852559,1.27487,,44.8235181620417,36.9852206094122,8.42440887560291
0.277, 2.08,2.08,,,0.03496156,1.84115,1.275148,,,0.0343023,1.851447,1.273723,,44.8235181620417,36.9555297779164,8.44661808884482
0.288, 1.83,1.83,,,0.03406211,1.841134,1.274045,,,0.03347333,1.850199,1.272786,,44.8235181620417,36.9002974547301,8.49093235494671
0.3, 1.97,1.97,,,0.03430881,1.839652,1.27279,,,0.03364105,1.849367,1.271441,,44.8235181620417,36.7433089761205,8.58155871742711
0.311, 2.59,2.59,,,0.03617302,1.835671,1.270321,,,0.03519531,1.848449,1.26859,,44.8235181620417,36.5423033446297,8.62484333254027
0.322, 1.9,1.9,,,0.03303755,1.836646,1.26926,,,0.0323616,1.846015,1.267981,,44.8235181620417,36.6850201433657,8.55666780123695
0.333, 1.42,1.42,,,0.0314809,1.838398,1.269445,,,0.03100299,1.845403,1.268474,,44.8235181620417,36.7726104868445,8.55834290508428
0.344, 1.76,1.76,,,0.03178819,1.835603,1.267937,,,0.03116429,1.844292,1.266742,,44.8235181620417,36.664481765103,8.59443447742793
0.355, 1.95,1.95,,,0.03089913,1.832207,1.265546,,,0.03018206,1.841824,1.264234,,44.8235181620417,36.5867849503616,8.61880629925562
0.366, 1.86,1.86,,,0.02990311,1.831729,1.265143,,,0.02922772,1.840903,1.263886,,44.8235181620417,36.6037101586539,8.62240666262168
0.377, 1.9,1.9,,,0.02900846,1.830701,1.264961,,,0.02832443,1.840108,1.263664,,44.8235181620417,36.608631309814,8.64179244649401
0.388, 1.9,1.9,,,0.02846797,1.82947,1.263746,,,0.02778254,1.838865,1.262449,,44.8235181620417,36.59516559224,8.65258158376145
0.4, 1.69,1.69,,,0.02582121,1.827064,1.261308,,,0.02521352,1.835424,1.260152,,44.8235181620417,36.59600229039,8.65966107463917
0.411, 1.74,1.74,,,0.0240144,1.824221,1.259491,,,0.02338714,1.832814,1.258286,,44.8235181620417,36.5107581168258,8.76340396128194
0.422, 2.04,2.04,,,0.02291638,1.8219,1.259799,,,0.02215377,1.831968,1.258323,,44.8235181620417,36.1642933657236,9.14464718089642
0.433, 1.93,1.93,,,0.02177223,1.820116,1.257528,,,0.02104665,1.829631,1.256126,,44.8235181620417,36.111554061515,9.19947310783844
0.444, 2.09,2.09,,,0.02153921,1.818515,1.256803,,,0.02073154,1.828797,1.255261,,44.8235181620417,35.9202472983757,9.38682263023748
0.455, 1.9,1.9,,,0.01990966,1.816631,1.254303,,,0.01916613,1.826018,1.252896,,44.8235181620417,35.8926396745187,9.40443683384313
0.466, 2.02,2.02,,,0.01911384,1.815655,1.254713,,,0.01830318,1.825589,1.253153,,44.8235181620417,35.5320739982674,9.81596084252658
0.477, 1.68,1.68,,,0.01708309,1.814488,1.252336,,,0.01641016,1.822752,1.251033,,44.8235181620417,35.5188644127802,9.83917067845405
0.488, 1.35,1.35,,,0.0154211,1.81364,1.250119,,,0.01488699,1.820277,1.249057,,44.8235181620417,35.4724259579055,9.93238312123699
0.499, 1.08,1.08,,,0.01360763,1.812696,1.248445,,,0.01317921,1.818027,1.247582,,44.8235181620417,35.4106673891489,10.0201655637809
0.511, 0.73,0.73,,,0.01148853,1.811545,1.24607,,,0.01120101,1.815145,1.245485,,44.8235181620417,35.4129657477406,10.0326409039527
0.522, 0.61,0.61,,,0.009626043,1.809807,1.244476,,,0.009386353,1.812803,1.243987,,44.8235181620417,35.3778380858168,10.0773555898836
0.533, 0.81,0.81,,,0.008586114,1.801161,1.234921,,,0.008246787,1.805168,1.234329,,44.8235181620417,35.7513333098071,9.43885927875481
0.544, 0.94,0.94,,,0.005569793,1.793574,1.228147,,,0.005176201,1.798193,1.227536,,44.8235181620417,36.3007946924878,8.73088713909566
0.555, 1.7,1.7,,,0.004245015,1.786844,1.226171,,,0.003508709,1.795259,1.225054,,44.8235181620417,36.187157423334,8.82603508668079
0.566, 2.05,2.05,,,0.001302045,1.77891,1.220645,,,0.0004029348,1.789053,1.219384,,44.8235181620417,36.4610036052014,8.47836395344999
