経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.67,-0.67,,,0.09048684,1.539516,0.9235163,,,0.08923671,1.536453,0.9241001,,44.7500116682395,39.8606140567566,24.1486300348453
0.011, 0.01,-0.01,,,0.08944031,1.535355,0.9229414,,,0.08941987,1.535304,0.922951,,44.7500116682395,39.9457284567302,23.92098837388
0.022, 0.56,0.56,,,0.08808555,1.532325,0.9230107,,,0.08911777,1.534889,0.9225354,,44.7500116682395,39.9787421751647,23.7986613967964
0.033, 1.02,1.02,,,0.0863774,1.529764,0.9229441,,,0.08825475,1.534433,0.9220798,,44.7500116682395,39.9794217789683,23.7734033579486
0.045, 1.28,1.28,,,0.08464342,1.528247,0.9228103,,,0.08700049,1.534084,0.9217309,,44.7500116682395,40.0262802904652,23.8452432856396
0.055, 1.44,1.44,,,0.08375119,1.527105,0.9225255,,,0.0864068,1.533669,0.9213156,,44.7500116682395,40.0725821415602,23.8660907299537
0.066, 1.36,1.36,,,0.08387336,1.527726,0.9227501,,,0.0863896,1.533952,0.9215984,,44.7500116682395,40.0320893661926,23.8629505505702
0.077, 1.36,1.36,,,0.08476385,1.528444,0.9234455,,,0.08726507,1.534641,0.9222873,,44.7500116682395,39.9303058900135,23.8744799095683
0.089, 1.68,1.68,,,0.08495294,1.528862,0.9256592,,,0.08803719,1.536533,0.9241794,,44.7500116682395,39.611844913729,23.9295022044435
0.1, 1.92,1.92,,,0.08663338,1.530523,0.9286604,,,0.09015,1.539257,0.926904,,44.7500116682395,39.242164350284,24.1182681372822
0.111, 1.99,1.99,,,0.08727223,1.532019,0.9305865,,,0.0909276,1.54107,0.9287171,,44.7500116682395,39.0175330951115,24.2851040408536
0.124, 1.84,1.84,,,0.08700933,1.534,0.9317783,,,0.09040537,1.542373,0.9300194,,44.7500116682395,38.8950199953782,24.4343709908214
0.134, 1.82,1.82,,,0.08705281,1.535307,0.9329729,,,0.09042758,1.543575,0.9312217,,44.7500116682395,38.876192579455,24.5813344595556
0.145, 1.62,1.62,,,0.08691829,1.536497,0.9330359,,,0.08993459,1.543834,0.9314803,,44.7500116682395,38.9365372990928,24.711543474722
0.156, 1.43,1.43,,,0.0869204,1.537604,0.9331285,,,0.08960792,1.544102,0.9317484,,44.7500116682395,38.9800387727061,24.8215812342835
0.166, 1.35,1.35,,,0.08626167,1.538126,0.9331957,,,0.08880815,1.544247,0.9318934,,44.7500116682395,39.0218053783185,24.9356027015674
0.178, 1.18,1.18,,,0.08633669,1.539175,0.9332726,,,0.08856151,1.544493,0.9321398,,44.7500116682395,39.0649516821048,25.0334366209689
0.188, 1.26,1.26,,,0.08619735,1.538615,0.9331619,,,0.08858171,1.544306,0.9319526,,44.7500116682395,39.1050244008501,25.0506299141787
0.2, 1.27,1.27,,,0.08646477,1.538283,0.9328909,,,0.08886719,1.54403,0.9316765,,44.7500116682395,39.136053949386,24.9873533359212
0.211, 1.4,1.4,,,0.08663427,1.53754,0.9328792,,,0.08928686,1.543892,0.9315388,,44.7500116682395,39.1384991570408,24.9620201649946
0.222, 1.42,1.42,,,0.08618563,1.537416,0.9328725,,,0.08887488,1.543866,0.9315122,,44.7500116682395,39.1281172697913,24.9351006826774
0.233, 1.56,1.56,,,0.08633163,1.536713,0.932905,,,0.08927065,1.54377,0.9314163,,44.7500116682395,39.1142758918235,24.9142651911941
0.244, 1.59,1.59,,,0.0865639,1.535928,0.9322913,,,0.08955622,1.543127,0.9307735,,44.7500116682395,39.1002261930917,24.8766069442531
0.255, 1.85,1.85,,,0.08584555,1.534198,0.9320087,,,0.08932009,1.542599,0.9302456,,44.7500116682395,39.0948815702149,24.768683128181
0.266, 1.9,1.9,,,0.08547731,1.531776,0.9298654,,,0.08900484,1.540442,0.9280884,,44.7500116682395,39.1624457996045,24.3916601115825
0.277, 1.94,1.94,,,0.08507479,1.53168,0.9299841,,,0.08866096,1.540517,0.9281638,,44.7500116682395,39.0894618152593,24.3569883647731
0.289, 2.04,2.04,,,0.08508611,1.531883,0.9307513,,,0.0888361,1.541158,0.9288044,,44.7500116682395,38.8716470886889,24.3768368939488
0.299, 2.17,2.17,,,0.08493499,1.533159,0.9328245,,,0.08892974,1.543046,0.9306923,,44.7500116682395,38.5985590577982,24.4925932292337
0.311, 2.3,2.3,,,0.08414954,1.534744,0.9351583,,,0.08839321,1.545202,0.9328482,,44.7500116682395,38.3992917094028,24.6785536619489
0.322, 2.25,2.25,,,0.08326847,1.53698,0.9371202,,,0.08745208,1.547193,0.93484,,44.7500116682395,38.3832680860558,24.8916214071783
0.333, 2.02,2.02,,,0.08154036,1.540396,0.939244,,,0.08533001,1.549546,0.9371921,,44.7500116682395,38.4487047115782,25.1040351618129
0.344, 1.64,1.64,,,0.07963127,1.544492,0.941218,,,0.08273888,1.551903,0.9395499,,44.7500116682395,38.5372990928371,25.3306540019785
0.356, 1.19,1.19,,,0.0773545,1.548794,0.943033,,,0.07964346,1.554173,0.9418194,,44.7500116682395,38.6668882683536,25.602172796951
0.366, 0.83,0.83,,,0.07490383,1.553871,0.9461012,,,0.07652155,1.557609,0.9452556,,44.7500116682395,38.8186960486218,25.9099445274818
0.377, 0.49,0.49,,,0.07318774,1.559173,0.9494983,,,0.07414246,1.561355,0.9490019,,44.7500116682395,38.8814347494971,26.1295180277146
0.388, 0.35,0.35,,,0.07146832,1.564106,0.9536943,,,0.07216364,1.565686,0.9533325,,44.7500116682395,38.8769814662822,26.266801411117
0.4, 0.53,0.53,,,0.06971419,1.568641,0.9592042,,,0.07075822,1.571011,0.9586577,,44.7500116682395,38.8158854258566,26.3171159982378
0.411, 0.67,0.67,,,0.06836431,1.573574,0.9649097,,,0.06967854,1.576566,0.9642128,,44.7500116682395,38.6824440237554,26.3145973660515
0.422, 0.72,0.72,,,0.06707668,1.579192,0.9708457,,,0.06849399,1.582433,0.9700796,,44.7500116682395,38.4758615429625,26.3145973660515
0.433, 0.8,0.8,,,0.06513383,1.585624,0.9777027,,,0.06669018,1.589195,0.9768419,,44.7500116682395,38.2317949850476,26.3527900752801
0.444, 0.97,0.97,,,0.06405921,1.592264,0.9853113,,,0.06593665,1.596592,0.9842386,,44.7500116682395,37.87676176187,26.4249015029831
0.455, 1.13,1.13,,,0.06350838,1.599673,0.9936649,,,0.06569591,1.604729,0.992376,,44.7500116682395,37.5342687656596,26.5346882530995
0.466, 1.42,1.42,,,0.06311424,1.607593,1.003244,,,0.06584984,1.613938,1.001585,,44.7500116682395,37.2044082039677,26.6299488988028
0.478, 1.74,1.74,,,0.06248029,1.614814,1.012297,,,0.06582126,1.62258,1.010227,,44.7500116682395,36.9538461363328,26.7138953364608
0.489, 1.87,1.87,,,0.06143039,1.623382,1.021597,,,0.06501022,1.631697,1.019344,,44.7500116682395,36.7751991284679,26.8284734641466
0.5, 2.06,2.06,,,0.06073691,1.631521,1.030853,,,0.06469566,1.640686,1.028332,,44.7500116682395,36.630231782463,26.9823456690341
0.511, 2.13,2.13,,,0.05926052,1.640462,1.040199,,,0.06336281,1.649911,1.037557,,44.7500116682395,36.494860851975,27.17581760208
0.522, 2.2,2.2,,,0.05776018,1.649763,1.049898,,,0.06202811,1.659492,1.047139,,44.7500116682395,36.4381771136304,27.4445770007046
0.533, 2.04,2.04,,,0.05627111,1.659591,1.058839,,,0.06026065,1.668602,1.056248,,44.7500116682395,36.3800317148442,27.6934827475118
0.544, 1.76,1.76,,,0.05483627,1.669206,1.066865,,,0.0582988,1.676965,1.064611,,44.7500116682395,36.3466594114881,27.9002462283127
0.556, 1.53,1.53,,,0.05369229,1.678129,1.07452,,,0.05672401,1.684885,1.072531,,44.7500116682395,36.2505449921624,28.0850745572045
0.567, 1.25,1.25,,,0.05319629,1.688942,1.083732,,,0.05566519,1.694433,1.08208,,44.7500116682395,35.997797264054,28.2724454239441
0.578, 1.18,1.18,,,0.05371533,1.699361,1.093797,,,0.05604758,1.704546,1.092192,,44.7500116682395,35.6350186065731,28.4982139055817
0.589, 1.23,1.23,,,0.05522415,1.709546,1.104277,,,0.05763671,1.714908,1.102554,,44.7500116682395,35.1496585474692,28.7930612110153
0.6, 1.26,1.26,,,0.05616218,1.719665,1.114613,,,0.05862752,1.725145,1.112791,,44.7500116682395,34.6863087723532,29.0772892801322
0.612, 1.21,1.21,,,0.05687822,1.729576,1.124279,,,0.05924499,1.734835,1.122481,,44.7500116682395,34.3046139064924,29.3240401023162
0.622, 1,1,,,0.05748007,1.738789,1.13228,,,0.05943808,1.743123,1.130769,,44.7500116682395,34.084080764708,29.5589951881319
0.633, 0.78,0.78,,,0.05690381,1.748143,1.14039,,,0.05845183,1.751541,1.139187,,44.7500116682395,33.9783289487315,29.8246280677509
経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.47,-0.47,,,0.1002205,1.528929,0.9142828,,,0.0994972,1.52671,0.9143563,,44.7500116682395,46.0340325549574,18.1146874107095
0.01, 0.1,-0.1,,,0.1001662,1.527126,0.9142607,,,0.1000046,1.52663,0.9142772,,44.7500116682395,46.0312219321922,18.1181912976562
0.022, 0.22,0.22,,,0.1003473,1.526184,0.9149225,,,0.1006932,1.527241,0.9148873,,44.7500116682395,46.0501347254776,18.1925771782896
0.033, 1.41,1.41,,,0.1002278,1.521809,0.9163589,,,0.1024309,1.528487,0.9161334,,44.7500116682395,46.0662437261868,18.3227213066607
0.045, 2.9,2.9,,,0.1001954,1.517152,0.9190123,,,0.1047918,1.530899,0.918546,,44.7500116682395,46.1318989177566,18.5521575997805
0.056, 3.79,3.79,,,0.1001202,1.513882,0.9200814,,,0.1061692,1.531839,0.9194862,,44.7500116682395,46.212983506232,18.6768973411213
