経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.17,0.17,,,0.3095452,1.752403,1.113209,,,0.3096519,1.753264,1.113126,,46.050527461344,39.3089840890748,8.75082019186001
0.011, 1.59,1.59,,,0.31095,1.743109,1.115936,,,0.3118821,1.750951,1.115185,,46.050527461344,39.5850125163213,8.52309144598516
0.022, 3.13,3.13,,,0.3104203,1.73506,1.116458,,,0.3122808,1.750537,1.115029,,46.050527461344,39.4874398516483,8.46860702849213
0.033, 4.9,4.9,,,0.3077975,1.7278,1.115196,,,0.3108293,1.752043,1.113136,,46.050527461344,39.1720866113497,8.46050983945641
0.044, 6.55,6.55,,,0.3030184,1.723171,1.109839,,,0.3074791,1.755518,1.107506,,46.050527461344,38.3830905011423,8.73259639388789
0.055, 8.23,8.23,,,0.3017863,1.714808,1.107321,,,0.3075009,1.755496,1.104806,,46.050527461344,38.19163688894,8.62636902600367
0.066, 9.07,9.07,,,0.3018651,1.709857,1.106489,,,0.3082902,1.754677,1.104025,,46.050527461344,38.0005999182654,8.64254291350818
0.077, 8.5,8.5,,,0.2951817,1.719095,1.106463,,,0.3022841,1.760907,1.104141,,46.050527461344,36.5256171929517,10.0576633012808
0.088, 7.22,7.22,,,0.2918063,1.729149,1.107984,,,0.2988291,1.764491,1.105897,,46.050527461344,34.9488988027817,11.6425616965279
0.101, 6.92,6.92,,,0.296174,1.726519,1.10561,,,0.302739,1.760435,1.103858,,46.050527461344,35.1993857383377,11.2665384488413
0.111, 6.66,6.66,,,0.2989347,1.725298,1.109968,,,0.3051313,1.757954,1.108253,,46.050527461344,35.4128325590555,11.0744624356682
0.122, 5.92,5.92,,,0.3027873,1.725701,1.113281,,,0.3082397,1.754729,1.111705,,46.050527461344,35.526418601792,10.9962098142985
0.133, 5.22,5.22,,,0.3067245,1.725728,1.117093,,,0.3115198,1.751327,1.115662,,46.050527461344,35.5612867165346,10.992180856574
0.145, 4.51,4.51,,,0.3097106,1.726746,1.121741,,,0.3138984,1.748859,1.120487,,46.050527461344,35.45150508906,11.112817361885
0.155, 3.86,3.86,,,0.3136991,1.726387,1.127921,,,0.3172927,1.745338,1.126787,,46.050527461344,35.4521163909737,11.173075850387
0.166, 3.27,3.27,,,0.3207838,1.722652,1.136914,,,0.3236749,1.738718,1.135874,,46.050527461344,36.0085855475478,10.7443320815115
0.177, 2.75,2.75,,,0.3271498,1.719195,1.144757,,,0.3294731,1.732703,1.143827,,46.050527461344,36.4692510583947,10.4048990099641
0.188, 2.4,2.4,,,0.335784,1.712418,1.152993,,,0.3376492,1.724222,1.152124,,46.050527461344,37.2696194332537,9.78536501099091
0.199, 2.15,2.15,,,0.3458719,1.703534,1.164438,,,0.3473519,1.714157,1.163562,,46.050527461344,38.3601718020201,9.07131656446048
0.21, 2.03,2.03,,,0.3546947,1.695194,1.17357,,,0.3559501,1.705237,1.172683,,46.050527461344,39.1952614425587,8.55910020228743
0.221, 2.12,2.12,,,0.361944,1.687265,1.180853,,,0.3631468,1.697772,1.179889,,46.050527461344,39.8055285826333,8.19091118136087
0.232, 2.61,2.61,,,0.3664801,1.679903,1.185474,,,0.3679104,1.69283,1.184301,,46.050527461344,40.0141464597423,7.98588512988174
0.244, 3.01,3.01,,,0.3708262,1.673217,1.189116,,,0.3724499,1.688121,1.187817,,46.050527461344,40.0879125007257,7.78669035224423
0.255, 3.82,3.82,,,0.3726808,1.666777,1.19019,,,0.3747964,1.685687,1.188698,,46.050527461344,39.8774368122142,7.65493771436833
0.266, 4.37,4.37,,,0.3752409,1.660999,1.191504,,,0.3777218,1.682653,1.189958,,46.050527461344,39.6880390868948,7.55927921015695
0.277, 4.76,4.76,,,0.3780024,1.655919,1.192822,,,0.3807572,1.679504,1.191279,,46.050527461344,39.5346330424052,7.50616168423353
0.288, 4.97,4.97,,,0.3804284,1.652122,1.197037,,,0.383396,1.676767,1.19544,,46.050527461344,39.3282008257698,7.67109794149488
0.299, 4.97,4.97,,,0.3825675,1.649809,1.200199,,,0.3856681,1.67441,1.198633,,46.050527461344,39.0075780946732,7.92793353770777
0.312, 4.84,4.84,,,0.3837601,1.649123,1.203369,,,0.3869713,1.673058,1.201869,,46.050527461344,38.5471721310076,8.32154537579131
0.322, 4.85,4.85,,,0.3842076,1.648358,1.204671,,,0.3876589,1.672345,1.203292,,46.050527461344,37.9814207476097,8.71803101588816
0.333, 4.53,4.53,,,0.3866783,1.647512,1.209953,,,0.390046,1.669868,1.208686,,46.050527461344,37.6003986553635,9.05828968652848
0.344, 4.26,4.26,,,0.3903511,1.645236,1.216807,,,0.3935418,1.666242,1.215618,,46.050527461344,37.5305292371931,9.12300487333984
0.355, 3.85,3.85,,,0.3944808,1.643256,1.223143,,,0.397361,1.66228,1.222078,,46.050527461344,37.554742257127,9.0854072443261
0.366, 3.45,3.45,,,0.3987491,1.641169,1.228659,,,0.4013059,1.658188,1.227719,,46.050527461344,37.6176004863095,9.01020259478879
0.377, 2.95,2.95,,,0.4043813,1.638196,1.236103,,,0.4065086,1.652791,1.235265,,46.050527461344,37.8763587807202,8.81411896823165
0.388, 2.49,2.49,,,0.4114504,1.633589,1.24594,,,0.4131311,1.645921,1.245157,,46.050527461344,38.4321585787743,8.44752479643191
0.399, 2.32,2.32,,,0.419234,1.626655,1.256221,,,0.4206474,1.638124,1.255427,,46.050527461344,39.1911086876589,7.92555663194274
0.411, 2.11,2.11,,,0.4298385,1.616986,1.269439,,,0.4309369,1.627451,1.268616,,46.050527461344,40.2654735085429,7.32482699700496
0.422, 2.26,2.26,,,0.4389881,1.606854,1.281279,,,0.4399858,1.618064,1.280331,,46.050527461344,41.1968278325648,6.82846051524669
0.433, 2.32,2.32,,,0.4476312,1.597692,1.29111,,,0.4485205,1.60921,1.290102,,46.050527461344,41.8778762210386,6.47026619523185
0.444, 3.07,3.07,,,0.4527574,1.588449,1.296905,,,0.4538359,1.603696,1.295646,,46.050527461344,42.2183577265944,6.01623706675258
0.455, 4.11,4.11,,,0.4540919,1.58146,1.298314,,,0.4555589,1.601909,1.296837,,46.050527461344,42.1110110614911,5.63642050286128
0.466, 4.98,4.98,,,0.4552676,1.57551,1.301697,,,0.4570982,1.600312,1.300097,,46.050527461344,41.96099620583,5.43761419222201
0.477, 6.06,6.06,,,0.453876,1.570961,1.303433,,,0.4563468,1.601092,1.301726,,46.050527461344,41.4653328066499,5.55287363125859
0.488, 6.73,6.73,,,0.4539416,1.567071,1.305824,,,0.4568833,1.600535,1.304078,,46.050527461344,41.115176338404,5.71347058408361
0.5, 6.99,6.99,,,0.451018,1.568244,1.308912,,,0.4545445,1.602961,1.307127,,46.050527461344,40.3383652853368,6.38598422454019
0.512, 7.1,7.1,,,0.4464228,1.571727,1.310303,,,0.4507324,1.606916,1.308532,,46.050527461344,39.155639516286,7.45079702613572
0.522, 6.49,6.49,,,0.4445767,1.576605,1.313332,,,0.4490249,1.608687,1.311703,,46.050527461344,38.2483752687964,8.31654140858987
