経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.6,-0.6,,,0.2060554,1.586488,0.9368894,,,0.205954,1.583522,0.9371887,,45.7999961295596,40.3266890772756,5.84589855689491
0.01, 3.69,-3.69,,,0.1987172,1.59666,0.9304788,,,0.1976684,1.578321,0.9321752,,45.7999961295596,40.8721582144975,5.99580498330588
0.021, 3.17,-3.17,,,0.1979873,1.59357,0.9302883,,,0.1970542,1.57781,0.9316828,,45.7999961295596,41.1075572625969,5.87105883866297
0.034, 2.66,-2.66,,,0.1967916,1.58988,0.9294711,,,0.1960346,1.576665,0.9305784,,45.7999961295596,41.3672342174254,5.59029922488739
0.044, 0.2,0.2,,,0.201028,1.578564,0.933444,,,0.2010666,1.579549,0.9333593,,45.7999961295596,41.1896253982854,5.1665325293442
0.055, 2.41,2.41,,,0.2027903,1.571018,0.9378163,,,0.2031356,1.583033,0.9367175,,45.7999961295596,40.8516027607624,5.23801899475555
0.068, 5.23,5.23,,,0.2057171,1.559551,0.9417226,,,0.2061158,1.58559,0.9391825,,45.7999961295596,40.4863310843039,5.39237827749464
0.078, 7.34,7.34,,,0.2054974,1.553286,0.9471542,,,0.2059079,1.589761,0.9432037,,45.7999961295596,39.8729596233378,5.96571672018879
0.09, 6.18,6.18,,,0.1962314,1.557546,0.9451071,,,0.197326,1.588224,0.9417219,,45.7999961295596,39.796102921841,6.37790411097691
0.1, 5.31,5.31,,,0.1888011,1.561189,0.9439876,,,0.1903572,1.587542,0.9410637,,45.7999961295596,39.8369030557127,6.94427106515659
0.111, 4.92,4.92,,,0.1841368,1.563106,0.9436643,,,0.1859421,1.58747,0.9409946,,45.7999961295596,39.9820582319145,7.3293793179601
0.122, 5.32,5.32,,,0.1821278,1.561122,0.9437785,,,0.1842494,1.587492,0.9410163,,45.7999961295596,40.2866505094752,7.32734477541769
0.134, 6.49,6.49,,,0.1827461,1.556252,0.9451693,,,0.1852839,1.588451,0.9419408,,45.7999961295596,40.5303311617127,7.07318319819046
0.146, 7.75,7.75,,,0.1834442,1.553165,0.9487159,,,0.1863605,1.59161,0.9449855,,45.7999961295596,40.6975717539811,6.82636322034304
0.156, 9.03,9.03,,,0.1837178,1.552098,0.9546839,,,0.1871794,1.596867,0.9500536,,45.7999961295596,40.3447617573166,7.15941262651502
0.166, 10.13,10.13,,,0.1857345,1.550329,0.9590969,,,0.1894537,1.600554,0.9536082,,45.7999961295596,39.9985121571672,7.31429313805064
0.177, 10.42,10.42,,,0.1851591,1.550954,0.9614772,,,0.1890492,1.602578,0.9555594,,45.7999961295596,39.704161747982,7.60333563662484
0.188, 10.82,10.82,,,0.185349,1.550911,0.9638212,,,0.1894376,1.604492,0.9574044,,45.7999961295596,39.4210845657081,7.87235202110984
0.2, 10.7,10.7,,,0.1848879,1.551314,0.9634712,,,0.1891397,1.60428,0.9571996,,45.7999961295596,39.5179229850658,7.93545699086918
0.21, 11.67,11.67,,,0.1855893,1.551958,0.9696597,,,0.1901882,1.60969,0.9624152,,45.7999961295596,39.1179266278332,8.2441926318198
0.222, 11.84,11.84,,,0.1843744,1.551887,0.9702717,,,0.18916,1.610478,0.9631747,,45.7999961295596,39.373276657943,8.10559102194426
0.232, 11.83,11.83,,,0.1833556,1.55219,0.970193,,,0.1882017,1.610724,0.9634121,,45.7999961295596,39.6758198788097,7.90157071579242
0.243, 11.6,11.6,,,0.1816548,1.552677,0.9691343,,,0.1865647,1.610102,0.9628122,,45.7999961295596,40.014088403136,7.73969011432598
0.255, 11.68,11.68,,,0.1804971,1.552365,0.9691106,,,0.1854251,1.610211,0.9629175,,45.7999961295596,40.1827530898067,7.5966992542572
0.266, 11.8,11.8,,,0.1792605,1.55298,0.9703277,,,0.1842443,1.611417,0.9640796,,45.7999961295596,40.1911303165906,7.59409012206686
0.277, 11.55,11.55,,,0.1806095,1.553629,0.9698756,,,0.1853704,1.610844,0.9635274,,45.7999961295596,39.9529991928993,7.69717474924669
0.288, 12.14,12.14,,,0.1788288,1.554374,0.9739528,,,0.1837374,1.614492,0.9670439,,45.7999961295596,39.7212064845814,7.82189997643585
0.3, 12.62,12.62,,,0.1773439,1.555827,0.9782441,,,0.1822995,1.618271,0.9706875,,45.7999961295596,39.3669314123806,8.0263915656273
0.311, 12.79,12.79,,,0.1759499,1.557098,0.9806495,,,0.1808011,1.62036,0.9727006,,45.7999961295596,39.0925661361507,8.16156698195578
0.321, 13.13,13.13,,,0.1742356,1.558099,0.9835868,,,0.1790002,1.623028,0.9752724,,45.7999961295596,38.9406388275753,8.17980529407948
0.333, 13.14,13.14,,,0.1719888,1.558341,0.9839097,,,0.1766115,1.623374,0.9756066,,45.7999961295596,38.9503376959268,8.0962362243626
0.343, 13.12,13.12,,,0.1687825,1.559278,0.9846607,,,0.1732975,1.624199,0.9764017,,45.7999961295596,38.9687416401333,8.03096352337575
