経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.95,-0.95,,,-0.1769173,1.807088,1.357127,,,-0.1781446,1.802542,1.357803,,45.8734855478893,52.8267203823084,17.0113779564758
0.011, 0.99,-0.99,,,-0.1779021,1.807134,1.357881,,,-0.1791476,1.802415,1.358634,,45.8734855478893,52.2387299035919,17.0100699752861
0.022, 1.94,1.94,,,-0.1726621,1.798346,1.358623,,,-0.1704605,1.807693,1.357142,,45.8734855478893,50.9590461868763,15.7062756914713
0.033, 8.38,8.38,,,-0.1550151,1.789338,1.371486,,,-0.1473561,1.8299,1.364312,,45.8734855478893,48.2399308784875,14.3352450273378
0.044, 2.13,2.13,,,-0.1719148,1.80658,1.370683,,,-0.1695978,1.816779,1.368666,,45.8734855478893,49.4423071012336,16.5987184288744
0.055, 3.38,3.38,,,-0.1679119,1.803903,1.371335,,,-0.1644426,1.820127,1.368074,,45.8734855478893,48.7263257112219,16.1838903162719
0.067, 2.65,2.65,,,-0.1705838,1.804811,1.370519,,,-0.1678692,1.817515,1.367941,,45.8734855478893,48.6634777273229,16.2476654983249
0.078, 2.41,2.41,,,-0.1712867,1.804851,1.369799,,,-0.1688635,1.816399,1.367413,,45.8734855478893,48.3811142997975,16.2330608467385
0.088, 2.41,2.41,,,-0.172208,1.804294,1.37005,,,-0.1698335,1.815838,1.367619,,45.8734855478893,48.0733733051171,16.2262921294594
0.099, 2,2,,,-0.1737365,1.805047,1.370009,,,-0.1717705,1.814648,1.367934,,45.8734855478893,47.8761959945495,16.4001665427746
0.11, 1.85,1.85,,,-0.1744205,1.803988,1.368279,,,-0.1726354,1.812859,1.366359,,45.8734855478893,47.7025452699234,16.2808328960115
0.122, 1.71,1.71,,,-0.1749013,1.804256,1.368234,,,-0.1732683,1.812449,1.366434,,45.8734855478893,47.5191171297725,16.3394342099122
0.133, 1.72,1.72,,,-0.1747195,1.80436,1.368319,,,-0.1731231,1.812583,1.366471,,45.8734855478893,47.1352605090995,16.3536188048763
0.144, 1.41,1.41,,,-0.1753217,1.804459,1.367097,,,-0.174031,1.81124,1.365548,,45.8734855478893,46.8541196854015,16.3726511264689
0.155, 0.52,0.52,,,-0.1782987,1.805113,1.364985,,,-0.1778148,1.807626,1.364404,,45.8734855478893,46.8964566117937,16.5351310770183
0.166, 0.46,0.46,,,-0.1791574,1.804559,1.364679,,,-0.1787383,1.806771,1.364162,,45.8734855478893,46.6780305833095,16.5476781341745
0.177, 0.25,0.25,,,-0.1801041,1.804462,1.364064,,,-0.1798786,1.805655,1.363781,,45.8734855478893,46.5551828043162,16.6745113284376
0.188, 0.82,0.82,,,-0.1807036,1.799197,1.361344,,,-0.179977,1.803129,1.360436,,45.8734855478893,46.5272439162938,16.276068839198
0.199, 1.34,1.34,,,-0.1798047,1.79761,1.361818,,,-0.1786441,1.804016,1.360312,,45.8734855478893,46.2365510733073,16.33789229475
0.211, 0.1,0.1,,,-0.1820074,1.802295,1.361977,,,-0.1819202,1.802752,1.361866,,45.8734855478893,46.4377377048061,17.0425987503031
0.222, 0.13,0.13,,,-0.1804527,1.801862,1.360081,,,-0.1803336,1.802494,1.359927,,45.8734855478893,46.3431634930952,16.9361707456176
0.233, 0.58,0.58,,,-0.1799407,1.797709,1.356977,,,-0.1794309,1.800504,1.356311,,45.8734855478893,46.2078472041191,16.5144560949761
0.244, 0.5,0.5,,,-0.1802654,1.797027,1.355792,,,-0.1798343,1.799404,1.355215,,45.8734855478893,46.0437758195373,16.6513347896814
0.255, 0.51,0.51,,,-0.1802114,1.796045,1.35446,,,-0.1797733,1.798462,1.35387,,45.8734855478893,46.0034469687052,16.7114506979884
0.266, 0.3,0.3,,,-0.1802173,1.795613,1.352479,,,-0.1799541,1.797052,1.352128,,45.8734855478893,46.0841012552749,16.7542128036446
0.278, 0.37,0.37,,,-0.1797321,1.794855,1.351427,,,-0.1794077,1.79662,1.350993,,45.8734855478893,46.0775681795156,16.8681249879049
0.288, 0.11,0.11,,,-0.1793883,1.794734,1.349141,,,-0.1792913,1.795252,1.349012,,45.8734855478893,46.1230333324606,17.1373676223998
0.3, 0.02,-0.02,,,-0.1786234,1.794793,1.347589,,,-0.1786405,1.794702,1.347611,,45.8734855478893,46.1301367289997,17.3008277050679
0.311, 0.04,-0.04,,,-0.177858,1.792933,1.344123,,,-0.1778968,1.792727,1.344175,,45.8734855478893,46.2094386381514,17.2926502613116
0.322, 0.38,-0.38,,,-0.1775441,1.792975,1.341566,,,-0.177895,1.791153,1.342027,,45.8734855478893,46.3064136612887,17.4502141833428
0.333, 0.72,-0.72,,,-0.1769839,1.79216,1.337642,,,-0.1776535,1.788747,1.338505,,45.8734855478893,46.4903438203296,17.5470269894918
0.344, 0.93,-0.93,,,-0.1758464,1.792029,1.334922,,,-0.1767216,1.787622,1.33604,,45.8734855478893,46.5832207300789,17.6622574002252
