経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.87,-0.87,,,0.4128876,1.588215,1.094259,,,0.4114239,1.584398,1.095809,,45.8734855478893,16.8924114323703,29.0051044278977
0.01, 0.66,-0.66,,,0.4127611,1.586847,1.094297,,,0.4116631,1.583966,1.09546,,45.8734855478893,17.0401757407625,28.8568244402376
0.021, 0.37,-0.37,,,0.4116411,1.585744,1.09438,,,0.4110242,1.584121,1.095032,,45.8734855478893,17.1344118581188,28.760628058644
0.033, 0.24,-0.24,,,0.4110228,1.585454,1.09463,,,0.41063,1.584419,1.095044,,45.8734855478893,17.1897227284784,28.7037735655749
0.044, 0.33,-0.33,,,0.4109733,1.586449,1.095064,,,0.4104255,1.585008,1.095643,,45.8734855478893,17.1186870555397,28.7768360970934
0.055, 0.27,-0.27,,,0.41048,1.586574,1.0953,,,0.4100316,1.585394,1.095776,,45.8734855478893,17.0992073565689,28.7983716829472
0.066, 0.16,-0.16,,,0.4104889,1.586326,1.096049,,,0.4102325,1.585648,1.096322,,45.8734855478893,17.1647344820952,28.7383616425694
0.077, 0.12,0.12,,,0.4097223,1.585424,1.096626,,,0.4099187,1.585946,1.096415,,45.8734855478893,17.2345936549821,28.6722932245664
0.088, 0.12,0.12,,,0.4095862,1.585419,1.096522,,,0.4097897,1.58596,1.096305,,45.8734855478893,17.2345714568679,28.6711184320618
0.099, 0.2,0.2,,,0.4087421,1.585457,1.096404,,,0.4090643,1.586312,1.09606,,45.8734855478893,17.2246898809612,28.6791746399637
0.11, 0.27,0.27,,,0.407691,1.585597,1.096261,,,0.4081407,1.586787,1.095783,,45.8734855478893,17.1891097190174,28.7111740753347
0.122, 0.42,0.42,,,0.4057743,1.585718,1.095912,,,0.4064742,1.587561,1.095173,,45.8734855478893,17.1525101513684,28.7420465295241
0.132, 0.48,0.48,,,0.4037905,1.586741,1.095868,,,0.4045913,1.588836,1.095027,,45.8734855478893,17.0582296377837,28.8319215712167
0.143, 0.62,0.62,,,0.4019101,1.587036,1.095752,,,0.4029579,1.589762,1.094656,,45.8734855478893,16.9918026348592,28.8949847060685
0.155, 0.69,0.69,,,0.4012254,1.587094,1.095769,,,0.4023848,1.590109,1.094557,,45.8734855478893,16.982008143862,28.9048065178217
0.166, 0.75,0.75,,,0.400787,1.587047,1.095837,,,0.4020469,1.590328,1.094517,,45.8734855478893,16.9943263896873,28.8935640267607
0.177, 0.75,0.75,,,0.4008462,1.587034,1.095863,,,0.4021026,1.590308,1.094546,,45.8734855478893,17.0006238239268,28.8879803472696
0.188, 0.88,0.88,,,0.3996532,1.586946,1.095776,,,0.4011272,1.590792,1.09423,,45.8734855478893,17.0224292022453,28.8665472142505
0.2, 1.01,1.01,,,0.3984432,1.586784,1.095586,,,0.4001379,1.59121,1.09381,,45.8734855478893,17.0528150054698,28.8354425336358
0.21, 1.15,1.15,,,0.3970022,1.586584,1.095183,,,0.3989324,1.591622,1.093167,,45.8734855478893,17.0861719409007,28.7995840414911
0.221, 1.36,1.36,,,0.3954906,1.586517,1.0955,,,0.3977674,1.592451,1.093132,,45.8734855478893,17.0926674506206,28.7908482297858
0.232, 1.43,1.43,,,0.3946155,1.586549,1.095348,,,0.3970175,1.592799,1.092856,,45.8734855478893,17.0806138746182,28.8013291547755
0.244, 1.56,1.56,,,0.3933173,1.58666,1.095427,,,0.3959401,1.593478,1.092705,,45.8734855478893,17.0606389869464,28.8214884575498
0.255, 1.69,1.69,,,0.3919918,1.586843,1.095574,,,0.3948355,1.594227,1.092622,,45.8734855478893,17.0268619948933,28.8555813458432
0.266, 1.74,1.74,,,0.3896537,1.588039,1.095309,,,0.3925855,1.595617,1.092266,,45.8734855478893,16.9159602164259,28.9664762941216
0.278, 1.94,1.94,,,0.387119,1.588524,1.095387,,,0.3904162,1.596996,1.091977,,45.8734855478893,16.8159782025902,29.0645987890075
0.288, 2.14,2.14,,,0.3835102,1.589568,1.095058,,,0.3871709,1.598887,1.09131,,45.8734855478893,16.7121627451896,29.1643161330202
0.299, 2.29,2.29,,,0.3806414,1.589705,1.093846,,,0.3845948,1.599699,1.089841,,45.8734855478893,16.6687381112023,29.2053006819944
0.311, 2.44,2.44,,,0.3789689,1.589584,1.093363,,,0.383181,1.600208,1.089121,,45.8734855478893,16.6838038005448,29.1897244360256
0.321, 2.56,2.56,,,0.3787602,1.589233,1.093843,,,0.3831748,1.60041,1.089389,,45.8734855478893,16.7546157847944,29.1190046593272
0.333, 2.71,2.71,,,0.3783832,1.588478,1.093839,,,0.3830463,1.60031,1.089125,,45.8734855478893,16.7872931164217,29.0864588088378
0.344, 2.77,2.77,,,0.3774484,1.588279,1.093198,,,0.382204,1.600382,1.088381,,45.8734855478893,16.8314588259133,29.0425645993582
0.355, 2.9,2.9,,,0.3762451,1.588273,1.093204,,,0.3812201,1.600942,1.08816,,45.8734855478893,16.8361767789512,29.0379439765133
0.366, 3.02,3.02,,,0.3733648,1.589221,1.092679,,,0.378546,1.60237,1.087433,,45.8734855478893,16.7722940214218,29.1016798849796
0.377, 3.2,3.2,,,0.369217,1.590622,1.092217,,,0.3747579,1.604562,1.086634,,45.8734855478893,16.6166049862656,29.2569164201158
0.388, 3.24,3.24,,,0.3652476,1.592722,1.091527,,,0.3709179,1.606817,1.085868,,45.8734855478893,16.4365953556992,29.4373085412652
0.399, 3.39,3.39,,,0.3629399,1.593066,1.091121,,,0.3689186,1.607804,1.085214,,45.8734855478893,16.3560315691335,29.5200118845288
0.41, 3.6,3.6,,,0.3604511,1.593071,1.090626,,,0.3668278,1.608722,1.084375,,45.8734855478893,16.3447258988244,29.5343279606308
0.421, 3.81,3.81,,,0.3583,1.592739,1.089976,,,0.3650548,1.609304,1.083395,,45.8734855478893,16.4028747127052,29.4793483544367
0.432, 3.95,3.95,,,0.3570494,1.592483,1.089639,,,0.3640395,1.609643,1.082842,,45.8734855478893,16.4527607054675,29.4305261636081
0.444, 4.01,4.01,,,0.3564629,1.592459,1.089628,,,0.3635654,1.609901,1.08272,,45.8734855478893,16.458438300057,29.4246522010853
0.455, 4.14,4.14,,,0.3559631,1.59243,1.090288,,,0.3632853,1.610428,1.083158,,45.8734855478893,16.4655724324466,29.4168589554592
0.466, 4.27,4.27,,,0.3544739,1.592534,1.090208,,,0.3620431,1.611112,1.082848,,45.8734855478893,16.4474656014607,29.4357888242171
