経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.79,-0.79,,,-0.09028558,1.808065,1.519309,,,-0.09028941,1.804114,1.519503,,34.0465420460742,36.0115361891871,2.55404949098017
0.01, 0.45,-0.45,,,-0.09092933,1.805777,1.519951,,,-0.09093513,1.803544,1.52006,,34.1927354110009,36.2203043304537,2.56254219064651
0.021, 0.35,-0.35,,,-0.09140854,1.80471,1.520738,,,-0.09141522,1.802942,1.520826,,34.3466332290971,36.4399427174818,2.59540564492352
0.032, 0.09,0.09,,,-0.09173144,1.802255,1.521015,,,-0.09172937,1.802715,1.520992,,34.4045088354186,36.4907217574532,2.55596471865882
0.044, 1.24,1.24,,,-0.09193528,1.796938,1.520309,,,-0.09191444,1.803113,1.520028,,34.3024760573417,36.2004694616559,2.36570916429223
0.055, 2.16,2.16,,,-0.09097853,1.793283,1.519397,,,-0.09097098,1.804082,1.518945,,34.0542977256609,35.6960053639751,2.15185957586803
0.066, 2.86,2.86,,,-0.09035736,1.790917,1.51775,,,-0.09039381,1.805205,1.517186,,33.7637722223044,35.1717986050477,2.01411686225672
0.077, 3.49,3.49,,,-0.08951858,1.788255,1.5176,,,-0.08960304,1.805692,1.516916,,33.6377279148685,34.9548991238006,2.01664168430184
0.088, 3.54,3.54,,,-0.09061243,1.787184,1.51831,,,-0.09071223,1.804872,1.517575,,33.850078490255,35.2356335512543,2.15376861368793
0.099, 3.59,3.59,,,-0.090699,1.786805,1.518542,,,-0.09080295,1.804744,1.517751,,33.8830443973667,35.3742215007519,2.29822860471761
0.11, 3.53,3.53,,,-0.09096725,1.786423,1.519725,,,-0.09108216,1.804054,1.518897,,34.06123378257,35.655167664064,2.46553344345116
0.121, 3.73,3.73,,,-0.08943669,1.785901,1.520227,,,-0.08959572,1.804524,1.519307,,33.941363965972,35.5842327364128,2.62562282785761
0.132, 3.92,3.92,,,-0.08905874,1.78529,1.519924,,,-0.08924279,1.804862,1.518943,,33.8541356225091,35.4963930910362,2.67334834646817
0.143, 3.85,3.85,,,-0.08906316,1.785808,1.519568,,,-0.08924381,1.805019,1.518623,,33.813311582976,35.4140927289223,2.62346000582843
0.154, 3.94,3.94,,,-0.08917537,1.785757,1.518668,,,-0.08935589,1.805414,1.517714,,33.71043527656,35.2835336665707,2.58353797812746
0.165, 3.97,3.97,,,-0.08924434,1.7857,1.518392,,,-0.08942427,1.805516,1.517442,,33.6838521810501,35.2310060982204,2.54737340813908
0.177, 4.29,4.29,,,-0.08985829,1.784361,1.517318,,,-0.09005553,1.805781,1.516313,,33.6140715553365,35.1003104320891,2.49112210613431
0.188, 4.6,4.6,,,-0.08991677,1.783527,1.515784,,,-0.09012865,1.806497,1.514757,,33.4267399621835,34.8080671362042,2.3705854923371
0.2, 5.04,5.04,,,-0.08920982,1.782072,1.51494,,,-0.08945238,1.807224,1.513864,,33.2361298783202,34.5159911799493,2.26762188756826
0.21, 5.33,5.33,,,-0.08850685,1.781275,1.514184,,,-0.08881004,1.807891,1.513056,,33.0604096064331,34.2579159044366,2.27210569319019
0.221, 5.59,5.59,,,-0.08591987,1.781031,1.514355,,,-0.08633113,1.808927,1.513163,,32.7874479340386,33.8944337374908,2.35151901979958
0.232, 5.85,5.85,,,-0.08322969,1.780865,1.514292,,,-0.08376956,1.810103,1.513003,,32.475000939151,33.5289605704574,2.50850429675805
0.243, 5.7,5.7,,,-0.08050759,1.782215,1.515508,,,-0.08108854,1.810682,1.514174,,32.3216597814567,33.4615944165482,2.69783798905576
0.254, 5.46,5.46,,,-0.07851371,1.784204,1.515641,,,-0.07907233,1.811444,1.514323,,32.1169385271608,33.3430838075572,2.78037783467072
0.266, 5.13,5.13,,,-0.07844643,1.786234,1.514889,,,-0.07889611,1.811827,1.51366,,32.0129249942797,33.3199158065372,2.69333582730095
0.277, 4.92,4.92,,,-0.07648603,1.7889,1.513056,,,-0.07684492,1.813481,1.511881,,31.5610021253271,32.9658729607617,2.6221912982254
