経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.41,-0.41,,,0.3998905,1.628543,1.23868,,,0.399237,1.626616,1.239035,,45.0005395849294,27.9476699379477,20.9945717073082
0.01, 0.28,0.28,,,0.3993128,1.624777,1.239778,,,0.3997576,1.626096,1.239538,,45.0005395849294,28.0006073176368,20.8487540027753
0.021, 1.25,1.25,,,0.3979415,1.620122,1.240739,,,0.3998971,1.625956,1.239704,,45.0005395849294,28.0222692619867,20.6556816357847
0.032, 2.23,2.23,,,0.3966847,1.615246,1.240744,,,0.4001584,1.625695,1.238946,,45.0005395849294,28.0686240470463,20.409601879668
0.043, 2.96,2.96,,,0.3955923,1.61181,1.241338,,,0.400164,1.625689,1.239001,,45.0005395849294,28.1601707774918,20.1898012756516
0.054, 3.8,3.8,,,0.3942153,1.607941,1.241366,,,0.4000576,1.625796,1.23842,,45.0005395849294,28.2151742893473,20.0140741735756
0.065, 4.44,4.44,,,0.3934605,1.604715,1.242074,,,0.4002527,1.625601,1.238697,,45.0005395849294,28.2635047065694,19.8501342701317
0.076, 4.86,4.86,,,0.3923154,1.603288,1.243558,,,0.3997372,1.626116,1.239893,,45.0005395849294,28.2510105833778,19.8202521933444
0.087, 5.03,5.03,,,0.3914042,1.603081,1.245296,,,0.3991196,1.626734,1.241462,,45.0005395849294,28.2209884877165,19.9047552914043
0.099, 4.58,4.58,,,0.3916819,1.605659,1.245258,,,0.398722,1.627131,1.241704,,45.0005395849294,28.1915964769885,20.0558510244714
0.11, 4.67,4.67,,,0.3916861,1.605048,1.246484,,,0.3988776,1.626976,1.242855,,45.0005395849294,28.1856098163476,20.0597049586034
0.121, 5.11,5.11,,,0.390503,1.603473,1.247628,,,0.3983705,1.627483,1.243704,,45.0005395849294,28.1679486551927,20.0013580692422
0.132, 5.72,5.72,,,0.3880579,1.602104,1.248498,,,0.3968486,1.629005,1.24422,,45.0005395849294,28.1459178806379,19.8640593179146
0.144, 5.8,5.8,,,0.386891,1.602801,1.249294,,,0.3957776,1.630076,1.245032,,45.0005395849294,28.1517901356134,19.7598135586081
0.154, 5.83,5.83,,,0.3856247,1.603857,1.249509,,,0.3945574,1.631296,1.24525,,45.0005395849294,28.1508475695342,19.7259358212676
0.165, 5.63,5.63,,,0.3856201,1.605138,1.249633,,,0.3942381,1.631615,1.245512,,45.0005395849294,28.1594109189678,19.7323698592867
0.176, 5.37,5.37,,,0.385767,1.606614,1.250323,,,0.3939861,1.631867,1.246345,,45.0005395849294,28.1885450900617,19.7713258421338
0.187, 5.22,5.22,,,0.384758,1.608581,1.252051,,,0.3927331,1.63312,1.248151,,45.0005395849294,28.2332930731638,19.7805722104654
0.199, 4.95,4.95,,,0.3824668,1.612586,1.255363,,,0.3900142,1.635839,1.251606,,45.0005395849294,28.2937436607309,19.8188724951705
0.21, 4.88,4.88,,,0.3816098,1.613825,1.255751,,,0.3890712,1.636782,1.252052,,45.0005395849294,28.2647665839834,19.8285611182385
0.221, 4.7,4.7,,,0.3792547,1.617316,1.25606,,,0.3864518,1.639401,1.252553,,45.0005395849294,28.1872951654784,19.8173322875555
0.232, 4.59,4.59,,,0.3763624,1.620842,1.257126,,,0.383415,1.642438,1.253737,,45.0005395849294,28.1246128136622,19.8079715135585
0.243, 4.39,4.39,,,0.372843,1.625609,1.257601,,,0.3795961,1.646258,1.254397,,45.0005395849294,28.0746909624078,19.7943521167325
0.254, 4.27,4.27,,,0.3693039,1.629875,1.258279,,,0.3758829,1.649971,1.25518,,45.0005395849294,28.0443444327699,19.7890672580093
0.265, 4.08,4.08,,,0.3660974,1.63431,1.259065,,,0.3723657,1.653488,1.256086,,45.0005395849294,28.0870040855914,19.7875031447328
0.276, 3.81,3.81,,,0.3633291,1.638782,1.261012,,,0.3691605,1.656693,1.258188,,45.0005395849294,28.1854441842648,19.7799865217604
0.288, 3.5,3.5,,,0.3602142,1.643829,1.263164,,,0.3655453,1.660308,1.260517,,45.0005395849294,28.3326415869716,19.7493565392798
0.299, 3.3,3.3,,,0.3573076,1.648009,1.264995,,,0.3622945,1.663559,1.262467,,45.0005395849294,28.5028874623913,19.6644965638458
0.31, 3.24,3.24,,,0.3536791,1.652043,1.266403,,,0.3585373,1.667316,1.263909,,45.0005395849294,28.6441152799296,19.5632185216511
0.321, 3.27,3.27,,,0.3497298,1.655873,1.267654,,,0.3545929,1.67126,1.26516,,45.0005395849294,28.7270645099966,19.4401111954766
0.332, 3.44,3.44,,,0.3448071,1.659733,1.26858,,,0.3499098,1.675944,1.265987,,45.0005395849294,28.7602216623997,19.3361659644853
0.343, 3.52,3.52,,,0.3397285,1.664281,1.268887,,,0.3449471,1.680906,1.26626,,45.0005395849294,28.7747289837931,19.2519411966263
0.354, 3.57,3.57,,,0.3347138,1.66902,1.270272,,,0.3399888,1.685865,1.267623,,45.0005395849294,28.8017594566812,19.2016949113954
0.365, 3.57,3.57,,,0.3298326,1.673889,1.272075,,,0.3350969,1.690756,1.269413,,45.0005395849294,28.8624081197287,19.1639256738835
0.376, 3.4,3.4,,,0.3251174,1.679669,1.274083,,,0.3301165,1.695737,1.271505,,45.0005395849294,28.9499369915067,19.1792645707852
0.388, 3.21,3.21,,,0.3203729,1.685634,1.277052,,,0.3250739,1.700779,1.274567,,45.0005395849294,29.0414171276096,19.2299599409416
0.399, 2.99,2.99,,,0.3156811,1.691689,1.279644,,,0.3200498,1.705804,1.277267,,45.0005395849294,29.1518100569979,19.2930077078683
0.41, 2.8,2.8,,,0.3110915,1.697501,1.28183,,,0.3151568,1.710697,1.279565,,45.0005395849294,29.2732576472503,19.3063470669461
0.421, 2.9,2.9,,,0.3055658,1.702409,1.284312,,,0.3097506,1.716103,1.281929,,45.0005395849294,29.4340983524446,19.2509781399802
0.432, 2.94,2.94,,,0.3007884,1.707017,1.286319,,,0.3049805,1.720873,1.283897,,45.0005395849294,29.6004373597677,19.1368064085386
0.443, 2.89,2.89,,,0.2962051,1.711925,1.287884,,,0.3002821,1.725571,1.285505,,45.0005395849294,29.7835069149972,18.9567387213659
0.455, 2.82,2.82,,,0.2915617,1.717027,1.28917,,,0.2954975,1.730356,1.286839,,45.0005395849294,29.9666106211715,18.8154033283511
0.466, 2.8,2.8,,,0.2861716,1.722531,1.291746,,,0.2900539,1.735799,1.289393,,45.0005395849294,30.1406916477034,18.7594452975856
0.477, 2.7,2.7,,,0.2811406,1.728209,1.2932,,,0.2848556,1.740998,1.290895,,45.0005395849294,30.2929024091215,18.7437017119869
0.487, 2.44,2.44,,,0.276336,1.73465,1.295794,,,0.279676,1.746177,1.293685,,45.0005395849294,30.3733654503997,18.7816382891287
0.499, 2.5,2.5,,,0.269986,1.740621,1.297123,,,0.2734143,1.752439,1.294932,,45.0005395849294,30.3968749608687,18.8653081041331
0.51, 2.4,2.4,,,0.2638429,1.747342,1.298937,,,0.2671525,1.758701,1.296803,,45.0005395849294,30.3716920540997,18.9871176944014
0.521, 2.58,2.58,,,0.2565585,1.753539,1.299775,,,0.260138,1.765715,1.297468,,45.0005395849294,30.2682215212425,19.1431601918372
