経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 1.43,1.43,,,-0.1673555,1.782697,1.328922,,,-0.1655886,1.789488,1.32745,,45.8734855478893,50.4751955995369,18.5472637693764
0.01, 0.63,0.63,,,-0.1716721,1.783136,1.328775,,,-0.1708613,1.786119,1.32813,,45.8734855478893,51.0306436428585,19.0004331478178
0.022, 1.41,-1.41,,,-0.1795837,1.788677,1.331807,,,-0.1815383,1.782072,1.33329,,45.8734855478893,51.9370950978595,20.2262130131037
0.033, 0.05,-0.05,,,-0.1792902,1.782098,1.330761,,,-0.1793628,1.781852,1.330814,,45.8734855478893,52.1077029732951,19.8959665457344
0.044, 2.49,2.49,,,-0.1734851,1.776646,1.333055,,,-0.1701941,1.788404,1.330579,,45.8734855478893,51.5575756471889,19.1558523905092
0.055, 1.39,1.39,,,-0.1774813,1.779819,1.33462,,,-0.1755978,1.786344,1.333174,,45.8734855478893,51.6731151239736,19.8437668264551
0.066, 1.79,1.79,,,-0.1741578,1.779869,1.333838,,,-0.1717936,1.788278,1.332006,,45.8734855478893,51.4268014338843,19.423810949476
0.078, 1.64,1.64,,,-0.1758886,1.782293,1.337931,,,-0.1736529,1.789978,1.336183,,45.8734855478893,51.6279812351941,20.1169573101805
0.088, 1.13,1.13,,,-0.1769163,1.784658,1.339056,,,-0.1753617,1.789937,1.337836,,45.8734855478893,51.6961977476313,20.3747303498309
0.099, 1.53,1.53,,,-0.1754846,1.782853,1.337663,,,-0.1734157,1.790044,1.336035,,45.8734855478893,51.5064858336189,19.9532274350477
0.11, 1.74,1.74,,,-0.1759426,1.782564,1.339004,,,-0.1736017,1.790717,1.337139,,45.8734855478893,51.4188101127778,20.0054220316852
0.122, 1.84,1.84,,,-0.1761552,1.782265,1.339434,,,-0.173691,1.790891,1.337466,,45.8734855478893,51.3645203556707,19.9296769434449
0.132, 1.92,1.92,,,-0.1765069,1.782292,1.340333,,,-0.1739375,1.791301,1.338271,,45.8734855478893,51.3264898634304,19.9317806416507
0.144, 1.9,1.9,,,-0.176527,1.78208,1.339927,,,-0.1739865,1.790992,1.337898,,45.8734855478893,51.3521986947509,19.8894420077113
0.155, 2.41,2.41,,,-0.176047,1.781865,1.342366,,,-0.1728471,1.7932,1.33977,,45.8734855478893,51.1869730082315,19.8191849763163
0.166, 2.33,2.33,,,-0.1766402,1.782,1.342628,,,-0.1735605,1.792929,1.340113,,45.8734855478893,51.135705609748,19.8356969581753
0.177, 2.34,2.34,,,-0.1776026,1.782426,1.3443,,,-0.1745419,1.793413,1.341754,,45.8734855478893,50.9428825446552,19.7583997094893
0.188, 2.64,2.64,,,-0.1772404,1.782615,1.346129,,,-0.1738163,1.795016,1.343214,,45.8734855478893,50.7410197244474,19.7709928704211
0.2, 2.87,2.87,,,-0.1763855,1.782301,1.346324,,,-0.1726911,1.795794,1.34315,,45.8734855478893,50.6283967383571,19.6877140837358
0.21, 3.26,3.26,,,-0.1757984,1.78174,1.347517,,,-0.1716698,1.797088,1.343892,,45.8734855478893,50.3793134066364,19.5326397655879
0.222, 2.73,2.73,,,-0.1768899,1.782902,1.346869,,,-0.1734253,1.795737,1.343807,,45.8734855478893,50.3625008964623,19.6465160913561
0.233, 2.04,2.04,,,-0.1785274,1.782886,1.344149,,,-0.1759405,1.792489,1.341893,,45.8734855478893,50.4305022579466,19.5059934908299
0.244, 2.02,2.02,,,-0.1786833,1.783418,1.344945,,,-0.1761528,1.792919,1.342693,,45.8734855478893,50.2302069661097,19.4605198001487
0.255, 1.73,1.73,,,-0.179118,1.784063,1.344471,,,-0.1769752,1.792192,1.342524,,45.8734855478893,50.0372370519538,19.43794602557
0.266, 1.5,1.5,,,-0.1798373,1.784317,1.344143,,,-0.1779865,1.791382,1.34243,,45.8734855478893,49.8902889511448,19.4738011026202
0.277, 1.31,1.31,,,-0.1804183,1.784493,1.343785,,,-0.1788143,1.79066,1.342274,,45.8734855478893,49.7354963782923,19.4929375845947
0.288, 1.08,1.08,,,-0.1810884,1.784393,1.342855,,,-0.1797782,1.789465,1.341608,,45.8734855478893,49.6287678452917,19.456583903749
0.299, 0.94,0.94,,,-0.1811681,1.784365,1.342034,,,-0.1800329,1.788788,1.340941,,45.8734855478893,49.5179992555094,19.4360984594509
0.311, 0.69,0.69,,,-0.1813394,1.784481,1.34078,,,-0.1805113,1.787726,1.339972,,45.8734855478893,49.4005780616607,19.4471087240865
0.322, 0.46,0.46,,,-0.1821716,1.784013,1.339526,,,-0.18162,1.786186,1.338981,,45.8734855478893,49.2884366038934,19.4648774607179
0.333, 0.18,0.18,,,-0.1827779,1.784386,1.338861,,,-0.1825609,1.785248,1.338642,,45.8734855478893,49.1040863882302,19.5274488219632
0.344, 1.58,1.58,,,-0.1794758,1.780521,1.339438,,,-0.1776897,1.787997,1.337518,,45.8734855478893,48.4335223398406,19.1453065787242
0.355, 2.01,2.01,,,-0.1776419,1.781551,1.341916,,,-0.1754311,1.791023,1.339386,,45.8734855478893,47.9109206753236,19.3428697949691
0.366, 0.83,0.83,,,-0.1799608,1.784631,1.340645,,,-0.1790297,1.788519,1.33957,,45.8734855478893,47.9753600932548,19.900250781772
0.377, 0.47,0.47,,,-0.1814861,1.783448,1.338222,,,-0.1809541,1.785672,1.337614,,45.8734855478893,48.0322555674578,19.771173870429
0.389, 0.26,0.26,,,-0.181408,1.783082,1.336255,,,-0.1811145,1.78431,1.335918,,45.8734855478893,47.9918208486965,19.8238073067085
0.4, 0.11,0.11,,,-0.1815116,1.783087,1.335375,,,-0.181387,1.783607,1.335231,,45.8734855478893,47.9408642238116,19.9587001239679
0.41, 0.91,0.91,,,-0.1790844,1.780453,1.334675,,,-0.1780845,1.784745,1.33348,,45.8734855478893,47.6145587754837,19.7607014831755
0.422, 0.92,0.92,,,-0.1785917,1.780413,1.334166,,,-0.1775924,1.784718,1.332951,,45.8734855478893,47.4801884676813,19.883166771586
0.433, 0.26,0.26,,,-0.1801954,1.781451,1.33284,,,-0.1799043,1.782683,1.332489,,45.8734855478893,47.6146646434129,20.1213747349033
