経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.48,-0.48,,,0.07894673,1.645848,1.028004,,,0.0786645,1.64345,1.028069,,44.7499911776726,43.8537645155745,6.83586700142182
0.01, 1.67,1.67,,,0.08081999,1.635441,1.028544,,,0.08175892,1.643754,1.028374,,44.7499911776726,44.2069979839559,6.50743608366071
0.022, 3.08,3.08,,,0.08062384,1.627571,1.027674,,,0.08235604,1.642849,1.027469,,44.7499911776726,44.6031352844148,6.48875679746099
0.033, 4.26,4.26,,,0.07925827,1.622478,1.028533,,,0.08171711,1.643631,1.028251,,44.7499911776726,44.6281406062703,6.64933112528502
0.044, 4.95,4.95,,,0.07794506,1.619656,1.029222,,,0.08091315,1.644217,1.028837,,44.7499911776726,44.5272587150365,6.91993680936829
0.055, 6.08,6.08,,,0.07806133,1.616494,1.031853,,,0.08175505,1.646659,1.031279,,44.7499911776726,44.3483658203683,7.02992505005959
0.066, 8.21,8.21,,,0.07957083,1.60929,1.035602,,,0.08447248,1.650015,1.034635,,44.7499911776726,44.0690793929783,6.94986200172348
0.078, 9.91,9.91,,,0.08133093,1.602599,1.037604,,,0.08702651,1.651799,1.036419,,44.7499911776726,44.0169479755889,6.69717489154229
0.089, 10.77,10.77,,,0.08094799,1.601817,1.041442,,,0.08736083,1.655252,1.039872,,44.7499911776726,43.7480673411099,6.98819729114705
0.099, 8.57,8.57,,,0.07394963,1.610956,1.039176,,,0.07998523,1.653362,1.037982,,44.7499911776726,43.9889032196373,8.2101603614536
0.11, 7.22,7.22,,,0.07019766,1.615744,1.036797,,,0.07583857,1.651417,1.036036,,44.7499911776726,44.5069252424433,9.03572359591236
0.122, 7.84,7.84,,,0.07435313,1.615634,1.039706,,,0.08035137,1.654341,1.038961,,44.7499911776726,44.594201397229,8.84815379991872
0.134, 8.81,8.81,,,0.0790619,1.615165,1.044398,,,0.08539285,1.658746,1.043366,,44.7499911776726,44.2640710430723,8.33625674908049
0.143, 7.88,7.88,,,0.07797334,1.616796,1.041125,,,0.08368026,1.655779,1.040398,,44.7499911776726,44.5554366596733,8.36705748628555
0.155, 8.03,8.03,,,0.07775845,1.617351,1.042567,,,0.0834827,1.657074,1.041694,,44.7499911776726,44.349164952479,8.25965874099126
0.165, 9.21,9.21,,,0.08154298,1.61799,1.049493,,,0.08795463,1.66357,1.04819,,44.7499911776726,43.9502341047273,8.12250342363223
0.177, 10.04,10.04,,,0.08282074,1.616762,1.052655,,,0.08950389,1.666467,1.051087,,44.7499911776726,43.7341883971026,7.80972004193736
0.188, 9.39,9.39,,,0.07989019,1.616877,1.049262,,,0.08628304,1.663364,1.047984,,44.7499911776726,43.9861438232894,7.93790561361849
0.199, 9.39,9.39,,,0.07814188,1.616824,1.049046,,,0.08459765,1.66331,1.04793,,44.7499911776726,44.1932966248621,7.98318037504568
0.21, 9.55,9.55,,,0.0777798,1.61688,1.049915,,,0.08437294,1.664179,1.048799,,44.7499911776726,44.2204944373803,8.00878675353149
0.222, 9.8,9.8,,,0.07874765,1.616695,1.050928,,,0.08547717,1.665206,1.049826,,44.7499911776726,44.2646072129072,7.9648404638609
0.233, 9.95,9.95,,,0.08004501,1.616678,1.051377,,,0.08685285,1.665956,1.050576,,44.7499911776726,44.6227310965982,7.8939900597983
0.244, 10.21,10.21,,,0.08036386,1.61704,1.052819,,,0.08740268,1.667606,1.052226,,44.7499911776726,44.8859460893184,7.93518549085722
0.254, 11.07,11.07,,,0.08219109,1.61754,1.057631,,,0.08979792,1.672363,1.056983,,44.7499911776726,44.8771419757232,7.91026042372216
0.266, 12.01,12.01,,,0.08429459,1.618567,1.063549,,,0.09238461,1.678052,1.062672,,44.7499911776726,44.6906060995864,7.76665057777707
0.278, 12.25,12.25,,,0.08466854,1.621114,1.067281,,,0.09297439,1.681775,1.066395,,44.7499911776726,44.7052090436256,7.81765757530568
0.288, 11.89,11.89,,,0.08301695,1.623892,1.068256,,,0.09120736,1.682774,1.067394,,44.7499911776726,44.7204847612792,7.9398342882317
0.299, 11.33,11.33,,,0.08149368,1.630744,1.072233,,,0.08959128,1.68681,1.07143,,44.7499911776726,44.7821101413508,8.23711570226295
0.311, 10.54,10.54,,,0.07925045,1.638839,1.076461,,,0.08715466,1.690913,1.075533,,44.7499911776726,44.6479720599736,8.66356196632034
0.322, 9.65,9.65,,,0.07792285,1.647137,1.080389,,,0.08541287,1.694813,1.079432,,44.7499911776726,44.5678744338058,8.97145749402643
0.333, 8.98,8.98,,,0.07590199,1.656261,1.086245,,,0.08310954,1.700555,1.085174,,44.7499911776726,44.3901119354137,9.30835400414137
0.344, 8.28,8.28,,,0.07455209,1.665597,1.092121,,,0.08135223,1.706414,1.091034,,44.7499911776726,44.2897354781645,9.54006987283326
0.356, 7.85,7.85,,,0.07427879,1.674004,1.098482,,,0.08077493,1.7127,1.09732,,44.7499911776726,44.1137215081513,9.63688182520863
0.366, 7.59,7.59,,,0.07406476,1.683079,1.106365,,,0.08039044,1.720473,1.105093,,44.7499911776726,43.9032970460571,9.74366329217386
0.378, 7.18,7.18,,,0.07399604,1.692031,1.113355,,,0.07999629,1.727401,1.11202,,44.7499911776726,43.7019908862512,9.8075844695163
0.388, 6.49,6.49,,,0.07254711,1.702677,1.120532,,,0.07808656,1.734609,1.119229,,44.7499911776726,43.5683582388585,10.0504839188892
0.4, 5.73,5.73,,,0.06969294,1.712832,1.126832,,,0.07474413,1.741028,1.125648,,44.7499911776726,43.5621735027372,10.3715847632144
0.411, 5.45,5.45,,,0.06927274,1.722375,1.134953,,,0.07410765,1.749157,1.133777,,44.7499911776726,43.4695356496022,10.4687698146628
0.422, 5.03,5.03,,,0.06807249,1.732125,1.142573,,,0.07261328,1.756842,1.141462,,44.7499911776726,43.4477678373231,10.6524233510501
0.433, 4.94,4.94,,,0.06795444,1.74103,1.151064,,,0.07242668,1.765287,1.149906,,44.7499911776726,43.2997781326946,10.7228596749058
0.444, 5.31,5.31,,,0.06939514,1.748612,1.160609,,,0.07411419,1.774691,1.159311,,44.7499911776726,43.1501116166716,10.5655553000559
0.455, 5.38,5.38,,,0.06888077,1.757617,1.170035,,,0.07370101,1.784038,1.168658,,44.7499911776726,43.0359552531553,10.6775755219687
0.466, 5.94,5.94,,,0.07115914,1.765241,1.180667,,,0.0763763,1.794437,1.179057,,44.7499911776726,42.8295537723703,10.5213221424481
0.477, 6.11,6.11,,,0.07136373,1.77354,1.189903,,,0.07676709,1.803573,1.188193,,44.7499911776726,42.7430221081834,10.6136859342503
0.488, 6.31,6.31,,,0.07083601,1.782947,1.200393,,,0.07652006,1.813912,1.198532,,44.7499911776726,42.6078492531758,10.8570310534542
0.5, 6.37,6.37,,,0.06935932,1.791678,1.20949,,,0.0752198,1.822936,1.207555,,44.7499911776726,42.5533716658717,11.0930789695066
0.511, 6.64,6.64,,,0.06849654,1.800017,1.219323,,,0.07472706,1.832565,1.217184,,44.7499911776726,42.3883440548328,11.3630046228996
0.522, 7.24,7.24,,,0.0686818,1.806933,1.229457,,,0.0754596,1.842414,1.227034,,44.7499911776726,42.2423555955754,11.3857756191851
0.533, 7.81,7.81,,,0.06909916,1.812735,1.238204,,,0.07634842,1.850998,1.235618,,44.7499911776726,42.2633174455549,11.2913858225767
0.544, 9.1,9.1,,,0.07129914,1.816803,1.249077,,,0.07952082,1.86143,1.24605,,44.7499911776726,42.1894455366423,11.0231583249189
0.556, 10.18,10.18,,,0.07402539,1.82073,1.25868,,,0.08297217,1.870728,1.255348,,44.7499911776726,42.1968050652681,10.7255575995529
