経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.65,-0.65,,,0.005932003,1.823677,1.25928,,,0.004874237,1.820599,1.259524,,44.8235181620417,57.1635420449358,19.3737166359498
0.011, 2.27,2.27,,,0.007028412,1.815524,1.262598,,,0.01064491,1.826262,1.261763,,44.8235181620417,56.9134444301516,19.0132158464938
0.022, 5.28,5.28,,,0.009084027,1.807428,1.26561,,,0.01735861,1.832406,1.263738,,44.8235181620417,56.7577127063144,18.7063832669477
0.033, 7.25,7.25,,,0.009868015,1.8009,1.266356,,,0.02118999,1.835277,1.263967,,44.8235181620417,56.8364374644972,18.5532640903953
0.044, 8.07,8.07,,,0.008516442,1.796227,1.265257,,,0.02117718,1.834471,1.262839,,44.8235181620417,57.1001783817689,18.5804858085748
0.055, 8,8,,,0.006370787,1.794124,1.263761,,,0.01904747,1.832012,1.261491,,44.8235181620417,57.3534725249956,18.7306987397163
0.066, 7.64,7.64,,,0.004641861,1.793546,1.262591,,,0.01683187,1.829673,1.2604,,44.8235181620417,57.4532820765596,18.8800886330857
0.077, 6.94,6.94,,,0.003934149,1.795972,1.263092,,,0.01508492,1.828779,1.260882,,44.8235181620417,57.3579667893445,19.0646505846073
0.088, 7.19,7.19,,,0.003565587,1.795647,1.264429,,,0.01516866,1.8296,1.26196,,44.8235181620417,57.2794742575869,19.208132364509
0.099, 7.58,7.58,,,0.003592279,1.794343,1.264717,,,0.015843,1.830094,1.261984,,44.8235181620417,57.2083173487938,19.2927806040847
0.111, 7.6,7.6,,,0.003739428,1.794133,1.264367,,,0.0160264,1.830003,1.261672,,44.8235181620417,57.2414881615749,19.2733077353029
0.122, 7.7,7.7,,,0.003411286,1.792365,1.262675,,,0.01583695,1.82873,1.260061,,44.8235181620417,57.3017270132836,19.1979878263265
0.134, 8.41,8.41,,,0.003259387,1.787648,1.259807,,,0.01676794,1.827374,1.257212,,44.8235181620417,57.4264462640574,19.0534917633613
0.145, 8.12,8.12,,,0.002636984,1.786618,1.257354,,,0.01567707,1.825018,1.254971,,44.8235181620417,57.5044606825863,19.0015976950389
0.155, 7.58,7.58,,,0.002080686,1.7876,1.256303,,,0.01428907,1.82339,1.254057,,44.8235181620417,57.5493418543735,19.0850694345628
0.166, 7.15,7.15,,,0.002122521,1.789472,1.256639,,,0.01370496,1.823238,1.254426,,44.8235181620417,57.5485358920739,19.2050177983341
0.177, 6.25,6.25,,,0.0004586205,1.790419,1.2547,,,0.0107184,1.81985,1.252622,,44.8235181620417,57.63842117905,19.5311268787289
0.188, 5.68,5.68,,,-0.000201501,1.792048,1.254648,,,0.009187616,1.818773,1.25263,,44.8235181620417,57.6099734419485,19.7148231037972
0.199, 5.65,5.65,,,-0.0003045052,1.791793,1.254241,,,0.009044476,1.818352,1.252177,,44.8235181620417,57.5752419309855,19.7711841157125
0.211, 5.62,5.62,,,-0.0006481074,1.790826,1.253075,,,0.008635595,1.817274,1.251061,,44.8235181620417,57.5796747236335,19.7058618958556
0.221, 5.98,5.98,,,-0.0006970391,1.789492,1.253186,,,0.009134524,1.817674,1.251128,,44.8235181620417,57.5778852141207,19.5671851539012
0.233, 5.86,5.86,,,-0.002187751,1.786515,1.249792,,,0.007413864,1.81414,1.247851,,44.8235181620417,57.6032798567482,19.4770181216297
0.244, 5.83,5.83,,,-0.004951507,1.780913,1.244414,,,0.004514493,1.80842,1.242661,,44.8235181620417,57.6500325003159,19.2451963850086
0.254, 5.64,5.64,,,-0.006896239,1.778093,1.241301,,,0.002253912,1.804719,1.239688,,44.8235181620417,57.7245498620871,19.1946120054232
0.266, 4.93,4.93,,,-0.01010934,1.776582,1.238512,,,-0.002077661,1.799836,1.237113,,44.8235181620417,57.8127412621962,19.2786045468568
0.277, 4.01,4.01,,,-0.01377802,1.776368,1.236951,,,-0.007183611,1.795267,1.235758,,44.8235181620417,57.875818057426,19.4809710935019
0.288, 3.25,3.25,,,-0.01785299,1.774841,1.234826,,,-0.01246431,1.790157,1.233812,,44.8235181620417,57.9087122475534,19.6535238652495
0.299, 2.77,2.77,,,-0.02203735,1.772203,1.232699,,,-0.0174381,1.785231,1.231819,,44.8235181620417,57.9212114933867,19.7253586702988
0.311, 2.68,2.68,,,-0.02571845,1.767695,1.229553,,,-0.02126692,1.780331,1.228718,,44.8235181620417,57.9339839467792,19.6748357624142
0.321, 3.01,3.01,,,-0.02973629,1.761112,1.226021,,,-0.02478711,1.775315,1.225145,,44.8235181620417,57.898617228241,19.4458263561056
0.333, 3.71,3.71,,,-0.03200633,1.754116,1.222115,,,-0.02600121,1.771619,1.221133,,44.8235181620417,57.8338465461442,19.1309836724332
0.344, 4.65,4.65,,,-0.03451306,1.746247,1.218588,,,-0.0271,1.768267,1.21749,,44.8235181620417,57.7470963159099,18.7596160523101
0.355, 5.39,5.39,,,-0.03784057,1.739099,1.215783,,,-0.02932271,1.764664,1.214618,,44.8235181620417,57.7298500887355,18.554809420652
0.366, 5.34,5.34,,,-0.04177812,1.73397,1.21209,,,-0.03334409,1.759273,1.211015,,44.8235181620417,57.8302128856069,18.5436881654454
0.377, 4.55,4.55,,,-0.04725879,1.730491,1.20831,,,-0.03996873,1.752048,1.207423,,44.8235181620417,58.0780872738781,18.783250213728
0.388, 3.35,3.35,,,-0.0530747,1.727786,1.203792,,,-0.04763299,1.743617,1.203163,,44.8235181620417,58.3595866824975,19.0599036032662
0.399, 2.09,2.09,,,-0.05931191,1.725069,1.199527,,,-0.05587005,1.734947,1.199139,,44.8235181620417,58.5734945409715,19.2962742457479
0.411, 1.46,1.46,,,-0.06413605,1.721639,1.196193,,,-0.06173059,1.728528,1.195922,,44.8235181620417,58.6055554480433,19.3338249172124
0.422, 1.77,1.77,,,-0.06720316,1.71599,1.192928,,,-0.06432018,1.72435,1.192603,,44.8235181620417,58.4328882706303,19.1132610395775
0.433, 2.38,2.38,,,-0.06938204,1.710131,1.190088,,,-0.06554957,1.721402,1.189663,,44.8235181620417,58.2615256593124,18.8606908963826
0.444, 2.84,2.84,,,-0.07149938,1.705106,1.187547,,,-0.06696533,1.718564,1.187066,,44.8235181620417,58.1885997315736,18.6911399926917
0.455, 3.32,3.32,,,-0.07441197,1.698925,1.184245,,,-0.06915262,1.714652,1.18372,,44.8235181620417,58.1573106358564,18.5525776564028
0.467, 3.47,3.47,,,-0.0781678,1.693852,1.181613,,,-0.07266065,1.710318,1.181098,,44.8235181620417,58.2258106011363,18.5469307976636
0.477, 2.96,2.96,,,-0.08287011,1.689717,1.177662,,,-0.07814209,1.70374,1.177278,,44.8235181620417,58.4594645359513,18.6707108974527
0.489, 2.22,2.22,,,-0.08777678,1.685629,1.172828,,,-0.08420295,1.696136,1.172585,,44.8235181620417,58.7183560190471,18.8086568091862
0.5, 1.48,1.48,,,-0.09313144,1.680921,1.167628,,,-0.09073666,1.687914,1.167491,,44.8235181620417,58.9259254621477,18.9189728989485
0.511, 0.94,0.94,,,-0.09758437,1.676474,1.162997,,,-0.09606484,1.680914,1.162919,,44.8235181620417,58.9836405590282,18.9031883322158
0.522, 0.54,0.54,,,-0.1013698,1.67246,1.159082,,,-0.1004937,1.675037,1.159037,,44.8235181620417,58.8890629322229,18.7833987703383
0.533, 0.26,0.26,,,-0.1051784,1.668004,1.155098,,,-0.1047705,1.669212,1.155076,,44.8235181620417,58.7577457188945,18.6768546524401
0.544, 0.02,-0.02,,,-0.109218,1.663624,1.151526,,,-0.1092471,1.663537,1.151528,,44.8235181620417,58.6931389613332,18.6205073009028
0.555, 0.37,-0.37,,,-0.1130213,1.659294,1.147377,,,-0.1136126,1.657538,1.147409,,44.8235181620417,58.7323169253221,18.6234272066918
0.566, 0.43,-0.43,,,-0.1167568,1.653543,1.142653,,,-0.1174495,1.651484,1.142684,,44.8235181620417,58.8038290039422,18.605055705883
0.578, 0.41,-0.41,,,-0.1215702,1.646797,1.138036,,,-0.1222294,1.644831,1.138055,,44.8235181620417,58.9262464810297,18.5389941180689
