経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.002, 0.71,-0.71,,,0.1016637,1.773258,1.637755,,,0.1009704,1.769814,1.637326,,42.1222091563237,36.322347353814,13.4495419789107
0.01, 0.07,-0.07,,,0.1004928,1.771301,1.636084,,,0.1004245,1.770961,1.63604,,41.8753797869664,35.8951839199138,13.5501762757939
0.021, 0.77,0.77,,,0.09970622,1.768576,1.63403,,,0.1004497,1.772304,1.634521,,41.5849977175785,35.4171116724515,13.5877602444297
0.033, 1.29,1.29,,,0.09900273,1.767067,1.632501,,,0.1002423,1.773339,1.633341,,41.3600864246579,35.0879682806024,13.5663023519756
0.044, 1.71,1.71,,,0.0978916,1.766407,1.630663,,,0.09952563,1.774701,1.63177,,41.0625155813686,34.8559604213316,13.5243965812627
0.054, 1.64,1.64,,,0.09710912,1.766532,1.630911,,,0.09868854,1.774531,1.63196,,41.0994873943171,35.0590595057448,13.4734391026042
0.065, 1.41,1.41,,,0.09697806,1.767239,1.63156,,,0.09833649,1.774106,1.632449,,41.1926443418145,35.2567490804858,13.4412287851484
0.076, 1.34,1.34,,,0.0963576,1.767269,1.631988,,,0.09764485,1.773775,1.632823,,41.2649453072617,35.4185665027042,13.4073954440363
0.087, 1.64,1.64,,,0.09552386,1.765889,1.631689,,,0.09709449,1.77387,1.632707,,41.2441200610619,35.4529360136513,13.3342953464784
0.098, 2.29,2.29,,,0.09568471,1.762822,1.631163,,,0.09783819,1.773986,1.632582,,41.2187937203243,35.3568591603649,13.1455644183582
0.11, 2.88,2.88,,,0.09708721,1.760056,1.630688,,,0.09971452,1.774083,1.632484,,41.1977191722266,35.1134448854976,12.9256297718831
0.121, 3.22,3.22,,,0.09872472,1.758113,1.630801,,,0.1015942,1.773804,1.632804,,41.258569325849,35.0423801842557,12.7175839231012
0.131, 3.32,3.32,,,0.0990974,1.7571,1.631332,,,0.1020182,1.773301,1.633379,,41.3681836136936,35.1644459066108,12.5600524444677
0.143, 3.37,3.37,,,0.09924285,1.756453,1.631788,,,0.1021998,1.772894,1.633845,,41.4569794855274,35.3017395352967,12.5023031966423
0.154, 3.06,3.06,,,0.09806426,1.75819,1.631732,,,0.1007944,1.773111,1.6336,,41.4095165023058,35.3554248206791,12.6439826604269
