経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.007, 0.9,-0.9,,,0.09203884,1.526374,0.9099479,,,0.09140369,1.521952,0.9095982,,44.7500116682395,50.0127678999332,9.43425573138233
0.012, 0.39,-0.39,,,0.09278245,1.526118,0.9120069,,,0.09251166,1.52421,0.9118566,,44.7500116682395,49.9839445024378,9.3431273500119
0.022, 0.34,0.34,,,0.09440161,1.52589,0.9150742,,,0.09463423,1.527554,0.9152009,,44.7500116682395,49.8208532499747,9.16289403075634
0.034, 0.98,0.98,,,0.09560268,1.526499,0.9186232,,,0.09627132,1.531325,0.9189712,,44.7500116682395,49.5897982020666,8.99606154227944
0.044, 1.31,1.31,,,0.0958939,1.528005,0.9216876,,,0.09679893,1.534489,0.9221359,,44.7500116682395,49.4298590818177,8.96644072022066
0.055, 1.3,1.3,,,0.09571476,1.528951,0.9225659,,,0.0966225,1.535358,0.9230047,,44.7500116682395,49.4078727034913,9.05412327125071
0.066, 1.24,1.24,,,0.09504548,1.529106,0.9224298,,,0.09592045,1.535212,0.9228588,,44.7500116682395,49.5170771799971,9.17920025317234
0.078, 1.17,1.17,,,0.09425138,1.529923,0.9229174,,,0.09508896,1.535686,0.9233329,,44.7500116682395,49.6346759587593,9.32866442484686
0.089, 1.23,1.23,,,0.09414867,1.530095,0.9233515,,,0.09504011,1.536154,0.9238001,,44.7500116682395,49.7564479829883,9.46898638857173
0.1, 1.44,1.44,,,0.0942046,1.530032,0.9242541,,,0.09524903,1.537139,0.9247859,,44.7500116682395,49.7984297395535,9.48029291265441
0.112, 1.6,1.6,,,0.09447759,1.529928,0.9248697,,,0.09563094,1.537813,0.9254598,,44.7500116682395,49.7942189280474,9.44643651965444
0.123, 1.91,1.91,,,0.09478587,1.529212,0.9255862,,,0.09615841,1.538644,0.9262903,,44.7500116682395,49.7787587952913,9.40552368766456
0.134, 2.26,2.26,,,0.09587546,1.529059,0.9270376,,,0.09748752,1.54022,0.9278663,,44.7500116682395,49.7489757562442,9.34159141126503
0.144, 2.7,2.7,,,0.09654959,1.52888,0.9288642,,,0.09845262,1.54219,0.9298365,,44.7500116682395,49.6717229037865,9.2379714680239
0.156, 2.62,2.62,,,0.09614661,1.529441,0.9290844,,,0.09798951,1.542376,0.9300225,,44.7500116682395,49.638856034415,9.19902402291301
0.166, 2.56,2.56,,,0.09596074,1.529481,0.9288485,,,0.09776642,1.542124,0.9297709,,44.7500116682395,49.6656474506889,9.22735052416009
0.178, 2.65,2.65,,,0.09581689,1.529513,0.9292823,,,0.09768842,1.542594,0.9302408,,44.7500116682395,49.6849119987068,9.24817747790718
0.189, 2.34,2.34,,,0.09479325,1.530184,0.9285334,,,0.0964558,1.541751,0.9293976,,44.7500116682395,49.7699717571686,9.31913716499346
0.2, 2.26,2.26,,,0.09392507,1.530241,0.9282063,,,0.09553437,1.5414,0.929047,,44.7500116682395,49.807298739944,9.35878641202204
0.211, 2.28,2.28,,,0.0939612,1.530236,0.9282838,,,0.09558212,1.541482,0.9291289,,44.7500116682395,49.7975179093247,9.35103329375618
0.222, 2.18,2.18,,,0.09404398,1.530835,0.928436,,,0.09559353,1.541595,0.9292416,,44.7500116682395,49.7805995312214,9.3371304440875
0.233, 2.34,2.34,,,0.09409235,1.530835,0.929188,,,0.09575805,1.542405,0.9300512,,44.7500116682395,49.7656721532057,9.32818033520291
0.244, 2.41,2.41,,,0.09359442,1.530832,0.9294955,,,0.09530494,1.542728,0.9303751,,44.7500116682395,49.7269927930123,9.30102521136589
0.255, 2.31,2.31,,,0.0935998,1.531461,0.9296584,,,0.09523638,1.542848,0.930495,,44.7500116682395,49.7002184522109,9.2855240974759
0.266, 2.31,2.31,,,0.09300449,1.532067,0.9302825,,,0.09464024,1.54347,0.9311167,,44.7500116682395,49.6811451494844,9.2638467852008
0.278, 1.99,1.99,,,0.09303059,1.533239,0.9299854,,,0.0944357,1.543061,0.9307078,,44.7500116682395,49.7004131125968,9.25512378009979
0.289, 1.84,1.84,,,0.09243236,1.534443,0.9305003,,,0.09373067,1.543523,0.9311699,,44.7500116682395,49.7106174149328,9.25641895468511
0.3, 1.86,1.86,,,0.092476,1.535051,0.9312246,,,0.09379134,1.544255,0.9319012,,44.7500116682395,49.6975649237922,9.24758239769231
0.311, 1.8,1.8,,,0.09254299,1.537513,0.9334091,,,0.09381378,1.546409,0.934056,,44.7500116682395,49.6524617708631,9.22249340602172
0.322, 1.57,1.57,,,0.09257427,1.54128,0.9361237,,,0.09368177,1.549025,0.9366714,,44.7500116682395,49.5414131433327,9.17733731912806
0.333, 1.33,1.33,,,0.09248345,1.54703,0.9408227,,,0.09342949,1.553617,0.9412636,,44.7500116682395,49.3337480775864,9.11235831626735
0.344, 1.14,1.14,,,0.09151722,1.551617,0.9445404,,,0.0923315,1.557252,0.9448985,,44.7500116682395,49.1516005978692,9.07430562591283
0.356, 0.72,0.72,,,0.09117508,1.556125,0.9471053,,,0.09169052,1.559677,0.9473231,,44.7500116682395,49.0314029322001,9.05323363913607
0.367, 0.42,0.42,,,0.09117238,1.560472,0.9500641,,,0.09147225,1.562541,0.9501878,,44.7500116682395,48.9447893057454,9.01015905233405
0.378, 0.13,0.13,,,0.09122201,1.564809,0.9530838,,,0.09131865,1.565476,0.9531227,,44.7500116682395,48.8678267363194,8.97804691884483
0.389, 0.03,0.03,,,0.09188785,1.569796,0.9575981,,,0.09191179,1.569961,0.9576074,,44.7500116682395,48.7602717504522,8.94006423792736
0.4, 0.09,-0.09,,,0.09158291,1.57493,0.962157,,,0.09151807,1.574486,0.9621327,,44.7500116682395,48.6539461986014,8.95106767237405
0.411, 0.22,-0.22,,,0.09164535,1.580785,0.9674175,,,0.09148717,1.579715,0.9673616,,44.7500116682395,48.5401928162349,8.99387673557948
0.422, 0.53,-0.53,,,0.09159111,1.586652,0.9718249,,,0.09120114,1.584047,0.9716933,,44.7500116682395,48.4569567182308,9.06030629982481
