経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.57,-0.57,,,-0.1855427,1.78277,1.333689,,,-0.1852122,1.779977,1.334108,,45.8734855478893,35.3342956310696,10.6119613115329
0.01, 0.04,0.04,,,-0.1838775,1.781624,1.335318,,,-0.1838999,1.781807,1.33529,,45.8734855478893,35.0844336578053,10.8517171664278
0.022, 0.77,0.77,,,-0.1814687,1.780632,1.33747,,,-0.1819474,1.784407,1.336882,,45.8734855478893,34.7684793608764,11.1627434820076
0.033, 1.34,1.34,,,-0.1806364,1.778859,1.338885,,,-0.1814963,1.785444,1.337845,,45.8734855478893,34.5357270110068,11.3876957560621
0.044, 1.79,1.79,,,-0.1795156,1.777507,1.339553,,,-0.1806854,1.786276,1.338168,,45.8734855478893,34.4181965341344,11.4941818173539
0.055, 2.09,2.09,,,-0.1798353,1.775384,1.339358,,,-0.1812046,1.7856,1.337766,,45.8734855478893,34.4784319707486,11.4242364133312
0.066, 2.08,2.08,,,-0.18058,1.773801,1.337884,,,-0.1819303,1.784014,1.33633,,45.8734855478893,34.6859843383767,11.2116425124623
0.077, 2.07,2.07,,,-0.1813808,1.772236,1.336418,,,-0.1827053,1.782402,1.334906,,45.8734855478893,34.898389555275,10.9950999085893
0.088, 1.93,1.93,,,-0.1824707,1.771411,1.335228,,,-0.1836811,1.780907,1.333845,,45.8734855478893,35.1285054521984,10.7645921295732
0.1, 1.85,1.85,,,-0.1830344,1.770732,1.334137,,,-0.1841757,1.7798,1.33283,,45.8734855478893,35.2468487215594,10.6467688083483
0.111, 1.93,1.93,,,-0.1828731,1.770232,1.333965,,,-0.1840683,1.779703,1.332591,,45.8734855478893,35.198258757156,10.697040706788
0.123, 1.98,1.98,,,-0.1828563,1.770297,1.334459,,,-0.1840984,1.780008,1.333036,,45.8734855478893,35.0752470536272,10.8190902074442
0.134, 2.53,2.53,,,-0.1817786,1.767116,1.333556,,,-0.1834221,1.779542,1.331725,,45.8734855478893,34.8681181577159,11.0175848907113
0.144, 3.02,3.02,,,-0.1798581,1.765259,1.333065,,,-0.1818856,1.780033,1.330858,,45.8734855478893,34.5961673532904,11.2839528694193
0.155, 3.49,3.49,,,-0.1779184,1.763408,1.332564,,,-0.1803522,1.78051,1.329975,,45.8734855478893,34.3188138693817,11.5573866786271
0.166, 3.84,3.84,,,-0.1760379,1.762126,1.331874,,,-0.1788044,1.780931,1.329001,,45.8734855478893,34.0795011229969,11.7943643541544
0.177, 4,4,,,-0.1748838,1.760843,1.330273,,,-0.1778146,1.780395,1.32728,,45.8734855478893,33.958733136548,11.9147566802094
0.188, 3.84,3.84,,,-0.1749868,1.760122,1.328049,,,-0.177793,1.778883,1.325197,,45.8734855478893,34.0124389124973,11.8611260363389
0.2, 3.43,3.43,,,-0.1766278,1.76008,1.326302,,,-0.1790969,1.77688,1.32377,,45.8734855478893,34.1630616549776,11.7104298693271
0.212, 3.09,3.09,,,-0.1777068,1.760728,1.325398,,,-0.1798862,1.775832,1.32313,,45.8734855478893,34.2906939813513,11.5832679722193
0.222, 2.67,2.67,,,-0.1787986,1.758839,1.320503,,,-0.1806509,1.771917,1.318558,,45.8734855478893,34.4468799127557,11.4277531068822
0.233, 2.38,2.38,,,-0.1793607,1.75826,1.317936,,,-0.1809987,1.769933,1.316201,,45.8734855478893,34.5023034812335,11.3732089252356
0.244, 2.28,2.28,,,-0.1791882,1.758347,1.31707,,,-0.1807612,1.769519,1.315399,,45.8734855478893,34.4486147807566,11.4273048757304
0.255, 2.2,2.2,,,-0.1788959,1.758418,1.316201,,,-0.1804176,1.769173,1.314584,,45.8734855478893,34.3909030989706,11.4851121801622
0.266, 2.29,2.29,,,-0.1780784,1.757237,1.31458,,,-0.1796736,1.768473,1.312885,,45.8734855478893,34.353811757715,11.5221855921717
0.277, 2.12,2.12,,,-0.1778688,1.756576,1.312057,,,-0.1793481,1.766958,1.310494,,45.8734855478893,34.3436347761349,11.53168809259
0.288, 2.03,2.03,,,-0.1778281,1.754606,1.308566,,,-0.1792434,1.764532,1.307082,,45.8734855478893,34.3819657966903,11.4925186663373
0.299, 1.92,1.92,,,-0.1773112,1.75196,1.303587,,,-0.1786528,1.761379,1.302194,,45.8734855478893,34.4523133280893,11.4214770169833
0.311, 1.81,1.81,,,-0.1773911,1.749275,1.299087,,,-0.1786544,1.758149,1.297792,,45.8734855478893,34.5264311238051,11.3470467401216
0.322, 1.93,1.93,,,-0.1764607,1.747368,1.296526,,,-0.1778155,1.756824,1.295146,,45.8734855478893,34.4947185563713,11.3788532226539
0.333, 2.07,2.07,,,-0.1756347,1.745499,1.294286,,,-0.1771071,1.755625,1.292803,,45.8734855478893,34.3899776083638,11.4840483782285
0.344, 2.19,2.19,,,-0.1743936,1.74297,1.29058,,,-0.1759686,1.753679,1.289012,,45.8734855478893,34.3284444358435,11.5465753432455
0.361, 2.33,2.33,,,-0.1738476,1.740276,1.287513,,,-0.1755402,1.751683,1.285862,,45.8734855478893,34.3403972665584,11.5375799843589
0.366, 2.3,2.3,,,-0.1733485,1.738276,1.284089,,,-0.1750382,1.749559,1.282465,,45.8734855478893,34.3187797184368,11.5622779477103
0.378, 2.36,2.36,,,-0.1729114,1.736329,1.281426,,,-0.1746526,1.747865,1.27977,,45.8734855478893,34.2904856605874,11.5934176330435
0.39, 2.34,2.34,,,-0.1725119,1.734444,1.278346,,,-0.1742553,1.745903,1.276698,,45.8734855478893,34.2333784505261,11.6523561875251
0.4, 2.23,2.23,,,-0.1720625,1.733167,1.275276,,,-0.1737368,1.744089,1.273706,,45.8734855478893,34.1911610524411,11.6970964866646
0.412, 2.17,2.17,,,-0.172098,1.732528,1.273945,,,-0.1737253,1.743156,1.272422,,45.8734855478893,34.21383386476,11.6749914338047
0.422, 2.01,2.01,,,-0.1725914,1.732521,1.273124,,,-0.1740871,1.742374,1.271718,,45.8734855478893,34.2886688303188,11.5986845625207
0.433, 1.9,1.9,,,-0.1726134,1.730624,1.269608,,,-0.1740097,1.739918,1.268292,,45.8734855478893,34.389560966836,11.4968379070935
0.444, 1.58,1.58,,,-0.1735225,1.728708,1.2653,,,-0.1746684,1.736444,1.264215,,45.8734855478893,34.5233370481972,11.3614618539637
