経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.003, 0.59,-0.59,,,-0.1674175,1.664249,1.341381,,,-0.1663274,1.66165,1.340518,,45.0005395849294,27.7497993631987,28.3056725857843
0.01, 0.43,-0.43,,,-0.1676061,1.663079,1.341404,,,-0.1668043,1.661174,1.340771,,45.0005395849294,27.6830086527111,28.3460150969944
0.021, 0.31,-0.31,,,-0.167338,1.662576,1.341112,,,-0.1667654,1.661212,1.340656,,45.0005395849294,27.7915625537166,28.3909440801045
0.032, 0.55,-0.55,,,-0.1681754,1.663214,1.340931,,,-0.1671704,1.660808,1.340119,,45.0005395849294,27.9668354482255,28.3769780511877
0.043, 0.31,-0.31,,,-0.1677582,1.662142,1.341147,,,-0.1671924,1.660785,1.340685,,45.0005395849294,28.089259755502,28.45394915835
0.054, 0.13,-0.13,,,-0.1672174,1.661569,1.341489,,,-0.1669794,1.660999,1.341294,,45.0005395849294,28.1262862099623,28.4732307818404
0.065, 0.08,-0.08,,,-0.1669382,1.661565,1.342328,,,-0.1667835,1.661194,1.342202,,45.0005395849294,28.0743870189982,28.4813962727659
0.076, 0.32,0.32,,,-0.1649539,1.661021,1.34311,,,-0.1655459,1.662432,1.343591,,45.0005395849294,27.982758326285,28.5493412851911
0.088, 1.14,1.14,,,-0.1608749,1.659983,1.344502,,,-0.1629955,1.664982,1.346206,,45.0005395849294,27.8044084316406,28.714466226423
0.098, 1.59,1.59,,,-0.158589,1.659449,1.346104,,,-0.1615632,1.666415,1.348477,,45.0005395849294,27.679892378989,28.8000792301922
0.11, 1.99,1.99,,,-0.1566427,1.658884,1.347026,,,-0.1603791,1.667599,1.349993,,45.0005395849294,27.6055338191116,28.8567390628753
0.122, 2.08,2.08,,,-0.155573,1.659382,1.348177,,,-0.159475,1.668503,1.351274,,45.0005395849294,27.6174405460508,28.7983307018133
0.134, 1.96,1.96,,,-0.1558615,1.659871,1.348175,,,-0.1595143,1.668463,1.351091,,45.0005395849294,27.7193298901592,28.7008843956364
0.143, 1.73,1.73,,,-0.1566837,1.66045,1.347718,,,-0.159907,1.668071,1.350311,,45.0005395849294,27.8315652630249,28.6504332047361
0.154, 1.78,1.78,,,-0.1564683,1.660405,1.346605,,,-0.1597537,1.668224,1.349273,,45.0005395849294,27.9788053544128,28.5871549189313
0.165, 1.85,1.85,,,-0.1560781,1.660391,1.346068,,,-0.1594701,1.668508,1.348849,,45.0005395849294,28.1094224733708,28.5465904265795
0.176, 2.04,2.04,,,-0.154843,1.660433,1.34584,,,-0.1585871,1.669391,1.348916,,45.0005395849294,28.1289226629085,28.5700640785563
0.187, 2.24,2.24,,,-0.1535085,1.660499,1.345989,,,-0.1576397,1.670338,1.349368,,45.0005395849294,28.0513966028917,28.6371962984929
0.198, 3.11,3.11,,,-0.1485701,1.659968,1.346494,,,-0.1543499,1.673628,1.35118,,45.0005395849294,27.908061672053,28.7359300952925
0.209, 3.63,3.63,,,-0.1446748,1.660573,1.347059,,,-0.1514738,1.676504,1.352486,,45.0005395849294,27.6901837662345,28.7928358147789
0.221, 3.79,3.79,,,-0.142517,1.661702,1.347761,,,-0.1496507,1.678327,1.353367,,45.0005395849294,27.4985081728903,28.7789500405827
0.232, 3.91,3.91,,,-0.1406576,1.6628,1.347311,,,-0.1480204,1.679957,1.353053,,45.0005395849294,27.4243630564185,28.7107540187124
0.243, 3.82,3.82,,,-0.1400181,1.663976,1.345874,,,-0.1472015,1.680776,1.351501,,45.0005395849294,27.4953048142587,28.6645409600741
0.254, 3.55,3.55,,,-0.1410822,1.664618,1.345924,,,-0.1477417,1.680236,1.35118,,45.0005395849294,27.5887776579965,28.6653093563344
0.265, 3.72,3.72,,,-0.1388618,1.665817,1.345259,,,-0.1458172,1.682161,1.350766,,45.0005395849294,27.6323474334996,28.6487802990029
0.276, 3.89,3.89,,,-0.1354435,1.668192,1.344245,,,-0.1426983,1.68528,1.349999,,45.0005395849294,27.6688923596368,28.6081099387218
