1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointPyramid, 3.39,3.39,,,0.07191306,1.83028,1.283506,,,0.07746834,1.84624,1.284556,,48.527550136433,29.5330063190632,19.5515167003812, 1.386
PointPlane1, 3.48,3.48,,,0.064223,1.637259,1.035106,,,0.06852649,1.65409,1.033784,,44.750001422956,42.5463980429232,14.9031769485675, 1.611
PointPlane2, 0.78,-0.78,,,-0.113737,1.81447,1.277712,,,-0.1149451,1.810768,1.277672,,29.7499911776726,35.1106547532993,18.091452815347, 1.688
PointBall2, 3.83,-3.83,,,-0.1523578,1.701796,0.9840599,,,-0.1557173,1.682992,0.9824075,,56.3704956326633,66.8778636990254,11.3732089252356, 2.246
PointBall1, 0.04,0.04,,,0.2413252,1.788298,1.078395,,,0.2414112,1.788476,1.078328,,36.4887170969875,6.75659241302608,31.1836922407915, 1.74
PointPlane3, 0.4,0.4,,,0.1528251,1.646461,0.9680707,,,0.1529525,1.648052,0.9668901,,59.7499809323891,23.6781802782847,36.5029682862942, 2.043
PointBall3, 0.86,0.86,,,0.05363801,1.86716,1.242112,,,0.05487683,1.87127,1.242277,,1.98967631165242,18.4472732178045,16.9469761045839, 2.422
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall3, 2.98,2.98,,,0.05274976,1.857083,1.247002,,,0.05675523,1.871437,1.24738,,1.30521304213202,16.7688601439121,15.6840434263415, 2.058
PointPlane3, 1.89,-1.89,,,0.1534464,1.660655,0.9651639,,,0.151896,1.652346,0.9693696,,59.7499809323891,34.3251147187157,28.1114817753483, 2.357
PointPlane1, 0.09,-0.09,,,0.07149628,1.655037,1.034207,,,0.07142079,1.654632,1.034326,,44.750001422956,30.2196554625006,18.9668491086034, 1.457
PointPlane2, 1.91,1.91,,,-0.1165399,1.802024,1.279533,,,-0.1143059,1.811277,1.278553,,29.7499911776726,27.3030162114535,14.6699174571662, 1.78
PointBall2, 2.77,-2.77,,,-0.160123,1.696128,0.9833661,,,-0.1605007,1.682544,0.9859406,,56.4463482963801,49.834711703415,10.5969852684207, 3.555
PointPyramid, 0.54,0.54,,,0.06169239,1.855661,1.276016,,,0.0625291,1.858207,1.275875,,48.7770808455319,53.906498127959,18.3770571675434, 1.779
PointBall1, 1.11,1.11,,,0.2413795,1.779293,1.073791,,,0.2440044,1.784104,1.072773,,37.4747436686994,15.2756647196834,30.2467166712391, 1.812
3順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall2, 1.02,1.02,,,-0.152106,1.680784,0.9843206,,,-0.1521435,1.684508,0.9808502,,56.1206302443045,31.1988928263664,42.7337262209817, 2.424
PointPlane2, 0.3,0.3,,,-0.1093034,1.815572,1.288831,,,-0.1090511,1.817009,1.288482,,29.7499911776726,18.9530589570529,16.4650311399699, 1.834
PointBall3, 0.55,-0.55,,,0.05689289,1.873637,1.238133,,,0.055787,1.871124,1.237816,,2.43670641741789,26.4094652758884,24.6706340578267, 1.879
PointBall1, 0.69,-0.69,,,0.2402379,1.791357,1.074488,,,0.2388248,1.788403,1.075638,,36.5028521730815,6.25708233678979,31.5064186700939, 1.567
PointPlane3, 0.53,0.53,,,0.1526257,1.638145,0.9640369,,,0.1526103,1.640129,0.9623157,,59.7499809323891,19.058354857915,40.6956012444604, 1.621
PointPlane1, 0.93,-0.93,,,0.0620798,1.665917,1.039131,,,0.06188529,1.662166,1.04186,,44.750001422956,9.27347308279441,35.8597898806197, 1.545
PointPyramid, 0.68,0.68,,,0.06674445,1.840269,1.288581,,,0.06751187,1.843585,1.288799,,48.7770808455319,46.2325759033209,13.5842128150282, 1.655
4順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane3, 2.18,2.18,,,0.160083,1.632753,0.9696538,,,0.1601761,1.641458,0.9630833,,59.7499809323891,22.9594343692833,36.7982612615587, 3.123
PointBall2, 0.85,0.85,,,-0.1540955,1.696833,0.9994218,,,-0.1555633,1.700687,0.9983132,,53.4312843145848,29.0890440353667,25.360028937234, 11.49
PointBall3, 0.32,-0.32,,,0.05464604,1.873046,1.251764,,,0.05438668,1.871452,1.251743,,1.33001527258715,10.6180982363314,9.29337283838748, 1.823
PointPlane1, 1.03,-1.03,,,0.07553647,1.662498,1.035187,,,0.07552177,1.658032,1.037726,,44.750001422956,15.3880452340649,29.3632214813997, 2.288
PointPlane2, 0.51,0.51,,,-0.1116484,1.812281,1.285176,,,-0.1113077,1.814707,1.284494,,29.7499911776726,16.2027126095534,17.2218075412117, 1.778
PointBall1, 1.56,-1.56,,,0.2327824,1.795827,1.066518,,,0.228975,1.789155,1.067907,,36.3223063726802,16.6432273553622,31.1944736940963, 2.567
PointPyramid, 0.66,0.66,,,0.06834853,1.852129,1.271231,,,0.06958678,1.855157,1.271031,,48.527550136433,26.5090682142357,22.4577638188953, 2.644
5順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall3, 1.04,1.04,,,0.06579557,1.866815,1.260487,,,0.06748688,1.871547,1.259114,,0.8827090777765,24.6581296893516,24.5607277794031, 1.779
PointPlane3, 0.9,0.9,,,0.1597047,1.6542,0.9748709,,,0.1601754,1.658108,0.9726961,,59.7499809323891,31.4211198550179,29.4172414460421, 2.911
PointBall2, 1.4,1.4,,,-0.1424406,1.686617,0.9845887,,,-0.1427077,1.69147,0.9795842,,54.9679743822379,27.4389523400797,45.6717285956107, 3.989
PointPlane1, 1.17,-1.17,,,0.07606289,1.664894,1.036641,,,0.07573685,1.659797,1.039491,,44.750001422956,16.0961855671277,29.1265042068272, 1.823
PointPlane2, 1.63,1.63,,,-0.1090172,1.810727,1.293669,,,-0.107953,1.81803,1.29025,,29.7499911776726,8.97316589504504,25.88180073379, 1.832
PointPyramid, 0.65,-0.65,,,0.07076964,1.851125,1.284402,,,0.07002438,1.848004,1.284893,,48.7770808455319,58.4396979690433,15.8307763761977, 1.733
PointBall1, 1.01,1.01,,,0.2423106,1.778131,1.071783,,,0.2443523,1.782442,1.070119,,37.8432801754903,7.58972136244056,31.2652617726845, 1.689
