経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.83,-0.83,,,0.02513656,1.837478,1.257474,,,0.0246067,1.833403,1.257899,,44.8235181620417,46.7802955878118,9.30653802764633
0.01, 1.37,1.37,,,0.02706286,1.829835,1.259854,,,0.02787982,1.836612,1.259165,,44.8235181620417,46.4401692520829,8.7997994770352
0.022, 3.26,3.26,,,0.02834938,1.823394,1.262604,,,0.03016292,1.839498,1.260963,,44.8235181620417,46.0692080282041,8.4693950615457
0.033, 4.72,4.72,,,0.02897531,1.818392,1.265251,,,0.03149675,1.841734,1.262792,,44.8235181620417,45.7432065232858,8.40807533243099
0.044, 5.51,5.51,,,0.02754991,1.814097,1.266182,,,0.03046269,1.841352,1.263286,,44.8235181620417,45.6606192932348,8.39624971398584
0.055, 5.91,5.91,,,0.02581555,1.811031,1.266263,,,0.02896546,1.840227,1.263192,,44.8235181620417,45.7430255232779,8.39585185547775
0.066, 6.03,6.03,,,0.02327206,1.808095,1.265332,,,0.0265794,1.837882,1.262262,,44.8235181620417,45.9574729666812,8.44661808884482
0.077, 6.17,6.17,,,0.0212137,1.805073,1.263994,,,0.02465487,1.835559,1.2609,,44.8235181620417,46.0946709727214,8.46651955198514
0.088, 6.58,6.58,,,0.02066967,1.802526,1.263749,,,0.02434084,1.835037,1.260477,,44.8235181620417,46.1257790684305,8.43649831009741
0.099, 6.9,6.9,,,0.02132817,1.801233,1.263569,,,0.02513601,1.835342,1.260113,,44.8235181620417,46.0441139138918,8.4074913512732
0.111, 7.77,7.77,,,0.02207875,1.798085,1.264599,,,0.02625044,1.836492,1.260624,,44.8235181620417,45.8335904140574,8.36189300964309
0.122, 8.36,8.36,,,0.02254948,1.796461,1.266214,,,0.02693833,1.837791,1.261774,,44.8235181620417,45.5905757052455,8.41321248831753
0.132, 8.81,8.81,,,0.02282756,1.794828,1.266989,,,0.02736251,1.838366,1.262163,,44.8235181620417,45.3829516206331,8.46756286335182
0.144, 9.12,9.12,,,0.02341335,1.793695,1.267162,,,0.02804514,1.838786,1.262075,,44.8235181620417,45.2502547091307,8.49204226065595
0.154, 9.3,9.3,,,0.02329236,1.792414,1.266826,,,0.02795636,1.838392,1.261606,,44.8235181620417,45.1685861394975,8.47141252861565
0.166, 9.51,9.51,,,0.02347123,1.79122,1.266451,,,0.02821379,1.838206,1.261086,,44.8235181620417,45.1234249299621,8.47924419405478
0.177, 9.67,9.67,,,0.02354806,1.790768,1.266961,,,0.02836356,1.838562,1.261439,,44.8235181620417,45.0693981351307,8.52896455473429
0.188, 9.92,9.92,,,0.02368697,1.789902,1.267462,,,0.02861883,1.838902,1.261664,,44.8235181620417,44.9713268666622,8.64131518703903
0.2, 10.23,10.23,,,0.02455891,1.789589,1.268512,,,0.02962855,1.840137,1.262401,,44.8235181620417,44.8698575791761,8.7355649647733
0.211, 10.58,10.58,,,0.02496453,1.788435,1.269049,,,0.03017189,1.840713,1.262673,,44.8235181620417,44.8021430856289,8.75703566383176
0.222, 10.73,10.73,,,0.02594557,1.788273,1.268928,,,0.03118049,1.841294,1.262485,,44.8235181620417,44.777274367553,8.70596804837595
0.233, 10.84,10.84,,,0.02597496,1.787526,1.268579,,,0.03125858,1.841091,1.262121,,44.8235181620417,44.8042365385513,8.66235985305987
0.244, 10.54,10.54,,,0.02556768,1.788166,1.267695,,,0.03075573,1.840258,1.261446,,44.8235181620417,44.8681090507973,8.67126727326334
0.255, 10.59,10.59,,,0.0251282,1.787719,1.267759,,,0.03039896,1.840026,1.261474,,44.8235181620417,44.9152885811762,8.72269347364059
0.266, 10.36,10.36,,,0.02352952,1.787801,1.267633,,,0.0288963,1.838922,1.261415,,44.8235181620417,45.0593406818578,8.94041599265982
0.277, 9.98,9.98,,,0.02182708,1.788532,1.267492,,,0.02721273,1.837744,1.261433,,44.8235181620417,45.2141571603717,9.16932550745458
0.289, 9.7,9.7,,,0.02075224,1.788968,1.267099,,,0.02612355,1.836793,1.261178,,44.8235181620417,45.3237168067045,9.30617944272488
0.3, 9.7,9.7,,,0.02080325,1.788915,1.267001,,,0.02617624,1.836771,1.261094,,44.8235181620417,45.3338698826232,9.29005165899599
0.311, 9.74,9.74,,,0.02081641,1.788707,1.266999,,,0.02613389,1.836731,1.261079,,44.8235181620417,45.2680815023684,9.22453904762122
0.321, 9.71,9.71,,,0.02049319,1.788657,1.267122,,,0.02575886,1.836552,1.261201,,44.8235181620417,45.2213322738951,9.20829088181155
0.333, 9.65,9.65,,,0.02055731,1.788718,1.266732,,,0.02577823,1.836296,1.26082,,44.8235181620417,45.1906954612256,9.22658383544709
0.344, 9.29,9.29,,,0.01939575,1.789422,1.266428,,,0.02441322,1.835242,1.260693,,44.8235181620417,45.1504144217164,9.25525099236954
0.355, 9.2,9.2,,,0.01872528,1.789519,1.266637,,,0.02369786,1.834901,1.260927,,44.8235181620417,45.1316518925885,9.28520649368834
0.366, 8.55,8.55,,,0.01711788,1.791002,1.265775,,,0.02177599,1.833182,1.260419,,44.8235181620417,45.1324544397936,9.36604946422859
0.378, 8.06,8.06,,,0.01599429,1.792536,1.265547,,,0.02043042,1.832256,1.260455,,44.8235181620417,45.1505612707794,9.46263175149951
0.388, 7.19,7.19,,,0.01398182,1.795468,1.26554,,,0.01800685,1.830881,1.260933,,44.8235181620417,45.1806311777636,9.61335182417272
0.4, 6.29,6.29,,,0.01237365,1.798544,1.265108,,,0.01597125,1.829495,1.261009,,44.8235181620417,45.2222475192184,9.80698255911244
0.411, 5.29,5.29,,,0.0108882,1.802243,1.264805,,,0.01397406,1.828279,1.261286,,44.8235181620417,45.240945161551,10.0029372658526
0.422, 4.63,4.63,,,0.009548478,1.804529,1.26473,,,0.01229213,1.827321,1.261613,,44.8235181620417,45.2738325214895,10.1402991964283
0.433, 3.93,3.93,,,0.008868035,1.807269,1.264284,,,0.01122514,1.826578,1.26163,,44.8235181620417,45.331031939102,10.2301042286838
0.445, 3.28,3.28,,,0.007755309,1.809241,1.263587,,,0.009739414,1.825346,1.261374,,44.8235181620417,45.3830950546017,10.2728962164168
0.455, 3.14,3.14,,,0.00772275,1.809824,1.263487,,,0.009625271,1.825262,1.261369,,44.8235181620417,45.3920767531103,10.2648690368181
0.466, 3.15,3.15,,,0.007822439,1.809745,1.263369,,,0.009728879,1.825249,1.261247,,44.8235181620417,45.3898262058414,10.241020578221
0.478, 3.04,3.04,,,0.007873001,1.810315,1.263311,,,0.009707868,1.825251,1.261269,,44.8235181620417,45.3911171115586,10.2290848229786
0.489, 3.05,3.05,,,0.007908251,1.810306,1.263321,,,0.009747028,1.825282,1.261275,,44.8235181620417,45.3881972057697,10.2265465539989
0.5, 3.05,3.05,,,0.007955525,1.810281,1.263298,,,0.009797327,1.825298,1.261247,,44.8235181620417,45.3840990923817,10.2188873508315
0.511, 2.85,2.85,,,0.007397262,1.810843,1.263219,,,0.009113744,1.824857,1.261307,,44.8235181620417,45.3825349791053,10.2043629539657
0.522, 2.85,2.85,,,0.007497109,1.810679,1.262882,,,0.009208985,1.824695,1.260982,,44.8235181620417,45.3949249419149,10.1555732065347
0.533, 2.86,2.86,,,0.006931303,1.809816,1.262258,,,0.008643299,1.823866,1.260376,,44.8235181620417,45.4333208492657,10.0801269390622
0.544, 2.71,2.71,,,0.006155446,1.808915,1.26073,,,0.007784486,1.822266,1.258972,,44.8235181620417,45.5144942301979,9.99442087396822
0.555, 2.84,2.84,,,0.005857106,1.807452,1.259809,,,0.007568628,1.821426,1.258,,44.8235181620417,45.6085288569793,9.92354912556506
0.567, 2.89,2.89,,,0.004832521,1.805399,1.258217,,,0.006584994,1.819608,1.256413,,44.8235181620417,45.7278420131754,9.8602725473076
0.578, 3.18,3.18,,,0.004692702,1.803343,1.257477,,,0.006628752,1.819007,1.255519,,44.8235181620417,45.8025813560885,9.79512620481688
0.589, 3.4,3.4,,,0.004323395,1.801258,1.256406,,,0.006380536,1.817994,1.254335,,44.8235181620417,45.8125944131331,9.71885177693058
0.6, 3.61,3.61,,,0.004602335,1.799909,1.255711,,,0.006773196,1.817691,1.253514,,44.8235181620417,45.7800963739665,9.6785724449686
0.611, 3.62,3.62,,,0.004217364,1.799316,1.255361,,,0.006384775,1.817155,1.253144,,44.8235181620417,45.7307892397203,9.68192350643688
0.623, 3.84,3.84,,,0.004394371,1.798145,1.255053,,,0.006683737,1.817046,1.25269,,44.8235181620417,45.6900505775494,9.69568206836336
0.634, 4.01,4.01,,,0.004471829,1.796909,1.254473,,,0.006862976,1.816684,1.252,,44.8235181620417,45.6777494071965,9.69063114361269
0.644, 3.98,3.98,,,0.003819959,1.795623,1.253036,,,0.006189428,1.815215,1.250595,,44.8235181620417,45.6961567664975,9.67127780313802
0.655, 4.06,4.06,,,0.003035283,1.793103,1.250828,,,0.005461939,1.813115,1.248354,,44.8235181620417,45.7397948438903,9.64903273140396
0.667, 4.08,4.08,,,0.001271358,1.789954,1.248218,,,0.00373318,1.810065,1.245768,,44.8235181620417,45.8527525092407,9.62414352276104
0.678, 3.9,3.9,,,-0.0001226366,1.788172,1.245771,,,0.002265409,1.807392,1.243456,,44.8235181620417,45.9826319677888,9.64509939632513
0.689, 3.86,3.86,,,-0.001381896,1.78648,1.244309,,,0.001009576,1.805493,1.242027,,44.8235181620417,46.0667525752658,9.69178800687117
0.7, 3.68,3.68,,,-0.002329815,1.785322,1.242323,,,-3.799796E-05,1.803429,1.240155,,44.8235181620417,46.1128768414474,9.71330737102611
0.712, 3.72,3.72,,,-0.002282951,1.784703,1.241735,,,3.709644E-05,1.803046,1.239538,,44.8235181620417,46.1077712751849,9.71047369637306
0.722, 3.81,3.81,,,-0.002075518,1.784081,1.241291,,,0.0002911165,1.802869,1.239033,,44.8235181620417,46.0705091792048,9.70451862535617
0.734, 3.79,3.79,,,-0.002591936,1.783484,1.24081,,,-0.0002444237,1.802156,1.238561,,44.8235181620417,46.0487481971147,9.70749658775142
0.745, 3.72,3.72,,,-0.00312116,1.7823,1.239157,,,-0.0008251518,1.800601,1.236942,,44.8235181620417,46.0189446675007,9.71668746079756
0.756, 3.75,3.75,,,-0.004321616,1.780516,1.238086,,,-0.002006218,1.798987,1.235842,,44.8235181620417,45.9990244213407,9.72972970665477
0.766, 3.73,3.73,,,-0.004978729,1.779336,1.23693,,,-0.002675608,1.797703,1.234694,,44.8235181620417,45.9921771568883,9.74144348075537
0.778, 3.9,3.9,,,-0.005693994,1.777506,1.236222,,,-0.003283605,1.796703,1.233888,,44.8235181620417,46.0054789499267,9.74235189588971
0.789, 3.97,3.97,,,-0.006431863,1.775646,1.234798,,,-0.003975011,1.795183,1.23243,,44.8235181620417,46.027687309395,9.73449803233639
0.8, 4.07,4.07,,,-0.007814486,1.773194,1.23339,,,-0.005290091,1.793221,1.230971,,44.8235181620417,46.0531502539123,9.73243702281169
0.811, 4.14,4.14,,,-0.008569593,1.771359,1.232018,,,-0.005996779,1.791726,1.229564,,44.8235181620417,46.0755805945224,9.73229615016398
0.823, 4.28,4.28,,,-0.01010228,1.768894,1.231038,,,-0.007427342,1.789973,1.228514,,44.8235181620417,46.1267045590373,9.72772931505727
0.834, 4.3,4.3,,,-0.01179379,1.766453,1.229359,,,-0.009087265,1.787618,1.226845,,44.8235181620417,46.2033973359986,9.73233627752424
0.845, 4.31,4.31,,,-0.01426753,1.763423,1.227564,,,-0.01152685,1.784637,1.225068,,44.8235181620417,46.3011066044512,9.74479283467641
0.856, 4.31,4.31,,,-0.01589467,1.761639,1.226678,,,-0.01313271,1.78288,1.22419,,44.8235181620417,46.3550207011644,9.76202881656731
0.867, 4.37,4.37,,,-0.01733658,1.759855,1.225979,,,-0.0145314,1.781374,1.223457,,44.8235181620417,46.3702725131567,9.77680166155731
0.878, 4.39,4.39,,,-0.01843806,1.758646,1.22552,,,-0.0156303,1.780256,1.222976,,44.8235181620417,46.3333041153027,9.77732502478789
0.889, 4.46,4.46,,,-0.01932862,1.757426,1.225238,,,-0.01649586,1.779399,1.22263,,44.8235181620417,46.2541627155921,9.77165169906643
0.9, 4.5,4.5,,,-0.02114736,1.754956,1.223943,,,-0.01833235,1.77714,1.221271,,44.8235181620417,46.103659501419,9.75360633978141
0.912, 4.48,4.48,,,-0.02311354,1.753133,1.223212,,,-0.02035186,1.775181,1.22052,,44.8235181620417,45.9748865334856,9.74941260374773
0.922, 4.28,4.28,,,-0.02494204,1.751911,1.221989,,,-0.02231195,1.773005,1.219402,,44.8235181620417,45.930811323998,9.74658832060452
0.934, 3.91,3.91,,,-0.02699027,1.751344,1.220677,,,-0.02458639,1.770622,1.218307,,44.8235181620417,45.9213480971663,9.75898767492399
0.945, 3.54,3.54,,,-0.02906474,1.7508,1.219399,,,-0.026885,1.768248,1.217249,,44.8235181620417,45.9227448708127,9.77863129843031
