経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.49,-0.49,,,0.3687405,1.542365,1.037332,,,0.3679947,1.54011,1.037847,,44.8235181620417,23.7287527050394,21.75251948596
0.011, 0.06,-0.06,,,0.3695506,1.539099,1.037455,,,0.3694657,1.538834,1.037515,,44.8235181620417,24.1604565070641,21.2682283514314
0.022, 0.26,0.26,,,0.3691454,1.536438,1.036216,,,0.3695357,1.537674,1.035944,,44.8235181620417,24.4851039270172,20.921845562597
0.033, 0.54,0.54,,,0.3691765,1.534225,1.035607,,,0.3699625,1.536746,1.035058,,44.8235181620417,24.7000158232711,20.6894910712355
0.044, 0.65,0.65,,,0.3686041,1.533842,1.03553,,,0.3695509,1.5369,1.034864,,44.8235181620417,24.7802551758603,20.5897173781637
0.056, 0.86,0.86,,,0.3671584,1.532861,1.034606,,,0.3684051,1.536907,1.033729,,44.8235181620417,24.8646950946721,20.4995862043843
0.066, 1.09,1.09,,,0.3658765,1.532065,1.034199,,,0.3674419,1.537147,1.033104,,44.8235181620417,24.9128393892445,20.4654079387287
0.077, 1.2,1.2,,,0.3646858,1.53173,1.0336,,,0.3664195,1.537368,1.032394,,44.8235181620417,24.9973681005131,20.3952311620542
0.089, 1.43,1.43,,,0.3637446,1.530976,1.033614,,,0.3658053,1.537661,1.032195,,44.8235181620417,25.0424336874027,20.378780651896
0.099, 1.61,1.61,,,0.3626505,1.530618,1.033672,,,0.3649737,1.538169,1.032082,,44.8235181620417,25.1296842289798,20.3062423373817
0.111, 1.62,1.62,,,0.3627338,1.530756,1.034017,,,0.3650665,1.538338,1.032413,,44.8235181620417,25.0917083782513,20.3324309894781
0.122, 1.69,1.69,,,0.3620599,1.530755,1.033952,,,0.3644909,1.538653,1.032283,,44.8235181620417,25.0937864632485,20.3340531593608
0.133, 1.81,1.81,,,0.3616011,1.530446,1.034128,,,0.3641987,1.538907,1.03235,,44.8235181620417,25.1688434099491,20.2657273638999
0.144, 2.15,2.15,,,0.3600861,1.529341,1.034109,,,0.363161,1.539403,1.032014,,44.8235181620417,25.2873642642236,20.1542979533339
0.155, 2.32,2.32,,,0.3598139,1.528794,1.034619,,,0.363126,1.539683,1.032375,,44.8235181620417,25.4185380435834,20.0339824669049
0.167, 2.7,2.7,,,0.3589282,1.527219,1.03492,,,0.36275,1.539924,1.032339,,44.8235181620417,25.641092921306,19.8101281457289
0.178, 2.89,2.89,,,0.3594205,1.525701,1.034864,,,0.3634561,1.539281,1.032136,,44.8235181620417,25.845703185031,19.5924585606743
