1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointPlane2, 6.38,6.38,,,-0.1001819,1.773239,1.271152,,,-0.09614015,1.804619,1.267022,,29.7499911776726,23.5921881990272,10.2564141166346, 2.874
PointBall3, 6.65,6.65,,,0.0522435,1.838038,1.242462,,,0.05388617,1.871243,1.24213,,2.09143801660419,4.387267730886,2.85011833302408, 1.011
PointBall2, 7.08,7.08,,,-0.1284636,1.655452,0.9815912,,,-0.1341281,1.688752,0.9710745,,55.4133607603366,36.0618405310244,19.5137440477749, 1.434
PointPlane3, 4.71,4.71,,,0.1482152,1.618782,0.9684911,,,0.1501628,1.641671,0.9632064,,59.7499809323891,47.1813062281078,13.5897077020626, 1.245
PointPlane1, 0.67,0.67,,,0.0606483,1.649847,1.03351,,,0.06094219,1.653097,1.032791,,44.750001422956,32.8657526355992,13.2165087375193, 1.422
PointBall1, 6.91,6.91,,,0.229958,1.75466,1.080733,,,0.2414854,1.786748,1.075154,,36.8801518123337,17.9044746844737,21.6487433021459, 1.178
PointPyramid, 5.14,5.14,,,0.04356245,1.815423,1.258143,,,0.04483447,1.841103,1.257723,,48.5275603817165,51.3678466577039,2.91644928641601, 1.522
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane1, 4.48,4.48,,,0.05842613,1.626285,1.031881,,,0.06134997,1.64812,1.027814,,44.750001422956,35.1588895478756,12.7162810645533, 1.299
PointPlane3, 8.48,8.48,,,0.1409034,1.585841,0.9643478,,,0.1463317,1.626747,0.9545901,,59.7499809323891,47.0279616553191,15.0497459738882, 1.2
PointBall2, 4.39,4.39,,,-0.1733838,1.627538,0.9766264,,,-0.174264,1.648803,0.9713491,,61.8011344943896,50.1337066411066,13.8754426816233, 1.433
PointBall1, 11.31,11.31,,,0.2189387,1.73258,1.078354,,,0.2384475,1.784798,1.068692,,37.3149001710962,17.9092284960038,22.5220802934249, 1.233
PointBall3, 6.96,6.96,,,0.05418882,1.835128,1.218908,,,0.05704053,1.869727,1.216764,,5.13404345480066,5.90912988515037,5.73999519610042, 1.344
PointPyramid, 11.68,11.68,,,0.06166562,1.779498,1.251805,,,0.06732763,1.837629,1.250748,,48.277076861255,47.7322839127421,5.61750813646262, 1.122
PointPlane2, 5.6,5.6,,,-0.1179087,1.771461,1.261204,,,-0.1146874,1.798984,1.257262,,29.7499911776726,22.7801197104455,10.286865660428, 1.511
3順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane1, 4.41,4.41,,,0.04946018,1.627769,1.032257,,,0.05303832,1.64926,1.028954,,44.750001422956,37.2855884150888,12.599347375443, 1.367
PointBall3, 20.1,20.1,,,0.05957472,1.771023,1.243538,,,0.06533524,1.871379,1.24272,,1.51038359479676,3.34907260263213,3.29217734187259, 1.133
PointBall1, 8.3,8.3,,,0.2285178,1.747824,1.082867,,,0.2452689,1.785144,1.075945,,37.244139413264,16.2475066964311,25.8097934664689, 1.078
PointBall2, 13.69,13.69,,,-0.1448163,1.632812,1.003402,,,-0.1457076,1.699777,0.9893669,,53.5791544909062,44.3711820666558,11.6107039875782, 1.489
PointPlane3, 11.33,11.33,,,0.1538547,1.594509,0.9785011,,,0.1590058,1.649919,0.9679684,,59.7499809323891,49.441675308753,11.723445648202, 1.267
PointPlane2, 10.84,10.84,,,-0.09502558,1.75118,1.277553,,,-0.08838561,1.803514,1.265108,,29.7499911776726,18.0123131231836,14.8647400600829, 1.323
PointPyramid, 10.44,10.44,,,0.07166162,1.792724,1.269076,,,0.07937086,1.844087,1.263629,,48.527550136433,40.3628754184914,10.2705790748054, 1.034
4順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane3, 11.12,11.12,,,0.1581527,1.581595,0.9739153,,,0.1680479,1.634221,0.958905,,59.7499809323891,45.0166588309221,18.6532922080066, 1.123
PointPlane1, 6.23,6.23,,,0.0465806,1.61629,1.032898,,,0.05069799,1.646444,1.026138,,44.750001422956,33.147484270644,14.4953207513663, 1.367
PointBall1, 13.94,13.94,,,0.2267454,1.7239,1.099267,,,0.2477034,1.789049,1.085997,,36.3648755254977,16.4043619863556,20.7119043363731, 1.311
PointBall3, 9.27,9.27,,,0.05465578,1.825219,1.242046,,,0.05802034,1.871112,1.236678,,2.4597314113561,6.44119819159363,7.64911583203655, 1.389
PointPlane2, 0.72,-0.72,,,-0.1212618,1.799252,1.25084,,,-0.1216058,1.795777,1.251707,,29.7499911776726,16.878030469473,14.7976436986384, 1.211
PointBall2, 15.99,15.99,,,-0.1362124,1.632723,1.010543,,,-0.1377995,1.7109,0.9938985,,51.6730980485012,42.0110853967144,11.8236504969532, 1.311
PointPyramid, 4.11,4.11,,,0.07525618,1.815065,1.250706,,,0.07745424,1.835412,1.248789,,48.277076861255,43.4915903298184,7.99556436143994, 1.245
5順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall1, 8.9,8.9,,,0.228634,1.727986,1.055826,,,0.2454965,1.768402,1.04803,,40.8440007604277,20.6301742950391,24.5823606954498, 1.3
PointBall3, 8.86,8.86,,,0.07093731,1.826694,1.234123,,,0.07404646,1.870698,1.230329,,3.47654441956485,3.03480066662644,6.16859809232822, 1.556
PointPlane2, 5.52,5.52,,,-0.1221585,1.782406,1.280615,,,-0.1185091,1.809116,1.27481,,29.7499911776726,19.2504914890153,14.1877855161289, 1.522
PointPlane3, 4.08,4.08,,,0.130553,1.610251,0.9624778,,,0.1343652,1.629217,0.9560161,,59.7499809323891,42.3276407502735,21.3667435821837, 1.3
PointPyramid, 11.06,11.06,,,0.05811725,1.795916,1.266947,,,0.06753068,1.850175,1.261837,,48.277076861255,44.0308371648796,11.0497576421277, 1.256
PointBall2, 9.83,9.83,,,-0.1566474,1.626523,0.9893858,,,-0.1576908,1.673968,0.9765674,,57.832541980049,45.9359647015834,14.9173786190041, 1.356
PointPlane1, 5.22,5.22,,,0.05030818,1.61613,1.028242,,,0.05320331,1.640893,1.020587,,44.750001422956,28.4874546503911,18.0534513514098, 1.212
