経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.53,-0.53,,,0.3565237,1.551545,1.037731,,,0.3558163,1.549033,1.038288,,44.8235181620417,25.5059029908259,19.5643301349076
0.01, 0.01,0.01,,,0.3540466,1.552561,1.041596,,,0.3540597,1.552607,1.041585,,44.8235181620417,24.7901931008261,20.2117569181277
0.022, 0.34,0.34,,,0.353343,1.549529,1.039566,,,0.3537955,1.551111,1.039205,,44.8235181620417,25.1114561621396,19.940543774112
0.032, 1.13,1.13,,,0.3540699,1.544758,1.040704,,,0.3555692,1.550071,1.039509,,44.8235181620417,25.3624673146998,19.6865888101014
0.044, 1.05,1.05,,,0.3479463,1.55077,1.042447,,,0.3494335,1.555688,1.041317,,44.8235181620417,24.5229961079306,20.6465206448154
0.055, 1.3,1.3,,,0.3498764,1.545791,1.039527,,,0.35168,1.551887,1.038188,,44.8235181620417,25.130633625248,20.0789917047355
0.066, 0.83,0.83,,,0.3454385,1.551735,1.039252,,,0.3466389,1.555607,1.038407,,44.8235181620417,24.7552942502331,20.6160084830947
0.077, 0.63,0.63,,,0.3458694,1.550812,1.036606,,,0.3467818,1.553782,1.035969,,44.8235181620417,24.9738329768354,20.4074384173086
0.088, 0.58,0.58,,,0.3471248,1.551442,1.038308,,,0.3479568,1.55418,1.037707,,44.8235181620417,24.8902587844768,20.3994146528044
0.1, 0.61,0.61,,,0.3478448,1.551398,1.039155,,,0.3487005,1.554233,1.038526,,44.8235181620417,24.8597978491735,20.3838418219301
0.111, 0.78,0.78,,,0.3480264,1.55058,1.039735,,,0.3491157,1.554219,1.038922,,44.8235181620417,24.8714194157229,20.3320280083283
0.121, 1.1,1.1,,,0.3490718,1.54759,1.03946,,,0.3505781,1.55276,1.03832,,44.8235181620417,25.2344422524597,19.9249880187102
0.133, 0.93,0.93,,,0.3477109,1.548686,1.038146,,,0.3490064,1.55307,1.037187,,44.8235181620417,25.1726666082306,20.0416954578105
0.144, 0.95,0.95,,,0.3460401,1.550561,1.039313,,,0.3473864,1.555023,1.03833,,44.8235181620417,24.9242680029552,20.3348198480738
0.155, 1.36,1.36,,,0.3464767,1.546808,1.038103,,,0.3483527,1.553201,1.036718,,44.8235181620417,25.3249303036133,19.8924933946381
0.166, 1.63,1.63,,,0.3459705,1.545429,1.038071,,,0.348196,1.553083,1.036396,,44.8235181620417,25.3195156712994,19.8498832606867
0.177, 1.43,1.43,,,0.3444816,1.548976,1.039853,,,0.3464718,1.555684,1.03835,,44.8235181620417,24.9323873901051,20.2416372873677
0.188, 1.34,1.34,,,0.3452876,1.548541,1.039172,,,0.3471403,1.554809,1.03778,,44.8235181620417,25.0385285268535,20.1434806415369
0.2, 1.28,1.28,,,0.3444758,1.54892,1.038413,,,0.3462582,1.554943,1.037088,,44.8235181620417,25.1123253036873,20.0933419317823
0.21, 1.18,1.18,,,0.3452514,1.549125,1.038542,,,0.3468789,1.554669,1.037322,,44.8235181620417,25.1843206181776,19.9990614181977
0.222, 1.08,1.08,,,0.3456372,1.549576,1.038693,,,0.3471255,1.55467,1.037569,,44.8235181620417,25.2050109681451,19.9605015863114
0.232, 1.05,1.05,,,0.3453309,1.550039,1.038765,,,0.3467714,1.554991,1.03767,,44.8235181620417,25.2240911010606,19.9248565375723
0.244, 1.12,1.12,,,0.3468331,1.549217,1.039681,,,0.3483303,1.55448,1.038505,,44.8235181620417,25.3472513611997,19.7308825856363
0.255, 1.28,1.28,,,0.3461336,1.54967,1.041075,,,0.3478535,1.555667,1.039707,,44.8235181620417,25.0840978401804,19.9727822660973
0.266, 1.42,1.42,,,0.3460595,1.548591,1.040751,,,0.3479596,1.555259,1.039236,,44.8235181620417,25.1862962503401,19.8655175632618
0.277, 1.29,1.29,,,0.3450546,1.55025,1.040952,,,0.3468131,1.556307,1.039571,,44.8235181620417,24.9791297883894,20.1069152248327
0.288, 1.23,1.23,,,0.345154,1.55038,1.040662,,,0.3468266,1.55615,1.039363,,44.8235181620417,25.1076090581966,19.9989026163039
0.299, 1.29,1.29,,,0.3452316,1.550259,1.041113,,,0.3469871,1.556314,1.039756,,44.8235181620417,25.1426854937031,19.9724339264594
0.311, 1.18,1.18,,,0.3451482,1.550734,1.040717,,,0.3467563,1.556281,1.039479,,44.8235181620417,25.1812948444595,19.9420959345577
0.321, 1.19,1.19,,,0.3451663,1.550814,1.04091,,,0.3467836,1.556392,1.039662,,44.8235181620417,25.1589481736644,19.9598510108111
0.333, 1.1,1.1,,,0.3451217,1.551551,1.041127,,,0.346622,1.556722,1.039967,,44.8235181620417,25.1266601628089,19.9886539177395
0.344, 1.11,1.11,,,0.3451332,1.551712,1.041485,,,0.3466513,1.556941,1.040307,,44.8235181620417,25.083049406172,20.0246882872504
0.355, 1.48,1.48,,,0.3457072,1.549463,1.042161,,,0.3476865,1.556415,1.040598,,44.8235181620417,25.2809438865824,19.7868781824412
0.366, 1.57,1.57,,,0.3448384,1.548837,1.041192,,,0.3469348,1.556198,1.039539,,44.8235181620417,25.2873164529007,19.7832957483212
0.377, 1.41,1.41,,,0.3433358,1.551103,1.04153,,,0.3452603,1.557733,1.040036,,44.8235181620417,25.0818421702698,20.0248573344277
0.388, 1.4,1.4,,,0.3436043,1.550853,1.041335,,,0.3455073,1.557432,1.039856,,44.8235181620417,25.1362531632313,19.9675230205828
0.399, 1.46,1.46,,,0.3431994,1.550637,1.041134,,,0.3451752,1.557485,1.039599,,44.8235181620417,25.1858864390013,19.9183627353996
0.41, 1.29,1.29,,,0.3433054,1.551199,1.040553,,,0.345057,1.557279,1.03919,,44.8235181620417,25.1919840902131,19.9067001877164
0.422, 1.13,1.13,,,0.3421184,1.552774,1.040131,,,0.3436489,1.558087,1.038925,,44.8235181620417,25.0903389253608,19.9857066911946
0.432, 0.82,0.82,,,0.3393739,1.556642,1.040014,,,0.340492,1.560464,1.039129,,44.8235181620417,24.7634324204027,20.3098435545214
0.444, 0.71,0.71,,,0.3375857,1.558442,1.039802,,,0.3385673,1.56175,1.039024,,44.8235181620417,24.4983169275989,20.5785773399374
0.455, 0.91,0.91,,,0.3377862,1.557104,1.039911,,,0.3390349,1.561348,1.038922,,44.8235181620417,24.6607644347506,20.4143420308201
0.466, 1.04,1.04,,,0.3375738,1.555892,1.039147,,,0.3389928,1.560745,1.038027,,44.8235181620417,24.8001207805085,20.2784144399302
0.477, 1.16,1.16,,,0.3368617,1.55557,1.039108,,,0.3384428,1.56101,1.037853,,44.8235181620417,24.8608770190323,20.2047081631004
0.489, 1.23,1.23,,,0.3361098,1.555683,1.039168,,,0.3377905,1.561458,1.037833,,44.8235181620417,24.8355131122553,20.2302428246019
0.499, 1.35,1.35,,,0.3354252,1.556274,1.040411,,,0.3372608,1.562612,1.038936,,44.8235181620417,24.817814385061,20.2249101545558
0.511, 1.55,1.55,,,0.3345229,1.556035,1.040918,,,0.3366126,1.563281,1.039234,,44.8235181620417,24.8654993494245,20.1705964917873
0.522, 1.52,1.52,,,0.3338239,1.556678,1.040875,,,0.3358767,1.563792,1.039221,,44.8235181620417,24.8584574245862,20.1780431053227
0.533, 1.65,1.65,,,0.3332829,1.556692,1.0416,,,0.3355201,1.564449,1.039794,,44.8235181620417,24.8520951035514,20.1808844639383
0.544, 1.72,1.72,,,0.3327191,1.556644,1.041558,,,0.3350429,1.564707,1.039681,,44.8235181620417,24.8624445474032,20.170022755913
0.555, 1.76,1.76,,,0.331898,1.557373,1.042156,,,0.3342834,1.565634,1.040232,,44.8235181620417,24.838424480308,20.197261549565
0.566, 1.97,1.97,,,0.3310856,1.557501,1.043391,,,0.333755,1.566722,1.041243,,44.8235181620417,24.8138921490393,20.2262232583872
0.578, 2.02,2.02,,,0.3303573,1.558287,1.044224,,,0.3330962,1.567735,1.042016,,44.8235181620417,24.7715432698164,20.2660927790104
0.588, 2.21,2.21,,,0.3286255,1.559364,1.045784,,,0.3316419,1.569709,1.043354,,44.8235181620417,24.6682127558333,20.371984613861
0.6, 2.27,2.27,,,0.3284504,1.559133,1.045846,,,0.3315395,1.569776,1.043346,,44.8235181620417,24.7115366445331,20.3195031492863
0.611, 2.44,2.44,,,0.3278267,1.559453,1.047201,,,0.3311247,1.570892,1.04451,,44.8235181620417,24.7621688354414,20.2532417784446
0.622, 2.39,2.39,,,0.3272776,1.560725,1.047997,,,0.3305031,1.571927,1.045352,,44.8235181620417,24.741883174171,20.2651963167068
0.632, 2.44,2.44,,,0.3265414,1.561594,1.048991,,,0.3298455,1.573045,1.046275,,44.8235181620417,24.6799265299339,20.3237600645681
0.644, 2.47,2.47,,,0.3248627,1.563239,1.049915,,,0.3282201,1.574816,1.047154,,44.8235181620417,24.5846009974353,20.4197549555867
0.655, 2.42,2.42,,,0.3227111,1.565822,1.050927,,,0.3260241,1.577121,1.048218,,44.8235181620417,24.4268065565261,20.5893587932422
0.666, 2.37,2.37,,,0.3217328,1.567287,1.051584,,,0.3249916,1.578353,1.048928,,44.8235181620417,24.3789474223436,20.6443127862276
0.677, 2.35,2.35,,,0.322097,1.566914,1.051265,,,0.3253218,1.577914,1.048637,,44.8235181620417,24.4616012467372,20.5602741410184
0.688, 2.37,2.37,,,0.3206628,1.56827,1.05189,,,0.323913,1.579337,1.049241,,44.8235181620417,24.4316798963633,20.5909707178415
0.7, 2.21,2.21,,,0.3192797,1.571042,1.052981,,,0.3223135,1.581355,1.050495,,44.8235181620417,24.3483259775993,20.6654470984788
0.711, 2.13,2.13,,,0.3175986,1.573961,1.054759,,,0.3205246,1.583913,1.052324,,44.8235181620417,24.2152004717384,20.7730379428381
0.722, 2.17,2.17,,,0.3171211,1.574445,1.055274,,,0.3200886,1.584559,1.052801,,44.8235181620417,24.240624142669,20.7449043944298
0.733, 2.25,2.25,,,0.3155123,1.575742,1.056314,,,0.3185923,1.586269,1.053723,,44.8235181620417,24.2080475563291,20.7628199801241
0.744, 2.36,2.36,,,0.3147517,1.576129,1.057033,,,0.3179564,1.58714,1.05432,,44.8235181620417,24.2466705674635,20.713401855307
0.755, 2.39,2.39,,,0.3139679,1.576671,1.057291,,,0.3172176,1.587826,1.054551,,44.8235181620417,24.2686074269198,20.6979468451926
0.766, 2.39,2.39,,,0.3136876,1.576782,1.057173,,,0.316948,1.587937,1.054438,,44.8235181620417,24.2524745205492,20.7223015915479
0.777, 2.17,2.17,,,0.3104579,1.58235,1.059918,,,0.3134694,1.592489,1.057397,,44.8235181620417,23.9694895458266,21.0122840948804
0.788, 1.82,1.82,,,0.3081198,1.586926,1.060857,,,0.3106876,1.595395,1.058725,,44.8235181620417,23.649285163805,21.3503818644822
0.8, 1.64,1.64,,,0.3077288,1.589477,1.062424,,,0.3100514,1.59709,1.060486,,44.8235181620417,23.4839604395454,21.5094228148802
0.81, 1.72,1.72,,,0.3078422,1.589462,1.063288,,,0.3102675,1.597482,1.061256,,44.8235181620417,23.6124550772779,21.3716647333437
0.822, 1.73,1.73,,,0.3087159,1.588103,1.062253,,,0.3111241,1.596148,1.060226,,44.8235181620417,23.7691174143637,21.2060036222769
0.833, 1.76,1.76,,,0.308186,1.588601,1.062737,,,0.3106389,1.596807,1.060673,,44.8235181620417,23.7934994814748,21.181281753264
0.844, 1.8,1.8,,,0.3073266,1.590084,1.064311,,,0.3098216,1.59847,1.062208,,44.8235181620417,23.8666405601666,21.1042303913812
