経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.79,-0.79,,,-0.1829241,1.805756,1.360687,,,-0.1825884,1.801861,1.361318,,45.8734855478893,36.1993595559467,10.1851650002903
0.01, 0.33,0.33,,,-0.1813361,1.801085,1.361603,,,-0.181481,1.802692,1.361344,,45.8734855478893,36.0730352107626,10.2407320027366
0.021, 0.88,-0.88,,,-0.1856142,1.805234,1.361962,,,-0.1852745,1.800883,1.362671,,45.8734855478893,36.5164852302855,10.0136470021731
0.032, 1.69,-1.69,,,-0.18982,1.807672,1.3632,,,-0.1892738,1.799338,1.364564,,45.8734855478893,37.022919837487,9.76662041110908
0.043, 2.78,-2.78,,,-0.1923902,1.812801,1.364286,,,-0.1916024,1.799085,1.366548,,45.8734855478893,37.326907643323,9.6697930908085
0.055, 2.52,-2.52,,,-0.1902564,1.813392,1.364997,,,-0.1895154,1.800995,1.367064,,45.8734855478893,37.1621805605991,9.80880707334371
0.065, 0.7,-0.7,,,-0.1838736,1.811018,1.369538,,,-0.1836178,1.807572,1.370133,,45.8734855478893,36.3285252597464,10.4198451709995
0.077, 0.86,-0.86,,,-0.1840021,1.814617,1.373345,,,-0.1837101,1.810415,1.374102,,45.8734855478893,36.275884993278,10.6911146640742
0.088, 0.3,-0.3,,,-0.1820534,1.815959,1.377642,,,-0.18195,1.814502,1.377914,,45.8734855478893,35.9674302438491,11.0803807944193
0.098, 0.08,0.08,,,-0.1800054,1.815513,1.377959,,,-0.1800329,1.81589,1.377889,,45.8734855478893,35.9574854886943,11.0032440551743
0.109, 0.58,0.58,,,-0.1782072,1.813841,1.377897,,,-0.1784239,1.816694,1.377376,,45.8734855478893,35.9116890715838,10.9509102934363
0.121, 1.4,1.4,,,-0.1756887,1.811683,1.378941,,,-0.1762298,1.818541,1.377699,,45.8734855478893,35.8339922568424,10.9450295007246
0.132, 1.22,1.22,,,-0.1764784,1.811645,1.37823,,,-0.1769383,1.817623,1.377157,,45.8734855478893,35.9777062631695,10.8158151318283
0.143, 1.35,1.35,,,-0.1760226,1.810968,1.377884,,,-0.1765289,1.81759,1.376703,,45.8734855478893,36.0351242468294,10.7515473223952
0.155, 1.27,1.27,,,-0.176506,1.811078,1.377904,,,-0.1769766,1.817325,1.376788,,45.8734855478893,36.0724204937544,10.7428115106898
0.165, 1.39,1.39,,,-0.1765269,1.810751,1.378417,,,-0.17703,1.817579,1.377189,,45.8734855478893,36.1000964195011,10.7694185118612
0.177, 1.87,1.87,,,-0.1754729,1.810977,1.381478,,,-0.1761155,1.820155,1.379786,,45.8734855478893,36.103364664928,10.9203605656763
0.187, 2.28,2.28,,,-0.1736289,1.80972,1.381206,,,-0.1744297,1.820915,1.379136,,45.8734855478893,36.0179429064503,10.9812858513774
0.199, 2.29,2.29,,,-0.173413,1.80955,1.380788,,,-0.1742212,1.820767,1.378726,,45.8734855478893,36.0350422845616,10.9333319483228
0.209, 2.17,2.17,,,-0.1725813,1.80992,1.379521,,,-0.1733541,1.820565,1.377583,,45.8734855478893,36.07134473899,10.8565597704146
0.221, 2.08,2.08,,,-0.1715193,1.809109,1.376561,,,-0.172224,1.819315,1.374749,,45.8734855478893,36.3804517714664,10.553815058973
0.232, 1.33,1.33,,,-0.1731171,1.809727,1.37302,,,-0.1735316,1.816257,1.371888,,45.8734855478893,36.7699603735203,10.2236223793419
0.243, 1.3,1.3,,,-0.1739078,1.809574,1.373387,,,-0.1742996,1.815971,1.372266,,45.8734855478893,36.7973596766133,10.2833848253691
0.254, 1.52,1.52,,,-0.1734126,1.809505,1.37457,,,-0.1738684,1.816991,1.373225,,45.8734855478893,36.6605748970064,10.5060694766823
0.265, 1.47,1.47,,,-0.1729308,1.809712,1.373962,,,-0.1733692,1.816935,1.37265,,45.8734855478893,36.6001311396284,10.6059328159845
0.277, 1.45,1.45,,,-0.173229,1.809167,1.373341,,,-0.1736558,1.816283,1.372047,,45.8734855478893,36.6287154805095,10.5973566599465
0.287, 1.47,1.47,,,-0.1732529,1.809251,1.373609,,,-0.1736835,1.816446,1.372298,,45.8734855478893,36.6171451403775,10.6213220855299
0.299, 1.45,1.45,,,-0.1730099,1.809511,1.373597,,,-0.1734278,1.81663,1.372292,,45.8734855478893,36.6289033107064,10.6581863230019
0.31, 1.43,1.43,,,-0.1726973,1.809455,1.373042,,,-0.1731147,1.816465,1.371755,,45.8734855478893,36.5862009692038,10.6828637957865
0.321, 1.56,1.56,,,-0.1718718,1.809464,1.373239,,,-0.1723307,1.817098,1.371834,,45.8734855478893,36.5431058918348,10.720895995574
0.332, 1.57,1.57,,,-0.171811,1.809048,1.372721,,,-0.1722744,1.816742,1.371292,,45.8734855478893,36.4799812852822,10.8117007967415
0.343, 1.54,1.54,,,-0.1716416,1.809076,1.372338,,,-0.1720983,1.816609,1.370935,,45.8734855478893,36.443610528964,10.8468549256477
0.354, 1.66,1.66,,,-0.1706915,1.808553,1.371673,,,-0.1711921,1.816694,1.370145,,45.8734855478893,36.3593567328019,10.9337280992836
0.365, 1.53,1.53,,,-0.1704757,1.808796,1.370815,,,-0.1709426,1.816319,1.369384,,45.8734855478893,36.244548086238,11.0803628651732
0.377, 1.6,1.6,,,-0.1701748,1.808404,1.370544,,,-0.1706689,1.81626,1.36903,,45.8734855478893,36.1223252695363,11.227772857512
0.388, 1.61,1.61,,,-0.1705329,1.808122,1.370586,,,-0.1710341,1.815999,1.369039,,45.8734855478893,35.9684206212512,11.4268054181612
0.399, 1.47,1.47,,,-0.1707047,1.808357,1.369998,,,-0.1711609,1.815562,1.368569,,45.8734855478893,35.9152715057038,11.5248698564408
0.41, 1.39,1.39,,,-0.1707825,1.808414,1.369515,,,-0.1712125,1.815225,1.368162,,45.8734855478893,35.9123823357653,11.5393387580212
0.421, 1.2,1.2,,,-0.1713791,1.808561,1.36878,,,-0.1717493,1.814425,1.367608,,45.8734855478893,35.8726852774138,11.6008241192187
0.432, 1.21,1.21,,,-0.1716096,1.808114,1.368524,,,-0.1719813,1.814051,1.367331,,45.8734855478893,35.8594654466431,11.6488044892555
0.443, 1.06,1.06,,,-0.1716242,1.808139,1.367372,,,-0.1719494,1.813338,1.366326,,45.8734855478893,35.8583316352725,11.6537760130593
0.455, 1.04,1.04,,,-0.1713822,1.808132,1.366918,,,-0.1717027,1.813204,1.365896,,45.8734855478893,35.8158034635888,11.6872208871732
