経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.72,-0.72,,,0.3868932,1.64388,1.272113,,,0.3850622,1.640791,1.27181,,45.0005395849294,15.1192038731725,31.0385165740227
0.011, 0.5,-0.5,,,0.384947,1.644343,1.270011,,,0.3836652,1.642188,1.269791,,45.0005395849294,15.0871583340258,31.15949629633
0.022, 0.29,-0.29,,,0.3823181,1.645549,1.268284,,,0.3815647,1.644289,1.268152,,45.0005395849294,15.0170942554696,31.3022882271448
0.033, 0.1,-0.1,,,0.3807762,1.645786,1.267189,,,0.3805107,1.645343,1.267142,,45.0005395849294,14.9915425184956,31.3600272296867
0.044, 0.12,-0.12,,,0.3809899,1.64569,1.268544,,,0.3806807,1.645173,1.26849,,45.0005395849294,14.9813330935178,31.3226080393601
0.055, 0.24,-0.24,,,0.3818722,1.645591,1.269628,,,0.3812701,1.644583,1.269526,,45.0005395849294,14.9615170077397,31.2735604522951
0.066, 0.08,-0.08,,,0.3802394,1.646178,1.270116,,,0.3800284,1.645825,1.270082,,45.0005395849294,14.9387092991885,31.2190862800856
0.077, 0.01,-0.01,,,0.3796771,1.646217,1.270659,,,0.3796621,1.646191,1.270657,,45.0005395849294,14.9183724115007,31.2028679963527
0.088, 0,0,,,0.3795729,1.646248,1.27022,,,0.3795851,1.646268,1.270222,,45.0005395849294,14.9254416570949,31.223375638765
0.1, 0.11,0.11,,,0.3781021,1.647032,1.269181,,,0.3783714,1.647482,1.269226,,45.0005395849294,14.9102120432169,31.262358942368
0.111, 0.12,0.12,,,0.3766545,1.648351,1.268401,,,0.3769719,1.648881,1.268454,,45.0005395849294,14.9189427322805,31.3012227176639
0.122, 0.13,0.13,,,0.3759971,1.648935,1.267924,,,0.3763421,1.649511,1.267983,,45.0005395849294,14.9400736294372,31.3097741142668
0.133, 0.13,0.13,,,0.3754395,1.6495,1.267954,,,0.3757818,1.650072,1.268012,,45.0005395849294,14.9493695166389,31.2964723212283
0.144, 0.13,0.13,,,0.3747574,1.650202,1.268109,,,0.375092,1.650761,1.268166,,45.0005395849294,14.9292460723567,31.3050032272643
0.155, 0.03,0.03,,,0.3733954,1.652252,1.268664,,,0.3734725,1.652381,1.268677,,45.0005395849294,14.8754788247066,31.3196573977208
0.166, 0.35,-0.35,,,0.3717709,1.656484,1.269856,,,0.3708694,1.654984,1.269713,,45.0005395849294,14.7458759888122,31.3646444374372
0.177, 0.55,-0.55,,,0.370059,1.659564,1.270295,,,0.3686408,1.657213,1.270077,,45.0005395849294,14.6052799637545,31.4363409311597
0.188, 0.84,-0.84,,,0.3689812,1.662596,1.271166,,,0.3668227,1.659031,1.270846,,45.0005395849294,14.4802379865514,31.503993953006
0.199, 1.02,-1.02,,,0.3672364,1.665596,1.270861,,,0.3645987,1.661255,1.270476,,45.0005395849294,14.3746671705828,31.5883809378532
0.211, 1.19,-1.19,,,0.365575,1.668426,1.270614,,,0.362491,1.663363,1.270163,,45.0005395849294,14.318103814319,31.6528989029578
0.222, 1.35,-1.35,,,0.3641855,1.670948,1.270096,,,0.3606719,1.665181,1.269576,,45.0005395849294,14.3254898099272,31.6689361866827
0.233, 1.35,-1.35,,,0.3640804,1.670991,1.269627,,,0.360599,1.665254,1.269103,,45.0005395849294,14.4434522962526,31.5764998241226
0.244, 1.35,-1.35,,,0.3632846,1.671792,1.269578,,,0.359809,1.666044,1.269053,,45.0005395849294,14.5280851679031,31.4880830277772
0.255, 1.53,-1.53,,,0.3619483,1.674368,1.27021,,,0.3580157,1.667838,1.269616,,45.0005395849294,14.6252019174617,31.3792610418543
0.266, 1.81,-1.81,,,0.3603572,1.67789,1.270782,,,0.3557055,1.670148,1.270095,,45.0005395849294,14.6493517581476,31.3093608878335
0.278, 2.1,-2.1,,,0.3587602,1.68144,1.271614,,,0.353367,1.672486,1.270844,,45.0005395849294,14.5486150084296,31.3530297010768
0.288, 2.38,-2.38,,,0.3569461,1.685209,1.272465,,,0.3508014,1.675052,1.27162,,45.0005395849294,14.4031558888182,31.4463574032988
0.3, 2.56,-2.56,,,0.3549777,1.688394,1.271949,,,0.348353,1.6775,1.271048,,45.0005395849294,14.268805217809,31.5724768428134
0.311, 2.61,-2.61,,,0.3517071,1.692061,1.270765,,,0.3449121,1.680941,1.269812,,45.0005395849294,14.1906413888962,31.7124923018078
0.322, 2.57,-2.57,,,0.3491202,1.694385,1.269217,,,0.342407,1.683447,1.268233,,45.0005395849294,14.1451002500988,31.846114703917
0.333, 2.54,-2.54,,,0.3471653,1.696081,1.26757,,,0.3405513,1.685302,1.266551,,45.0005395849294,14.2186152816372,31.8717927993871
0.344, 2.61,-2.61,,,0.3456191,1.698134,1.26686,,,0.3388238,1.68703,1.26579,,45.0005395849294,14.3134635546808,31.8177864951227
0.355, 2.54,-2.54,,,0.3442931,1.698934,1.267358,,,0.3377136,1.68814,1.266337,,45.0005395849294,14.3830973313313,31.7066115090961
0.367, 2.65,-2.65,,,0.3435306,1.700437,1.268144,,,0.3366859,1.689167,1.267108,,45.0005395849294,14.4304117579427,31.5997361270324
0.377, 2.68,-2.68,,,0.341303,1.702882,1.268789,,,0.3344043,1.691449,1.267787,,45.0005395849294,14.5280988282811,31.4078180619794
0.389, 2.7,-2.7,,,0.3398903,1.704431,1.269565,,,0.3329554,1.692898,1.268587,,45.0005395849294,14.5752783586601,31.3037089064526
0.4, 2.71,-2.71,,,0.3382142,1.706159,1.269855,,,0.3312654,1.694588,1.268885,,45.0005395849294,14.5921369726098,31.2669010180397
0.411, 2.69,-2.69,,,0.3360344,1.708247,1.269351,,,0.329112,1.696741,1.268373,,45.0005395849294,14.5623522260155,31.3199545109414
0.422, 2.76,-2.76,,,0.3336069,1.711143,1.268561,,,0.3264938,1.69936,1.267538,,45.0005395849294,14.50589217636,31.4147507037941
0.433, 2.65,-2.65,,,0.3302988,1.713683,1.267067,,,0.3234527,1.702401,1.266065,,45.0005395849294,14.4082768230059,31.5558453326473
0.445, 2.63,-2.63,,,0.3280676,1.715817,1.265872,,,0.3212496,1.704604,1.264861,,45.0005395849294,14.3763183687687,31.615708523962
0.455, 2.45,-2.45,,,0.3257078,1.716919,1.265011,,,0.3193701,1.706483,1.264066,,45.0005395849294,14.411323087291,31.5890059001449
0.466, 2.28,-2.28,,,0.3242756,1.717183,1.265299,,,0.3183904,1.707463,1.264428,,45.0005395849294,14.4708242785897,31.5078154437403
0.478, 2.2,-2.2,,,0.3226724,1.718233,1.265031,,,0.3170024,1.708851,1.264203,,45.0005395849294,14.5001240817665,31.4512000072855
0.488, 1.95,-1.95,,,0.3191985,1.719972,1.265014,,,0.3141877,1.711666,1.264299,,45.0005395849294,14.5140696201163,31.3915622122071
0.5, 1.77,-1.77,,,0.3169424,1.721056,1.26468,,,0.3123781,1.713475,1.264036,,45.0005395849294,14.5423056213594,31.3388229079985
0.511, 1.51,-1.51,,,0.3141882,1.721968,1.263955,,,0.3103229,1.715531,1.263409,,45.0005395849294,14.6115893508247,31.2668805274727
0.522, 1.32,-1.32,,,0.3131632,1.721728,1.263638,,,0.3097762,1.716077,1.263154,,45.0005395849294,14.6640230040765,31.2315035636511
0.533, 0.95,-0.95,,,0.3100833,1.722285,1.26251,,,0.3076421,1.718211,1.262156,,45.0005395849294,14.6901723825862,31.2313464693046
0.544, 0.58,-0.58,,,0.3068567,1.722948,1.261128,,,0.3053759,1.720477,1.260909,,45.0005395849294,14.7083680060288,31.2500475267317
0.555, 0.28,-0.28,,,0.3033924,1.724372,1.258579,,,0.3026754,1.723178,1.25847,,45.0005395849294,14.7190435914044,31.3060414159892
0.567, 0.01,0.01,,,0.2998787,1.725896,1.256953,,,0.2999081,1.725945,1.256957,,45.0005395849294,14.7034451473215,31.3727552868509
0.577, 0.29,0.29,,,0.2972728,1.726573,1.255068,,,0.298027,1.727826,1.255188,,45.0005395849294,14.7202815631571,31.3870201365355
0.589, 0.57,0.57,,,0.2943155,1.727656,1.254143,,,0.2957723,1.730081,1.254376,,45.0005395849294,14.7637232726167,31.3529238331476
0.6, 0.74,0.74,,,0.2920983,1.728667,1.253598,,,0.2940052,1.731848,1.253902,,45.0005395849294,14.8064939160092,31.2982652458356
0.611, 0.9,0.9,,,0.2906407,1.729047,1.254547,,,0.2929476,1.732906,1.254905,,45.0005395849294,14.8254835489207,31.2155072610601
0.622, 0.97,0.97,,,0.2882639,1.730968,1.255594,,,0.2907409,1.735112,1.255965,,45.0005395849294,14.7858855283094,31.1871756371713
0.633, 1.03,1.03,,,0.2848777,1.733903,1.256099,,,0.2875282,1.738325,1.25648,,45.0005395849294,14.6719409006515,31.2321012051868
0.644, 1.03,1.03,,,0.2823218,1.73647,1.256268,,,0.284977,1.740876,1.256645,,45.0005395849294,14.5343604040284,31.3591119843634
0.655, 0.96,0.96,,,0.2786865,1.74061,1.25507,,,0.2811644,1.744689,1.255425,,45.0005395849294,14.3527798299966,31.5731086352941
0.666, 0.88,0.88,,,0.2759565,1.743852,1.254455,,,0.2782496,1.747604,1.254787,,45.0005395849294,14.226148980082,31.7344274537169
0.678, 1.07,1.07,,,0.2724323,1.746099,1.254086,,,0.2752147,1.750639,1.254491,,45.0005395849294,14.1655028783555,31.8129917024588
0.689, 1.07,1.07,,,0.2708398,1.747687,1.253445,,,0.2736204,1.752233,1.253851,,45.0005395849294,14.2140399087942,31.7617687002037
0.7, 1.16,1.16,,,0.2701511,1.747779,1.253518,,,0.2731509,1.752702,1.253956,,45.0005395849294,14.3096087667752,31.6573829220231
0.711, 1.34,1.34,,,0.267498,1.749211,1.252883,,,0.2709523,1.754901,1.253387,,45.0005395849294,14.3933921336714,31.5633448801473
0.722, 1.51,1.51,,,0.2639208,1.751581,1.25297,,,0.2678273,1.758026,1.253535,,45.0005395849294,14.4172636441563,31.5206493688336
0.733, 1.5,1.5,,,0.2606852,1.754886,1.252838,,,0.2645676,1.761286,1.253386,,45.0005395849294,14.370444406246,31.5281352559556
0.744, 1.4,1.4,,,0.2586481,1.757629,1.252874,,,0.2622675,1.763586,1.253372,,45.0005395849294,14.3030304410139,31.5555277288597
0.755, 1.3,1.3,,,0.2559597,1.760995,1.252712,,,0.2593264,1.766527,1.253166,,45.0005395849294,14.2408031505385,31.5874486170575
0.766, 1.3,1.3,,,0.2534478,1.763511,1.25213,,,0.2568128,1.769041,1.252581,,45.0005395849294,14.2356651408783,31.5824659941966
0.778, 1.3,1.3,,,0.2510484,1.765878,1.251915,,,0.254423,1.771431,1.252368,,45.0005395849294,14.2682920998619,31.5485165398718
0.789, 1.3,1.3,,,0.2489208,1.768016,1.251975,,,0.2522852,1.773568,1.252424,,45.0005395849294,14.3323199989072,31.4717452157372
0.8, 1.2,1.2,,,0.2473237,1.770292,1.252409,,,0.2504281,1.775425,1.252816,,45.0005395849294,14.3612492643317,31.4118615338555
