経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.01,0.01,,,-0.1094932,1.577127,0.9819417,,,-0.1094942,1.577198,0.9819398,,45.8734855478893,44.3720938968846,1.54547689233232
0.01, 0.2,-0.2,,,-0.1118905,1.577322,0.9831189,,,-0.1118865,1.576332,0.9831516,,45.8734855478893,44.5678744338058,1.65078645357236
0.022, 1.12,-1.12,,,-0.1148257,1.575545,0.9772816,,,-0.1148313,1.569968,0.9774202,,45.8734855478893,45.092484173883,1.17603047630323
0.032, 3.14,-3.14,,,-0.1208211,1.578765,0.9739861,,,-0.1211342,1.563074,0.9743251,,45.8734855478893,46.0069884216913,1.50999491435512
0.044, 1.2,-1.2,,,-0.1170064,1.573586,0.9762472,,,-0.1170716,1.567572,0.9763945,,45.8734855478893,45.5131350225909,1.30985255471835
0.055, 0.39,-0.39,,,-0.118787,1.571979,0.981396,,,-0.1188154,1.570007,0.9814578,,45.8734855478893,45.3937467343159,1.75379274702232
0.066, 2.52,2.52,,,-0.1126134,1.562854,0.9830945,,,-0.1126268,1.575462,0.9827061,,45.8734855478893,44.7719434050541,1.51542822296697
0.077, 4.03,4.03,,,-0.11102,1.559853,0.9881161,,,-0.1111111,1.579988,0.98736,,45.8734855478893,44.3618383681313,1.91816060449449
0.088, 3.9,3.9,,,-0.1119805,1.561514,0.9903927,,,-0.1119305,1.581015,0.9895797,,45.8734855478893,44.4935209965701,2.14228834667307
0.099, 4.52,4.52,,,-0.1122601,1.559472,0.9923247,,,-0.1121858,1.58207,0.9912732,,45.8734855478893,44.3350708575188,2.42139633537594
0.11, 3.69,3.69,,,-0.1162289,1.560981,0.9922853,,,-0.115939,1.579409,0.9913987,,45.8734855478893,44.7972526703193,2.66109263956068
0.121, 5.42,5.42,,,-0.113147,1.555711,0.9944454,,,-0.1130013,1.582791,0.9930719,,45.8734855478893,44.2598568164717,2.67151721549132
0.132, 7.94,7.94,,,-0.1085905,1.550476,1.001165,,,-0.1087395,1.59012,0.9988015,,45.8734855478893,43.5309322183429,3.16928559353773
0.145, 8.76,8.76,,,-0.1075098,1.547877,1.002538,,,-0.1077928,1.591583,0.9998492,,45.8734855478893,43.3431020213944,3.29140403641401
