経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.98,-0.98,,,-0.08014047,1.791049,1.538148,,,-0.0800547,1.786171,1.538243,,46.050527461344,45.0549591156271,1.32574160199806
0.01, 0.64,-0.64,,,-0.07881638,1.790698,1.541095,,,-0.0787558,1.787518,1.541174,,46.050527461344,44.9760738480033,1.60205540307791
0.022, 0.42,-0.42,,,-0.07797439,1.790463,1.544715,,,-0.07793075,1.788374,1.544782,,46.050527461344,44.8841770703726,1.97892580764139
0.033, 0.02,-0.02,,,-0.07706286,1.789392,1.547176,,,-0.07706019,1.789277,1.547181,,46.050527461344,44.7722780843141,2.25098909674166
0.044, 0.36,0.36,,,-0.07639613,1.788141,1.548407,,,-0.07643998,1.78992,1.54834,,46.050527461344,44.6837417596616,2.37165868578057
0.055, 0.83,0.83,,,-0.07606212,1.786037,1.547429,,,-0.076169,1.790201,1.54728,,46.050527461344,44.61786458695,2.31511389909306
0.066, 0.99,0.99,,,-0.07687098,1.784421,1.545175,,,-0.0769963,1.789343,1.545025,,46.050527461344,44.6188071530292,2.08741012609667
0.077, 1.3,1.3,,,-0.07750797,1.782122,1.543286,,,-0.07767558,1.788639,1.543125,,46.050527461344,44.5952395859539,1.87690583616881
0.089, 1.72,1.72,,,-0.07757466,1.779939,1.541895,,,-0.07779464,1.788515,1.541725,,46.050527461344,44.5922923594091,1.71611806493916
0.099, 1.85,1.85,,,-0.07813316,1.778661,1.541644,,,-0.07837102,1.787917,1.541467,,46.050527461344,44.5892392649351,1.69558267488414
0.111, 1.89,1.89,,,-0.0783616,1.778231,1.542346,,,-0.07859766,1.787682,1.542151,,46.050527461344,44.6317776819022,1.70651215119079
0.121, 1.74,1.74,,,-0.07839366,1.77897,1.542397,,,-0.0786096,1.78767,1.542204,,46.050527461344,44.6419478332933,1.74999462834096
0.133, 1.98,1.98,,,-0.07900812,1.777121,1.542295,,,-0.0792529,1.787002,1.542079,,46.050527461344,44.6455712485472,1.73494484053216
0.144, 2.15,2.15,,,-0.08069231,1.774466,1.540703,,,-0.08096275,1.785229,1.540494,,46.050527461344,44.6211806436998,1.67666422534843
0.155, 2.56,2.56,,,-0.08252071,1.770485,1.537095,,,-0.08284709,1.783274,1.536896,,46.050527461344,44.5956391520093,1.59483205134481
0.167, 2.48,2.48,,,-0.08479841,1.768537,1.533393,,,-0.08510628,1.78093,1.533231,,46.050527461344,44.6319689271936,1.50791992428736
0.177, 2.23,2.23,,,-0.08784812,1.766643,1.52976,,,-0.0881145,1.77781,1.529638,,46.050527461344,44.6871944201909,1.4173410529647
0.188, 1.78,1.78,,,-0.09183746,1.764844,1.525591,,,-0.09203249,1.773746,1.525512,,46.050527461344,44.7969828778546,1.28084730344139
0.199, 1.42,1.42,,,-0.09533709,1.763059,1.521298,,,-0.09547824,1.770171,1.521251,,46.050527461344,44.9142469773568,1.14466294013453
0.21, 1.1,1.1,,,-0.09873646,1.761191,1.516907,,,-0.09884265,1.766681,1.516877,,46.050527461344,44.9432240541042,1.10941692384225
0.222, 0.92,0.92,,,-0.1020332,1.758665,1.51326,,,-0.1021276,1.763273,1.513233,,46.050527461344,44.8781050323694,1.17569761131216
0.232, 0.73,0.73,,,-0.1047618,1.756816,1.509961,,,-0.1048402,1.76046,1.509935,,46.050527461344,44.820014275095,1.24143508531475
0.244, 0.48,0.48,,,-0.1084783,1.754246,1.5051,,,-0.1085334,1.756629,1.505082,,46.050527461344,44.7257235162268,1.33866794808601
0.255, 0.14,0.14,,,-0.1126149,1.751696,1.500359,,,-0.1126312,1.752378,1.500354,,46.050527461344,44.6800807783683,1.38069335382769
0.266, 0.33,-0.33,,,-0.1168564,1.749687,1.494421,,,-0.1168159,1.748037,1.494429,,46.050527461344,44.6465889467052,1.40527776528739
0.277, 0.68,-0.68,,,-0.1216965,1.746475,1.487978,,,-0.1216104,1.743063,1.487992,,46.050527461344,44.6051399448804,1.44536809311369
0.289, 1.06,-1.06,,,-0.1260514,1.743904,1.481534,,,-0.125915,1.738598,1.481549,,46.050527461344,44.5777269814094,1.47485369877501
0.299, 1.21,-1.21,,,-0.129943,1.740621,1.475116,,,-0.1297781,1.734591,1.475127,,46.050527461344,44.4823365621154,1.57457968724565
0.31, 1.39,-1.39,,,-0.1340642,1.737293,1.469589,,,-0.1338577,1.730359,1.469596,,46.050527461344,44.3443940654765,1.71611806493916
0.322, 1.37,-1.37,,,-0.1371697,1.733993,1.464239,,,-0.1369432,1.727158,1.464254,,46.050527461344,44.1526194343921,1.90166313678706
0.334, 1.45,-1.45,,,-0.140594,1.730874,1.460804,,,-0.1403367,1.723638,1.460838,,46.050527461344,44.0140588056504,2.03672777598802
0.345, 1.65,-1.65,,,-0.1445517,1.727811,1.456309,,,-0.1442502,1.719578,1.456361,,46.050527461344,43.9535228407211,2.10040221275356
0.356, 1.88,-1.88,,,-0.1487593,1.724675,1.450975,,,-0.1484107,1.715262,1.451028,,46.050527461344,43.9296957264646,2.1222786677261
0.366, 2.19,-2.19,,,-0.15396,1.720878,1.445332,,,-0.1535583,1.709922,1.445364,,46.050527461344,43.950343387751,2.10142695454395
0.377, 2.31,-2.31,,,-0.1583682,1.71692,1.43822,,,-0.1579427,1.705374,1.438201,,46.050527461344,43.9392272551861,2.13863078047431
0.388, 2.4,-2.4,,,-0.1626565,1.712953,1.431152,,,-0.1622068,1.700951,1.431081,,46.050527461344,43.905714932956,2.22448775005606
0.399, 2.22,-2.22,,,-0.166257,1.708285,1.424478,,,-0.1658173,1.697206,1.424375,,46.050527461344,43.7796569651421,2.40419877329806
0.411, 2.22,-2.22,,,-0.1700078,1.704407,1.418853,,,-0.1695499,1.693334,1.418737,,46.050527461344,43.6848915081399,2.5162949810633
0.421, 2.05,-2.05,,,-0.1728584,1.700624,1.415034,,,-0.1724099,1.690367,1.414945,,46.050527461344,43.5487521813916,2.61299359499028
0.432, 1.94,-1.94,,,-0.1764438,1.696313,1.411001,,,-0.1760024,1.68664,1.410941,,46.050527461344,43.4385914784286,2.68197444826303
0.444, 1.88,-1.88,,,-0.1796806,1.69265,1.406801,,,-0.179241,1.683281,1.406762,,46.050527461344,43.3647571355553,2.72928908831776
0.455, 1.83,-1.83,,,-0.1830757,1.688906,1.401746,,,-0.1826368,1.679758,1.401711,,46.050527461344,43.3029610007593,2.78649618989291
0.466, 1.74,-1.74,,,-0.1863528,1.685032,1.395304,,,-0.185924,1.676348,1.395258,,46.050527461344,43.2240689029464,2.88017991571547
0.477, 1.96,-1.96,,,-0.1905936,1.681799,1.388493,,,-0.1901055,1.67201,1.388417,,46.050527461344,43.1966764300424,2.93811592652083
0.489, 2.03,-2.03,,,-0.1945621,1.678026,1.38162,,,-0.1940613,1.667907,1.381514,,46.050527461344,43.219605374448,2.95744087902255
0.499, 2.31,-2.31,,,-0.1989632,1.674933,1.373889,,,-0.1984083,1.663398,1.373732,,46.050527461344,43.3017008308925,2.93964802328639
0.51, 2.7,-2.7,,,-0.2044881,1.671215,1.366763,,,-0.2038574,1.657745,1.366534,,46.050527461344,43.3784106833263,2.94716336559839
0.522, 3.12,-3.12,,,-0.209522,1.668157,1.359159,,,-0.2088162,1.652601,1.35885,,46.050527461344,43.4643925173003,2.94523639853242
0.533, 3.48,-3.48,,,-0.2143036,1.665092,1.351315,,,-0.2135257,1.647716,1.350944,,46.050527461344,43.5003978585081,2.95618284358981
0.544, 3.58,-3.58,,,-0.2184157,1.661387,1.343932,,,-0.2175936,1.643496,1.343576,,46.050527461344,43.4312012139523,2.97545635623078
0.555, 3.58,-3.58,,,-0.2214402,1.658263,1.337843,,,-0.2205791,1.640399,1.33754,,46.050527461344,43.2989072835997,3.01830704090031
0.566, 3.71,-3.71,,,-0.2245884,1.655749,1.333266,,,-0.2236375,1.637226,1.333034,,46.050527461344,43.1159572566774,3.09326089443601
0.577, 3.54,-3.54,,,-0.2267905,1.652609,1.328591,,,-0.2258432,1.634938,1.328412,,46.050527461344,42.9843975716401,3.17878403853137
0.588, 3.65,-3.65,,,-0.2298761,1.650003,1.323376,,,-0.2288724,1.631796,1.32318,,46.050527461344,42.8983713414377,3.27201547777741
