経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.76,-0.76,,,0.4027079,1.790482,1.301691,,,0.4023883,1.786689,1.3014,,38.1003240924671,33.7559311653555,6.66303163060517
0.011, 0.42,-0.42,,,0.4030524,1.788407,1.302636,,,0.4028829,1.786335,1.302479,,38.1835328697153,33.9431739660517,6.53107835592798
0.022, 0.81,-0.81,,,0.4043944,1.789443,1.304222,,,0.4040785,1.785432,1.303934,,38.3938582940692,34.2645958292589,6.25855466940178
0.033, 0.48,-0.48,,,0.4074948,1.785316,1.307348,,,0.4073188,1.782903,1.307184,,38.9765143951925,35.073279959201,5.85638375075274
0.044, 0.32,-0.32,,,0.4090571,1.783186,1.309009,,,0.408947,1.7816,1.308905,,39.2740442573479,35.5231093752312,5.62618845288251
0.055, 0.15,-0.15,,,0.4097912,1.781706,1.309904,,,0.4097404,1.780957,1.309854,,39.4202239618967,35.7474161964271,5.60881415966477
0.066, 0.12,0.12,,,0.4097272,1.780323,1.308666,,,0.4097681,1.780926,1.308708,,39.4263335659392,35.7879636133066,5.73712608984203
0.078, 0.36,0.36,,,0.4089341,1.779705,1.307608,,,0.4090585,1.781496,1.307739,,39.2965565602258,35.6156003793032,5.95160384220897
0.088, 0.8,0.8,,,0.4084025,1.777804,1.305986,,,0.4086826,1.78178,1.306292,,39.2307135384591,35.5512770745845,6.145003204497
0.099, 0.98,0.98,,,0.4080027,1.777201,1.305788,,,0.4083479,1.782051,1.30617,,39.16927257349,35.4635432971371,6.25002803223394
0.111, 0.83,0.83,,,0.4080217,1.777943,1.306194,,,0.4083168,1.782083,1.30651,,39.1624355543211,35.426790050236,6.14934037449926
0.121, 0.7,0.7,,,0.4080174,1.778669,1.307027,,,0.408265,1.782137,1.307285,,39.1508071575827,35.3794329349436,6.0685998567937
0.156, 0.82,0.82,,,0.407767,1.77827,1.308626,,,0.4080592,1.782324,1.308918,,39.1099353067267,35.2514488538374,5.99462805636727
0.167, 1.08,1.08,,,0.4067635,1.777706,1.308138,,,0.4071541,1.783054,1.308529,,38.9435484880808,35.0480287505421,6.08099195403738
0.178, 1.21,1.21,,,0.4068748,1.776898,1.307552,,,0.4073131,1.782919,1.308011,,38.9737037724272,35.1231335085656,6.19884430356547
0.188, 1.27,1.27,,,0.4067612,1.77668,1.307629,,,0.4072139,1.783001,1.30812,,38.955217865953,35.1788166242246,6.21555265335766
0.199, 1.12,1.12,,,0.4069528,1.777309,1.307561,,,0.4073499,1.782889,1.307986,,38.9805237161237,35.2240017394215,6.13938537406099
0.21, 1.09,1.09,,,0.4063366,1.777982,1.308008,,,0.4067219,1.783401,1.308415,,38.8641851072283,35.0942930355978,6.08756473027015
0.221, 1.17,1.17,,,0.4049346,1.778682,1.308282,,,0.4053505,1.784505,1.308714,,38.611918907443,34.8144226270501,6.06543321042788
0.232, 1.27,1.27,,,0.4025543,1.780043,1.308131,,,0.4030124,1.786357,1.3086,,38.1847144924088,34.3317400020263,6.11195832332521
0.243, 1.26,1.26,,,0.4000652,1.78199,1.30696,,,0.4005291,1.78828,1.307433,,37.7357046990562,33.8496311128768,6.19837003231818
0.254, 1.4,1.4,,,0.3967251,1.783846,1.305904,,,0.3972386,1.790783,1.306431,,37.1448216353066,33.2767626725619,6.23532989243591
0.265, 1.42,1.42,,,0.3958857,1.784361,1.306638,,,0.3964016,1.791428,1.307173,,36.9925118361483,33.1649797997161,6.18098079806205
0.276, 1.41,1.41,,,0.3945066,1.785486,1.306907,,,0.3950091,1.792476,1.307431,,36.7425747308052,32.9705106590791,6.11093208743097
0.287, 1.46,1.46,,,0.3918596,1.787189,1.306837,,,0.3923716,1.794427,1.307379,,36.2726816346464,32.5724916415562,6.06924616342593
0.298, 1.56,1.56,,,0.3880406,1.789424,1.306287,,,0.3885774,1.79717,1.306876,,35.6027323032649,32.0120165791454,6.06084204277292
0.309, 1.73,1.73,,,0.3835895,1.791651,1.305617,,,0.3841735,1.800268,1.306283,,34.8324406655791,31.3618372297664,6.05828627143399
0.32, 1.8,1.8,,,0.3798316,1.793897,1.305265,,,0.3804213,1.802842,1.305959,,34.1813631463493,30.8347822820344,6.00508336814832
0.331, 1.64,1.64,,,0.3766283,1.796869,1.305665,,,0.377154,1.805043,1.306287,,33.6164894422354,30.3475678266225,5.88286567408843
0.342, 1.67,1.67,,,0.372697,1.799346,1.306659,,,0.37322,1.80764,1.307266,,32.939723582252,29.7030780246638,5.70914664757249
0.354, 1.59,1.59,,,0.3684146,1.802489,1.307302,,,0.3689106,1.8104,1.307865,,32.2059290593805,28.9694303508554,5.60587845906383
0.365, 1.49,1.49,,,0.3630233,1.806315,1.307433,,,0.3634944,1.813753,1.307954,,31.2934465475102,28.0222180355693,5.58584551478565
0.375, 1.54,1.54,,,0.3572205,1.809538,1.306749,,,0.3577166,1.81719,1.307292,,30.3313495428896,27.0133700949282,5.67695767445726
0.387, 1.72,1.72,,,0.3513671,1.811949,1.30574,,,0.351923,1.820502,1.306361,,29.3773155763598,26.1070364606871,5.75673641617708
0.405, 1.84,1.84,,,0.3460943,1.814222,1.305566,,,0.3466809,1.823399,1.306246,,28.5197426612465,25.3442358327651,5.77899429451547
0.411, 1.65,1.65,,,0.3416322,1.817647,1.306635,,,0.3421339,1.825846,1.307232,,27.7780985436899,24.7300891453498,5.62444632780581
0.42, 1.57,1.57,,,0.3366047,1.820661,1.307961,,,0.3370719,1.828481,1.308514,,26.9589198283801,23.9511231676595,5.48090521063734
0.431, 1.39,1.39,,,0.3323913,1.823707,1.309319,,,0.3327924,1.830635,1.309783,,26.2719718641749,23.3115254885577,5.25463940586463
0.442, 1.12,1.12,,,0.3277131,1.827356,1.310881,,,0.3280243,1.832955,1.311233,,25.5130627364241,22.6191526467551,4.98460148124032
0.453, 1.05,1.05,,,0.3220515,1.830371,1.312112,,,0.3223341,1.835616,1.31243,,24.6150294893409,21.7791913739267,4.82754854272226
0.464, 1,1,,,0.3160337,1.833325,1.310979,,,0.3162976,1.838321,1.311284,,23.6658295890617,20.9361291953013,4.80424009594139
0.475, 0.77,0.77,,,0.3104263,1.83692,1.310888,,,0.3106268,1.840754,1.311125,,22.7817879841039,20.1080985550735,4.8237731557636
0.487, 0.65,0.65,,,0.3045217,1.839974,1.310066,,,0.3046911,1.843189,1.310269,,21.8623113587181,19.2209167707322,4.89996946336344
0.498, 0.54,0.54,,,0.2982062,1.842985,1.309943,,,0.2983477,1.845671,1.310117,,20.8865659289683,18.2862071163739,4.95452175585945
0.509, 0.35,0.35,,,0.292799,1.845973,1.309653,,,0.2928891,1.847706,1.309765,,20.0520978356269,17.5267618187883,4.93550480219204
0.52, 0.16,0.16,,,0.2874868,1.848847,1.31059,,,0.2875253,1.849625,1.310639,,19.2362744506536,16.8215021179278,4.79399438558466
0.531, 0,0,,,0.2829807,1.851158,1.312256,,,0.2829817,1.851182,1.312257,,18.5507744865121,16.215032562926,4.56943271296245
0.543, 0.35,-0.35,,,0.2789712,1.854247,1.314837,,,0.2788941,1.852518,1.314742,,17.94432371453,15.6136634515449,4.26291859097755
0.553, 0.61,-0.61,,,0.2731025,1.857423,1.316749,,,0.2729684,1.854367,1.31659,,17.0678892325486,14.7018707887616,4.08226265377886
