経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.2,-0.2,,,-0.1231333,1.620646,1.098651,,,-0.1230501,1.619848,1.099264,,44.8234942563803,25.3467886158964,37.5234087651815
0.01, 0.74,0.74,,,-0.1225224,1.616258,1.10037,,,-0.1228515,1.619189,1.098133,,44.8234942563803,24.9811361564022,37.3929350801921
0.022, 1.67,1.67,,,-0.1213734,1.61269,1.102581,,,-0.1221382,1.619285,1.097556,,44.8234942563803,24.8059076581217,37.3711706830075
0.032, 2.4,2.4,,,-0.1216222,1.609514,1.104989,,,-0.1227345,1.619006,1.097757,,44.8234942563803,24.7505882500259,37.374756532222
0.043, 3.14,3.14,,,-0.1209702,1.606927,1.10745,,,-0.1224499,1.619368,1.097984,,44.8234942563803,24.6661415010251,37.350410323603
0.055, 3.87,3.87,,,-0.1206535,1.603976,1.109598,,,-0.1225178,1.619309,1.097969,,44.8234942563803,24.5340849197396,37.2802540374955
0.067, 4.7,4.7,,,-0.1196504,1.600311,1.111004,,,-0.1219723,1.618978,1.096956,,44.8234942563803,24.3775574788862,37.0855526704331
0.076, 5.38,5.38,,,-0.1186185,1.596785,1.111287,,,-0.1213515,1.618249,1.095304,,44.8234942563803,24.2057577354736,36.8203808285702
0.089, 6.01,6.01,,,-0.1178888,1.593629,1.111872,,,-0.1209993,1.617663,1.094123,,44.8234942563803,24.0825069753305,36.6136344232418
0.101, 6.52,6.52,,,-0.1165321,1.591555,1.112353,,,-0.1199716,1.6177,1.093148,,44.8234942563803,23.9683130457748,36.4855137383559
0.112, 7.49,7.49,,,-0.1144615,1.589008,1.115599,,,-0.1185383,1.619053,1.093628,,44.8234942563803,23.7652942160821,36.3935828097804
0.123, 8.06,8.06,,,-0.1134572,1.588069,1.118597,,,-0.1179374,1.620387,1.094914,,44.8234942563803,23.6377814180155,36.4692373980167
0.135, 8.04,8.04,,,-0.1132365,1.589527,1.120185,,,-0.1177116,1.621673,1.096507,,44.8234942563803,23.6280859647585,36.6097036494838
0.146, 9.46,9.46,,,-0.1099388,1.58631,1.125672,,,-0.1155673,1.624122,1.097825,,44.8234942563803,23.1888313888165,36.6746211806437
0.158, 10.53,10.53,,,-0.1075037,1.583998,1.13011,,,-0.1141482,1.626079,1.099174,,44.8234942563803,22.7717305308309,36.694940992859
0.17, 11.58,11.58,,,-0.1052567,1.57989,1.132017,,,-0.112962,1.626198,1.098157,,44.8234942563803,22.3665620129933,36.6209939518677
0.182, 12.51,12.51,,,-0.1031497,1.576002,1.133306,,,-0.1118075,1.62615,1.096934,,44.8234942563803,22.0538588860189,36.4624003788478
0.194, 13.12,13.12,,,-0.1018161,1.572741,1.133157,,,-0.111046,1.625383,1.095088,,44.8234942563803,21.9215171443435,36.4109383199784
0.206, 13.4,13.4,,,-0.1005968,1.572657,1.134349,,,-0.1100351,1.626286,1.095354,,44.8234942563803,21.9107117853772,36.5571555905666
0.217, 13.43,13.43,,,-0.09980246,1.574036,1.135779,,,-0.1091865,1.627651,1.096435,,44.8234942563803,21.9886083831463,36.7873978459861
0.229, 13.28,13.28,,,-0.1000649,1.575236,1.136245,,,-0.1091908,1.62823,1.097258,,44.8234942563803,22.1259464080605,36.8292634893386
0.24, 12.82,12.82,,,-0.1015093,1.576,1.134354,,,-0.1101864,1.62722,1.096826,,44.8234942563803,22.2372597054139,36.6992405968219
