経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.72,-0.72,,,0.1012566,1.819445,1.575045,,,0.1011818,1.815855,1.57463,,30.9626878159674,24.1408402043137,6.94647422798943
0.011, 0.07,0.07,,,0.1032619,1.813095,1.578618,,,0.1032662,1.813421,1.578655,,31.6384564683597,24.9158702856044,6.76343925059166
0.021, 0.8,0.8,,,0.1053028,1.806334,1.583163,,,0.1053299,1.810331,1.583603,,32.4782691845779,25.9432348685701,6.54055908511895
0.032, 1.5,1.5,,,0.1075552,1.800121,1.587019,,,0.1075537,1.807593,1.587828,,33.2064697826748,26.7819820753074,6.42885774765411
0.044, 2.19,2.19,,,0.1088979,1.794027,1.59068,,,0.1088279,1.804936,1.59183,,33.8995188131864,27.6533553872546,6.28032034724681
0.055, 2.95,2.95,,,0.1106714,1.787395,1.594493,,,0.1104911,1.802083,1.595993,,34.629857260434,28.6004054855524,6.12022840151949
0.066, 3.8,3.8,,,0.1121612,1.780805,1.597433,,,0.1118301,1.799726,1.599341,,35.2232367582557,29.2964939501601,6.08981869263353
0.077, 4.69,4.69,,,0.1138615,1.774266,1.59993,,,0.1133566,1.797572,1.602314,,35.7578185742436,29.7803240469325,6.21435395519168
0.088, 5.46,5.46,,,0.1127262,1.769462,1.600845,,,0.1121738,1.796633,1.603689,,35.9888872825296,29.8610773712424,6.33103407353609
0.1, 6.42,6.42,,,0.1119129,1.764666,1.600287,,,0.1113156,1.796585,1.603797,,36.0008162075831,29.5585683013206,6.61182869203019
0.111, 7.22,7.22,,,0.1111553,1.759202,1.601965,,,0.1105123,1.795054,1.605947,,36.3744958466759,29.8602884844152,6.66615089253494
0.121, 7.73,7.73,,,0.1109655,1.754983,1.603982,,,0.1102998,1.793378,1.608237,,36.779744619234,30.2746111630332,6.64705966056238
0.132, 7.73,7.73,,,0.1067816,1.755335,1.603508,,,0.1064972,1.793722,1.607896,,36.6969695589861,29.9431045257971,6.78454581520013
0.144, 8.08,8.08,,,0.1058307,1.753274,1.603683,,,0.1056913,1.793422,1.608321,,36.7693524867011,29.9373432613925,6.84231982246062
0.155, 8.08,8.08,,,0.1055871,1.752257,1.605061,,,0.1055352,1.792366,1.609744,,37.0227798186129,30.1170352881714,6.909753424486
0.167, 6.91,6.91,,,0.1018291,1.757285,1.606866,,,0.1022185,1.791618,1.610786,,37.2012629019424,30.4387884155441,6.79422333921109
0.177, 7.25,7.25,,,0.1044381,1.754342,1.608362,,,0.1046609,1.790387,1.612386,,37.4936940280243,30.8701968118955,6.62871291918862
0.19, 7.55,7.55,,,0.10805,1.750882,1.61086,,,0.1079102,1.788396,1.614908,,37.9623098788438,31.5661111066841,6.411081753947
0.198, 7.35,7.35,,,0.1081375,1.750752,1.612467,,,0.1079277,1.787312,1.616302,,38.2153034937555,31.992232936765,6.24758069014506
0.21, 7.31,7.31,,,0.1070686,1.750877,1.612647,,,0.1069001,1.787226,1.616442,,38.2354559663408,32.0370492217569,6.21517400475609
0.221, 7.27,7.27,,,0.1062585,1.75226,1.611109,,,0.1061613,1.78839,1.614961,,37.9637442185296,31.6348159776334,6.33703951719671
0.232, 7.3,7.3,,,0.1059127,1.752334,1.610789,,,0.1058455,1.788609,1.614684,,37.9123470464555,31.5378580299686,6.37984046955273
0.243, 7.41,7.41,,,0.1040583,1.75188,1.610625,,,0.1040449,1.788707,1.614589,,37.8894283473333,31.4964909904116,6.3940545197068
0.254, 7.28,7.28,,,0.1025513,1.752717,1.610459,,,0.1026162,1.788893,1.614364,,37.8458244208854,31.4345343461745,6.41147961245508
0.265, 7.31,7.31,,,0.1011221,1.752936,1.609942,,,0.1012583,1.789292,1.613853,,37.752124473364,31.3628617581134,6.39282764701128
0.276, 7.23,7.23,,,0.09745425,1.754054,1.609112,,,0.09774417,1.789989,1.612926,,37.5878584283963,31.2884946604998,6.32586020538378
0.288, 7.69,7.69,,,0.1000245,1.751543,1.609157,,,0.1000923,1.789778,1.613218,,37.637510487186,31.3252991338182,6.31341901615681
0.299, 6.95,6.95,,,0.09609387,1.755387,1.609436,,,0.09638255,1.789943,1.612966,,37.5985681647168,31.5293681050665,6.10158924268003
0.31, 7.68,7.68,,,0.09955012,1.751879,1.608943,,,0.09947824,1.790076,1.612827,,37.5673302954171,31.5123199533726,6.05559987273081
0.321, 7.52,7.52,,,0.09901558,1.752488,1.609302,,,0.09894265,1.789882,1.613078,,37.6131130521496,31.5972192023933,6.01633482383235
0.332, 7.41,7.41,,,0.09925371,1.753038,1.609318,,,0.09916289,1.789908,1.613044,,37.6068292782881,31.5854746924423,6.02242479108159
0.344, 7.29,7.29,,,0.09828258,1.753886,1.609057,,,0.09827787,1.790136,1.612739,,37.5530791061104,31.5032289718403,6.05009431352616
0.356, 7.5,7.5,,,0.09952383,1.75265,1.609187,,,0.09929273,1.789966,1.612969,,37.5931723154227,31.5559648609544,6.04711250914961
0.366, 7.4,7.4,,,0.09869333,1.753779,1.608438,,,0.09865122,1.790567,1.612175,,37.4511180450178,31.3988329483763,6.0522970494722
0.377, 6.75,6.75,,,0.09547232,1.757528,1.608043,,,0.09564684,1.791101,1.611428,,37.3244180394398,31.3278092282683,6.01362964210948
0.389, 7.01,7.01,,,0.09585379,1.757372,1.606346,,,0.09599845,1.792217,1.609948,,37.0581601975291,30.9138895308002,6.15622264367018
0.4, 7.07,7.07,,,0.09669483,1.757142,1.606186,,,0.09677057,1.792309,1.609841,,37.0364504418563,30.8559831886282,6.18510281711144
0.411, 7.44,7.44,,,0.09924911,1.755709,1.60549,,,0.09904214,1.792694,1.609349,,36.9441438528868,30.7360177493844,6.21545788448557
0.422, 7.52,7.52,,,0.09902404,1.755794,1.604833,,,0.0988315,1.793194,1.608676,,36.8241647532651,30.7069108990464,6.12314233089306
0.433, 6.31,6.31,,,0.09523796,1.762513,1.604535,,,0.09542014,1.793922,1.607642,,36.6488030662995,30.7611186938857,5.90849937333016
0.444, 6.52,6.52,,,0.09613845,1.762396,1.603185,,,0.09630052,1.794812,1.606447,,36.4334233021004,30.444781906374,6.00377709450591
0.455, 6.68,6.68,,,0.09685234,1.76081,1.604102,,,0.09691058,1.794064,1.607477,,36.6144881968643,30.5723869119919,6.04571829682408
0.466, 7.21,7.21,,,0.1009346,1.760427,1.600891,,,0.100638,1.796296,1.604443,,36.0717203993839,30.1690744980096,5.92476632215952
0.477, 6.77,6.77,,,0.09891271,1.762917,1.600648,,,0.09885131,1.796611,1.604,,35.9945699997609,30.0625611159618,5.93230471635933
0.488, 6.58,6.58,,,0.0973665,1.766385,1.597244,,,0.09743125,1.799108,1.600476,,35.3777083122262,29.4900854115132,5.89135602587731
0.499, 7.13,7.13,,,0.09975934,1.765121,1.594784,,,0.09961776,1.800611,1.598344,,35.0017371447306,29.0233342022852,5.98245111007646
0.51, 6.67,6.67,,,0.0988014,1.767228,1.595348,,,0.09875035,1.800407,1.598633,,35.0530660149149,29.1479749058857,5.90524734960208
0.521, 6.2,6.2,,,0.09820296,1.773217,1.590239,,,0.09828532,1.804082,1.593248,,34.1197719172227,28.3037208592833,5.8205961218187
0.532, 6.78,6.78,,,0.099149,1.772137,1.587225,,,0.09910256,1.805848,1.590601,,33.6631874442913,27.6927997286138,5.97051193973952
0.544, 6.33,6.33,,,0.09706281,1.777542,1.582456,,,0.09718388,1.809047,1.585652,,32.8216774261116,26.7836725470799,6.04785828040886
0.555, 6.21,6.21,,,0.09667434,1.780241,1.579224,,,0.09686261,1.811125,1.582359,,32.2645969676238,26.2286394377388,6.05647413692024
