経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.26,-0.26,,,0.06965412,1.639187,1.022417,,,0.06966058,1.637916,1.022535,,44.7499911776726,39.6815060111355,5.07759578486271
0.011, 0.23,0.23,,,0.0686281,1.63603,1.021927,,,0.06862684,1.637197,1.021817,,44.7499911776726,39.6189414800792,5.13144755610147
0.022, 2.08,2.08,,,0.07266641,1.626367,1.022345,,,0.07254988,1.636742,1.021361,,44.7499911776726,39.585644308802,5.20811984249584
0.033, 3.51,3.51,,,0.07421054,1.619003,1.022725,,,0.07392165,1.63647,1.021089,,44.7499911776726,39.6590141988245,5.18659322126511
0.044, 4.6,4.6,,,0.07619451,1.613344,1.023027,,,0.07577284,1.63625,1.02087,,44.7499911776726,39.6324652542595,5.23521264085842
0.055, 5.89,5.89,,,0.07800077,1.607768,1.024564,,,0.07737694,1.637089,1.021709,,44.7499911776726,39.4543202652845,5.44758797567997
0.066, 6.62,6.62,,,0.07871091,1.603402,1.024166,,,0.07799764,1.636354,1.020973,,44.7499911776726,39.4817947004564,5.42617789454871
0.077, 7.21,7.21,,,0.08017567,1.600297,1.02425,,,0.07937915,1.636156,1.020776,,44.7499911776726,39.4831709835358,5.43307126277672
0.088, 6.35,6.35,,,0.07558096,1.602922,1.02213,,,0.07533994,1.634553,1.019172,,44.7499911776726,39.6600797083054,5.11036575092805
0.1, 5.68,5.68,,,0.07263069,1.605241,1.020679,,,0.07275629,1.633553,1.018172,,44.7499911776726,39.9420572301535,4.81519657283884
0.111, 5.24,5.24,,,0.07141679,1.60784,1.020788,,,0.07174046,1.633956,1.018576,,44.7499911776726,40.1644686739074,4.64473085071142
