経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.65,-0.65,,,-0.2983784,1.53103,1.345861,,,-0.2963342,1.528617,1.345226,,45.0005634905908,12.2880290692843,41.6520121167553
0.011, 0.07,-0.07,,,-0.2946146,1.53081,1.344352,,,-0.294396,1.530555,1.344284,,45.0005634905908,12.2632926861198,41.972252357269
0.022, 0.41,0.41,,,-0.2916473,1.530488,1.341805,,,-0.2929531,1.531998,1.342213,,45.0005634905908,12.2575519122822,42.2615347662311
0.034, 0.86,0.86,,,-0.2896764,1.529342,1.340151,,,-0.2924396,1.532511,1.341016,,45.0005634905908,12.2531916903921,42.483109511835
0.045, 1.14,1.14,,,-0.287742,1.529356,1.338747,,,-0.2914133,1.533538,1.339895,,45.0005634905908,12.2248062787651,42.6874312000756
0.055, 1.42,1.42,,,-0.2867716,1.528358,1.339228,,,-0.2913744,1.533577,1.340644,,45.0005634905908,12.0375002988208,42.7736759963254
0.066, 1.79,1.79,,,-0.2853567,1.527237,1.339991,,,-0.2911583,1.533793,1.341742,,45.0005634905908,11.8271671905042,42.8238095834382
0.077, 2.03,2.03,,,-0.2841347,1.52673,1.339692,,,-0.2907576,1.534193,1.341662,,45.0005634905908,11.6729159101284,42.8671300570435
0.088, 1.96,1.96,,,-0.2839192,1.527447,1.338427,,,-0.2903108,1.53464,1.340325,,45.0005634905908,11.6491596590825,42.8976029451775
0.099, 1.95,1.95,,,-0.2839381,1.527529,1.337333,,,-0.2902828,1.534668,1.339225,,45.0005634905908,11.692328160983,42.9149994365094
0.111, 1.72,1.72,,,-0.2849315,1.528117,1.335927,,,-0.2905276,1.534423,1.337613,,45.0005634905908,11.8036329206002,42.8963598507831
0.121, 1.62,1.62,,,-0.2848136,1.528927,1.333947,,,-0.2900877,1.534863,1.335548,,45.0005634905908,11.8837681128074,42.9489523059287
0.132, 1.62,1.62,,,-0.2845074,1.529256,1.331142,,,-0.2897774,1.535174,1.332756,,45.0005634905908,11.9749178385184,43.0385985362905
0.145, 1.47,1.47,,,-0.2845318,1.530221,1.329477,,,-0.2893445,1.535607,1.330956,,45.0005634905908,12.0051004436208,43.1462969561263
0.155, 1.64,1.64,,,-0.2827409,1.530834,1.327292,,,-0.2881285,1.536823,1.328947,,45.0005634905908,11.9933550798961,43.335578568233
0.166, 1.74,1.74,,,-0.2809907,1.531911,1.326378,,,-0.2867146,1.538236,1.328125,,45.0005634905908,11.9147242368118,43.4886499334626
0.177, 1.76,1.76,,,-0.2799427,1.532831,1.326684,,,-0.2857431,1.539208,1.32843,,45.0005634905908,11.7589908054273,43.5980149194095
0.188, 1.77,1.77,,,-0.277921,1.534792,1.327953,,,-0.2837609,1.54119,1.329679,,45.0005634905908,11.5635389713508,43.6541078464073
0.199, 1.76,1.76,,,-0.2773052,1.535419,1.329387,,,-0.2831468,1.541804,1.331081,,45.0005634905908,11.3569710047094,43.6767601681593
0.21, 1.84,1.84,,,-0.2761558,1.536008,1.330872,,,-0.2822715,1.54268,1.332612,,45.0005634905908,11.1585266940861,43.6889691309609
0.223, 1.91,1.91,,,-0.2749531,1.536769,1.332194,,,-0.2812888,1.543662,1.333979,,45.0005634905908,11.0596067746368,43.7460353598883
0.232, 1.76,1.76,,,-0.2733591,1.539363,1.332327,,,-0.2792216,1.54573,1.333974,,45.0005634905908,11.029979122389,43.7953356639456
0.244, 1.61,1.61,,,-0.2732031,1.540549,1.333539,,,-0.2785731,1.546378,1.335037,,45.0005634905908,10.9562839446163,43.7924020977787
0.255, 1.63,1.63,,,-0.2726303,1.541018,1.334839,,,-0.2780482,1.546903,1.336341,,45.0005634905908,10.8944613428379,43.7593781340607
0.266, 1.55,1.55,,,-0.2721035,1.542058,1.336239,,,-0.2772725,1.547679,1.337663,,45.0005634905908,10.8289470239159,43.7162181698964
0.277, 1.59,1.59,,,-0.271258,1.54267,1.336869,,,-0.2765411,1.54841,1.338315,,45.0005634905908,10.767681936313,43.7269620571618
0.288, 1.73,1.73,,,-0.2694306,1.54349,1.337332,,,-0.2752055,1.549746,1.338905,,45.0005634905908,10.710775363053,43.7998367584834
0.299, 1.89,1.89,,,-0.267428,1.54439,1.337826,,,-0.2737447,1.551206,1.339533,,45.0005634905908,10.6307861661352,43.8957257815728
0.311, 2.03,2.03,,,-0.265003,1.545862,1.337425,,,-0.2717893,1.553162,1.339248,,45.0005634905908,10.5717554041024,43.973337218952
0.322, 2.03,2.03,,,-0.2643615,1.546505,1.33732,,,-0.2711477,1.553803,1.339143,,45.0005634905908,10.5730770456701,43.9811031438222
0.333, 1.93,1.93,,,-0.2644444,1.547078,1.336692,,,-0.270913,1.554038,1.338431,,45.0005634905908,10.5754778570965,43.9691912942411
0.344, 1.82,1.82,,,-0.264126,1.548191,1.336498,,,-0.2702073,1.554744,1.338139,,45.0005634905908,10.6146874107095,43.9348081229161
0.355, 1.71,1.71,,,-0.2630968,1.549948,1.335788,,,-0.2688252,1.556126,1.337338,,45.0005634905908,10.6479888508549,43.9125826879753
0.366, 1.5,1.5,,,-0.2616411,1.552871,1.334264,,,-0.2666582,1.558293,1.335632,,45.0005634905908,10.7223089909193,43.8731690824666
0.377, 1.39,1.39,,,-0.2600432,1.555242,1.333418,,,-0.2646862,1.560265,1.334692,,45.0005634905908,10.7818204275015,43.8518213268097
0.388, 1.31,1.31,,,-0.2581136,1.557717,1.332886,,,-0.2624954,1.562456,1.334089,,45.0005634905908,10.786037215423,43.8653382708011
0.4, 1.35,1.35,,,-0.2559115,1.559696,1.33184,,,-0.2604049,1.564546,1.33307,,45.0005634905908,10.7591971340527,43.9138018767083
0.411, 1.4,1.4,,,-0.2516358,1.563581,1.331046,,,-0.2563246,1.568626,1.332322,,45.0005634905908,10.6987883813932,43.9881655592274
0.422, 1.47,1.47,,,-0.2478031,1.566932,1.330283,,,-0.2527339,1.572217,1.331615,,45.0005634905908,10.622859731824,44.085359148412
0.433, 1.54,1.54,,,-0.2439333,1.570338,1.328707,,,-0.2490992,1.575852,1.330095,,45.0005634905908,10.574045224958,44.1973332665493
0.445, 1.5,1.5,,,-0.2408576,1.573698,1.326893,,,-0.2458952,1.579056,1.328244,,45.0005634905908,10.5568357100494,44.2916684216458
0.455, 1.43,1.43,,,-0.238636,1.576358,1.326123,,,-0.2434662,1.581485,1.327422,,45.0005634905908,10.5869337915631,44.3594785378387
0.466, 1.46,1.46,,,-0.2358857,1.578943,1.324955,,,-0.2408004,1.584151,1.326277,,45.0005634905908,10.5896658671551,44.4054866908076
0.478, 1.48,1.48,,,-0.2330714,1.581558,1.323792,,,-0.2380875,1.586864,1.32514,,45.0005634905908,10.5845543244772,44.4602238252929
0.489, 1.42,1.42,,,-0.2309247,1.584146,1.323239,,,-0.2357304,1.589221,1.324529,,45.0005634905908,10.5697456209951,44.5050264499068
0.5, 1.37,1.37,,,-0.2285961,1.586825,1.322072,,,-0.2332378,1.591713,1.323316,,45.0005634905908,10.5614947527073,44.5784714720082
0.511, 1.21,1.21,,,-0.2266223,1.589904,1.321717,,,-0.2307269,1.594224,1.322815,,45.0005634905908,10.5417076952324,44.5907760574556
0.522, 1.25,1.25,,,-0.2238277,1.59245,1.321529,,,-0.2280574,1.596894,1.322656,,45.0005634905908,10.4987056791883,44.627747870404
0.533, 1.09,1.09,,,-0.2219026,1.595476,1.321344,,,-0.2255954,1.599356,1.322323,,45.0005634905908,10.460797276576,44.6258183420172
0.544, 0.95,0.95,,,-0.2199121,1.598463,1.322205,,,-0.2231194,1.601832,1.323048,,45.0005634905908,10.3642406025137,44.6151086056966
0.555, 0.79,0.79,,,-0.2181087,1.601374,1.322368,,,-0.2207752,1.604176,1.323062,,45.0005634905908,10.2726853343321,44.5791579060007
0.566, 0.52,0.52,,,-0.21713,1.604197,1.322417,,,-0.2188954,1.606056,1.322874,,45.0005634905908,10.2074664210834,44.5167743749523
0.578, 0.32,0.32,,,-0.2157218,1.607015,1.321343,,,-0.2167993,1.608152,1.321622,,45.0005634905908,10.2199844499364,44.4494013908541
0.588, 0.04,0.04,,,-0.2146239,1.610059,1.3204,,,-0.2147542,1.610197,1.320434,,45.0005634905908,10.2894858916755,44.4473420888767
0.599, 0.06,-0.06,,,-0.2128865,1.61251,1.319447,,,-0.2126699,1.612281,1.31939,,45.0005634905908,10.3549353238022,44.4497224097362
0.61, 0.15,-0.15,,,-0.2102908,1.615677,1.318603,,,-0.2097962,1.615155,1.318472,,45.0005634905908,10.4076216940462,44.4854921094242
0.622, 0.19,-0.19,,,-0.2071189,1.619186,1.316813,,,-0.2064586,1.618492,1.316637,,45.0005634905908,10.4774304942894,44.6206273983924
0.633, 0.25,-0.25,,,-0.2040237,1.622658,1.315643,,,-0.2031782,1.621773,1.315417,,45.0005634905908,10.5599664979231,44.7451895548197
0.644, 0.29,-0.29,,,-0.2014059,1.625567,1.315216,,,-0.2004159,1.624535,1.31495,,45.0005634905908,10.6282496047028,44.8847064100185
0.655, 0.45,-0.45,,,-0.1994988,1.628592,1.31499,,,-0.1979612,1.62699,1.314577,,45.0005634905908,10.6109786180934,44.8829988627735
0.666, 0.4,-0.4,,,-0.1967726,1.630944,1.317004,,,-0.195418,1.629533,1.316645,,45.0005634905908,10.4725844752081,44.8704620509008
0.677, 0.43,-0.43,,,-0.194704,1.633266,1.319093,,,-0.1932253,1.631726,1.318707,,45.0005634905908,10.3138722276548,44.8473179555423
0.688, 0.37,-0.37,,,-0.1918332,1.635669,1.32071,,,-0.1905827,1.634368,1.32039,,45.0005634905908,10.1081076619922,44.8461568234157
