経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.94,-0.94,,,-0.080151,1.78242,1.12245,,,-0.08077411,1.778946,1.125578,,45.7999961295596,8.59872895874907,42.3099778815714
0.011, 0.82,-0.82,,,-0.08218873,1.782146,1.123018,,,-0.08272482,1.779118,1.125744,,45.7999961295596,8.51864243163835,42.2855702012515
0.022, 0.59,-0.59,,,-0.08340359,1.781703,1.124157,,,-0.08378561,1.779513,1.126125,,45.7999961295596,8.45138299943196,42.2251264438735
0.033, 0.41,-0.41,,,-0.08498225,1.781054,1.124825,,,-0.08524169,1.779558,1.126169,,45.7999961295596,8.41624594599825,42.2227700286754
0.044, 0.33,-0.33,,,-0.08614914,1.780844,1.125117,,,-0.08636532,1.779613,1.126221,,45.7999961295596,8.52511830456496,42.1761471586983
0.055, 0.36,-0.36,,,-0.08670776,1.780871,1.124948,,,-0.08694484,1.779535,1.126146,,45.7999961295596,8.60329664762941,42.1731008944132
0.066, 0.29,-0.29,,,-0.08812316,1.780962,1.125553,,,-0.08831173,1.779903,1.126501,,45.7999961295596,8.62771201191185,42.1842887439624
0.078, 0.2,-0.2,,,-0.08871742,1.781106,1.126262,,,-0.08885145,1.780355,1.126936,,45.7999961295596,8.62213260128886,42.205557952446
0.09, 0.11,-0.11,,,-0.09033826,1.781873,1.127654,,,-0.09040961,1.781472,1.128014,,45.7999961295596,8.59518835953659,42.2285517836469
0.102, 0.01,-0.01,,,-0.0913116,1.781925,1.12838,,,-0.09131831,1.781887,1.128413,,45.7999961295596,8.56861807063098,42.2355800481073
0.111, 0.28,0.28,,,-0.09215593,1.781195,1.129648,,,-0.09197588,1.782217,1.128731,,45.7999961295596,8.52954085192947,42.2187128964213
0.122, 0.48,0.48,,,-0.0924435,1.780915,1.130795,,,-0.09213138,1.782698,1.129195,,45.7999961295596,8.50408303005397,42.176946290809
0.134, 0.79,0.79,,,-0.09329646,1.779708,1.13175,,,-0.09278885,1.782634,1.129134,,45.7999961295596,8.50006346383927,42.0826623621298
0.145, 1.3,1.3,,,-0.09338757,1.777388,1.133037,,,-0.09255989,1.782224,1.128738,,45.7999961295596,8.51702879949183,41.9072528638413
0.156, 1.71,1.71,,,-0.09309371,1.77512,1.133667,,,-0.09201233,1.781494,1.128035,,45.7999961295596,8.5659124620213,41.7368396487917
0.167, 1.73,1.73,,,-0.09304982,1.774864,1.133514,,,-0.0919605,1.781293,1.127841,,45.7999961295596,8.58569951949621,41.6936113827376
0.179, 1.81,1.81,,,-0.09245525,1.774365,1.133582,,,-0.09131467,1.78109,1.127645,,45.7999961295596,8.58165007120472,41.7106390438646
0.189, 1.71,1.71,,,-0.0917902,1.77456,1.133118,,,-0.09070987,1.780928,1.127489,,45.7999961295596,8.56244955620847,41.7417300641013
0.2, 1.63,1.63,,,-0.09029798,1.774694,1.132684,,,-0.08927371,1.780755,1.127322,,45.7999961295596,8.52295313465831,41.7638837820578
0.212, 1.63,1.63,,,-0.08878083,1.774279,1.132299,,,-0.08775993,1.780344,1.126926,,45.7999961295596,8.47570017974781,41.7961291042321
0.222, 1.64,1.64,,,-0.08634269,1.774079,1.132153,,,-0.08532835,1.780161,1.126749,,45.7999961295596,8.36891102881998,41.8670640318833
0.234, 1.47,1.47,,,-0.08332798,1.774459,1.131364,,,-0.08242557,1.779911,1.126508,,45.7999961295596,8.27955593526347,41.9289523742306
0.245, 1.39,1.39,,,-0.0812107,1.773801,1.130204,,,-0.08035854,1.77897,1.125601,,45.7999961295596,8.25963483532984,41.9188232039733
0.256, 1.31,1.31,,,-0.07937157,1.773635,1.129489,,,-0.07856818,1.778507,1.125155,,45.7999961295596,8.28097917589217,41.8885142403748
