経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.73,-0.73,,,0.07604568,1.77127,1.639953,,,0.07632934,1.768117,1.638109,,42.4840384175363,11.8218003695132,30.8475444901435
0.01, 0.32,0.32,,,0.07626113,1.766903,1.637136,,,0.0761379,1.768258,1.637936,,42.4538933784733,11.5675423158666,31.0739857453956
0.022, 1.11,1.11,,,0.07657505,1.763824,1.634715,,,0.07613568,1.768597,1.63756,,42.3815582620812,11.2350137116044,31.3417769647323
0.033, 2.07,2.07,,,0.07713064,1.76001,1.631963,,,0.07630187,1.768858,1.637285,,42.325929787934,10.9600209117619,31.5791533525413
0.044, 2.85,2.85,,,0.07918,1.75666,1.630138,,,0.07801645,1.768802,1.637498,,42.3379987318616,10.8367599063353,31.7832257388842
0.055, 3.51,3.51,,,0.08083121,1.75378,1.628635,,,0.07936023,1.768696,1.637726,,42.3608115630546,10.7799583472309,31.9396609721863
0.066, 4.12,4.12,,,0.0824985,1.750702,1.627688,,,0.08072098,1.768204,1.638376,,42.465907680889,10.9061460886354,32.0072764279933
0.079, 4.46,4.46,,,0.08309728,1.748635,1.627503,,,0.08113718,1.767611,1.639059,,42.5920373656872,11.1323790231236,31.9484445952145
0.09, 4.59,4.59,,,0.0837616,1.747114,1.628319,,,0.08174051,1.76665,1.640156,,42.7960858463686,11.4829162744051,31.8239985519999
0.099, 4.12,4.12,,,0.08238651,1.748733,1.629821,,,0.08060731,1.766326,1.640428,,42.8647019248611,11.6130288131522,31.6850007911636
0.111, 4.08,4.08,,,0.08254938,1.74862,1.630316,,,0.08081491,1.766018,1.640778,,42.92979362584,11.7362292006516,31.6119553351175
0.123, 4.4,4.4,,,0.08252446,1.746776,1.629995,,,0.08069099,1.765553,1.641274,,43.0279673471432,11.8396066721839,31.5717733333485
0.134, 4.52,4.52,,,0.08333412,1.746365,1.629596,,,0.0814757,1.765656,1.641218,,43.0061414782578,11.7606163904045,31.634778411594
0.145, 4.75,4.75,,,0.0845711,1.74592,1.628513,,,0.08261998,1.766165,1.640745,,42.8989382471231,11.620558242729,31.7071579242145
0.155, 5.18,5.18,,,0.0862228,1.744887,1.626593,,,0.08406767,1.766952,1.639979,,42.7322918812959,11.4199427857836,31.8157067025783
0.167, 5.64,5.64,,,0.0884399,1.74385,1.624471,,,0.08602583,1.767851,1.639105,,42.5413676087395,11.2166294041912,31.9618454259932
